dates,satname,nzd0226-0000,nzd0226-0001,nzd0226-0002,nzd0226-0003,nzd0226-0004,nzd0226-0005,nzd0226-0006,nzd0226-0007,nzd0226-0008,nzd0226-0009,nzd0226-0010,nzd0226-0011,nzd0226-0012,nzd0226-0013,nzd0226-0014,nzd0226-0015,nzd0226-0016,nzd0226-0017,nzd0226-0018,nzd0226-0019,nzd0226-0020,nzd0226-0021,nzd0226-0022,nzd0226-0023,nzd0226-0024,nzd0226-0025,nzd0226-0026,nzd0226-0027,nzd0226-0028,nzd0226-0029,nzd0226-0030,nzd0226-0031,nzd0226-0032,nzd0226-0033,nzd0226-0034,nzd0226-0035,nzd0226-0036,nzd0226-0037,nzd0226-0038,nzd0226-0039,nzd0226-0040,nzd0226-0041,nzd0226-0042,nzd0226-0043,nzd0226-0044,nzd0226-0045,nzd0226-0046,nzd0226-0047,nzd0226-0048,nzd0226-0049,nzd0226-0050,nzd0226-0051,nzd0226-0052,nzd0226-0053,nzd0226-0054,nzd0226-0055,nzd0226-0056,nzd0226-0057,nzd0226-0058,nzd0226-0059,nzd0226-0060,nzd0226-0061,nzd0226-0062,nzd0226-0063,nzd0226-0064,nzd0226-0065,nzd0226-0066,nzd0226-0067,nzd0226-0068,nzd0226-0069,nzd0226-0070,nzd0226-0071,nzd0226-0072,nzd0226-0073,nzd0226-0074,nzd0226-0075,nzd0226-0076,nzd0226-0077,nzd0226-0078,nzd0226-0079,nzd0226-0080,nzd0226-0081,nzd0226-0082,nzd0226-0083,nzd0226-0084,nzd0226-0085,nzd0226-0086,nzd0226-0087,nzd0226-0088,nzd0226-0089,nzd0226-0090,nzd0226-0091,nzd0226-0092,nzd0226-0093,nzd0226-0094,nzd0226-0095,nzd0226-0096,nzd0226-0097,nzd0226-0098,nzd0226-0099,nzd0226-0100,nzd0226-0101,nzd0226-0102,nzd0226-0103,nzd0226-0104,nzd0226-0105,nzd0226-0106,nzd0226-0107,nzd0226-0108,nzd0226-0109,nzd0226-0110,nzd0226-0111,nzd0226-0112,nzd0226-0113,nzd0226-0114,nzd0226-0115,nzd0226-0116,nzd0226-0117,nzd0226-0118,nzd0226-0119,nzd0226-0120,nzd0226-0121,nzd0226-0122,nzd0226-0123,nzd0226-0124,nzd0226-0125,nzd0226-0126,nzd0226-0127,nzd0226-0128,nzd0226-0129,nzd0226-0130,nzd0226-0131,nzd0226-0132,nzd0226-0133,nzd0226-0134,nzd0226-0135,nzd0226-0136,nzd0226-0137,nzd0226-0138,nzd0226-0139,nzd0226-0140,nzd0226-0141,nzd0226-0142,nzd0226-0143,nzd0226-0144,nzd0226-0145,nzd0226-0146,nzd0226-0147,nzd0226-0148,nzd0226-0149,nzd0226-0150,nzd0226-0151,nzd0226-0152,nzd0226-0153,nzd0226-0154,nzd0226-0155,nzd0226-0156,nzd0226-0157,nzd0226-0158,nzd0226-0159,nzd0226-0160,nzd0226-0161,nzd0226-0162,nzd0226-0163,nzd0226-0164,nzd0226-0166,nzd0226-0167,nzd0226-0168,nzd0226-0169,nzd0226-0170,nzd0226-0171,nzd0226-0172,nzd0226-0173,nzd0226-0174,nzd0226-0175,nzd0226-0176,nzd0226-0177,nzd0226-0178,nzd0226-0179,nzd0226-0180,nzd0226-0181,nzd0226-0182,nzd0226-0183,nzd0226-0184,nzd0226-0185,nzd0226-0186,nzd0226-0187,nzd0226-0188,nzd0226-0189,nzd0226-0190,nzd0226-0191,nzd0226-0192,nzd0226-0193,nzd0226-0194,nzd0226-0195,nzd0226-0196,nzd0226-0165
1999-08-12 21:52:44.265000,L7,,359.03,357.79,251.42,210.73,,,,,,,,,,,127.83,140.18,125.76,113.62,100.97,95.77,136.13,84.75,57.02,15.15,24.46,379.49,374.82,367.70,378.00,374.45,399.67,390.39,383.69,399.69,377.98,379.67,365.30,382.59,360.62,353.18,343.21,371.02,389.21,379.85,359.22,392.46,339.96,372.20,393.65,360.55,351.68,341.06,334.57,317.88,343.81,338.99,327.84,337.76,328.36,311.39,320.87,347.29,355.67,366.13,356.64,313.59,,,,,,,,,,334.26,320.51,344.73,370.18,358.29,364.85,354.99,352.52,316.22,319.63,337.75,327.09,331.76,334.86,332.53,337.28,340.14,335.11,333.24,337.35,338.11,337.38,,,,,335.53,329.17,324.00,327.97,329.68,357.20,363.91,339.67,382.96,379.19,369.93,337.75,368.70,337.28,361.51,358.78,353.21,377.97,357.95,371.59,333.03,363.49,336.50,342.81,360.65,328.47,314.63,324.88,331.17,325.58,334.11,331.35,341.28,338.46,342.27,325.03,323.58,332.45,332.16,335.91,327.75,333.45,332.26,336.29,334.28,327.52,319.44,327.27,317.61,325.14,316.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:52:52.243000,L7,361.31,245.01,227.27,215.61,206.24,191.52,185.83,177.21,171.53,157.75,370.06,370.92,364.86,366.30,365.68,367.52,362.52,358.28,353.12,359.20,358.44,356.25,353.12,366.22,361.19,361.73,364.34,368.49,362.04,375.57,366.78,368.11,372.70,365.07,367.62,374.00,365.60,366.29,359.58,357.02,355.13,363.31,371.55,371.96,375.93,372.25,383.47,380.33,374.97,367.26,365.60,366.37,360.38,359.57,357.83,369.08,350.47,356.45,388.86,351.79,356.24,357.07,362.81,369.56,356.39,363.03,357.01,365.94,359.54,361.16,369.19,391.31,375.64,361.21,389.23,366.76,370.84,373.29,346.36,358.90,356.71,361.05,356.28,352.13,355.51,347.59,359.74,359.25,366.72,375.94,377.31,395.20,370.69,367.19,383.07,363.58,374.70,366.09,377.36,367.62,370.80,370.11,374.82,361.27,360.28,377.59,353.09,360.44,367.80,366.82,365.60,380.97,369.17,376.23,370.33,371.45,364.67,375.04,370.32,375.16,368.60,367.21,356.06,356.37,361.68,358.78,369.24,357.19,361.88,362.97,360.69,381.50,393.92,361.30,365.18,360.66,381.71,362.31,364.85,361.73,366.59,363.88,367.44,368.51,363.49,363.74,383.04,374.04,369.70,364.13,374.22,399.03,371.44,367.39,363.18,370.54,367.64,373.31,377.44,368.32,365.44,370.46,372.53,368.22,369.27,339.33,365.81,370.27,361.24,359.62,362.24,350.78,351.72,347.17,350.28,346.45,362.74,350.61,357.13,362.39,357.07,366.83,348.47,360.59,353.25,348.38,344.56,343.90,349.10,357.86,359.69,354.40,367.68,364.16,364.30,379.70,
1999-10-15 21:52:49.322000,L7,391.25,235.79,220.95,206.41,7.42,372.58,367.78,370.17,370.04,381.95,386.74,373.62,378.94,386.87,387.23,384.85,364.39,364.59,354.33,364.04,374.59,362.34,363.14,376.79,378.14,380.65,369.08,367.90,361.33,366.37,366.79,363.27,371.98,374.94,383.20,374.43,383.87,392.41,385.57,364.67,362.95,373.79,367.45,370.17,380.02,373.13,378.21,374.48,366.91,382.54,365.24,373.20,393.53,359.93,358.45,359.32,368.99,353.58,361.46,362.06,362.90,369.05,366.41,377.70,374.03,377.57,370.37,370.65,363.43,354.01,361.15,364.36,369.38,381.34,389.70,384.49,372.68,362.89,376.09,362.39,360.87,371.88,370.97,379.03,352.74,355.32,361.32,372.59,386.40,408.67,379.68,383.89,385.18,374.72,376.89,382.73,381.45,400.34,377.77,369.13,373.33,372.34,380.54,378.16,392.11,361.39,372.49,365.11,374.26,372.25,366.58,372.18,362.72,375.52,361.01,367.08,374.87,381.99,401.17,375.91,384.27,373.70,369.34,369.68,378.64,374.58,350.55,358.49,356.53,366.01,371.06,373.81,370.74,371.15,367.78,366.72,367.62,387.47,362.59,373.49,367.06,366.83,374.81,367.26,380.27,360.56,367.55,370.97,379.35,370.87,379.42,385.53,378.11,371.94,374.64,381.09,377.66,381.83,376.69,362.80,359.51,364.21,364.64,367.00,372.56,371.85,381.32,399.33,383.01,372.90,365.55,361.73,358.17,354.91,354.44,353.21,352.52,366.13,366.37,396.87,,,,,,,,,,,,408.39,367.03,378.73,420.28,403.49,350.18
2000-02-04 21:52:37.377000,L7,363.54,245.75,225.82,213.46,201.86,188.37,186.72,179.52,169.34,161.80,381.48,379.85,379.23,385.89,393.58,401.94,405.47,401.78,383.82,363.03,364.25,362.07,369.34,373.86,373.89,397.17,386.33,,391.35,381.13,378.25,383.37,382.19,384.80,386.26,380.29,372.07,365.56,366.07,362.48,362.20,367.46,377.55,379.63,383.24,373.20,366.01,378.15,376.48,413.16,408.13,369.43,374.22,365.62,368.12,365.60,366.81,383.24,377.08,371.41,374.86,367.44,366.71,367.60,362.47,366.86,363.51,355.50,375.42,389.83,365.06,371.58,369.37,379.20,369.37,371.27,367.15,367.35,370.46,368.79,367.99,368.40,362.39,384.86,356.70,362.84,365.81,375.92,375.58,380.61,374.17,368.62,376.48,412.74,377.27,385.90,378.30,376.26,373.39,375.87,371.35,364.89,368.60,365.40,370.69,367.00,379.52,373.01,363.38,374.01,386.46,385.51,363.97,371.20,364.01,369.60,377.58,375.20,376.73,365.71,367.41,371.80,376.58,367.78,371.49,371.63,360.18,359.72,360.66,364.96,375.85,364.20,367.17,365.67,365.20,365.70,375.16,375.27,368.17,362.22,367.78,371.62,366.93,361.54,364.70,369.10,366.29,352.96,357.21,359.26,370.63,382.76,374.76,374.25,376.89,386.45,395.36,394.70,392.71,394.51,394.15,374.21,359.17,359.33,362.09,367.54,375.57,380.39,376.87,366.20,368.23,369.42,366.38,368.64,352.92,357.86,357.27,363.96,363.95,365.04,354.27,360.24,364.77,362.48,361.15,355.11,355.68,350.95,353.16,351.78,345.38,364.51,392.01,393.02,367.69,366.49,364.94
2000-02-20 21:52:29.720000,L7,357.57,248.97,232.04,218.56,208.49,195.31,192.59,191.67,177.75,170.55,370.61,373.33,368.97,371.51,371.10,380.41,374.78,377.80,370.98,359.99,356.41,365.93,365.61,373.66,365.98,363.93,382.68,381.18,371.21,383.58,381.29,379.67,370.95,364.88,374.14,368.39,361.44,371.70,364.11,370.07,358.11,366.15,374.29,370.01,380.08,368.61,371.58,362.94,365.03,366.50,368.22,377.25,373.54,364.96,368.60,364.37,370.00,359.54,367.35,360.11,369.23,368.71,380.93,376.74,357.58,359.98,356.48,359.46,355.38,365.06,359.86,359.51,359.25,362.92,366.76,359.53,365.55,353.64,352.46,356.25,355.55,356.18,354.45,360.87,356.31,363.92,360.29,361.14,362.84,367.00,377.56,382.30,384.20,378.05,379.55,389.27,394.39,386.99,397.05,387.36,379.09,379.34,367.45,365.52,369.62,365.94,402.27,393.97,370.98,371.14,366.30,377.80,379.14,378.27,364.72,361.52,360.36,373.07,377.63,379.57,377.81,364.84,371.04,361.74,374.69,373.45,368.36,372.38,358.90,354.78,355.33,357.84,367.09,368.57,374.07,363.78,367.28,366.39,368.86,366.09,362.73,368.18,366.27,369.72,364.81,361.75,359.72,363.80,362.17,363.11,366.69,375.18,380.54,375.35,372.31,380.44,380.47,382.94,383.30,369.11,396.65,372.68,366.77,365.72,368.14,358.89,373.96,365.52,366.27,362.69,369.43,358.54,362.13,356.17,345.95,344.31,344.30,360.69,351.89,352.55,346.01,352.07,356.10,350.65,351.41,353.49,372.07,353.57,356.74,340.84,346.71,352.31,364.28,382.95,382.89,370.96,361.49
2000-04-24 21:52:10.308000,L7,,80.58,47.68,0.67,313.19,312.28,340.25,388.71,341.63,336.31,384.09,326.19,348.40,345.50,147.22,341.32,331.88,319.64,342.86,102.58,324.06,328.44,327.54,329.72,372.04,345.51,367.50,376.80,321.44,311.55,340.49,314.69,328.05,335.21,342.40,332.46,,,292.34,334.25,309.62,322.41,322.30,331.15,333.11,,337.41,320.35,325.69,329.92,319.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.23,320.91,331.67,326.92,329.59,331.89,328.89,332.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.58,332.02,316.24,316.97,319.71,321.94,319.89,,312.66,334.89,350.72,337.34,328.55,327.66,319.69,318.98,317.83,311.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-26 21:51:48.668000,L7,344.73,82.80,49.31,6.65,333.45,332.81,286.50,313.34,230.96,212.39,202.66,202.99,199.61,193.60,161.36,177.84,171.49,154.33,130.38,112.74,125.20,158.36,146.38,390.44,404.42,359.26,353.17,354.59,360.86,321.06,306.79,348.66,359.47,350.50,392.61,398.39,376.33,346.94,343.40,354.57,360.09,387.80,363.07,361.60,352.47,361.10,400.16,390.96,338.54,,394.69,355.64,353.49,373.57,,,392.24,364.98,354.19,,,,,,,,,,,,377.53,352.33,387.39,344.78,,,,325.75,301.56,359.33,380.51,,,,,,,,,332.14,333.64,353.35,348.75,349.60,345.12,333.99,,,,,,,,,,,,,,342.71,342.00,349.65,379.31,328.03,347.89,357.07,341.18,367.44,346.87,347.46,331.81,346.58,340.97,338.65,332.02,344.75,347.25,347.18,369.72,336.80,333.59,336.64,352.84,345.62,320.02,,,,,,,,,356.56,373.82,342.85,335.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.53,397.91,391.84,398.10,367.62,,,319.10,369.84,380.14,304.06,,,335.26,350.86,327.89,
2000-08-14 21:50:56.232000,L7,404.87,385.91,392.73,390.09,381.21,382.31,374.19,391.50,401.66,388.30,383.17,391.38,397.11,389.71,386.56,380.47,374.78,372.90,375.33,377.76,370.91,377.13,371.45,371.80,373.37,372.18,378.52,376.35,377.56,375.47,375.51,377.03,377.65,370.73,367.98,369.90,366.87,364.47,373.56,365.03,364.76,375.04,386.95,379.98,376.66,378.79,371.36,379.19,387.72,372.86,372.41,372.99,374.55,380.12,371.58,371.70,383.27,366.24,374.31,361.50,367.79,368.19,372.92,375.35,377.05,376.62,384.82,376.24,376.35,384.90,393.98,394.77,388.25,383.06,380.97,381.37,369.91,359.12,363.93,374.27,366.15,373.13,358.44,368.47,358.13,369.05,367.78,377.92,374.16,377.56,376.08,369.74,375.56,380.36,384.12,383.80,383.42,408.62,430.83,396.18,385.18,378.59,377.11,366.16,373.03,363.38,376.89,374.21,379.59,383.20,381.26,378.15,406.90,381.26,369.35,377.53,370.78,375.03,381.65,370.99,369.85,380.49,365.12,373.34,366.87,369.36,365.92,363.31,369.42,368.24,378.96,392.43,388.79,373.28,377.06,383.41,383.54,391.02,391.26,393.14,382.35,381.75,395.88,386.15,413.27,387.53,389.54,375.81,384.66,372.20,385.38,385.46,383.71,384.26,392.90,395.95,400.96,385.78,388.91,393.81,389.35,366.62,390.52,381.31,383.11,386.08,377.08,383.58,386.70,373.41,371.56,365.10,368.47,372.00,387.43,372.55,364.82,367.24,356.83,365.83,374.44,375.21,376.05,366.99,374.28,363.76,373.96,371.31,393.82,373.69,370.51,362.45,367.06,368.02,398.04,387.03,372.54
2000-09-15 21:50:25.712000,L7,382.32,252.68,226.78,369.51,384.10,365.04,370.12,349.37,359.72,353.65,353.41,349.58,354.44,359.44,352.81,352.16,376.64,361.77,360.15,342.94,350.18,360.08,353.13,344.98,351.43,346.78,360.02,365.48,363.70,372.63,,,,,,,403.77,360.02,363.67,366.47,357.15,366.19,369.33,400.32,389.21,414.05,379.51,375.84,384.13,370.83,364.66,361.21,360.49,359.59,355.11,363.57,367.06,363.36,360.22,357.39,364.46,366.12,373.28,366.78,373.14,383.27,357.58,356.63,363.55,374.30,372.27,381.93,384.28,375.19,371.12,365.85,358.06,360.91,351.99,365.57,355.88,357.00,356.60,350.93,355.10,385.68,370.76,365.88,367.57,364.55,366.05,367.79,374.13,370.04,377.89,368.12,374.58,368.93,378.78,376.74,433.17,428.52,381.73,372.22,363.92,389.03,361.60,372.63,437.11,361.87,361.02,369.24,361.23,377.72,370.47,387.60,362.25,383.92,365.18,371.50,368.45,381.13,355.81,382.60,352.86,360.24,359.74,353.38,370.71,379.63,365.38,370.82,370.68,371.56,383.27,374.73,370.99,365.01,365.95,352.61,361.16,351.74,364.82,357.68,372.07,388.42,377.17,374.74,387.60,378.26,391.07,376.92,386.77,387.48,383.66,384.74,371.55,373.63,380.93,380.30,386.79,378.93,374.73,375.36,381.47,377.35,375.76,361.23,349.93,363.34,369.40,367.77,359.16,366.39,354.94,350.79,376.22,373.12,362.13,362.19,372.79,366.24,370.33,370.33,356.68,354.68,357.52,361.29,348.89,357.95,348.43,353.05,357.10,363.64,366.58,371.98,376.95
2000-10-17 21:50:01.277000,L7,353.68,100.95,73.60,31.82,358.65,364.09,371.15,186.29,172.52,368.86,362.19,366.83,362.35,371.49,380.48,375.90,373.83,369.94,369.76,372.53,364.41,359.35,351.64,360.49,367.91,365.87,369.23,362.03,363.29,375.23,365.76,368.72,366.54,373.94,385.27,370.05,366.43,356.16,356.65,361.30,358.20,356.52,365.23,383.80,365.08,374.20,385.35,364.94,365.21,366.35,371.76,362.55,359.35,366.72,358.13,365.13,364.57,361.36,358.20,360.14,389.22,381.50,378.89,377.05,380.75,404.99,426.76,427.87,409.16,373.25,368.12,378.32,372.47,391.79,408.98,402.51,379.55,362.94,393.27,398.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.82,387.44,372.11,372.10,376.88,393.71,382.27,388.08,383.38,386.15,374.42,386.33,372.11,372.10,367.36,365.77,374.03,348.37,354.75,346.30,358.87,362.74,357.78,363.76,359.73,369.41,371.46,371.36,356.46,371.73,370.28,365.61,361.50,365.80,357.81,356.46,349.05,358.16,366.10,369.00,358.02,360.39,364.72,370.39,372.62,361.80,372.83,385.55,368.55,367.29,369.18,366.78,362.89,371.73,374.50,374.57,368.66,366.70,375.48,351.15,357.04,361.87,349.22,348.75,344.66,355.89,349.78,352.30,348.65,349.64,354.23,347.37,368.52,357.81,355.25,349.91,345.62,349.28,350.24,349.22,344.94,352.72,345.53,349.50,356.25,357.76,353.28,372.20
