dates,nzd0231-0000,nzd0231-0001,nzd0231-0002,nzd0231-0003,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0041,nzd0231-0042,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,nzd0231-0101,nzd0231-0102,nzd0231-0103,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0104,nzd0231-0105
1999-09-29 21:52:52+00:00,363.57,364.85,339.17,347.6,357.38,359.17,359.08,362.86,362.61,361.1,370.97,380.26,378.0,373.18,368.93,364.21,369.14,370.61,363.16,371.66,365.42,365.15,368.29,364.81,362.4,363.17,356.14,357.57,351.89,352.03,357.58,358.9,370.53,368.53,368.24,357.07,361.21,372.42,365.4,367.37,367.4,384.57,373.07,363.23,362.3,363.93,366.62,364.54,369.85,359.74,370.17,369.28,369.45,369.35,379.48,386.33,378.46,375.79,,353.89,356.22,359.44,350.36,355.28,349.16,349.25,359.08,350.32,350.17,349.08,355.16,341.53,352.6,346.24,348.44,347.75,360.42,353.44,360.01,363.43,366.7,359.9,361.44,359.2,349.75,348.99,335.44,341.29,341.14,338.11,325.07,324.81,310.84,304.93,359.87,351.0,366.1,365.98,360.88,373.13,366.54,,,372.14,316.48,307.31
1999-10-15 21:52:49+00:00,359.24,359.49,343.3,346.59000000000003,354.185,356.125,359.475,362.475,363.125,370.88,370.51,380.26,369.4,370.565,362.25,365.755,368.355,369.94,362.6,368.06,362.995,362.375,363.645,360.81,362.21,362.135,357.72,354.855,353.2,351.5,357.23,356.74,365.985,361.995,363.885,356.91499999999996,361.21,372.345,368.95,365.75,367.69,376.03999999999996,370.76,365.495,364.40999999999997,363.93,366.62,365.08000000000004,370.51,359.03,370.29,369.28,369.64,369.35,376.20500000000004,380.77,375.505,373.63,,358.565,357.69000000000005,358.81,350.90999999999997,354.965,350.83000000000004,350.865,357.865,348.93,348.125,344.105,348.995,338.505,349.09000000000003,342.355,346.08000000000004,346.515,352.58000000000004,350.7,357.375,362.05,362.28499999999997,361.745,362.125,359.385,349.95500000000004,349.755,341.61,343.51,340.67499999999995,335.905,326.75,323.45,311.04999999999995,305.595,356.765,353.3,363.26,364.61,361.39,371.63,365.57500000000005,365.78,361.44,367.895,319.145,319.155
2000-08-14 21:50:56+00:00,363.06,367.93,368.14,,374.44,376.08,,,384.87,,,,,372.76,,375.5,,,,,,376.16,,,376.2,382.41,,,,,,,,,,,,,,,371.02,,,,,,371.2,,,,,,377.34,,,,,,,376.51,,,,,,,,,352.82,,,,,,,,,,,,,,,361.05,,,,354.78,,,,,,,,,,,,,,,,,338.52,341.08
2000-09-15 21:50:25+00:00,353.935,360.78499999999997,362.625,355.89,366.70500000000004,372.015,367.4,369.36,376.815,364.82,368.14,368.17,363.92,372.16499999999996,361.5,372.35,369.15,366.7,364.34,,361.35,371.495,369.1,371.17,372.28,382.41,370.17,365.82,368.82,363.97,368.17,366.54,372.85,372.51,,362.59,358.34,,358.3,365.34,367.74,378.26,,372.25,360.77,361.6,371.2,,361.6,,372.39,367.39,377.34,367.36,,371.4,379.43,383.41,,372.15999999999997,,357.89,350.66,356.9,350.54,351.42,344.17,341.71,346.72,,340.85,347.53,350.08,350.18,351.09,349.97,359.82,359.14,,360.75,359.72,348.59,345.18,352.25,350.64,348.11,346.29,349.41499999999996,338.28,339.46,338.72,335.44,322.08,326.74,,352.06,351.82,346.75,353.71,,,,356.14,356.47,328.91999999999996,326.86
2000-10-17 21:50:01+00:00,356.6366666666667,360.78499999999997,358.32666666666665,352.745,360.6333333333334,366.26,365.71,366.64,375.9533333333334,367.87,368.14,368.17,363.92,367.8,358.28999999999996,366.3866666666666,361.67999999999995,361.055,360.865,357.7,356.935,365.93666666666667,359.79,366.17,369.92,376.75,370.55,367.485,370.84000000000003,367.54,368.17,362.82000000000005,363.925,363.125,361.22,364.25,358.65999999999997,356.82,349.225,359.68499999999995,364.48,373.635,369.5,371.97,365.455,362.3,368.81,361.36,363.38,369.36,369.82,368.435,370.595,364.3,366.04,367.015,379.56,379.93,,371.7133333333333,373.45,366.565,350.66,363.345,350.54,351.42,344.17,341.71,348.06666666666666,349.71,344.48,351.38,356.605,350.18,354.565,349.97,361.87,359.14,,360.75,359.72,348.59,345.18,352.25,350.64,348.11,346.29,346.60999999999996,339.09,342.725,336.95500000000004,335.81,323.06,332.795,361.47,351.06,355.7,353.015,358.005,358.43,354.12,354.46,351.895,347.58500000000004,335.44,326.86
2000-12-04 21:50:10+00:00,354.49,368.5366666666667,361.9125,358.6033333333333,360.6333333333334,366.26,365.71,366.64,375.9533333333334,367.87,368.14,368.17,363.92,367.8,358.28999999999996,366.3866666666666,361.67999999999995,361.055,360.865,357.7,356.935,365.93666666666667,359.79,366.17,369.92,376.75,370.55,367.485,370.84000000000003,367.54,368.17,362.82000000000005,363.925,363.125,361.22,364.25,358.65999999999997,356.82,349.225,359.68499999999995,364.48,373.635,369.5,371.97,365.455,362.3,368.81,361.36,363.38,369.36,369.82,368.435,370.595,364.3,366.04,367.015,379.56,379.93,,371.7133333333333,373.45,366.565,350.66,363.345,350.54,351.42,344.17,341.71,348.06666666666666,349.71,344.48,351.38,356.605,350.18,354.565,349.97,361.87,359.14,,360.75,359.72,348.59,345.18,352.25,350.64,348.11,346.29,346.60999999999996,339.09,342.725,336.95500000000004,335.81,323.06,336.18333333333334,361.47,351.06,355.7,353.015,358.005,358.43,354.12,354.46,351.895,347.58500000000004,340.2,326.86
2001-03-10 21:50:10+00:00,351.6333333333334,368.84000000000003,359.83666666666676,358.6033333333333,353.73,361.35,365.71,366.64,371.49500000000006,367.87,368.14,368.17,363.92,365.32000000000005,358.28999999999996,361.8299999999999,361.67999999999995,361.055,360.865,357.7,356.935,360.82499999999993,359.79,366.17,366.78,371.09,370.55,367.485,370.84000000000003,367.54,368.17,362.82000000000005,363.925,363.125,361.22,364.25,358.65999999999997,356.82,349.225,359.68499999999995,361.21000000000004,373.635,369.5,371.97,365.455,362.3,366.42,361.36,363.38,369.36,369.82,368.435,363.85,364.3,366.04,367.015,379.56,379.93,,369.31499999999994,373.45,366.565,350.66,363.345,350.54,351.42,344.17,341.71,345.69000000000005,349.71,344.48,351.38,356.605,350.18,354.565,349.97,361.87,356.29999999999995,,360.75,359.72,348.59,345.18,343.45,352.53,348.11,346.29,342.525,343.6466666666667,344.7733333333333,341.1266666666667,335.81,328.67,335.765,361.47,351.06,355.7,353.015,358.005,358.43,354.12,354.46,351.895,347.58500000000004,340.76,312.64
2001-06-30 21:49:12+00:00,330.39,337.71,,,310.09,345.22,,311.44,344.73,312.66,315.87,317.18,314.03,316.85,303.08,312.35,307.14,319.93,331.05,323.32,316.46,314.82,322.23,305.4,318.5,314.02,386.98,389.77,357.84,311.85,319.29,314.89,317.65,316.8,315.3,302.98,306.12,306.62,300.42,295.19,297.94,344.67,362.3,298.64,299.19,,301.25,305.87,367.1,344.71,307.94,309.66,306.86,306.86,309.43,372.84,368.5,,305.33,307.21,308.78,301.98,300.32,,302.87,302.88,328.43,294.7,296.67,286.61,292.48,298.22,300.13,293.66,,295.96,298.08,327.96,301.33,300.79,,,300.69,,325.74,293.7,,297.55,323.85,348.87,320.495,304.94,310.69,315.595,301.9,300.69,303.49,302.19,299.76,,,309.49,304.28,298.61,293.1,
2001-09-18 21:48:17+00:00,349.53,353.515,363.84,364.21,310.09,353.98,370.11,311.44,344.73,312.66,315.87,317.18,314.03,316.85,303.08,312.35,307.14,319.93,331.05,323.32,316.46,314.82,322.23,305.4,318.5,314.02,386.98,389.77,357.84,311.85,319.29,314.89,317.65,316.8,315.3,302.98,306.12,306.62,300.42,295.19,297.94,344.67,362.3,298.64,299.19,,301.25,305.87,367.1,344.71,307.94,309.66,306.86,306.86,309.43,372.84,368.5,,305.33,307.21,308.78,301.98,300.32,,302.87,302.88,328.43,294.7,296.67,286.61,292.48,298.22,300.13,293.66,,295.96,298.08,302.46,301.33,300.79,373.08,366.28,300.69,358.35,297.06,293.7,353.18,297.55,294.94,337.87,308.21,312.265,298.47,313.685,301.9,300.69,303.49,302.19,299.76,,,309.49,304.28,298.61,307.08500000000004,317.84
2001-10-20 21:48:09+00:00,349.53,353.515,363.84,364.21,310.09,353.98,370.11,311.44,344.73,312.66,315.87,317.18,314.03,316.85,303.08,312.35,307.14,319.93,331.05,323.32,316.46,314.82,322.23,305.4,318.5,314.02,386.98,389.77,357.84,311.85,319.29,314.89,317.65,316.8,315.3,302.98,306.12,306.62,300.42,295.19,297.94,344.67,362.3,298.64,299.19,,301.25,305.87,367.1,344.71,307.94,309.66,306.86,306.86,309.43,372.84,368.5,,305.33,307.21,308.78,301.98,300.32,,302.87,302.88,328.43,294.7,296.67,286.61,292.48,298.22,300.13,293.66,,295.96,298.08,302.46,301.33,300.79,373.08,366.28,300.69,358.35,297.06,293.7,353.18,297.55,294.94,337.87,308.21,312.265,298.47,320.5833333333333,301.9,300.69,303.49,302.19,299.76,,,309.49,304.28,298.61,307.08500000000004,317.84
