dates,satname,nzd0231-0000,nzd0231-0001,nzd0231-0002,nzd0231-0003,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0041,nzd0231-0042,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,nzd0231-0101,nzd0231-0102,nzd0231-0103,nzd0231-0104,nzd0231-0105
2000-12-04 21:50:10.162000,L7,269.73,327.56,327.76,323.35,335.21,279.66,278.73,334.54,338.59,316.43,345.17,334.04,353.90,345.10,360.43,366.11,353.35,363.69,365.58,352.73,348.09,344.38,314.76,301.06,305.61,309.65,326.24,344.67,317.69,311.55,351.05,313.72,313.38,309.13,312.63,316.02,331.31,301.48,315.49,318.47,348.86,336.43,291.31,291.59,288.45,293.32,319.48,334.54,293.78,286.28,341.22,317.30,357.52,348.72,332.79,356.99,346.56,359.66,347.59,347.17,333.24,329.21,324.70,306.63,302.82,298.89,290.59,298.75,292.59,303.06,297.62,296.63,284.75,283.24,284.95,287.93,279.12,287.02,282.95,320.12,321.37,334.35,338.92,282.53,289.93,325.07,327.89,335.23,286.36,330.55,327.72,309.39,300.08,299.21,308.47,318.92,305.52,304.13,294.44,288.85,287.60,275.96,281.05,276.03,283.78,243.51
2000-12-20 21:50:16.996000,L7,282.29,317.42,301.65,334.85,307.83,339.69,362.91,379.14,367.37,354.40,316.41,350.20,358.67,331.19,,290.91,304.91,319.90,309.56,305.91,322.50,,,,,,,,,,,,,,,,,,,372.37,332.71,332.88,316.56,302.76,336.04,374.14,357.62,352.70,400.60,399.35,289.88,302.41,297.71,309.85,315.41,316.53,317.04,299.55,340.51,366.37,325.07,360.55,346.63,369.92,368.21,337.73,306.30,344.47,355.47,359.51,355.42,351.85,334.99,337.68,295.14,345.78,339.61,330.14,313.41,299.29,314.43,316.11,327.18,321.57,301.16,305.22,314.40,308.34,310.41,312.41,307.86,308.76,295.94,293.14,293.54,297.82,302.21,295.86,293.79,286.43,279.26,273.84,273.21,269.00,282.02,243.18
2001-01-05 21:50:16.585000,L7,351.59,332.63,326.91,319.82,338.88,282.03,347.62,345.93,342.22,352.77,342.85,344.83,346.23,352.93,328.66,361.73,401.12,380.72,371.01,373.02,367.98,341.55,362.04,352.08,303.02,316.66,362.29,358.72,358.03,303.93,303.69,303.94,348.43,348.96,321.23,334.15,292.60,289.42,289.90,294.12,291.98,365.39,364.90,374.53,347.35,312.77,318.64,305.81,325.79,291.38,284.02,297.08,289.44,296.69,294.30,298.89,363.11,359.15,293.50,292.61,303.28,303.57,306.39,309.68,302.57,302.80,300.15,299.82,297.18,301.63,295.31,292.33,290.01,320.77,333.72,317.27,305.13,284.98,302.41,279.30,321.71,322.90,332.95,323.77,327.28,329.81,316.25,320.43,317.97,319.23,320.67,324.91,301.99,307.29,329.88,311.97,301.76,300.82,294.64,287.14,285.07,284.96,290.14,297.95,293.28,236.02
2001-03-10 21:50:10.732000,L7,321.67,332.83,334.02,328.55,326.19,290.97,288.58,312.42,302.74,311.47,312.15,334.30,339.90,365.04,335.78,347.31,298.49,305.06,313.65,309.98,308.99,311.36,307.39,305.44,306.43,304.76,304.85,302.37,306.50,305.20,304.99,305.86,318.54,338.60,303.94,304.27,315.79,291.38,294.05,290.99,296.55,306.63,307.77,336.98,325.63,296.84,301.23,306.88,301.27,293.60,287.25,302.11,337.80,348.06,357.84,347.02,328.16,340.62,319.22,331.12,330.87,324.81,329.91,322.37,321.12,326.85,331.78,300.80,293.13,297.87,326.73,326.17,327.78,300.89,294.64,300.45,294.22,289.82,289.53,292.24,289.82,287.70,287.24,300.16,298.87,299.53,303.39,298.20,305.43,308.45,300.53,311.46,336.68,316.03,301.63,306.88,312.85,302.15,304.12,297.96,293.98,287.52,287.81,278.85,273.15,
2001-03-26 21:50:01.268000,L7,,,,,,,265.51,285.50,286.66,294.32,292.08,290.18,283.53,292.60,286.24,284.71,285.42,287.39,289.35,294.39,291.65,289.22,287.24,291.34,292.39,291.69,287.31,282.56,283.89,286.57,284.94,288.49,294.48,292.02,288.05,285.89,280.42,275.72,277.37,,,285.11,280.23,279.90,284.86,282.87,280.45,,,,,,287.98,295.99,293.61,290.45,291.37,372.95,407.34,315.71,,,,351.94,342.68,349.18,353.60,356.73,354.83,347.02,333.28,358.18,346.37,328.67,311.27,311.98,316.74,,300.95,314.27,319.85,317.15,321.80,323.86,315.69,,,326.05,343.00,306.37,324.78,291.60,337.20,338.72,320.66,319.30,324.77,324.90,322.02,331.04,322.02,326.07,317.07,315.18,307.10,250.48
2001-06-30 21:49:12.248000,L7,329.24,340.33,315.39,307.81,309.89,349.14,304.98,313.53,322.52,313.99,312.43,318.49,316.06,315.04,304.43,313.73,308.17,320.82,328.31,322.17,316.71,316.53,318.96,306.73,316.85,369.13,387.93,390.76,377.72,313.09,319.49,312.05,319.02,317.78,315.33,304.09,374.26,340.18,368.41,300.81,299.33,306.12,303.85,307.41,303.80,310.17,304.25,299.26,299.64,294.01,328.41,346.92,360.58,299.03,298.26,300.47,306.57,302.47,361.70,303.35,305.02,310.11,307.81,306.53,306.73,369.15,311.07,311.04,305.70,305.40,309.50,303.56,301.89,293.22,300.84,304.54,321.50,293.15,291.14,285.13,294.28,298.91,302.78,290.86,293.10,296.72,294.73,301.82,300.08,299.03,303.38,304.55,301.41,293.57,298.10,293.01,293.69,296.10,293.77,287.64,289.38,300.58,290.02,292.50,297.41,257.24
2001-09-18 21:48:17.356000,L7,369.01,369.05,363.40,364.61,364.57,362.51,372.58,383.05,395.94,396.67,,,399.13,387.60,388.74,380.46,375.23,362.88,364.95,398.45,384.18,394.61,396.94,384.13,391.32,402.95,396.81,410.74,,,,,,,,,,,,,,,395.39,386.29,387.94,396.24,381.84,387.57,382.25,392.42,397.16,379.25,380.15,394.44,385.49,386.76,383.88,397.25,387.51,405.48,385.68,406.27,385.10,375.63,391.90,392.11,391.60,394.91,388.43,394.22,389.23,361.07,380.73,375.73,358.43,358.60,343.44,351.88,339.77,347.45,363.89,371.99,364.38,,357.03,362.35,370.77,365.03,364.22,364.44,366.67,358.43,364.40,355.49,356.84,350.48,349.79,346.84,340.22,333.45,319.68,309.89,314.57,327.66,320.88,297.11
2001-10-20 21:48:09.707000,L7,,,312.45,322.72,289.33,304.14,304.94,314.93,350.50,368.38,309.03,370.20,311.28,320.29,353.39,362.88,315.56,327.69,313.55,329.23,337.98,339.54,346.39,342.80,343.90,365.29,311.95,317.46,324.42,315.95,330.11,357.63,328.23,310.97,329.62,320.66,302.67,353.34,383.35,305.02,308.18,350.69,318.13,303.51,344.43,337.87,298.62,298.71,299.37,298.70,291.99,324.03,316.93,301.82,298.72,298.92,300.49,359.33,317.12,314.26,344.89,302.88,335.07,346.13,365.68,338.90,347.67,330.89,366.04,350.26,326.07,318.03,291.65,286.03,291.15,287.76,293.48,283.47,291.18,300.23,304.79,290.57,309.19,322.76,305.83,310.66,308.52,304.76,312.92,303.97,306.11,299.85,304.64,304.05,298.12,292.62,297.77,296.03,292.72,277.82,274.48,278.95,258.69,243.93,,
2002-01-24 21:48:42.967000,L7,329.80,308.66,346.39,302.23,289.54,282.54,286.97,300.63,299.37,309.65,312.40,305.51,309.15,309.71,300.59,298.83,294.31,303.21,302.86,307.72,304.21,301.06,308.45,304.17,311.69,308.90,305.24,305.30,308.05,304.31,304.17,304.47,304.12,303.45,301.91,301.74,299.21,292.45,293.63,294.32,295.33,296.69,296.23,294.06,294.75,295.38,293.09,298.39,299.15,294.42,288.89,305.22,298.96,298.74,300.05,302.61,298.68,297.69,295.48,296.21,298.38,300.42,303.37,301.97,305.55,306.44,301.54,308.96,301.66,299.40,299.73,296.31,291.76,288.64,283.88,280.35,279.25,281.39,279.59,286.74,284.44,281.03,278.31,286.47,287.65,293.13,292.15,293.58,296.30,293.70,293.78,297.30,290.88,291.11,295.27,290.12,285.83,283.98,279.87,281.88,272.57,283.13,284.18,287.84,303.48,
2002-02-09 21:48:45.674000,L7,315.37,324.98,264.43,277.72,280.24,280.93,286.69,301.11,303.53,310.46,307.47,303.34,310.71,307.25,301.11,299.38,294.33,303.91,307.51,309.23,305.24,312.42,309.66,304.91,313.87,308.60,305.01,307.40,307.00,304.63,304.67,309.47,309.25,308.60,302.52,300.58,299.61,291.04,297.39,293.82,294.12,296.81,295.81,293.25,297.19,293.86,293.17,291.42,289.61,291.68,283.43,357.30,362.55,359.91,361.90,364.32,384.84,357.02,292.32,292.56,296.84,298.42,299.77,301.63,299.92,304.97,297.95,297.52,298.69,296.63,295.29,291.80,290.04,286.04,288.72,289.90,285.39,281.43,289.75,286.88,284.52,291.80,281.42,282.04,286.19,291.55,296.75,297.66,293.10,296.51,289.53,292.86,285.04,287.53,288.23,290.24,282.71,282.81,280.29,281.96,266.39,266.74,275.25,270.84,307.82,
