dates,nzd0462-0000,nzd0462-0001,nzd0462-0002,nzd0462-0003,nzd0462-0004,nzd0462-0005,nzd0462-0006,nzd0462-0007,nzd0462-0008,nzd0462-0009,nzd0462-0010,nzd0462-0035,nzd0462-0036,nzd0462-0037,nzd0462-0038,nzd0462-0039,nzd0462-0040,nzd0462-0041,nzd0462-0042,nzd0462-0043,nzd0462-0044,nzd0462-0045,nzd0462-0046,nzd0462-0047,nzd0462-0048,nzd0462-0049,nzd0462-0050,nzd0462-0051,nzd0462-0052,nzd0462-0028,nzd0462-0029,nzd0462-0030,nzd0462-0031,nzd0462-0032,nzd0462-0033,nzd0462-0034,nzd0462-0053,nzd0462-0054,nzd0462-0055,nzd0462-0056,nzd0462-0057,nzd0462-0058,nzd0462-0059,nzd0462-0060,nzd0462-0061,nzd0462-0062,nzd0462-0063,nzd0462-0064,nzd0462-0065,nzd0462-0066,nzd0462-0067,nzd0462-0068,nzd0462-0069,nzd0462-0070,nzd0462-0071,nzd0462-0072,nzd0462-0073,nzd0462-0074,nzd0462-0075,nzd0462-0076,nzd0462-0077,nzd0462-0078,nzd0462-0079,nzd0462-0080,nzd0462-0081,nzd0462-0082,nzd0462-0083,nzd0462-0084,nzd0462-0085,nzd0462-0086,nzd0462-0087,nzd0462-0088,nzd0462-0089,nzd0462-0090,nzd0462-0091,nzd0462-0092,nzd0462-0093,nzd0462-0094,nzd0462-0095,nzd0462-0096,nzd0462-0011,nzd0462-0012,nzd0462-0019,nzd0462-0020,nzd0462-0021,nzd0462-0022,nzd0462-0023,nzd0462-0024,nzd0462-0025,nzd0462-0026,nzd0462-0027,nzd0462-0013,nzd0462-0014,nzd0462-0015,nzd0462-0016,nzd0462-0017,nzd0462-0018,satname
2002-12-24 22:02:33+00:00,,,,,,,,,,,,,,,331.59,347.26,,351.51,,318.04,311.34,307.25,315.35,283.77,312.52,283.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.08,325.3,320.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.86,,,,,,,,L7
2003-08-29 21:51:26+00:00,,,,,,,,,,,,327.88,336.03,331.47,317.44,329.84,,,,,,,,,,283.09,,326.25,,315.8,308.43,311.37,316.03,324.71,324.16,327.43,,338.6,,340.89,,350.48,353.61,351.52,357.7,346.33,352.7,343.07,330.82,332.96,344.35,337.65,339.25,,,350.61,360.27,,370.85,,346.39,355.24,325.62,,,,,,,,,,,,332.97,345.27,342.89,344.95,347.7,286.42,,,,,,,,,274.7,307.77,309.61,,,,,,,L5
2003-11-17 21:52:33+00:00,,,,,,,,,,,,325.88,336.03,338.47,320.135,329.27,,,,,,,,317.63,,284.015,,319.03999999999996,,315.8,308.43,311.37,316.03,314.14,319.57000000000005,325.38,,338.6,,340.89,347.46,350.48,353.61,355.44,352.625,343.685,349.74,344.23,332.39,333.455,345.52,337.65,339.25,,,350.61,360.27,,370.85,354.71,346.055,355.24,325.62,,,,,,,,,,,,332.97,345.27,342.89,344.95,347.7,299.44,,,,,,,,,274.7,307.77,309.61,,,,,,,L5
2004-02-05 21:53:05+00:00,,,,,,,,,,,,323.2866666666667,332.25,333.32,314.9066666666667,330.36999999999995,,339.63,,,,,,317.63,,284.43333333333334,,315.09,317.39,315.8,308.43,311.37,316.03,314.14,313.8566666666667,321.1133333333333,329.23,337.14,335.5,339.495,344.16999999999996,350.5,350.985,353.31,349.7366666666667,347.08,349.1366666666666,338.19666666666666,324.1933333333333,328.8666666666666,337.92333333333335,331.115,332.4,344.84,341.39,351.6,357.49,363.18,363.84000000000003,354.71,346.055,355.24,325.62,,,,,,,,,,,,332.97,345.27,342.89,344.95,347.7,299.44,,,,,,,,,274.7,307.77,309.61,,,,,,,L5
2004-07-30 21:56:51+00:00,,,,,,,316.43,,,,,318.1,328.47,323.02,304.45,332.57,,339.63,,,,,,,,286.03999999999996,,307.19,317.39,,,,,,302.43,312.58,329.23,335.68,335.5,338.1,340.88,354.17999999999995,348.36,349.05,343.96,353.87,347.93,326.13,307.8,319.69,322.73,324.58,325.55,344.84,341.39,352.59,354.71,363.18,356.83,371.11,370.89,,,,,,,,,,,,,,,,,,,,,,,,319.2,327.22,312.12,304.15,305.41,316.95,,,,,,310.31,334.54,L5
2004-08-15 21:57:13+00:00,,,,,,,316.43,,,,,,,341.92,324.23,339.41,,,,,,,,,,276.495,,314.76,,,,,,,309.55,335.32,,,,,336.6,357.84,349.88,,,355.0,,345.85,336.43,,336.09,,,,352.5,360.7,,,373.11,360.79,362.65999999999997,,,,,,,,,,,,,,,,,,,,,,319.58,274.95,312.68,327.22,312.12,304.15,305.41,316.95,,,,,,310.31,326.93,L5
2004-10-18 21:58:47+00:00,,,,,,,316.43,,,,,,,341.92,324.895,336.11,344.65,352.73,,,,,,,,285.8866666666667,272.13,326.49,351.88,,,,,,320.45500000000004,340.225,,,347.01,352.59,343.51,357.76,355.515,358.01,361.98,355.0,,353.025,336.43,,336.09,,,,351.485,358.81,361.22,,371.71000000000004,359.3633333333334,358.75333333333333,,,,,,,,,,,,,,,,,,,362.8,,,319.58,300.96000000000004,317.20666666666665,326.775,311.75,298.15999999999997,305.41,316.95,,,,,,310.31,329.4266666666667,L5
2005-03-11 22:01:07+00:00,,,,,,,,,,,,,,,332.08000000000004,332.81,344.65,352.73,,,,,,,,304.58000000000004,276.33500000000004,339.66,351.88,338.89,330.13,332.85,335.88,,337.20000000000005,345.13,,,354.71500000000003,359.53499999999997,359.73,363.96500000000003,361.15,358.01,361.98,,,360.51,,,,,,,350.47,356.92,361.22,,370.31,358.645,354.375,,,,,,,,,,,,,,,,,,,362.8,,,,327.6,327.81,329.995,320.705,306.405,309.58,317.99,324.3,,,,,,334.44500000000005,L5
2005-07-01 22:01:50+00:00,,,,,,,,,,,,339.52,328.44,328.25,337.29,350.07,,,,,,,,,,288.105,280.54,341.1,,338.89,330.13,332.85,335.88,,329.07500000000005,336.64,,,362.42,366.48,369.04,366.19,359.29,362.16,,359.58,362.62,355.49,349.3,347.51,345.84,,,,,367.63,,,,360.54999999999995,357.81,,,,,,,,,,,,,344.86,352.76,,,,,365.95,,,318.72,329.83000000000004,320.75,329.935,330.03,320.64,309.58,317.99,324.3,,,,,307.27,334.47,L5
2005-10-05 22:02:17+00:00,,,,,,,,,,,,338.725,333.91499999999996,334.315,331.23,344.615,,,,,,,,,,283.0,,,,,333.27,,,322.49,317.005,334.095,,,,,,362.13,359.29,362.16,,360.54999999999995,362.62,352.81500000000005,350.28,348.21500000000003,346.19,,,,,367.63,,,,356.83500000000004,351.88,,,,,,,,,,,,,344.86,352.76,,,,,365.95,,,318.72,327.53,317.66499999999996,326.615,,,,,,,,,,307.27,324.74,L5
