dates,satname,nzd0462-0000,nzd0462-0001,nzd0462-0002,nzd0462-0003,nzd0462-0004,nzd0462-0005,nzd0462-0006,nzd0462-0007,nzd0462-0008,nzd0462-0009,nzd0462-0010,nzd0462-0035,nzd0462-0036,nzd0462-0037,nzd0462-0038,nzd0462-0039,nzd0462-0040,nzd0462-0041,nzd0462-0042,nzd0462-0043,nzd0462-0044,nzd0462-0045,nzd0462-0046,nzd0462-0047,nzd0462-0048,nzd0462-0049,nzd0462-0050,nzd0462-0051,nzd0462-0052,nzd0462-0028,nzd0462-0029,nzd0462-0030,nzd0462-0031,nzd0462-0032,nzd0462-0033,nzd0462-0034,nzd0462-0053,nzd0462-0054,nzd0462-0055,nzd0462-0056,nzd0462-0057,nzd0462-0058,nzd0462-0059,nzd0462-0060,nzd0462-0061,nzd0462-0062,nzd0462-0063,nzd0462-0064,nzd0462-0065,nzd0462-0066,nzd0462-0067,nzd0462-0068,nzd0462-0069,nzd0462-0070,nzd0462-0071,nzd0462-0072,nzd0462-0073,nzd0462-0074,nzd0462-0075,nzd0462-0076,nzd0462-0077,nzd0462-0078,nzd0462-0079,nzd0462-0080,nzd0462-0081,nzd0462-0082,nzd0462-0083,nzd0462-0084,nzd0462-0085,nzd0462-0086,nzd0462-0087,nzd0462-0088,nzd0462-0089,nzd0462-0090,nzd0462-0091,nzd0462-0092,nzd0462-0093,nzd0462-0094,nzd0462-0095,nzd0462-0096,nzd0462-0011,nzd0462-0012,nzd0462-0019,nzd0462-0020,nzd0462-0021,nzd0462-0022,nzd0462-0023,nzd0462-0024,nzd0462-0025,nzd0462-0026,nzd0462-0027,nzd0462-0013,nzd0462-0014,nzd0462-0015,nzd0462-0016,nzd0462-0017,nzd0462-0018
1999-09-27 22:07:12.757000,L7,,,,,,,,,,290.83,305.28,337.74,347.96,341.67,325.04,337.06,344.25,317.34,348.70,341.59,333.07,337.61,308.68,337.05,334.52,287.21,,311.05,328.22,323.74,321.58,319.19,324.61,326.89,322.28,327.82,340.17,336.16,339.39,345.13,345.39,353.68,348.54,352.31,354.40,351.89,349.78,346.75,336.71,345.78,347.46,344.94,341.00,352.30,330.50,350.65,363.65,367.05,369.53,355.83,322.14,356.72,353.39,346.10,346.26,349.34,363.31,365.70,359.25,356.45,359.04,363.53,352.33,347.60,343.53,353.60,355.63,360.39,346.38,346.57,322.33,322.47,296.54,283.76,301.70,314.05,309.76,,,306.71,312.21,323.64,281.79,294.42,292.00,282.26,294.51
1999-10-13 22:07:12.582000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.15,308.15,323.32,323.28,321.50,331.96,328.87,315.56,310.22,,,,,,,,,,,,,,,,,,,,,,,
1999-11-30 22:06:59.059000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.59,304.47,313.75,311.52,319.63,352.82,347.96,317.36,312.44,309.36,335.97,341.87,339.50,305.33,329.21,305.35,320.86,320.14,318.36,309.32,,,,,,,,,,,,,,,,,,
1999-12-16 22:07:09.748000,L7,,,,,,,,,,,,335.83,347.00,342.99,325.14,347.97,349.28,344.08,344.40,343.60,335.15,336.16,328.05,336.38,332.50,287.23,380.63,377.02,373.12,325.80,316.42,324.79,326.92,330.07,332.08,337.84,384.66,375.47,381.51,390.60,397.70,401.14,396.56,398.47,393.88,396.32,389.10,379.71,374.42,351.17,400.32,354.69,354.33,358.89,358.80,360.64,367.70,373.25,374.95,367.20,357.27,363.76,400.29,396.80,407.01,372.54,369.93,372.09,362.57,349.28,350.42,366.67,350.89,353.08,350.67,343.03,346.41,372.57,351.18,370.66,304.98,328.70,323.37,318.77,312.74,324.89,323.45,310.26,301.27,306.83,323.58,331.09,316.09,316.98,317.76,306.06,321.07
2000-03-21 22:06:49.022000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.46,312.28,308.57,301.71,306.06,314.36,318.07,306.82,308.14,301.73,305.55,282.90,,315.19,315.72,317.82,319.01,314.84,303.75,,,342.84,323.03,318.79,319.49,319.75,334.05,342.49,335.58,330.89,315.43,313.00,321.19,328.43,321.83,308.35,308.48,304.56,,,,,,,,,,,,,,,,,,,,,,
2000-07-27 22:05:24.302000,L7,,,,,,,,,,,,353.39,359.18,342.40,336.71,339.40,363.28,335.48,378.29,353.13,338.83,363.00,335.74,367.19,337.37,,324.82,331.28,344.08,360.46,324.32,332.56,335.35,349.33,332.91,345.01,338.61,354.48,360.21,359.87,359.88,358.92,355.98,358.63,361.25,364.61,393.24,367.61,353.22,379.43,392.38,381.82,374.85,386.37,404.16,387.66,392.87,386.36,386.84,333.51,354.40,389.63,378.83,399.26,379.84,385.70,385.91,392.86,306.72,393.21,375.44,388.33,371.88,342.65,391.43,373.94,379.59,397.43,384.85,346.11,,,332.17,333.40,341.47,317.42,327.54,333.04,302.69,326.26,325.62,,,326.21,322.16,312.41,326.51
2000-08-12 22:05:17.927000,L7,,,,,,,,,,,,321.28,324.98,309.74,284.92,316.86,327.54,319.31,327.15,303.44,303.41,309.05,293.03,303.69,317.76,,,,328.35,287.45,288.62,302.17,297.68,291.42,295.82,311.15,330.82,321.68,313.37,344.14,311.24,320.42,331.75,349.96,312.72,342.34,323.04,338.47,314.32,334.94,328.93,328.34,336.21,362.47,328.55,290.68,360.06,371.69,352.01,323.15,318.80,319.70,321.11,338.52,354.56,341.05,319.42,324.33,289.18,,,,,286.68,334.47,352.30,357.81,363.07,,,,,321.95,304.06,294.98,296.43,,,,271.36,292.20,,,,,,308.95
2000-12-18 22:04:37.758000,L7,,,,,,,,,,,,349.21,349.29,,,,,,,,,,,,,,,,336.23,296.22,321.84,319.14,331.56,339.01,306.75,338.92,345.46,341.51,353.06,352.06,356.62,360.12,357.41,349.69,362.81,361.28,373.52,369.12,373.24,372.82,368.20,367.45,364.35,368.10,361.87,,,,339.80,318.22,313.52,312.73,362.11,356.71,366.46,357.22,311.06,312.58,360.74,358.99,330.74,340.41,360.19,350.65,345.57,353.97,357.08,361.42,,316.31,331.47,332.33,323.59,323.10,335.44,309.95,320.21,320.89,318.99,313.12,336.12,334.29,331.51,328.17,336.31,324.54,328.29
2001-02-20 22:04:36.568000,L7,,,,,,,,,,294.88,335.49,338.29,334.36,318.26,,,,,348.43,330.15,295.24,301.15,286.13,291.98,304.99,272.88,,,340.81,301.70,308.39,337.41,340.48,337.79,342.10,351.79,343.12,347.78,342.22,350.05,356.09,363.84,356.75,359.94,362.01,368.49,362.65,368.39,370.02,366.03,370.63,367.86,360.28,364.17,364.07,329.46,369.04,368.94,366.57,314.44,308.42,363.51,368.24,346.29,370.33,360.65,368.15,374.74,,354.64,355.17,368.98,362.49,350.11,355.62,357.26,362.14,368.24,362.49,359.26,343.78,318.35,333.85,311.87,326.26,338.71,324.16,322.70,277.21,291.75,294.73,305.60,325.38,328.98,307.90,316.93,334.51
2001-10-18 22:02:30.135000,L7,329.82,321.63,324.01,327.44,340.61,347.97,360.91,366.80,369.92,6.09,369.20,401.44,388.83,376.83,356.64,354.07,362.25,357.94,364.37,356.11,357.83,361.20,350.23,351.20,369.03,357.30,355.50,364.15,404.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
