dates,nzd0508-0000,nzd0508-0001,nzd0508-0002,nzd0508-0012,nzd0508-0013,nzd0508-0014,nzd0508-0015,nzd0508-0016,nzd0508-0007,nzd0508-0008,nzd0508-0009,nzd0508-0010,nzd0508-0017,nzd0508-0021,nzd0508-0022,nzd0508-0003,nzd0508-0004,nzd0508-0005,nzd0508-0006,nzd0508-0011,nzd0508-0018,nzd0508-0019,nzd0508-0020,nzd0508-0023,nzd0508-0024,nzd0508-0025
2011-03-12 22:04:31+00:00,,,,339.46,336.635,335.86,,,351.43,,,,,332.11,333.41499999999996,308.39,320.98,,,,344.56,334.73,325.015,338.81500000000005,351.65,351.875
2013-07-07 22:16:35+00:00,,,,,,,,249.24,,223.19,,,243.89,,247.14,,,,,,,,,277.38,283.39,
2013-08-08 22:16:37+00:00,,,,,,,,246.45499999999998,,222.885,,,243.24,,255.97,,,,,,,,,277.015,283.525,
2013-10-02 22:22:40+00:00,294.97,,,307.05,303.76,301.43,300.96,264.2633333333333,311.85,251.49,,309.47,263.91333333333336,296.32,271.82666666666665,,274.76,,315.21,309.57,313.38,301.28,292.47,286.43666666666667,295.11333333333334,325.13
2013-10-18 22:22:37+00:00,294.97,,,310.02,308.83500000000004,306.18,305.54499999999996,275.8825,311.85,251.49,,314.45000000000005,276.9125,301.28499999999997,281.4425,,276.33500000000004,,315.21,313.51,316.235,304.865,297.82500000000005,294.91249999999997,304.0075,327.925
2013-11-03 22:22:32+00:00,294.97,,,311.8966666666667,312.05,308.99666666666667,312.03999999999996,285.47799999999995,311.85,251.49,,318.41,287.78200000000004,306.6433333333334,288.804,,278.3866666666667,,315.21,314.6766666666667,319.8,308.8933333333333,303.4266666666667,302.54200000000003,312.168,334.18666666666667
2013-11-19 22:22:25+00:00,278.655,276.3,151.67,304.9475,301.9875,301.8575,302.4475,283.56166666666667,311.85,258.25,278.88,318.41,286.6433333333334,298.0375,286.495,,278.3866666666667,,315.21,302.25,311.215,300.0075,294.96500000000003,299.275,309.415,325.46
2014-02-23 22:21:32+00:00,278.655,276.3,151.67,304.51599999999996,302.074,301.674,301.96999999999997,301.488,307.805,296.95,290.645,315.1875,307.21999999999997,297.314,301.226,,276.8825,,311.575,302.306,310.568,299.66999999999996,294.196,309.046,321.666,324.13599999999997
2014-03-11 22:21:19+00:00,278.655,276.3,151.67,304.58666666666664,302.35333333333335,301.4533333333333,301.7583333333333,301.2966666666667,306.95666666666665,298.365,295.06,313.496,306.69666666666666,297.21,301.25333333333333,289.68,275.566,,310.90000000000003,302.96999999999997,310.44666666666666,299.675,293.925,308.46999999999997,321.47499999999997,323.98499999999996
2014-04-21 22:14:29+00:00,262.34,276.3,149.6,301.87,299.1125,299.09000000000003,296.606,292.63,296.56666666666666,294.92,292.17,312.85999999999996,300.202,290.076,294.046,289.68,275.0533333333333,207.97,300.72999999999996,297.7,303.588,297.08,291.97499999999997,301.438,315.396,322.015
2014-07-17 22:20:39+00:00,,,147.53,303.865,303.08500000000004,300.645,294.77666666666664,288.43666666666667,296.56666666666666,303.115,296.6,306.125,283.67,286.93333333333334,288.6575,289.68,271.3349999999999,207.97,300.72999999999996,304.40999999999997,289.29,299.01,291.84499999999997,292.99,308.1425,321.03499999999997
2014-08-11 22:14:39+00:00,,,147.53,306.28333333333336,303.34,300.24333333333334,297.1175,292.12,298.7625,304.93666666666667,300.4125,308.2866666666667,287.68600000000004,289.34,290.912,289.68,271.3349999999999,246.45,303.30499999999995,307.18,293.302,298.75666666666666,291.6566666666667,295.07,310.596,321.91
