dates,satname,nzd0508-0000,nzd0508-0001,nzd0508-0002,nzd0508-0003,nzd0508-0004,nzd0508-0006,nzd0508-0007,nzd0508-0008,nzd0508-0009,nzd0508-0010,nzd0508-0011,nzd0508-0012,nzd0508-0013,nzd0508-0014,nzd0508-0015,nzd0508-0016,nzd0508-0019,nzd0508-0020,nzd0508-0021,nzd0508-0022,nzd0508-0005,nzd0508-0017,nzd0508-0018,nzd0508-0023,nzd0508-0024,nzd0508-0025
2011-03-12 22:04:31.079000,L5,,,,,229.80,292.73,296.92,293.98,291.67,292.39,286.84,285.32,279.22,274.62,281.64,273.21,275.06,275.03,274.95,284.44,279.25,285.12,291.05,291.26,300.25,301.04
2013-07-23 22:16:34.633000,L8,,,,,,291.24,287.74,281.50,288.90,286.18,,,,,,,,,,,280.64,,,,,
2013-10-02 22:22:40.460000,L8,,,,,,,,,,,,,,,258.72,258.45,264.96,256.44,260.08,265.69,,274.60,275.07,276.31,283.17,
2013-10-11 22:16:29.291000,L8,299.98,313.77,312.29,293.36,295.85,329.76,326.79,322.92,326.59,332.35,330.48,329.27,336.99,334.56,331.28,334.30,314.46,313.49,319.87,325.03,317.35,329.99,341.35,328.22,335.32,336.44
2013-10-18 22:22:37.411000,L8,,309.80,311.91,285.73,267.51,306.96,308.95,303.63,303.52,302.49,301.75,301.28,300.05,297.67,295.13,293.84,295.54,288.20,290.96,295.15,294.93,300.70,304.34,303.89,317.92,318.27
2013-11-03 22:22:32.045000,L8,269.34,287.40,283.76,,,,,,,,,,,,,,,,,,,,,,,
2013-11-12 22:16:19.914000,L8,301.29,308.09,310.91,290.91,270.70,328.15,333.20,303.49,303.18,304.53,300.70,302.21,300.20,298.83,294.24,295.40,301.70,286.32,289.16,291.43,294.88,301.82,301.59,306.76,,
2013-11-19 22:22:25.407000,L8,309.59,310.82,316.57,288.70,287.92,322.53,315.19,307.22,299.71,301.30,306.96,303.40,302.41,295.47,293.28,296.23,295.20,289.11,296.26,295.68,336.52,301.55,308.47,300.76,318.78,319.83
2013-12-30 22:16:01.055000,L8,295.08,301.70,313.31,282.09,268.42,303.63,302.64,302.15,302.55,303.09,303.50,303.48,300.72,298.18,294.93,297.08,300.82,296.81,297.95,302.77,290.20,302.91,309.45,310.49,322.42,320.06
2014-02-23 22:21:32.043000,L8,289.09,307.88,307.31,285.07,269.87,303.98,299.10,298.76,297.54,301.45,297.86,297.06,297.05,295.54,295.22,293.35,293.18,286.20,287.58,295.20,293.28,296.90,302.29,298.39,315.28,315.51
2014-03-20 22:15:01.497000,L8,,,,,,,,,,,,,,,268.19,261.12,264.54,262.48,265.76,270.48,,274.19,282.97,277.67,289.03,292.58
2014-04-21 22:14:29.865000,L8,243.06,225.34,282.62,271.02,244.96,,,,,,,,,,,,,,,,,,,,,
2014-09-19 22:20:54.477000,L8,,,,,,,,,,,,,,,,,,257.46,265.49,270.24,,,,278.85,290.16,292.60
2014-09-28 22:14:44.621000,L8,252.51,290.83,264.10,271.16,,,,,,,,,,,,,,,,,,,,,,
2014-11-15 22:14:49.314000,L8,273.48,293.39,297.68,,,,,,,,,,,283.15,282.40,280.00,278.10,270.26,273.29,278.18,,286.34,288.88,285.29,298.86,302.62
2015-01-02 22:14:38.674000,L8,293.29,300.49,303.18,279.73,264.84,301.54,300.02,299.91,306.69,307.24,306.31,306.74,297.67,296.08,293.30,293.80,293.79,286.45,285.17,294.85,291.51,297.73,302.65,299.56,314.66,320.11
2015-03-14 22:20:23.206000,L8,276.25,298.68,300.65,281.72,267.06,299.62,297.65,295.06,296.76,295.50,296.41,295.73,296.12,291.74,291.91,290.81,291.65,286.33,287.13,293.10,284.54,296.76,301.80,297.86,313.19,314.27
2015-04-15 22:20:10.505000,L8,,,,,,,,,,,,,,,,,266.70,267.62,269.41,273.12,,276.45,282.79,283.48,292.30,
2015-10-17 22:14:38.194000,L8,,,,,,,,,,,,,,275.15,279.01,271.85,270.03,263.55,267.48,270.47,,263.60,274.79,277.16,286.21,291.43
2015-11-18 22:14:44.822000,L8,262.05,285.94,287.76,,,,,,,,,,,275.59,280.04,269.29,257.99,257.49,259.63,262.64,,261.69,266.92,271.89,279.08,
2015-12-20 22:14:45.217000,L8,287.76,298.60,300.68,277.51,254.15,277.28,281.77,287.85,291.67,291.57,292.82,293.49,295.18,290.29,286.47,275.08,277.86,272.38,275.90,276.94,276.21,271.77,283.06,284.86,293.22,291.02
2016-01-05 22:14:40.992000,L8,289.81,298.47,302.33,279.17,254.54,281.08,286.44,289.74,296.57,295.12,296.53,299.75,299.34,293.65,287.98,278.21,279.62,276.79,278.66,282.43,279.07,275.51,286.03,290.23,299.92,301.41
2016-02-22 22:14:30.292000,L8,,,,,,,,,,,,,,,260.30,252.99,256.04,256.85,260.18,262.53,,255.77,261.30,272.92,278.52,
2016-04-26 22:14:08.933000,L8,263.31,298.01,303.52,282.78,301.87,286.71,291.93,291.47,301.21,301.75,303.25,303.69,298.27,290.64,292.87,280.73,288.25,288.37,288.37,292.62,286.77,281.76,302.89,294.21,311.83,312.59
2016-11-27 22:21:07.723000,L8,,,,,,,,,,,,,,,,,315.40,286.90,312.16,316.09,,,,321.60,330.47,337.34
2016-12-29 22:21:01.343000,L8,,,,281.97,259.26,280.63,285.30,293.83,297.09,299.86,297.51,294.16,294.02,291.68,288.76,278.48,281.14,272.89,284.35,287.53,285.55,279.17,290.98,294.92,311.39,307.47
2017-01-23 22:14:43.048000,L8,290.89,298.86,302.42,280.19,256.74,277.02,283.43,291.16,295.40,294.80,294.81,294.39,293.52,290.84,290.61,273.86,278.04,270.17,283.98,282.59,278.14,274.45,282.57,286.75,300.58,305.45
2017-01-30 22:20:50.623000,L8,288.19,299.43,302.32,278.45,256.84,278.08,283.15,289.92,294.11,293.89,296.30,292.93,291.77,288.87,289.85,273.42,278.09,272.11,278.17,284.01,277.31,274.37,283.94,291.57,300.34,302.84
2017-02-08 22:14:34.654000,L8,291.12,300.53,303.00,279.00,260.83,278.05,320.73,292.71,297.30,310.35,296.64,294.03,350.53,354.29,309.15,338.71,,,,,275.34,,,,,
2017-07-09 22:20:35.589000,L8,,,,,,,,,,,,,263.77,280.18,295.55,279.57,282.29,281.37,283.01,288.41,,282.96,293.65,293.86,304.94,314.92
2017-08-03 22:14:35.682000,L8,246.05,236.72,283.22,275.76,,,,,,,,,,,,,,,,,,,,,,
2017-11-30 22:20:56.190000,L8,293.25,301.01,303.58,280.85,261.69,285.57,292.57,293.30,298.31,300.19,300.03,300.69,298.06,294.19,291.01,274.14,283.23,277.06,280.16,282.43,288.16,280.05,287.43,293.53,303.34,302.50
2017-12-25 22:14:47.702000,L8,269.40,264.54,282.53,,,,,,,,,,,,,,261.29,255.17,259.33,263.20,,257.63,261.84,272.54,280.65,
2018-01-01 22:20:56.342000,L8,,,,,,,,,,,,,,290.30,287.99,270.43,279.05,275.65,276.87,281.70,,276.31,282.07,289.15,297.89,301.04
2018-02-11 22:14:26.201000,L8,285.69,298.19,302.57,281.55,260.83,285.78,289.71,291.08,295.78,296.69,298.04,299.80,299.83,295.71,291.27,274.51,285.08,283.54,282.69,287.23,280.14,279.69,289.05,291.88,306.57,304.77
2018-03-06 22:20:26.446000,L8,264.12,287.02,282.69,269.51,244.99,,,,,,,,,,,,,,,,,,,,,
2018-03-15 22:14:10.086000,L8,251.66,288.66,,,,,,,,,,,,,,254.56,266.66,261.36,264.46,268.34,,263.27,267.74,275.11,286.42,
2018-07-21 22:13:49.390000,L8,246.10,234.76,285.02,275.18,,,,,,,,,,,,,,,,,,,,,,
2018-09-07 22:14:12.130000,L8,259.87,292.50,296.10,278.07,248.08,,,,,,,,,,,,,,,,,,,,,
2018-12-28 22:14:29.227000,L8,294.23,304.49,308.73,281.16,266.16,294.52,300.47,299.70,303.99,303.26,305.22,306.74,307.50,301.41,297.30,284.50,291.76,289.92,293.66,293.93,295.16,286.49,297.82,299.18,313.06,309.46
2019-01-13 22:14:27.136000,L8,293.65,300.69,304.25,283.68,259.50,285.85,291.89,291.58,299.04,297.47,299.28,301.16,300.55,294.94,292.33,279.14,286.01,282.68,283.55,285.70,287.77,281.57,290.71,292.25,309.08,306.84
2019-02-05 22:20:33.244000,L8,274.81,291.38,291.59,270.86,246.06,265.99,273.29,273.66,274.79,275.96,272.85,,,,,,,,,,267.23,,,,,
2019-02-14 22:14:21.185000,L8,288.89,305.92,303.51,279.86,259.95,286.18,291.53,291.63,294.72,298.89,299.07,302.24,300.26,295.07,292.18,278.74,283.92,282.75,281.38,287.25,284.30,281.35,288.67,291.84,304.98,303.88
2019-02-21 22:20:30.485000,L8,283.46,295.21,297.26,284.80,263.80,282.99,288.79,291.08,297.99,297.28,296.43,299.49,297.66,291.44,289.63,273.91,280.59,277.75,279.29,281.90,284.83,277.79,283.51,288.58,300.72,301.40
2019-03-02 22:14:17.011000,L8,287.31,298.75,303.13,287.45,267.50,292.05,298.42,293.85,298.79,301.77,300.49,304.49,301.82,298.87,293.59,280.39,286.82,285.61,287.04,291.21,290.16,282.09,293.81,294.29,308.35,308.95
2019-09-10 22:14:51.565000,L8,,,,,,,,,,,,,,,271.04,257.95,267.40,264.74,263.63,268.16,,262.17,265.83,276.35,286.88,
2019-11-13 22:14:57.837000,L8,289.41,300.27,303.20,278.67,258.52,288.23,297.48,301.91,304.30,300.56,300.03,300.24,299.62,293.88,290.57,282.49,283.53,280.83,246.35,,289.33,282.54,287.97,,,
2019-11-29 22:14:55.870000,L8,296.04,300.55,306.75,280.70,261.82,286.22,296.64,302.00,311.99,305.02,300.59,301.57,301.66,297.22,292.28,284.84,286.42,281.79,282.99,286.39,286.26,283.23,290.53,295.04,307.77,306.72
2020-01-23 22:20:55.593000,L8,286.81,298.39,300.44,277.72,257.80,285.07,295.82,293.81,298.69,298.72,298.17,300.08,297.37,293.38,289.30,279.71,282.22,278.29,279.82,283.70,282.15,282.94,285.66,292.17,303.19,302.61
2020-03-04 22:14:32.767000,L8,,,,,,,,,,,,,,,,255.96,263.32,256.02,261.73,266.98,,262.86,264.28,272.05,281.79,
2020-11-22 22:21:06.915000,L8,,,,,,,,,,,,,,,247.47,255.49,263.33,256.56,262.23,264.60,,257.47,265.99,271.39,285.63,
2021-02-19 22:14:39.648000,L8,290.35,304.38,304.27,283.15,263.05,288.41,298.07,299.46,304.26,300.94,300.56,301.25,299.09,294.90,291.10,284.20,287.15,283.89,289.30,293.32,287.36,282.38,291.17,294.11,306.14,299.82
2021-09-22 22:21:05.391000,L8,,,,,,,,,,,,,,,258.14,266.34,269.07,264.86,267.49,263.28,,268.17,271.74,275.08,281.94,289.54
2021-11-02 22:15:01.893000,L8,290.38,302.46,307.24,280.74,264.63,292.19,297.08,301.97,311.19,300.21,301.95,300.46,298.95,292.89,290.96,285.67,288.15,282.87,280.45,278.25,290.81,284.65,291.54,282.49,295.35,302.46
2021-11-18 22:14:56.496000,L8,288.05,301.23,303.62,280.99,258.68,288.30,296.44,301.55,302.90,301.38,300.99,301.14,298.57,293.54,290.96,285.20,286.41,280.22,282.14,278.28,288.03,284.94,290.50,281.82,295.30,302.11
2021-12-12 22:14:55.412000,L9,298.95,306.46,305.80,281.34,262.69,290.67,301.69,307.38,315.12,310.20,304.00,301.56,301.19,296.87,292.03,287.18,295.56,284.26,284.28,279.00,291.14,288.12,294.23,284.00,297.11,300.87
2022-01-13 22:14:50.477000,L9,270.46,289.94,285.22,230.43,245.22,,276.27,282.33,282.88,282.25,281.85,283.29,283.94,278.90,274.76,267.33,269.41,263.23,267.69,262.07,,268.38,274.29,,,
2022-01-28 22:20:55.692000,L8,269.09,266.41,283.81,,,,,,,,,,,,266.84,264.09,266.42,259.87,264.74,258.33,,263.97,271.30,,,
2022-02-06 22:14:44.088000,L8,288.12,303.66,310.28,280.15,259.84,290.35,294.38,296.26,262.99,,,,,,,,,,,,285.91,,,,,
2022-02-13 22:20:52.491000,L8,,,,,,271.63,277.92,283.25,287.20,280.54,287.09,286.44,287.40,281.80,280.27,272.67,273.56,268.66,271.74,269.13,265.56,272.89,278.47,271.23,283.87,
2022-02-22 22:14:38.338000,L8,262.63,277.20,283.10,,,,,,,,,,,276.49,265.08,261.54,266.96,261.49,264.35,260.52,,264.82,271.53,,,
2022-03-02 22:14:37.725000,L9,284.99,299.79,303.92,280.96,266.15,290.90,297.70,301.50,300.47,304.49,302.60,305.71,300.32,294.50,291.98,283.77,285.90,282.19,283.10,280.43,291.45,284.42,290.42,283.35,294.84,301.17
2022-04-02 22:20:31.499000,L8,,,,,,,,,,,,,,,,265.86,267.46,261.22,268.15,263.70,,267.71,272.33,269.97,,
2022-10-28 22:15:03.247000,L9,258.05,228.34,,,,,,,,,,,,,265.87,267.91,267.64,264.02,267.59,265.64,,265.66,270.82,270.78,,
2022-12-30 22:21:12.462000,L8,,,,289.41,316.68,318.38,321.22,314.00,323.80,345.64,330.86,324.74,306.01,296.71,290.30,314.32,,,,,306.91,307.57,287.75,,,
2023-01-08 22:15:00.142000,L8,291.32,303.02,306.05,281.89,258.48,290.65,293.80,290.97,287.11,287.62,290.44,294.10,296.73,294.28,290.54,285.79,282.86,277.38,277.91,275.73,290.61,284.83,287.95,281.45,287.70,296.16
2023-02-17 22:15:01.258000,L9,286.02,298.18,307.41,281.95,262.51,298.30,296.40,290.88,290.48,291.65,296.16,301.49,351.27,327.59,330.18,320.45,286.55,288.74,292.67,292.03,293.82,290.57,295.18,288.31,298.93,304.40
2023-02-25 22:14:39.957000,L8,,,,,,,,,,,,,,,,266.22,267.31,265.72,265.58,258.32,,269.91,273.86,,,
2023-04-06 22:14:33.046000,L9,,,,,,,,,,,,,,,,255.89,265.45,265.78,269.06,260.62,,270.49,273.93,272.13,,
2023-04-14 22:14:09.763000,L8,,,257.30,271.14,244.96,,,,,,,,,,,,,,,,,,,,,
2023-07-11 22:14:12.102000,L9,,,,,,,,279.47,286.09,284.72,289.09,295.57,286.66,,,,,,,,,,,,,
2023-08-12 22:14:23.119000,L9,249.93,227.41,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05 22:14:34.496000,L8,258.04,284.46,298.46,276.45,,,,,,,,,,,,259.64,265.26,265.10,263.21,258.15,,269.13,273.03,270.58,,
2023-11-24 22:14:51.719000,L8,297.01,305.82,305.67,282.54,265.74,302.84,302.44,307.36,302.73,303.44,298.62,301.42,306.29,300.58,300.77,294.53,294.20,291.44,293.14,290.28,297.67,293.63,298.32,294.71,310.74,300.54
2023-12-10 22:14:45.117000,L8,293.13,299.62,303.96,281.74,265.62,299.17,305.36,304.83,302.15,295.24,298.59,303.65,306.25,299.67,312.81,292.24,291.03,286.27,284.62,281.58,293.72,292.57,301.36,284.90,295.08,299.50
2024-02-04 22:14:55.450000,L9,,,,,,,,,,,,,,,,266.21,260.37,256.64,260.38,254.56,,261.52,271.07,,,
2024-03-07 22:14:47.781000,L9,,,,,,,274.29,278.67,273.67,271.15,273.85,277.91,264.05,,,,,,,,,,,,,
2024-03-22 22:20:30.323000,L8,248.23,290.14,295.01,273.56,255.65,278.66,282.23,283.55,280.04,279.45,283.42,285.21,287.11,281.28,272.27,266.68,,,,,277.60,,,,,
2024-04-16 22:14:07.010000,L8,274.52,303.04,306.50,289.60,303.78,304.01,305.36,301.47,302.54,299.61,301.56,306.03,300.54,295.42,303.99,294.28,291.93,289.98,287.50,289.70,309.05,294.62,315.36,288.81,296.68,304.60
2024-04-24 22:14:13.960000,L9,273.17,300.01,304.42,285.99,304.34,297.58,299.04,298.15,299.56,298.52,300.84,305.96,300.77,293.63,298.87,293.79,291.40,290.32,285.72,288.14,297.74,293.79,300.89,289.30,293.73,297.41
2024-09-07 22:14:30.806000,L8,251.83,273.68,284.63,273.90,,,,,,,,,,,246.43,268.46,268.67,266.11,267.60,258.24,,270.95,274.25,271.57,,
2024-09-23 22:14:30.418000,L8,251.06,291.38,294.07,275.11,248.85,,,,,,,,,,251.99,270.57,270.17,266.12,269.03,260.90,,272.35,275.55,270.69,,
2024-11-02 22:14:41.503000,L9,294.07,313.49,313.60,289.32,269.65,301.86,303.45,308.80,299.89,300.35,298.15,293.31,302.57,303.08,301.60,295.85,294.49,288.95,288.17,288.79,305.12,296.99,301.42,295.50,301.36,310.17
2024-11-10 22:14:37.391000,L8,289.08,300.08,303.62,286.79,257.57,284.68,292.43,292.05,289.72,287.20,284.92,282.90,290.24,292.27,289.82,285.84,283.05,278.07,278.22,276.17,286.50,284.48,288.03,282.23,285.09,
2024-11-17 22:20:50.529000,L8,,,,,,,,,,,,,,,,,,,,,,,,295.01,297.43,319.34
2024-12-04 22:14:48.196000,L9,290.63,303.24,310.57,280.60,263.19,290.83,296.19,295.02,294.79,291.55,290.05,287.36,294.04,299.00,293.40,291.93,288.01,283.41,282.96,281.14,292.04,290.19,291.55,286.37,293.63,303.06
2025-01-05 22:14:42.782000,L9,265.78,287.91,282.02,258.41,229.78,,,,,,,,,,,,,,,,,,,,,
2025-01-21 22:14:48.959000,L9,295.02,305.36,308.99,290.04,321.25,312.51,322.21,364.31,303.54,293.89,283.55,294.09,299.72,303.44,308.37,303.74,294.36,289.55,287.17,285.37,327.08,299.71,301.40,289.12,298.06,309.77
2025-04-03 22:14:16.015000,L8,,,,,,,,,,,,,,,252.58,269.36,268.89,266.03,268.40,260.27,,272.40,275.65,271.38,,
2025-04-10 22:20:22.528000,L8,,,,,,,,,,,,,,,248.23,267.51,266.83,265.21,266.24,259.98,,271.19,274.40,271.27,,
2025-09-10 22:14:44.053000,L8,252.98,231.29,,,,,,,,,,,,,,267.18,266.61,263.98,263.53,255.44,,271.14,271.65,270.38,,
2025-09-18 22:14:49.542000,L9,251.60,282.42,293.48,272.45,230.53,,,,,,,,,,253.34,270.32,270.22,266.37,265.83,261.08,,272.20,274.81,271.64,,
2025-11-13 22:14:52.318000,L8,296.87,306.88,307.24,283.67,273.65,325.88,320.56,317.18,317.11,313.65,306.96,299.43,318.74,317.55,315.56,296.14,296.05,290.77,294.25,289.97,324.97,297.66,301.40,298.36,304.48,312.30
