dates,satname,nzd0510-0000,nzd0510-0001,nzd0510-0002,nzd0510-0003,nzd0510-0004,nzd0510-0005,nzd0510-0006,nzd0510-0007,nzd0510-0008,nzd0510-0009,nzd0510-0010,nzd0510-0011,nzd0510-0012,nzd0510-0014,nzd0510-0015,nzd0510-0013
1999-12-07 22:13:41.663000,L7,,,,,,,,,,,,,,222.12,239.02,
2001-02-27 22:11:06.137000,L7,,,,,,,,,,,,,,226.82,328.26,
2002-01-29 22:09:33.112000,L7,,,,,,,,,,,,,,216.21,232.14,
2002-12-24 22:02:57.022000,L7,,,330.07,328.78,329.51,325.72,,,,,,,,222.12,320.27,
2004-07-30 21:57:15.668000,L5,,,,,,,,234.75,224.70,243.06,247.41,252.85,241.23,239.77,262.28,
2005-01-13 22:06:52.927000,L5,,,,,,,,,,,,,,229.74,255.49,
2005-02-14 22:07:21.106000,L5,,,,,,,,,,,,,,231.76,250.50,
2005-06-15 22:02:10.206000,L5,,,,,,,,,,,,,,236.19,260.83,
2005-11-06 22:02:46.848000,L5,,,,,,,,,,,,,,237.15,260.16,
2005-11-13 22:09:08.414000,L5,,,,,,,,,,,,,,232.19,248.82,
2007-01-03 22:15:37.058000,L5,,,,,,,,,,,,,,220.42,241.01,
2008-11-14 21:57:52.281000,L5,,,,,,,,,,,,,,225.69,246.80,
2010-11-27 22:10:35.713000,L5,,,,,,,,,,,,,,225.15,255.55,
2013-06-05 22:16:38.960000,L8,,,,,,,,,,,,,,224.14,249.94,
2013-07-23 22:16:34.633000,L8,,,,,,,,,,,,,,229.22,259.25,
2013-08-08 22:16:37.441000,L8,,,,,,,,,,,,,,224.71,250.75,
2013-08-31 22:22:50.245000,L8,,,,,,,,,,,,,,222.21,239.98,
2013-09-25 22:16:28.938000,L8,,,,,,,,,,241.28,226.37,249.90,235.34,,,
2013-11-19 22:22:25.407000,L8,316.86,278.63,261.25,255.90,253.12,252.95,238.39,248.17,253.36,256.72,253.07,260.66,256.44,234.55,249.59,
2014-03-20 22:15:01.497000,L8,,,,,,,,,,,,,,225.11,237.54,
2014-04-21 22:14:29.865000,L8,,,,,,,,,,,,,,228.80,244.84,
2014-05-30 22:20:22.872000,L8,,,,,,,,,,,,,,229.41,251.63,
2014-07-17 22:20:39.943000,L8,,,,,,,,,,,,,,223.93,243.18,
2014-08-02 22:20:46.799000,L8,,,,,,,,,,,,,,226.17,247.50,
2014-08-11 22:14:39.696000,L8,,,,,,,,,,,,,,227.29,249.11,
2014-08-18 22:20:51.886000,L8,,,,,,,,,,,,,,228.45,246.55,
2014-09-03 22:20:54.579000,L8,,,,,,,,,,,,,,222.84,239.16,
2014-09-19 22:20:54.477000,L8,,,,,,,,,,,,,,222.89,236.70,
2014-09-28 22:14:44.621000,L8,,,,,,,,,,,,,,223.05,233.61,
2014-11-06 22:21:01.126000,L8,314.29,274.45,264.14,256.10,255.40,253.47,237.50,250.09,255.36,258.62,254.74,261.71,256.16,236.93,284.37,
2015-01-02 22:14:38.674000,L8,,,,,,,,,,,,,,225.83,233.27,
2015-03-14 22:20:23.206000,L8,,,,,,,,,,,,,,223.68,236.32,
2015-06-27 22:13:58.027000,L8,,,,,238.31,245.41,234.23,242.29,234.65,250.35,228.87,254.58,237.92,,,
2015-07-04 22:20:14.053000,L8,,,,,,,,,,,,,,229.27,255.32,
2015-08-21 22:20:33.210000,L8,,,,,,,,,,,,,,224.36,245.59,
2015-10-08 22:20:48.527000,L8,,,,,,,,,,,,,,223.91,235.74,
2015-11-18 22:14:44.822000,L8,,,,,,,,,,,,,,215.94,228.68,
2016-04-26 22:14:08.933000,L8,281.38,259.72,235.29,,,,,,,,,,,229.83,245.98,
2016-06-04 22:20:28.125000,L8,,,,,,,,,,,,,,224.97,246.54,
2016-07-06 22:20:41.229000,L8,,,,,,,,,,,,,,225.87,247.56,
2016-08-16 22:14:41.427000,L8,,,,,,,,,,,,,,225.66,243.69,
2016-09-08 22:21:00.541000,L8,,,,,,,,,,,,,,225.97,239.33,
2016-12-29 22:21:01.343000,L8,,,,,,,,,,,,,,218.80,222.87,
2017-05-06 22:20:07.089000,L8,,,,,,,,,,,,,,227.86,246.67,
2017-08-03 22:14:35.682000,L8,,,,,,,,,,,,,,233.17,251.35,
2017-09-27 22:21:00.343000,L8,,,,,,,,,,,,,,225.52,235.46,
2017-10-29 22:21:05.518000,L8,316.76,277.27,255.81,255.25,257.66,253.91,238.05,253.13,258.27,250.96,243.84,248.45,249.19,,,162.75
2017-12-25 22:14:47.702000,L8,308.35,275.75,253.87,253.82,254.61,251.42,239.09,248.38,255.43,250.56,242.02,245.08,246.22,233.80,243.16,
2018-01-01 22:20:56.342000,L8,312.40,279.23,258.70,257.29,260.02,255.74,246.92,252.14,258.07,252.79,243.00,245.03,250.52,236.11,249.34,
2018-02-11 22:14:26.201000,L8,,,,,,,,,,,,,,225.36,231.74,
2018-02-27 22:14:19.470000,L8,,,,,,,,,,,,,,224.19,231.77,
2018-03-06 22:20:26.446000,L8,,,,,,,,,,,,,,221.92,230.63,
2018-05-02 22:13:45.572000,L8,,,,,,,,,,,,,,225.23,245.01,
2018-05-18 22:13:34.690000,L8,,,,,,,,,,,,,,228.75,250.17,
2018-07-12 22:19:56.652000,L8,,,,,,,,,,,,,,228.51,249.57,
2018-07-21 22:13:49.390000,L8,,,,,,,,,,,,,,233.80,254.38,
2018-08-29 22:20:19.957000,L8,,,,,,,,,,,,,,228.01,243.88,
2018-09-07 22:14:12.130000,L8,,,,,,,,,,,,,,226.29,240.39,
2018-11-10 22:14:32.733000,L8,,,,,,,,,,,,,,206.18,210.01,
2018-12-28 22:14:29.227000,L8,312.21,275.99,259.75,255.80,258.39,254.90,246.10,259.19,258.93,256.75,245.96,254.34,252.55,235.55,252.41,
2019-02-21 22:20:30.485000,L8,,,,,,,,,,,,,,228.12,231.59,
2019-05-28 22:20:29.609000,L8,,,,,,,,,,,,,,231.74,251.76,
2019-06-22 22:14:28.716000,L8,,,,,,,,,,,,,,225.60,241.56,
2019-09-10 22:14:51.565000,L8,,,,,,,,,,,,,,223.68,240.29,
2019-09-26 22:14:56.917000,L8,283.79,254.69,,,,,,,,,,,,,,
2019-11-13 22:14:57.837000,L8,,,,,,,,,,,,,,224.52,234.30,
2019-11-29 22:14:55.870000,L8,314.58,275.17,260.79,256.96,256.53,252.42,247.37,254.62,258.62,254.00,244.57,251.60,251.75,234.99,250.09,168.87
2019-12-22 22:21:03.498000,L8,,,,,,,,,,,,,,220.84,225.48,
2020-03-11 22:20:40.527000,L8,326.00,283.02,264.99,262.16,262.95,263.13,254.03,259.16,260.29,260.29,252.19,257.26,256.25,241.38,253.46,180.77
2020-06-08 22:14:11.756000,L8,,,,,,,,,,,,,,224.79,235.55,
2020-08-27 22:14:44.105000,L8,,,,,,,,,,,,,,223.52,240.13,
2020-11-22 22:21:06.915000,L8,,,,,,,,,,,,,,223.72,226.59,
2021-02-19 22:14:39.648000,L8,313.87,270.39,246.40,,,,,,,,,,,,,
2021-08-05 22:20:52.997000,L8,,,,,,,,,,,,,,227.76,250.88,
2021-08-14 22:14:45.391000,L8,,,,,,,,,,,,,,229.32,247.23,
2021-08-30 22:14:49.951000,L8,,,,,,,,,,,,,,226.29,242.74,
2021-09-22 22:21:05.391000,L8,311.57,270.69,247.73,,,,,,,,,,,227.69,238.02,
2021-11-18 22:14:56.496000,L8,,,,,,,,,,,,,,225.11,227.40,
2021-12-11 22:21:08.661000,L8,,,,,,,,,,,,,,227.28,228.83,
2021-12-12 22:14:55.412000,L9,,,,,,,,245.04,250.36,243.29,238.95,241.30,239.47,226.41,231.90,
2022-03-02 22:14:37.725000,L9,308.94,268.34,244.55,,,,,,,,,,,225.62,231.59,
2022-03-09 22:20:49.257000,L9,,,,,,,,,,,,,,223.45,228.33,
2022-05-28 22:20:18.438000,L9,,,,,,,,,,,,,,229.74,248.99,
2022-06-05 22:20:51.340000,L8,,,,,,,,,,,,,,230.65,245.70,
2022-07-15 22:20:36.379000,L9,,,,,,,,,,,,,,229.83,250.08,
2022-07-31 22:20:51.284000,L9,,,,,,,,,,,,,,226.69,242.98,
2022-08-09 22:14:46.212000,L9,,,,,,,,,,,,,,,238.44,
2022-08-24 22:21:19.767000,L8,,,,,,,,,,,,,,224.39,240.34,
2022-09-09 22:21:23.307000,L8,309.10,268.03,242.04,,,,,,,,,,,222.19,239.20,
2022-09-10 22:14:51.402000,L9,,,,,,,,,,,,,,224.16,236.31,
2022-10-28 22:15:03.247000,L9,,,,,,,,,,,,,,222.24,228.23,
2023-03-05 22:14:49.135000,L9,304.33,263.29,,,,,,,,,,,,,,
2023-04-06 22:14:33.046000,L9,329.87,293.65,272.68,274.77,272.02,270.61,267.83,269.83,275.22,274.81,263.96,276.19,268.83,,,299.86
2023-04-14 22:14:09.763000,L8,,,,,,,,,,,,,,225.60,241.57,
2023-04-29 22:20:31.914000,L9,,,,,,,,,,,,,,225.06,243.06,
2023-05-15 22:20:23.769000,L9,,,,,,,,,,,,,,232.05,248.23,
2023-05-24 22:14:04.912000,L9,,,,,,,,,,,,,,228.28,247.54,
2023-06-01 22:13:55.021000,L8,,,,,,,,,,,,,,227.49,243.51,
2023-06-09 22:14:00.612000,L9,,,,,,,,,,,,,,227.03,243.30,
2023-06-16 22:20:06.681000,L9,,,,,,,,,,,,,,227.17,240.81,
2023-07-27 22:14:14.688000,L9,,,,,,,,,,,,,,226.30,241.39,
2023-08-12 22:14:23.119000,L9,,,,,,,,,,,,,,224.53,243.61,
2023-08-27 22:20:47.606000,L8,300.50,262.71,249.82,,,,,245.61,235.56,249.11,236.01,246.76,239.46,227.97,243.03,
2023-09-04 22:20:46.451000,L9,,,,,,,,,,,,,,216.87,232.39,
2023-09-05 22:14:34.496000,L8,306.42,263.69,248.74,238.16,,,,,,,,,,227.37,239.88,
2023-09-12 22:20:49.904000,L8,,,,,,,,,,,,,,223.26,235.05,
2023-11-24 22:14:51.719000,L8,,,,,,,,,,,,,,226.48,231.75,
2023-12-09 22:21:02.419000,L9,309.86,276.02,273.44,268.07,262.35,264.59,260.85,263.41,268.37,260.36,306.27,297.73,264.57,246.76,303.69,224.62
2023-12-10 22:14:45.117000,L8,,,344.21,326.93,254.87,250.53,247.74,252.78,259.05,249.77,255.28,240.77,246.62,235.67,246.97,199.05
2024-02-19 22:20:51.302000,L8,300.04,245.18,,,,,,,,,,,,,,
2024-04-24 22:14:13.960000,L9,,,,,,,233.18,249.00,242.48,250.32,237.61,246.76,246.34,229.62,245.02,
2024-06-10 22:19:52.303000,L8,,,,,243.83,247.65,235.67,248.85,239.02,249.81,236.37,254.40,236.18,,,
2024-07-04 22:20:03.802000,L9,,,,,,,,,,,,,,228.50,242.32,
2024-07-12 22:20:12.667000,L8,,,,,,,,,,,,,,233.51,250.38,
2024-08-06 22:14:09.174000,L8,,,,,,,,,,,,,,223.90,243.09,
2024-08-29 22:20:33.674000,L8,297.56,263.63,247.76,242.34,,,,,,,,,,,,
2024-08-30 22:14:23.037000,L9,301.17,257.79,,,,,,,,,,,,,,
2024-09-07 22:14:30.806000,L8,299.87,257.16,252.80,249.42,,,,,,,,,,225.55,241.71,
2024-09-23 22:14:30.418000,L8,334.08,293.88,308.23,279.00,277.13,287.73,280.06,277.47,277.93,273.83,261.97,294.30,288.78,268.20,292.10,229.34
2024-10-16 22:20:51.445000,L8,320.75,284.08,277.27,273.12,264.12,269.45,263.34,268.39,267.95,263.60,258.01,264.20,260.07,243.49,264.18,218.66
2024-10-24 22:20:57.649000,L9,302.16,268.14,257.08,253.20,,,,249.06,250.22,246.30,240.54,243.27,240.66,,,
2024-11-02 22:14:41.503000,L9,308.40,264.32,258.03,252.30,,,,,,,,,,226.69,235.82,
2024-11-10 22:14:37.391000,L8,299.62,260.38,254.18,249.42,,,,247.36,243.17,243.85,238.11,243.35,238.00,226.30,234.33,
