dates,nzd0054-0000,nzd0054-0001,nzd0054-0002,nzd0054-0003,nzd0054-0004,nzd0054-0005,nzd0054-0006,nzd0054-0007,nzd0054-0008,nzd0054-0009,nzd0054-0011,nzd0054-0012,nzd0054-0013,nzd0054-0014,nzd0054-0015,nzd0054-0016,nzd0054-0017,nzd0054-0018,nzd0054-0019,nzd0054-0020,nzd0054-0021,nzd0054-0022,nzd0054-0023,nzd0054-0024,nzd0054-0025,nzd0054-0026,nzd0054-0027,nzd0054-0028,nzd0054-0029,nzd0054-0030,nzd0054-0033,nzd0054-0034,nzd0054-0035,nzd0054-0037,nzd0054-0038,nzd0054-0039,nzd0054-0040,nzd0054-0042,nzd0054-0043,nzd0054-0044,nzd0054-0045,nzd0054-0046,nzd0054-0047,nzd0054-0048,nzd0054-0049,nzd0054-0050,nzd0054-0051,nzd0054-0052,nzd0054-0053,nzd0054-0054,nzd0054-0055,nzd0054-0056,nzd0054-0057,nzd0054-0058,nzd0054-0059,nzd0054-0060,nzd0054-0061,nzd0054-0062,nzd0054-0063,nzd0054-0064,nzd0054-0065,nzd0054-0066,nzd0054-0067,nzd0054-0068,nzd0054-0069,nzd0054-0070,nzd0054-0071,nzd0054-0072,nzd0054-0073,nzd0054-0074,nzd0054-0075,nzd0054-0076,nzd0054-0077,nzd0054-0078,nzd0054-0079,nzd0054-0080,nzd0054-0081,nzd0054-0082,nzd0054-0083,nzd0054-0084,nzd0054-0085,nzd0054-0086,nzd0054-0087,nzd0054-0088,nzd0054-0089,nzd0054-0090,nzd0054-0091,nzd0054-0092,nzd0054-0093,nzd0054-0094,nzd0054-0010,nzd0054-0031,nzd0054-0032,nzd0054-0036,nzd0054-0041,satname
1999-10-04 22:10:38+00:00,336.84,346.71,,,,,,,,,,,,352.39,356.02,377.8,,,,,347.86,336.44,352.98,357.52,,362.55,364.75,,,,381.71,,,375.04,376.59,,,,395.42,364.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.86,,,,,,L7
2001-06-03 22:07:16+00:00,321.39,330.04,,,,275.53,270.9,,,237.59,264.97,260.13,,,,,,,,,,,,,,,,,290.02,,349.29,,,361.32,377.12,,,,367.77,357.12,,,,,,,301.63,300.74,300.53,295.26,,295.45,,,,,,,,,,,,,,,257.23,,,,269.99,,,,,,,279.6,,,,,,,,,,276.84,270.46,,257.43,342.6,,,,L7
2002-02-14 22:06:29+00:00,,238.17,231.45,,,248.75,256.78,,231.4,231.64,232.3,249.26,293.56,318.61,327.79,338.16,,,,,,,,,,,,,,,,,239.58,,,,,,,319.98,,229.38,,,,,312.44,312.77,317.35,308.16,,321.76,231.75,,279.49,269.68,255.95,291.94,,,227.06,225.27,,234.65,,,221.74,219.07,,,231.24,,,,,,,315.13,,247.1,222.87,232.08,,,,362.9,,278.24,287.83,,226.42,,,231.7,,L7
2002-03-18 22:06:22+00:00,308.88,256.54,212.58499999999998,,,248.75,256.78,,232.125,249.73,232.3,249.26,295.21000000000004,318.61,327.79,294.695,,,,322.17,338.62,,,,,346.76,370.87,,291.04,,,308.4,239.58,326.1,390.99,,,,,304.395,,245.7,,,,,312.44,312.77,317.35,308.16,,321.76,247.63,258.98,266.455,261.97,257.78499999999997,282.555,269.49,,245.585,223.145,256.57,246.24,,229.88,221.74,232.855,,,231.24,,304.41,314.65,,,,328.93,359.92,254.35000000000002,236.75,244.615,402.36,,342.8,354.845,354.06,278.24,291.17999999999995,366.19,226.42,,270.52,231.7,310.39,L7
2002-07-08 22:06:00+00:00,308.88,256.54,209.37666666666667,,,234.255,256.78,,221.1,249.73,232.3,249.26,295.21000000000004,318.61,327.79,274.0566666666667,230.21,,,322.17,338.62,,,,,346.76,370.87,,291.04,,,308.4,247.47000000000003,326.1,390.99,,,,,304.395,,245.7,,,,,312.44,312.77,317.35,308.16,,321.76,257.79,272.72,274.29333333333335,261.97,257.78499999999997,282.555,269.49,,245.585,223.145,256.57,253.92,,229.88,221.74,232.855,,,231.24,,304.41,314.65,,,,328.93,359.92,254.35000000000002,230.71666666666667,260.67,402.36,,342.8,354.845,354.06,278.24,291.17999999999995,366.19,214.975,,279.36,245.15,310.39,L7
2002-11-13 22:05:30+00:00,,,202.96,,,219.76,,,199.05,,,,,,,232.78,230.21,,,352.4,,361.49,340.65,382.35,,,,,,,,,255.36,,,,,,400.8,,,,,,,,,,,,,,278.11,286.46,289.97,,,,,,,,,269.28,,,,,,,,,,,,,,,,,218.65,292.78,,,,,,,,,203.53,357.46,288.2,258.6,,L7
2003-01-16 22:06:02+00:00,275.45,264.75,,293.79,,,,,,,258.36,266.13,275.63,289.76,,257.07,260.7,267.78,,337.06,,344.59000000000003,337.16999999999996,382.35,,236.28,251.47,257.41,256.99,242.66,267.73,277.16,,293.24,,,,,356.225,283.88,,,,,,,280.27,273.52,,271.99,,326.55,,,,,,,300.43,,288.39,,275.27,265.36,,258.62,,,242.14,,,,311.5,333.05,,,,334.62,328.09,,,,368.22,,344.81,,314.31,277.78,299.2,,,309.0,269.37,281.63,272.46,L7
2003-12-26 21:56:18+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.44,,,,,,211.33,195.84,194.39,192.19,,188.02,,,,,,,,,,,,,,,,,186.53,,203.75,,,,,,,,184.6,,186.7,186.89,,,,,,,,187.5,,,,201.29,,,,,,,,,,,L5
2004-05-18 21:58:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.44,,,,,,198.05,191.275,193.96499999999997,193.415,,187.96,,,,,,,,,,,,,,,,,186.53,,203.75,,,,,,,,184.6,,186.7,186.89,,,,,,,,187.5,,,,201.29,,,,,,,,,,,L5
2004-08-06 22:00:22+00:00,235.82,,227.59,,,,,,,,,,,,,237.79,257.91,238.24,,,,,,,,,,,,,,,,,,,,184.77,186.71,193.54,194.64,,187.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
