dates,satname,nzd0054-0000,nzd0054-0001,nzd0054-0002,nzd0054-0003,nzd0054-0004,nzd0054-0005,nzd0054-0006,nzd0054-0007,nzd0054-0008,nzd0054-0009,nzd0054-0011,nzd0054-0012,nzd0054-0013,nzd0054-0014,nzd0054-0015,nzd0054-0016,nzd0054-0017,nzd0054-0018,nzd0054-0019,nzd0054-0020,nzd0054-0021,nzd0054-0022,nzd0054-0023,nzd0054-0024,nzd0054-0025,nzd0054-0026,nzd0054-0027,nzd0054-0028,nzd0054-0029,nzd0054-0030,nzd0054-0033,nzd0054-0034,nzd0054-0035,nzd0054-0037,nzd0054-0038,nzd0054-0039,nzd0054-0040,nzd0054-0042,nzd0054-0043,nzd0054-0044,nzd0054-0045,nzd0054-0046,nzd0054-0047,nzd0054-0048,nzd0054-0049,nzd0054-0050,nzd0054-0051,nzd0054-0052,nzd0054-0053,nzd0054-0054,nzd0054-0055,nzd0054-0056,nzd0054-0057,nzd0054-0058,nzd0054-0059,nzd0054-0060,nzd0054-0061,nzd0054-0062,nzd0054-0063,nzd0054-0064,nzd0054-0065,nzd0054-0066,nzd0054-0067,nzd0054-0068,nzd0054-0069,nzd0054-0070,nzd0054-0071,nzd0054-0072,nzd0054-0073,nzd0054-0074,nzd0054-0075,nzd0054-0076,nzd0054-0077,nzd0054-0078,nzd0054-0079,nzd0054-0080,nzd0054-0081,nzd0054-0082,nzd0054-0083,nzd0054-0084,nzd0054-0085,nzd0054-0086,nzd0054-0087,nzd0054-0088,nzd0054-0089,nzd0054-0090,nzd0054-0091,nzd0054-0092,nzd0054-0093,nzd0054-0094,nzd0054-0010,nzd0054-0031,nzd0054-0032,nzd0054-0036,nzd0054-0041
2002-10-12 22:05:14.598000,L7,,,,491.84,412.55,418.73,476.30,442.50,471.14,492.22,493.11,388.80,390.90,383.34,370.41,,523.70,463.24,529.27,,,,516.00,523.17,503.71,540.56,550.96,556.64,388.48,,,377.07,377.31,527.93,496.82,542.39,,,,,,,,,,,,,,,,,441.54,429.46,436.94,,,,,,,,,,,425.03,416.73,437.56,442.07,,,,,,,,,449.08,417.94,428.77,481.90,,,,,,,,,,478.05,,,388.99,
2002-10-28 22:05:22.323000,L7,500.64,498.62,492.07,,,,,,,,480.87,501.05,478.74,,,,,,,520.80,530.35,502.48,512.66,493.92,492.55,494.86,,,,,,,,,,536.75,522.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.99
2002-11-13 22:05:30.425000,L7,388.54,359.73,390.34,385.16,405.28,401.38,388.42,386.54,375.79,380.21,372.56,409.21,395.64,426.27,414.29,397.99,402.35,407.89,400.56,352.40,396.87,361.49,340.65,382.35,398.63,408.74,401.39,396.90,390.40,390.21,,439.95,440.80,430.53,445.56,454.86,398.91,396.86,400.80,451.43,414.66,427.18,430.55,428.60,399.27,429.69,411.66,410.06,430.29,455.73,454.36,468.55,417.88,480.10,439.85,430.57,425.48,424.28,428.82,428.40,433.38,430.68,409.44,460.53,456.51,421.23,408.67,410.76,422.81,427.82,430.65,440.90,413.22,,369.46,388.06,428.43,431.70,423.95,442.44,451.06,454.61,445.23,411.26,463.81,,,431.44,429.51,418.62,,357.46,,436.49,442.27
2003-01-16 22:06:02.914000,L7,275.45,264.75,272.97,293.79,277.89,322.09,300.31,283.58,291.43,320.12,258.36,266.13,275.63,289.76,261.68,257.07,260.70,267.78,271.37,321.72,382.60,327.69,333.69,315.48,258.13,236.28,251.47,257.41,256.99,242.66,267.73,277.16,297.32,293.24,298.94,293.41,296.36,259.42,311.65,283.88,299.22,306.15,291.19,303.15,312.35,286.47,280.27,273.52,261.91,271.99,289.95,326.55,341.38,367.88,369.80,360.72,390.63,374.11,300.43,329.56,288.39,301.50,275.27,265.36,347.54,258.62,270.94,286.82,242.14,270.11,325.46,281.41,311.50,333.05,256.00,266.83,277.18,334.62,328.09,339.98,346.21,343.86,368.22,296.66,344.81,282.71,314.31,277.78,299.20,318.85,275.56,260.54,269.37,281.63,272.46
2003-12-26 21:56:18.593000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.44,184.66,200.87,205.76,204.19,199.65,211.33,195.84,194.39,192.19,191.72,188.02,194.73,211.31,210.96,213.83,212.11,202.75,204.00,193.47,189.52,179.64,186.12,186.69,187.72,200.02,199.81,194.89,186.53,190.79,203.75,198.41,,,,,,,184.60,186.40,186.70,186.89,188.04,191.96,180.80,,,183.90,186.69,187.50,192.02,204.02,205.99,201.29,200.64,197.31,191.73,,,,,,190.00,204.99
2004-05-18 21:58:14.785000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.77,186.71,193.54,194.64,196.90,187.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-06 22:00:22.463000,L5,235.82,224.46,227.59,,,,,,,,,,,,225.02,237.79,257.91,238.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-02 22:12:34.352000,L5,,557.90,330.57,220.55,234.16,376.79,320.14,223.65,220.06,225.66,242.24,267.50,257.39,250.85,356.36,334.64,369.50,217.22,212.97,209.96,214.17,211.57,210.44,213.17,214.77,222.21,210.61,211.76,215.83,218.64,214.98,231.31,234.36,236.75,241.79,237.55,233.15,221.06,224.92,232.12,230.76,230.41,245.38,242.27,239.62,234.15,243.37,245.10,245.23,227.26,222.38,233.82,223.15,221.38,225.09,223.91,233.96,233.27,239.66,249.84,241.43,249.28,249.14,232.67,227.26,228.40,217.06,208.34,210.56,205.33,216.39,223.91,215.81,222.09,220.48,217.53,217.94,211.95,221.11,228.33,222.70,227.06,219.09,214.71,227.73,254.16,242.01,224.35,219.28,239.45,235.45,220.65,220.31,240.84,219.34
2006-12-11 22:06:28.205000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.95,199.27,214.54,218.59,233.08,238.30,236.47,243.99,235.00,229.40,234.20,245.99,257.34,256.93,259.69,262.80,,,,,,,,,290.81,297.09,301.61,297.90,301.22,307.06,,,,,,,,,355.67,359.95,370.54,373.84,383.86,390.52,,,,,,,,,,,,,,,196.84
2007-01-03 22:12:49.248000,L5,248.06,247.79,245.55,247.29,241.64,244.29,248.15,233.60,234.27,232.28,240.06,242.25,241.90,243.51,248.91,247.49,252.38,249.22,251.08,247.99,240.72,239.09,238.95,236.00,233.58,234.86,249.01,251.29,250.91,246.74,255.39,249.86,247.96,253.77,253.81,252.83,259.78,261.92,263.08,267.19,271.30,273.74,261.74,263.18,260.53,262.31,257.69,255.29,257.04,255.88,260.92,255.22,255.00,257.79,261.55,265.59,254.70,247.42,253.72,247.18,242.08,238.28,236.29,241.38,249.79,469.86,477.60,389.60,494.17,239.25,232.40,229.09,225.05,232.66,242.05,249.79,246.90,249.71,238.47,241.22,245.40,254.81,250.74,248.57,245.05,248.81,251.15,247.50,238.01,236.66,238.25,256.62,254.79,253.36,260.13
