dates,satname,nzd0536-0000,nzd0536-0001,nzd0536-0002,nzd0536-0003,nzd0536-0004
1999-11-05 22:13:40.966000,L7,242.37,221.00,244.15,262.85,263.13
1999-11-21 22:13:35.965000,L7,305.66,290.85,297.44,309.08,306.35
1999-12-07 22:13:41.663000,L7,312.08,300.83,302.44,315.52,336.96
1999-12-30 22:19:45.690000,L7,233.40,251.84,318.24,327.31,337.30
2000-09-20 22:11:14.930000,L7,194.20,263.83,269.07,256.31,
2000-09-27 22:17:24.534000,L7,248.94,250.45,295.33,299.86,280.03
2000-10-29 22:17:19.582000,L7,334.92,326.49,324.95,329.28,315.53
2001-02-11 22:11:12.788000,L7,215.54,241.59,298.15,310.24,310.15
2001-04-07 22:17:01.469000,L7,,285.93,265.38,,
2001-11-01 22:15:17.839000,L7,283.04,282.30,280.29,284.43,268.00
2001-11-26 22:09:21.320000,L7,367.45,363.92,364.39,370.94,370.45
2001-12-12 22:09:26.650000,L7,224.77,210.42,220.50,236.37,
2001-12-19 22:15:37.819000,L7,316.58,297.72,302.89,312.37,291.36
2002-02-14 22:09:41.178000,L7,313.81,299.62,303.52,315.20,321.11
2002-03-25 22:15:47.156000,L7,291.34,287.26,152.60,295.77,272.96
2002-12-31 22:09:08.026000,L7,295.40,287.66,286.86,293.39,296.32
2003-02-24 22:15:37.262000,L7,308.91,,,,
2003-03-21 22:09:27.545000,L7,274.02,270.32,270.47,276.77,279.31
2003-08-11 22:03:51.447000,L5,292.44,295.91,289.78,281.99,272.55
2003-10-07 21:58:35.519000,L5,321.01,309.49,305.70,313.69,312.16
2004-03-31 21:59:59.745000,L5,261.57,251.43,257.28,261.07,259.88
2004-04-23 22:06:53.682000,L5,282.10,278.04,276.47,152.59,
2004-05-09 22:07:21.512000,L5,276.35,,,,
2004-05-18 22:01:26.569000,L5,262.11,269.92,273.35,,
2004-08-29 22:10:22.051000,L5,304.32,291.32,292.23,266.78,266.97
2004-11-01 22:11:49.961000,L5,346.17,325.68,323.30,324.24,314.51
2005-05-12 22:14:14.883000,L5,289.83,292.54,278.13,267.31,269.15
2005-07-15 22:14:43.392000,L5,216.28,289.47,,,255.05
2005-08-09 22:08:46.932000,L5,258.68,257.42,254.77,182.44,165.84
2005-08-16 22:15:00.645000,L5,277.07,256.59,257.36,173.28,255.23
2005-09-10 22:08:55.708000,L5,307.89,293.59,293.43,299.18,296.75
2005-09-17 22:15:06.506000,L5,341.45,323.89,319.56,318.86,309.04
2005-11-13 22:09:08.414000,L5,296.33,281.19,281.53,271.30,187.80
2006-01-23 22:16:59.639000,L5,343.44,329.08,320.85,325.40,319.32
2006-03-12 22:18:01.902000,L5,280.07,281.08,288.43,284.65,268.07
2006-04-13 22:18:38.042000,L5,307.49,296.15,301.52,302.17,278.64
2006-07-27 22:13:58.731000,L5,254.45,255.95,278.12,242.89,
2006-08-28 22:14:23.601000,L5,286.73,281.10,291.42,294.23,285.80
2007-01-26 22:21:54.849000,L5,326.05,308.56,303.50,309.05,290.97
2007-02-04 22:15:45.266000,L5,323.02,309.53,305.47,315.46,314.90
2007-02-11 22:21:56.518000,L5,345.43,327.82,322.60,325.39,315.70
2007-10-02 22:13:42.645000,L5,321.09,308.47,302.67,308.85,307.46
2009-01-31 22:12:28.607000,L5,294.59,285.29,287.25,287.59,269.48
2010-11-02 22:16:48.420000,L5,339.87,326.79,320.00,321.63,312.94
2010-11-27 22:10:35.713000,L5,262.81,252.75,247.71,280.13,277.95
2010-12-20 22:16:50.270000,L5,317.53,299.40,300.50,301.89,274.33
