dates,satname,nzd0418-0000,nzd0418-0001,nzd0418-0002,nzd0418-0003,nzd0418-0004,nzd0418-0005,nzd0418-0006,nzd0418-0007,nzd0418-0008,nzd0418-0009,nzd0418-0010,nzd0418-0011,nzd0418-0012,nzd0418-0013,nzd0418-0014,nzd0418-0015,nzd0418-0016,nzd0418-0017,nzd0418-0018,nzd0418-0019,nzd0418-0020,nzd0418-0021,nzd0418-0022,nzd0418-0023,nzd0418-0024,nzd0418-0025,nzd0418-0026,nzd0418-0027,nzd0418-0028,nzd0418-0029,nzd0418-0030,nzd0418-0031,nzd0418-0032,nzd0418-0033,nzd0418-0034,nzd0418-0035,nzd0418-0036,nzd0418-0037,nzd0418-0038,nzd0418-0039,nzd0418-0040,nzd0418-0041,nzd0418-0042,nzd0418-0043,nzd0418-0044,nzd0418-0045,nzd0418-0046,nzd0418-0047,nzd0418-0048,nzd0418-0049,nzd0418-0050,nzd0418-0051,nzd0418-0052,nzd0418-0053,nzd0418-0054,nzd0418-0055,nzd0418-0060,nzd0418-0061,nzd0418-0062,nzd0418-0063,nzd0418-0064,nzd0418-0065,nzd0418-0066,nzd0418-0067,nzd0418-0068,nzd0418-0069,nzd0418-0070,nzd0418-0071,nzd0418-0072,nzd0418-0073,nzd0418-0074,nzd0418-0075,nzd0418-0076,nzd0418-0077,nzd0418-0078,nzd0418-0056,nzd0418-0057,nzd0418-0079,nzd0418-0080
1999-11-21 22:12:47.994000,L7,344.51,334.56,331.84,1660.10,1659.69,1660.94,,,,,,,277.01,277.54,277.69,267.59,,,,,,,,,,,,,259.85,254.52,252.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:12:53.785000,L7,386.60,392.64,382.33,1668.51,1668.59,1668.70,1669.41,355.57,358.17,347.63,356.28,349.11,334.86,340.13,341.12,331.28,337.12,336.70,350.70,336.26,321.49,329.26,332.27,328.68,321.73,300.45,289.10,286.87,293.17,298.30,301.97,296.94,279.71,289.03,296.43,293.97,307.36,311.13,321.57,316.17,315.53,192.91,308.47,292.13,291.04,292.51,279.05,301.34,254.82,261.96,258.38,257.68,261.80,257.52,,,273.07,281.36,285.53,296.12,299.28,302.99,295.30,299.10,306.73,303.80,330.88,281.66,291.32,281.03,276.01,279.52,268.67,,,,,,
2001-01-10 22:10:27.647000,L7,,,,,,,,,,,,,268.33,282.94,281.05,239.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-28 22:07:46.304000,L7,385.66,369.49,366.20,463.90,463.59,470.86,500.52,353.62,344.74,560.84,562.12,521.80,336.98,331.81,329.56,327.87,326.35,317.67,317.52,316.47,316.91,316.11,317.59,312.45,303.79,303.10,290.68,282.99,285.92,279.91,275.09,274.61,257.27,281.33,282.33,277.65,287.19,282.81,289.23,280.04,289.93,302.01,291.05,291.99,286.52,216.81,305.62,308.73,306.74,353.98,365.40,439.11,458.29,485.10,502.14,510.20,246.71,249.62,252.58,270.95,287.29,286.07,294.93,294.11,279.63,330.94,338.27,335.40,379.17,389.17,474.56,456.60,491.67,507.43,518.23,,,,
2003-08-20 21:57:03.003000,L5,358.75,351.88,353.29,1662.07,1663.12,1664.16,1665.23,316.71,315.81,316.62,314.49,319.06,314.60,310.12,306.65,305.22,303.00,298.45,297.98,294.16,292.49,291.36,293.52,284.71,278.61,274.54,271.75,263.90,267.91,255.98,261.21,257.73,237.36,244.51,236.70,242.43,253.96,244.32,260.24,267.39,266.82,275.10,274.48,271.55,265.57,261.70,263.33,260.10,256.43,261.88,253.37,256.56,237.09,,,,214.12,219.91,235.38,246.84,259.93,268.45,274.65,273.70,275.87,288.58,290.28,284.06,287.07,275.31,276.90,250.15,,,,,,,
2003-12-10 21:58:29.659000,L5,361.03,357.65,351.33,1663.59,1665.18,1665.42,1666.37,314.64,310.80,309.86,307.32,306.37,302.81,298.46,305.55,311.88,305.76,302.59,302.98,300.76,300.43,301.07,287.43,278.68,272.07,269.86,262.61,254.35,255.40,245.37,266.54,257.37,239.58,246.79,249.43,255.66,255.36,232.50,250.41,253.14,266.05,265.78,264.85,265.55,269.04,264.92,264.81,262.22,261.93,262.34,263.61,258.96,227.02,,,,205.93,209.61,220.94,246.01,250.60,259.13,268.67,276.85,278.85,290.02,292.37,289.31,287.86,286.61,277.17,234.58,,,,,,,
2004-01-27 21:58:50.060000,L5,348.09,346.67,340.17,1661.82,1662.65,1664.47,1665.08,323.60,320.74,317.82,318.11,313.61,313.16,298.81,299.32,294.91,292.66,292.99,291.50,290.69,288.44,298.33,295.06,290.63,281.87,278.38,274.19,262.07,258.53,247.77,253.42,246.79,232.81,242.54,241.92,247.88,254.73,244.46,260.40,266.02,272.92,275.64,275.38,267.67,261.71,257.55,258.49,254.95,254.75,253.80,250.22,,,,,,214.12,220.08,234.69,253.23,260.83,269.47,270.69,269.62,271.63,283.40,285.05,282.16,278.42,179.56,,,,,,,,,
2004-05-18 22:00:38.480000,L5,326.24,317.01,314.80,1657.59,1658.48,1659.61,1660.32,291.09,287.24,290.13,286.51,287.01,279.14,278.53,277.89,277.37,273.82,273.98,266.42,269.05,263.59,258.20,260.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-22 22:03:12.259000,L5,355.49,352.98,348.02,1662.57,1663.49,1665.41,1664.72,319.68,318.87,319.34,319.21,313.78,310.23,306.34,306.67,302.47,303.24,301.94,296.97,296.65,296.39,292.92,294.74,282.19,279.25,275.72,269.13,260.02,258.88,256.61,256.80,253.15,242.54,242.53,243.18,251.93,254.44,239.44,255.58,257.85,260.57,264.90,270.60,270.06,267.26,261.93,264.14,254.82,,,,,,,,,201.88,215.18,228.43,240.45,250.11,264.44,272.91,275.31,275.80,289.01,284.19,,,,,,,,,,,,
2004-11-10 22:04:59.688000,L5,356.47,352.66,353.12,1661.35,1661.63,1663.05,1663.28,311.23,308.49,306.42,309.28,315.37,312.88,308.80,309.57,307.41,307.23,301.15,301.19,287.41,288.53,286.32,284.95,278.36,270.35,270.12,268.89,259.63,262.97,255.37,257.83,252.50,239.29,247.84,235.84,240.75,242.78,233.34,250.21,253.04,260.24,271.69,268.78,274.93,269.00,265.73,266.18,257.69,,,,,,,,,204.86,209.77,222.26,240.25,256.88,263.13,277.78,276.92,279.89,291.44,287.39,,,,,,,,,,,,
2004-11-26 22:05:17.306000,L5,345.68,338.37,338.73,1661.43,1662.89,1666.14,1666.86,330.36,334.27,328.53,330.33,323.19,318.07,299.30,297.08,296.32,294.36,292.69,294.23,292.30,302.49,304.98,303.48,297.04,290.14,288.78,279.30,272.10,254.39,248.67,251.70,245.94,233.53,240.28,244.16,253.19,257.14,256.40,266.74,273.61,281.07,278.66,269.84,262.16,257.79,254.09,258.22,251.46,,,,,,,,,223.37,226.51,242.29,261.14,264.08,266.38,264.71,265.82,267.56,283.30,196.95,,,,,,,,,,,,
