dates,nzd0418-0000,nzd0418-0001,nzd0418-0002,nzd0418-0003,nzd0418-0004,nzd0418-0005,nzd0418-0006,nzd0418-0007,nzd0418-0008,nzd0418-0009,nzd0418-0010,nzd0418-0011,nzd0418-0012,nzd0418-0013,nzd0418-0014,nzd0418-0015,nzd0418-0016,nzd0418-0017,nzd0418-0018,nzd0418-0019,nzd0418-0020,nzd0418-0021,nzd0418-0022,nzd0418-0023,nzd0418-0024,nzd0418-0025,nzd0418-0026,nzd0418-0027,nzd0418-0028,nzd0418-0029,nzd0418-0030,nzd0418-0031,nzd0418-0032,nzd0418-0033,nzd0418-0034,nzd0418-0035,nzd0418-0036,nzd0418-0037,nzd0418-0038,nzd0418-0039,nzd0418-0040,nzd0418-0041,nzd0418-0042,nzd0418-0043,nzd0418-0044,nzd0418-0045,nzd0418-0046,nzd0418-0047,nzd0418-0048,nzd0418-0049,nzd0418-0050,nzd0418-0051,nzd0418-0052,nzd0418-0053,nzd0418-0054,nzd0418-0055,nzd0418-0056,nzd0418-0057,nzd0418-0058,nzd0418-0059,nzd0418-0060,nzd0418-0061,nzd0418-0062,nzd0418-0063,nzd0418-0064,nzd0418-0065,nzd0418-0066,nzd0418-0067,nzd0418-0068,nzd0418-0069,nzd0418-0070,nzd0418-0071,nzd0418-0072,nzd0418-0073,nzd0418-0074,nzd0418-0075,nzd0418-0076,nzd0418-0077,nzd0418-0078,nzd0418-0079,nzd0418-0080,nzd0418-0081,nzd0418-0082
1999-12-07 22:12:53+00:00,,,,,,,,,,282.7,290.33,265.73,286.33,,289.05,283.53,276.18,233.95,287.47,310.66,312.18,290.46,289.93,279.59,284.01,,276.81,273.95,284.11,264.49,264.52,255.39,,,,,,256.54,262.21,258.16,,,,,,,,,,,,,,,,,,,,,186.58,188.17,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:10:17+00:00,340.73,337.77,,,,,,,,,,,274.95,268.81,274.63,270.79,251.84,219.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-10 22:10:27+00:00,340.73,337.77,,,,,,,,289.18,285.44,288.86,273.44,277.28,279.395,271.98,258.87,245.72000000000003,277.91,272.81,282.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-28 22:07:46+00:00,,,,368.02,370.08,,,,,,,,342.19,336.4,334.2,332.25,329.41,321.53,321.77,320.14,320.56,320.59,322.85,316.41,307.49,312.36,296.13,288.58,288.61,284.99,282.42,282.68,,,,,,,,288.38,,,,,,,,,,356.94,,,,,,379.05,,,,319.58,,,260.01,,,,,,,,,,382.14,,,,,,387.14,,,,336.06
2003-08-20 21:57:03+00:00,,,,,,,,316.71,315.81,316.62,314.49,319.06,314.6,310.12,306.65,305.22,303.0,298.45,297.98,294.16,292.49,291.36,293.52,284.71,278.61,274.54,271.75,263.9,267.91,255.98,261.21,257.73,237.36,244.51,236.7,242.43,253.96,244.32,260.24,267.39,266.82,275.1,274.48,271.55,265.57,261.7,263.33,,,,,,,,,,,,,,214.12,219.91,235.38,246.84,259.93,268.45,274.65,273.7,275.87,288.58,,,,,,,,,,,,,
2003-12-10 21:58:29+00:00,361.03,357.65,351.33,,,,,315.67499999999995,313.305,313.24,310.905,312.71500000000003,308.70500000000004,304.28999999999996,306.1,308.55,304.38,300.52,300.48,297.46000000000004,296.46000000000004,296.21500000000003,290.475,281.695,275.34000000000003,272.20000000000005,267.18,259.125,261.65500000000003,250.675,263.875,257.55,238.47000000000003,245.64999999999998,243.065,249.04500000000002,254.66000000000003,238.41,255.325,260.265,266.435,270.44,269.665,268.55,267.305,263.31,264.07,262.22,261.93,262.34,263.61,258.96,227.02,,,,,,,,210.025,214.76,228.16,246.425,255.265,263.78999999999996,271.65999999999997,275.275,277.36,289.29999999999995,292.37,289.31,287.86,286.61,277.17,234.58,,,,,,,
2004-01-27 21:58:50+00:00,353.99,351.345,345.135,,,,,317.78666666666663,315.25,314.31666666666666,312.73333333333335,312.60999999999996,309.6666666666667,302.01666666666665,303.41,303.62,300.0133333333333,297.46666666666664,297.05,294.6066666666666,293.2266666666667,296.2866666666667,291.48,284.0133333333333,276.95666666666665,273.74333333333334,268.9166666666667,259.4833333333333,260.06,249.04999999999998,259.79333333333335,253.30000000000004,235.92333333333332,243.78333333333333,241.74,247.88,253.95000000000002,239.5533333333333,256.2633333333333,261.5566666666667,268.07,271.55,270.9566666666667,267.7366666666667,264.78333333333336,260.8433333333333,261.45666666666665,257.745,257.52,257.2,256.27,258.96,227.02,,,,,,,,210.57333333333335,215.76999999999998,229.76999999999998,248.08333333333334,256.51666666666665,265.1033333333333,270.81333333333333,272.7166666666667,274.82,286.61999999999995,287.885,284.855,282.23,278.70000000000005,277.17,234.58,,,,,,,
2004-05-18 22:00:38+00:00,347.50333333333333,343.47,338.81666666666666,,,,,312.08,308.7866666666667,308.27000000000004,306.4166666666667,304.8933333333334,300.92,294.32,296.3933333333334,296.9433333333333,292.85999999999996,292.2966666666667,289.6933333333333,288.8233333333333,286.75666666666666,288.84999999999997,283.75,276.4433333333333,268.42333333333335,265.2,267.5,257.275,256.135,245.58499999999998,259.08500000000004,251.08500000000004,235.20499999999998,243.42000000000002,244.26000000000002,250.605,253.945,237.17,254.27499999999998,247.36666666666665,257.82666666666665,260.02666666666664,259.0266666666667,258.11,256.28,260.41499999999996,260.52,257.745,257.52,257.2,256.27,258.96,227.02,,,,,,,,208.8,213.7,216.7733333333333,237.49666666666667,245.17999999999998,253.09,268.89500000000004,264.25333333333333,260.73,285.64,287.885,284.855,282.23,278.70000000000005,277.17,234.58,,,,,,,
2004-08-22 22:03:12+00:00,334.53,327.72,326.18,,,,,292.02,289.99,290.135,288.27,287.6,280.855,279.80999999999995,279.11,276.69,274.315,273.81,267.165,268.565,263.125,262.235,263.095,262.0,253.01,248.91,,,,,,,,,,,,,,224.82,236.09,240.53,238.69,242.67,240.06,,,,,,,,,,,,,,,,,,196.39,215.08,225.92,232.41,,248.31,233.6,,,,,,,,,,,,,,
2004-11-10 22:04:59+00:00,345.895,340.665,340.18,,,,,298.7366666666667,296.4533333333333,295.84666666666664,295.53333333333336,297.16,280.855,289.72666666666663,289.53333333333336,287.35999999999996,285.5566666666667,283.18333333333334,278.81333333333333,275.0833333333333,271.8433333333333,270.62,270.62666666666667,270.81,262.105,259.925,269.82,260.71,264.06,256.42,258.96,253.5,240.47,249.06,236.81,241.85,243.86,235.46,251.39,239.39499999999998,248.715,256.595,254.325,259.40999999999997,255.085,266.91,267.38,258.9,,,,,,,,,,,,,206.21,210.99,209.81,228.22500000000002,241.885,248.35999999999999,279.01,263.16499999999996,257.335,,288.59,,,,,,,,,,,,
2004-11-26 22:05:17+00:00,351.12,345.71500000000003,346.175,,,,,308.7766666666667,308.7266666666667,305.58,306.9033333333333,306.01666666666665,273.35,293.6166666666666,293.16,290.83666666666664,289.55333333333334,286.20666666666665,284.68333333333334,279.93666666666667,281.40333333333336,282.34,281.43333333333334,287.805,280.205,279.20000000000005,274.13,265.71,258.83,251.91500000000002,254.73499999999999,249.13,236.435,244.07999999999998,239.78,246.8,250.035,245.085,258.45,263.255,270.70000000000005,275.14000000000004,269.25,268.80499999999995,263.42,259.975,262.08,254.695,,,,,,,,,,,,,214.075,218.125,232.16,250.69,260.44500000000005,264.63,271.525,271.4,273.78,,284.57,,,,,,,,,,,,
2005-03-02 22:06:47+00:00,351.12,345.71500000000003,346.175,,,,,320.94,321.31,306.59,306.68666666666667,303.3833333333333,270.31,290.9166666666667,290.3966666666667,288.7033333333333,286.93666666666667,283.81333333333333,283.46666666666664,280.71,295.52,295.8,294.22,287.805,280.205,279.20000000000005,274.13,265.71,258.83,251.91500000000002,254.73499999999999,249.13,236.435,244.07999999999998,239.78,246.8,250.035,245.085,258.45,263.255,258.6433333333334,260.05,269.25,254.46333333333334,247.28666666666666,259.975,262.08,254.695,,,,,,,,,,,,,214.075,218.125,232.16,237.99,245.02666666666667,250.4333333333333,271.525,255.31666666666663,273.78,,284.57,,,,,,,,,,,,
2005-08-25 22:08:04+00:00,,,,,,,,,,284.82,280.35,271.39,270.31,264.49,264.33,267.21000000000004,264.07,263.71000000000004,254.77,262.64,,,,,,,,,,,,,,,,,,,,,228.76,231.32999999999998,231.89,225.78,219.46,,,,,,,,,,,,,,,,,,,208.25,215.015,224.01999999999998,235.28,227.435,,,,,,,,,,,,,,,
2005-09-10 22:08:07+00:00,,,302.13,,,,,,,287.87,283.72,284.12,284.0,276.97,272.42,270.79499999999996,266.63,267.045,259.92,258.09,,,,,,,,,,,,,,,,,,,,,224.53500000000003,232.615,230.81,230.96,215.46,,,,,,,,,,,,,,,,,,,204.845,216.245,224.45,234.635,224.495,,,,,,,,,,,,,,,
