dates,satname,nzd0517-0000,nzd0517-0001,nzd0517-0002,nzd0517-0003,nzd0517-0004,nzd0517-0005,nzd0517-0006,nzd0517-0007,nzd0517-0008,nzd0517-0009,nzd0517-0010,nzd0517-0011,nzd0517-0012,nzd0517-0013,nzd0517-0014,nzd0517-0015,nzd0517-0016,nzd0517-0017,nzd0517-0018,nzd0517-0019,nzd0517-0020,nzd0517-0021,nzd0517-0022,nzd0517-0023,nzd0517-0024,nzd0517-0025,nzd0517-0026,nzd0517-0027,nzd0517-0028,nzd0517-0029,nzd0517-0030,nzd0517-0031,nzd0517-0032,nzd0517-0033,nzd0517-0034,nzd0517-0035,nzd0517-0036,nzd0517-0037,nzd0517-0038,nzd0517-0039,nzd0517-0040,nzd0517-0041,nzd0517-0042,nzd0517-0043,nzd0517-0044,nzd0517-0045,nzd0517-0046,nzd0517-0047
2004-10-07 22:17:29.297000,L5,359.19,368.28,351.21,319.52,316.60,340.70,335.59,335.20,340.93,336.27,331.66,339.52,339.03,346.73,351.69,360.67,355.91,356.27,351.73,344.90,,,,342.99,347.29,350.89,353.03,347.97,349.68,351.29,347.44,356.38,360.30,362.91,379.11,375.10,374.61,370.07,365.60,360.56,356.25,351.77,358.70,359.61,362.28,362.17,358.06,384.44
2004-11-01 22:11:49.961000,L5,298.43,318.98,298.79,261.67,255.57,279.75,282.85,283.09,288.94,289.93,286.80,280.05,289.90,277.35,302.52,310.34,311.02,309.08,312.25,291.51,287.47,271.96,253.29,267.23,296.22,279.93,301.25,299.33,284.15,284.21,289.44,287.25,274.78,290.15,244.91,303.85,301.22,296.54,298.84,286.80,171.30,283.79,295.14,227.06,312.12,304.79,293.11,331.95
2005-04-17 22:20:16.383000,L5,282.04,314.96,294.39,252.90,205.51,268.19,272.26,,282.98,281.93,277.88,222.63,276.82,244.23,215.74,167.75,256.23,246.38,257.00,212.33,,,,,,,152.53,289.25,232.02,279.46,256.49,,260.02,138.16,199.92,171.60,230.37,159.11,,,,,,,,,,
2005-05-12 22:14:14.883000,L5,,313.54,293.45,242.14,212.66,273.31,267.01,,285.58,282.19,267.47,222.70,269.34,225.14,205.63,185.15,207.21,224.48,,,,,,,,,,290.71,239.97,267.48,273.64,139.71,186.47,164.71,207.04,170.05,239.22,,,,,264.88,274.02,206.89,162.69,180.09,175.52,
2005-07-31 22:14:53.418000,L5,,,,,,,,,,,268.41,211.86,265.27,227.86,197.29,181.58,,,,,,,,,,,,224.45,242.01,184.67,,136.43,195.65,235.71,173.66,174.20,231.57,142.80,,,,,,,,,,
2005-08-16 22:15:00.645000,L5,,304.58,284.77,243.40,209.09,,,,149.39,270.27,266.74,201.55,270.39,219.43,197.98,263.54,255.69,238.27,245.62,217.92,,,,,,,,271.96,246.43,266.77,258.49,159.47,192.12,225.92,222.63,169.29,229.29,,,,136.12,271.82,267.57,212.28,193.19,253.27,215.59,175.86
2005-09-08 22:21:17.190000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.26,290.73,269.29,306.31,258.35,216.73,260.17,,240.68,299.66,303.67,237.80,315.62,311.89,301.21,328.43
2005-10-10 22:21:11.594000,L5,,,,313.13,308.80,322.61,326.17,325.56,326.87,325.25,320.99,325.32,326.14,330.65,343.00,349.63,348.93,347.61,345.27,338.00,336.17,327.75,332.25,337.59,333.25,338.47,332.17,339.02,328.19,331.30,334.12,334.59,333.48,343.27,345.28,349.33,349.87,341.54,344.77,340.75,347.86,345.95,335.73,347.77,353.50,360.09,363.11,408.35
2006-01-23 22:16:59.639000,L5,325.17,359.17,332.53,309.70,306.64,323.28,323.41,319.00,323.47,320.19,323.96,335.43,331.20,329.48,339.25,349.37,350.70,352.58,349.40,343.10,336.44,334.19,332.56,327.96,338.75,335.49,345.27,340.25,335.23,334.55,342.82,336.08,339.72,345.69,346.22,352.20,350.07,341.83,343.37,341.20,341.78,344.61,346.72,348.28,352.94,352.82,355.28,377.17
2006-02-08 22:17:21.928000,L5,346.88,358.25,342.70,326.01,330.02,352.02,343.18,344.42,341.14,339.12,336.39,336.39,344.13,346.94,357.96,362.06,367.63,368.65,364.51,361.45,352.18,345.91,345.82,344.83,352.71,355.25,358.10,351.93,345.04,345.12,348.74,349.15,352.80,357.23,361.07,366.45,365.86,359.61,361.66,362.35,361.62,358.94,362.89,364.74,366.99,367.20,367.04,405.43
