dates,nzd0411-0000,nzd0411-0001,nzd0411-0002,nzd0411-0003,nzd0411-0004,nzd0411-0005,nzd0411-0006,nzd0411-0007,nzd0411-0008,nzd0411-0013,nzd0411-0014,nzd0411-0015,nzd0411-0016,nzd0411-0017,nzd0411-0018,nzd0411-0019,nzd0411-0020,nzd0411-0021,nzd0411-0022,nzd0411-0023,nzd0411-0024,nzd0411-0025,nzd0411-0026,nzd0411-0027,nzd0411-0009,nzd0411-0010,nzd0411-0011,nzd0411-0012,nzd0411-0028,satname
1999-10-22 22:00:28+00:00,,,,,,,347.98,339.69,338.01,300.64,321.74,297.74,292.49,296.77,277.67,271.96,,,,,288.18,,284.16,259.48,,,,,,L7
2000-01-26 22:00:26+00:00,,,335.79,341.31,359.68,361.68,342.71500000000003,334.025,338.01,300.64,321.74,297.74,292.49,296.77,277.67,271.96,,,,,288.18,,284.16,259.48,,,,,293.25,L7
2000-02-11 22:00:21+00:00,,,340.37,345.755,369.435,363.745,340.56333333333333,330.92,338.01,300.64,321.74,297.74,292.49,296.77,277.67,271.96,,,,,288.18,,284.16,259.48,,,,,293.25,L7
2000-02-27 22:00:16+00:00,,,337.47,344.75333333333333,366.25,363.3633333333334,338.5725,328.4525,338.01,291.1,310.01,287.40999999999997,286.855,290.51,271.87,263.62,,,,,288.18,,284.16,259.48,,,,,293.25,L7
2000-03-30 22:00:09+00:00,,,335.9575,345.53499999999997,365.28499999999997,365.035,338.5725,328.4525,338.01,289.47333333333336,306.84999999999997,283.0366666666667,284.9666666666667,288.16333333333336,268.0933333333333,262.87333333333333,,,,,288.18,,284.16,259.48,,,,,306.68,L7
2000-04-15 21:59:55+00:00,315.59,,332.476,344.224,363.934,362.696,338.5725,328.4525,338.01,289.47333333333336,306.84999999999997,283.0366666666667,284.9666666666667,288.16333333333336,268.0933333333333,262.87333333333333,,,,,288.18,,284.16,268.15,,,,,307.01666666666665,L7
2000-10-08 21:58:00+00:00,315.59,,318.55,338.98,358.53,353.34,,,,,,,,,,,279.07,263.16,255.93,250.42,,,,276.82,,,,,307.69,L7
2000-11-09 21:57:57+00:00,,,,,,,338.45,330.67,,290.25,,,,,,262.77,264.955,263.16,255.93,250.42,,,,,,,,,,L7
2000-11-25 21:57:58+00:00,,,,347.39,,,343.32,331.175,,290.78499999999997,303.9,286.76,282.79,300.09,270.26,262.79999999999995,259.8333333333333,263.16,255.93,250.42,,,,,,,,,,L7
2001-09-25 21:56:04+00:00,,,,,,,,324.21,,288.47,301.43,281.09,280.99,283.69,268.83,258.05,,,,,,,,,,,,,,L7
2001-12-30 21:56:13+00:00,,,,,,,337.76,324.685,,286.33500000000004,300.03499999999997,278.88,279.44,289.23,265.54999999999995,258.05,,,,,,,,,,,,,,L7
2002-03-20 21:56:24+00:00,,,326.94,338.32,357.32,356.67,330.015,324.685,,285.6466666666667,301.23333333333335,277.60999999999996,279.19,287.87666666666667,264.16333333333336,257.92,246.55,,,,,,,,,,,,,L7
2002-10-14 21:55:19+00:00,354.83,357.16,339.18,344.77,361.24,364.61,339.61,323.59,,293.25,309.69,300.68,288.89,297.95,283.19,274.66,258.01,254.61,,,,,,,,,,,,L7
2002-10-30 21:55:25+00:00,354.83,357.16,339.925,346.65,361.12,364.54,335.86,326.39,,288.745,304.08000000000004,289.03999999999996,285.005,289.855,273.25,266.21000000000004,252.365,254.61,,,,,,,,,,,,L7
2004-04-02 21:46:54+00:00,,,319.28,324.16,347.68,353.31,320.45,,,,,,,,,,,,,,,,,,,,,,,L5
2004-09-25 21:51:43+00:00,322.39,333.28,313.49,317.135,339.345,343.845,313.92499999999995,,,,,,,,,,,,,,,,,,,,,,,L5
