dates,satname,nzd0411-0000,nzd0411-0001,nzd0411-0002,nzd0411-0003,nzd0411-0004,nzd0411-0005,nzd0411-0006,nzd0411-0007,nzd0411-0008,nzd0411-0013,nzd0411-0014,nzd0411-0015,nzd0411-0016,nzd0411-0017,nzd0411-0018,nzd0411-0019,nzd0411-0020,nzd0411-0021,nzd0411-0022,nzd0411-0023,nzd0411-0024,nzd0411-0025,nzd0411-0026,nzd0411-0027,nzd0411-0009,nzd0411-0010,nzd0411-0011,nzd0411-0012,nzd0411-0028
2014-02-25 22:08:20.274000,L8,311.79,311.63,295.98,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-13 22:08:09.214000,L8,326.69,330.33,303.86,303.51,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30 22:07:22.351000,L8,326.14,344.59,306.63,314.59,349.40,358.83,318.14,,,,,,,,,,,,,,,,,,,,,,
2014-10-23 22:07:51.237000,L8,362.08,381.91,329.14,332.37,344.49,362.47,332.72,328.01,,,,,,,,,,,,,,,,,,,,,
2014-11-08 22:07:51.967000,L8,368.89,374.24,326.50,325.82,342.37,362.40,330.30,324.62,,,,,,,,,,,,,,,,,,,,,
2014-12-26 22:07:42.898000,L8,362.00,356.14,328.56,329.29,340.80,358.10,331.48,322.22,,283.19,305.06,279.36,283.64,289.93,276.06,261.90,252.80,,,,,,,,,,,,
2015-02-12 22:07:27.072000,L8,363.95,362.98,329.71,327.95,352.65,352.56,330.06,318.00,,,,,,,,,,,,,,,,,,,,,
2015-02-28 22:07:24.273000,L8,370.71,355.73,324.43,323.94,350.89,358.86,319.81,314.81,,286.48,307.87,282.92,285.01,287.74,276.80,260.26,248.41,,,,,,,,,,,,
2015-10-10 22:07:38.780000,L8,356.35,377.61,321.16,,,,,,,283.83,293.45,284.05,278.58,284.63,266.41,256.40,246.76,,,,,,,,,,,,
2015-11-27 22:07:47.119000,L8,354.24,348.11,327.78,331.30,343.21,347.44,327.36,,,284.26,296.28,281.41,278.74,287.13,272.15,264.60,250.61,,,,,,,,,,,,
2015-12-13 22:07:45.395000,L8,356.12,359.02,333.01,331.57,351.04,371.15,343.83,325.08,,290.47,300.01,290.74,284.76,289.72,261.56,253.99,,,,,,,,,,,,,
2016-02-15 22:07:33.404000,L8,350.70,344.15,324.55,336.83,342.20,348.91,326.77,,,293.22,307.34,286.78,287.74,286.90,277.15,265.59,253.98,,,,,,,,,,,,
2016-03-02 22:07:31.352000,L8,344.77,348.93,325.99,334.01,346.86,351.34,331.12,,,290.15,300.96,283.05,282.95,290.12,276.97,267.56,252.49,,,,,,,,,,,,
2016-10-12 22:07:57.049000,L8,344.75,357.85,321.12,327.57,345.04,350.07,317.84,,,302.30,301.84,292.44,284.65,286.38,275.36,265.34,250.03,,,,,,,,,,,,
2016-12-15 22:07:53.950000,L8,348.00,345.60,322.63,324.41,335.37,347.44,324.23,,,,,,,,,,,,,,,,,,,,,,
2017-01-16 22:07:46.911000,L8,355.23,351.49,327.12,330.18,344.93,351.30,330.37,,,290.46,302.16,296.33,286.31,294.72,275.56,266.90,250.20,,,,,,,,,,,,
2017-10-31 22:07:55.807000,L8,357.53,356.33,332.65,335.58,352.28,359.80,331.69,,,297.45,307.65,290.58,287.24,295.23,281.54,275.89,254.71,273.45,245.51,,,,,,,,,,
2018-08-31 22:07:11.120000,L8,356.10,362.30,321.43,331.88,349.22,350.08,317.79,,,286.78,295.79,278.68,281.47,289.50,266.28,266.59,249.73,,,,,,,,,,,,
2018-10-18 22:07:29.549000,L8,355.11,359.18,330.63,337.45,346.83,359.20,328.82,,,292.87,309.22,289.65,283.02,295.85,278.84,266.87,250.21,,,,,,,,,,,,
2018-12-21 22:07:30.529000,L8,364.21,351.03,334.94,334.36,342.80,356.90,339.63,320.04,,,,,,,,,,,,,,,,,,,,,
2019-01-22 22:07:26.086000,L8,364.45,363.97,334.68,338.13,348.63,365.13,338.18,319.20,,285.55,306.76,285.92,283.20,295.55,276.52,264.70,257.63,257.60,,,,,,,,,,,
2019-02-07 22:07:23.498000,L8,358.18,360.31,344.90,344.18,352.78,373.32,339.03,321.32,,285.87,306.88,281.45,283.53,297.51,276.39,261.75,252.30,,,,,,,,,,,,
2019-03-11 22:07:14.802000,L8,358.31,358.75,324.91,334.39,338.63,359.61,327.71,316.88,,,,,,,,,,,,,,,,,,,,,
2019-10-05 22:08:00.157000,L8,366.39,360.99,330.94,348.36,369.26,381.54,339.01,325.12,,,,,,,,,,,,,,,,,,,,,
2019-10-21 22:08:01.720000,L8,375.89,355.88,327.60,341.55,349.94,362.75,343.79,315.56,,,,,,,,,,,,,,,,,,,,,
2019-12-08 22:07:56.574000,L8,357.07,353.21,329.72,341.15,356.09,360.57,335.42,,,,,,,,,,,,,,,,,,,,,,
2020-01-09 22:07:49.551000,L8,384.53,374.63,338.33,347.41,373.42,373.65,363.70,323.09,,294.83,303.74,291.62,284.58,296.66,280.26,266.83,253.52,,,,,,,,,,,,
2020-02-10 22:07:40.719000,L8,357.46,353.24,329.78,335.05,351.30,352.25,331.04,,,,,,,,,,,,,,,,,,,,,,
2020-03-13 22:07:30.028000,L8,358.07,348.92,324.40,337.88,354.49,346.66,317.58,,,287.95,304.00,284.29,283.43,294.57,272.08,263.57,251.04,,,,,,271.13,272.83,,,,,269.60
2020-09-21 22:07:54.687000,L8,364.81,361.90,319.83,329.84,343.07,341.60,314.03,,,,,,,,,,,,,,,,,,,,,,
