dates,nzd0283-0000,nzd0283-0001,nzd0283-0002,nzd0283-0003,nzd0283-0004,nzd0283-0005,nzd0283-0006,nzd0283-0007,nzd0283-0008,nzd0283-0009,nzd0283-0010,nzd0283-0011,nzd0283-0012,nzd0283-0013,nzd0283-0014,nzd0283-0015,nzd0283-0016,nzd0283-0017,nzd0283-0018,nzd0283-0019,nzd0283-0020,nzd0283-0021,nzd0283-0022,nzd0283-0023,nzd0283-0024,nzd0283-0025,nzd0283-0026,nzd0283-0027,nzd0283-0028,nzd0283-0029,nzd0283-0030,nzd0283-0031,nzd0283-0032,nzd0283-0033,nzd0283-0034,nzd0283-0035,nzd0283-0036,nzd0283-0037,nzd0283-0038,nzd0283-0039,nzd0283-0040,nzd0283-0041,nzd0283-0042,nzd0283-0043,nzd0283-0044,nzd0283-0045,nzd0283-0046,nzd0283-0047,nzd0283-0048,nzd0283-0049,nzd0283-0050,nzd0283-0051,nzd0283-0052,nzd0283-0053,nzd0283-0054,nzd0283-0055,nzd0283-0056,nzd0283-0057,nzd0283-0058,nzd0283-0059,nzd0283-0060,nzd0283-0061,nzd0283-0062,satname
1999-08-21 21:46:56+00:00,,339.52,,,,,265.09,250.93,,249.82,267.65,,,,,223.57,,235.78,234.0,263.81,267.52,247.54,255.32,243.1,238.73,236.33,236.27,245.46,240.1,245.47,250.4,260.58,,,,,,,,,,,266.88,,,330.79,,,,,,,,,,280.99,274.39,,277.9,,,,,L7
1999-09-22 21:47:00+00:00,,323.42499999999995,,,,,264.6,236.85000000000002,,249.82,267.65,206.81,,,,223.57,,235.78,234.0,263.81,267.52,247.54,255.32,243.1,238.73,236.33,236.27,245.46,240.1,245.47,250.4,260.58,,,,,,,,,,,266.88,,,330.79,,,183.67,188.9,191.3,,,,,280.99,274.39,,277.9,,,,,L7
1999-10-24 21:46:56+00:00,393.8,323.42499999999995,,,,,264.6,236.85000000000002,,249.82,267.65,206.81,,246.44,243.62,223.56,260.15,249.55,253.57,273.95500000000004,271.83,247.54,255.32,243.1,238.73,236.33,236.27,245.46,240.1,245.47,250.4,260.58,,,,,,,,,,,266.88,,,330.79,,,183.67,188.9,191.3,,,,,280.99,274.39,,277.9,,,,,L7
2000-02-13 21:46:48+00:00,375.07,330.1566666666667,,,,,264.6,225.2266666666667,,249.82,267.65,215.89,218.61,236.23000000000002,226.23000000000002,225.88333333333333,245.07999999999998,249.55,253.57,267.97,268.6433333333333,247.38,253.115,239.66,235.97,237.91000000000003,232.775,232.29500000000002,238.475,242.42000000000002,252.07,258.155,249.45,239.45,247.29,251.89,267.39,334.5,,,271.23,256.19,269.23,,236.22,327.26,,,198.795,201.95499999999998,201.495,,,,,280.99,290.28,,293.685,303.4,,,,L7
2000-05-19 21:46:07+00:00,356.34,343.62,,,,,,202.505,,226.26,256.91,236.265,222.685,221.945,211.865,221.66500000000002,223.175,227.69,235.7,248.305,257.56,246.45999999999998,246.85,234.45499999999998,230.97500000000002,230.685,226.155,222.14,228.155,239.32999999999998,246.575,247.83499999999998,240.39,235.64999999999998,243.70499999999998,249.26,267.39,334.5,,,266.225,259.775,263.88,,238.24,323.73,,233.48,214.51999999999998,215.01,211.69,,,,,,306.17,,309.47,303.4,,,,L7
2000-08-07 21:45:08+00:00,357.53,339.73,,,350.62,360.74,,202.505,,256.85,275.735,236.265,222.685,221.945,211.865,221.66500000000002,223.175,227.69,235.7,248.305,257.56,246.45999999999998,246.85,234.45499999999998,230.97500000000002,230.685,226.155,222.14,228.155,239.32999999999998,246.575,254.20333333333335,247.48000000000002,245.63666666666666,251.35333333333332,255.58333333333334,273.435,337.56,,340.76,266.225,259.775,263.88,311.88,254.6,323.73,,233.48,214.51999999999998,215.01,211.69,,,,,,306.17,,309.47,292.03,230.92,,,L7
2000-12-13 21:44:28+00:00,358.72,335.84,,,349.08000000000004,357.625,,,,287.44,314.305,,,,,,,,,,,,,,,,,,,,,266.94,261.66,265.61,266.65,268.23,279.48,348.03499999999997,,358.39,,,,328.855,287.32,358.75,,,,,,,,,,,,,,280.66,230.92,,,L7
2001-04-04 21:44:06+00:00,,,,,347.54,354.51,,,,,291.415,236.33,219.39,215.54,213.29,211.78,218.51,228.14,244.03,249.13,259.64,240.05,243.11,233.03,231.13,221.35,229.57,224.9,222.09,234.17,242.92,247.75,231.4,235.93,243.14,235.3,258.65,309.82,275.1,333.84000000000003,264.2,265.19,260.24,345.83,249.28,358.75,,235.61,221.53,226.53,220.52,223.79,233.93,230.09,256.38,260.68,,,,188.47,195.54,222.28,197.63,L7
2001-04-20 21:44:10+00:00,305.24,281.48,269.02,260.7,294.33000000000004,354.51,245.31,,265.67,273.17,285.7266666666667,247.15500000000003,232.43,226.24,227.725,228.83499999999998,229.235,228.14,244.03,249.13,259.64,240.05,252.805,241.735,237.875,225.685,234.075,234.835,227.43,243.815,252.35500000000002,251.6,240.45499999999998,246.225,249.45999999999998,247.71,265.105,296.29,282.88,321.0133333333333,276.78,269.52,260.24,345.83,249.28,358.75,,235.61,221.53,231.61,222.15,223.79,233.93,230.09,256.38,260.68,338.2,,,189.08499999999998,195.23,219.55,195.575,L7
2001-05-22 21:43:54+00:00,312.095,295.6,256.325,250.505,287.8966666666667,354.51,256.595,219.77,265.67,273.17,274.0425,241.24333333333334,224.87666666666667,219.87333333333333,219.31333333333336,221.21666666666667,223.16,225.15499999999997,235.445,239.20999999999998,245.02999999999997,231.835,242.30333333333337,234.4333333333333,230.43666666666664,218.9,227.36666666666667,222.43666666666664,218.04666666666665,240.98333333333335,249.23666666666668,247.71,238.60666666666665,242.51,244.25333333333333,248.86,262.62666666666667,287.2525,276.05333333333334,308.735,268.64000000000004,267.6066666666666,260.20500000000004,345.83,242.79500000000002,358.75,,225.33,214.91500000000002,225.48333333333335,220.8166666666667,230.45499999999998,241.005,241.465,253.64999999999998,248.38,338.2,,,194.05999999999997,199.09666666666666,220.78666666666666,197.83333333333334,L7
