dates,satname,nzd0283-0000,nzd0283-0001,nzd0283-0002,nzd0283-0003,nzd0283-0004,nzd0283-0005,nzd0283-0006,nzd0283-0007,nzd0283-0008,nzd0283-0009,nzd0283-0010,nzd0283-0011,nzd0283-0012,nzd0283-0013,nzd0283-0014,nzd0283-0015,nzd0283-0016,nzd0283-0017,nzd0283-0018,nzd0283-0019,nzd0283-0020,nzd0283-0021,nzd0283-0022,nzd0283-0023,nzd0283-0024,nzd0283-0025,nzd0283-0026,nzd0283-0027,nzd0283-0028,nzd0283-0029,nzd0283-0030,nzd0283-0031,nzd0283-0032,nzd0283-0033,nzd0283-0034,nzd0283-0035,nzd0283-0036,nzd0283-0037,nzd0283-0038,nzd0283-0039,nzd0283-0040,nzd0283-0041,nzd0283-0042,nzd0283-0043,nzd0283-0044,nzd0283-0045,nzd0283-0046,nzd0283-0047,nzd0283-0048,nzd0283-0049,nzd0283-0057,nzd0283-0058,nzd0283-0059,nzd0283-0060,nzd0283-0061,nzd0283-0062,nzd0283-0050,nzd0283-0051,nzd0283-0052,nzd0283-0053,nzd0283-0054,nzd0283-0055,nzd0283-0056
1999-08-21 21:46:56.985000,L7,583.54,321.22,305.01,300.60,301.08,268.00,297.46,278.25,262.16,269.44,272.65,271.14,256.43,250.14,251.45,252.81,257.98,267.70,283.98,278.01,308.30,286.74,276.97,271.52,307.98,261.61,269.93,284.64,264.18,277.20,280.33,270.57,291.45,260.06,321.34,334.80,329.48,346.64,324.05,386.50,303.49,376.39,348.17,373.71,301.04,265.51,266.39,256.58,295.27,322.29,336.48,340.51,354.83,328.69,359.81,346.72,,,,,,,
1999-10-24 21:46:56.203000,L7,633.44,286.78,267.73,272.77,297.62,301.28,297.77,265.13,303.99,314.14,317.61,302.68,294.80,275.22,278.01,287.65,294.33,299.56,321.70,309.93,311.06,305.88,301.82,298.55,292.04,289.33,290.15,287.39,318.41,321.11,315.26,317.39,305.96,311.30,318.07,309.17,311.12,283.11,327.60,374.89,333.79,335.21,306.34,314.29,281.01,277.61,255.05,253.44,248.49,240.29,302.28,314.42,296.19,322.81,,,251.73,269.21,299.97,277.50,331.28,290.29,293.90
2000-02-13 21:46:48.016000,L7,631.66,264.45,301.39,303.71,313.72,304.72,306.86,290.46,281.00,280.82,282.29,250.16,240.06,248.44,236.11,247.18,251.46,259.66,275.41,277.47,284.76,265.70,260.20,261.63,260.46,252.29,258.60,253.28,263.18,261.31,292.83,277.63,282.04,304.60,283.91,265.16,276.20,321.93,343.12,317.88,299.79,284.06,291.06,343.22,332.38,315.59,236.93,233.59,305.39,290.51,344.36,333.92,330.02,335.41,343.31,342.08,290.47,304.03,303.79,304.35,305.41,266.33,317.71
2000-05-19 21:46:07.873000,L7,583.45,309.53,299.02,290.95,286.60,293.88,278.47,259.68,247.74,252.95,270.21,289.38,248.21,278.77,282.32,271.37,285.32,267.87,294.45,303.56,317.38,281.71,278.73,253.81,290.33,246.32,298.24,343.76,368.13,262.10,341.99,276.54,300.98,303.24,264.75,259.59,270.26,275.71,279.58,294.47,284.51,324.30,328.92,367.07,325.59,269.21,311.42,265.49,255.85,252.83,300.01,301.40,328.53,317.16,339.04,,339.51,331.81,329.62,349.58,289.56,278.74,321.94
2000-08-07 21:45:08.975000,L7,591.80,311.05,298.06,301.35,321.80,316.50,306.71,296.21,285.21,275.98,286.61,284.98,269.34,260.31,256.90,259.23,270.12,286.03,288.16,286.33,304.80,288.65,288.30,272.88,283.40,271.83,279.12,267.03,264.39,275.03,307.93,321.78,260.78,263.51,273.43,260.65,272.06,351.70,347.37,359.65,354.90,352.29,,,,339.62,261.88,265.74,264.23,251.44,289.24,290.91,296.41,311.77,322.49,337.07,256.75,258.01,255.87,259.55,270.47,278.03,282.87
2000-10-26 21:44:22.850000,L7,273.84,317.75,344.62,,271.30,266.66,263.79,252.19,274.64,300.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-27 21:44:26.720000,L7,,,,,,,,,,,,,,,,322.53,228.75,238.59,241.52,250.08,259.73,,,,,,,249.52,279.13,251.25,293.71,265.90,285.38,296.44,347.98,,365.82,303.99,292.48,325.67,308.77,322.89,,,,,259.77,265.96,296.69,301.27,333.98,314.99,368.95,,,,303.98,274.82,306.17,314.57,303.27,314.86,327.01
2000-12-13 21:44:28.287000,L7,344.45,327.67,332.92,328.95,319.95,329.76,322.69,311.44,325.73,316.56,313.82,294.47,287.21,289.16,279.04,281.74,284.63,290.12,305.41,311.83,320.47,312.27,311.15,308.95,304.01,304.07,292.10,310.70,317.05,325.69,320.88,324.56,335.18,320.25,325.79,327.11,338.27,348.84,358.10,362.42,362.97,352.41,337.01,322.41,340.97,339.33,337.53,344.10,329.81,322.63,361.06,359.02,350.98,353.41,366.49,371.98,322.31,330.93,339.02,348.42,330.43,338.99,354.90
2001-01-14 21:44:33.150000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.55,284.87,294.44,240.98,238.94,232.34,229.32,273.39,299.44,293.86,280.28,292.01,300.83,305.55,271.79,261.40,258.55,269.40,269.82,274.88,281.93
2001-04-04 21:44:06.948000,L7,630.59,316.32,320.40,316.47,317.83,321.17,322.83,319.96,302.32,309.61,326.51,317.60,291.71,263.71,264.52,310.65,302.44,304.70,320.32,336.47,344.75,337.36,326.42,291.07,289.31,285.56,284.50,279.71,302.52,319.15,320.95,316.49,297.74,302.25,297.41,306.72,317.89,323.56,362.16,344.29,394.06,308.41,312.21,,291.89,288.27,323.03,253.06,296.74,280.22,331.37,348.08,325.93,349.89,,,291.14,288.73,292.88,312.37,313.46,326.66,336.03
2001-04-20 21:44:10.657000,L7,312.46,303.10,296.76,290.98,298.19,310.74,292.35,284.78,269.06,281.39,278.32,268.55,251.81,245.02,287.08,297.11,290.21,265.91,274.27,279.34,284.66,275.13,266.27,255.42,255.45,253.68,255.98,253.05,263.00,263.46,276.37,282.26,272.44,280.16,282.80,283.41,291.14,307.06,316.68,328.91,354.20,322.38,295.24,287.33,285.00,278.52,259.69,327.18,280.54,275.26,354.53,360.30,274.61,240.01,355.48,373.38,277.87,321.61,282.40,273.68,277.26,286.79,337.60
2001-05-22 21:43:54.652000,L7,594.94,303.24,301.25,287.33,288.03,287.00,265.07,253.59,268.98,263.22,281.27,271.24,253.66,249.46,246.05,249.86,254.67,267.79,280.27,283.95,301.27,292.75,286.26,297.88,265.90,289.23,269.25,261.15,305.12,268.04,300.57,275.27,274.29,267.23,277.71,373.68,308.84,369.44,353.90,331.54,338.15,348.70,335.56,312.63,320.12,261.29,303.36,333.29,283.91,273.76,306.31,290.90,289.77,303.99,319.52,318.27,321.61,307.12,274.41,279.92,272.53,279.50,289.18
2001-07-25 21:43:18.753000,L7,311.89,294.91,285.47,281.99,269.46,286.40,265.21,243.92,212.64,218.68,236.00,226.82,211.86,,,,286.83,303.50,299.03,297.75,359.30,326.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.24,,,,,,229.14,225.52,231.77,237.78,243.09,248.76,261.54
2001-09-11 21:42:38.257000,L7,632.92,305.95,301.27,294.91,298.83,306.01,303.22,276.35,279.82,305.62,284.29,278.03,261.99,255.21,259.13,261.12,264.12,272.30,284.66,294.20,300.94,293.00,286.99,324.71,276.50,291.81,288.20,298.10,318.17,342.00,330.89,,323.39,316.04,303.53,309.23,316.52,314.93,331.49,365.41,308.57,314.48,353.89,334.21,278.20,315.94,322.85,327.89,330.63,323.44,351.98,357.70,339.43,347.98,354.78,375.92,325.91,322.52,330.76,331.75,334.63,339.84,346.85
2001-09-27 21:42:29.269000,L7,584.66,318.96,321.30,323.19,335.97,339.19,337.99,332.27,315.14,304.73,333.96,323.81,282.60,304.48,288.92,296.91,304.74,304.55,293.43,318.27,310.99,303.29,330.72,306.55,325.95,279.77,318.26,306.68,341.48,299.69,345.29,346.12,293.83,339.01,342.36,352.00,323.32,356.24,356.53,344.44,350.58,333.01,333.26,316.35,253.82,329.19,272.75,262.05,291.26,298.12,331.62,366.69,349.14,345.42,362.88,,323.93,289.30,311.05,295.22,321.71,329.02,353.10
2001-10-13 21:42:15.922000,L7,638.86,327.24,322.17,336.52,336.85,343.32,332.31,324.73,311.69,231.24,315.60,280.24,298.98,295.35,270.08,260.26,261.36,307.90,322.17,319.01,291.70,307.40,288.37,294.89,300.08,277.69,303.45,307.54,286.66,290.22,325.05,303.80,307.10,255.03,257.83,259.71,335.52,326.19,368.74,386.48,377.99,291.33,270.60,269.03,258.04,250.31,251.23,249.96,245.31,247.92,,,347.52,296.44,300.77,296.48,244.75,249.57,252.55,261.40,306.11,332.82,
2001-10-29 21:42:21.289000,L7,590.67,324.12,,326.70,341.50,345.06,335.27,331.61,328.22,288.84,280.12,309.79,286.79,293.93,296.34,298.17,294.58,308.01,319.68,310.66,326.26,321.91,316.89,295.84,307.32,306.49,306.24,292.89,311.83,307.67,296.53,303.68,316.45,320.29,341.62,331.09,348.02,360.19,371.75,375.61,340.64,338.15,336.21,349.96,289.85,317.33,332.84,312.67,280.87,303.16,339.05,347.58,343.75,336.68,336.39,336.75,322.01,309.75,315.69,328.37,335.53,319.53,350.89
