dates,satname,nzd0049-0000,nzd0049-0001,nzd0049-0002,nzd0049-0003,nzd0049-0004
1999-09-27 22:04:25.056000,L7,399.43,371.51,403.86,357.86,399.48
1999-10-04 22:10:38.131000,L7,386.52,341.44,311.73,,327.46
1999-11-14 22:04:18.343000,L7,402.99,,,364.65,370.89
1999-11-21 22:10:24.244000,L7,491.73,356.16,284.06,,
2000-02-09 22:10:19.398000,L7,553.49,396.22,404.62,397.59,404.55
2000-04-29 22:09:53.797000,L7,316.23,336.82,328.57,345.85,356.17
2000-05-15 22:09:42.527000,L7,535.77,361.80,378.71,,
2000-05-24 22:03:22.722000,L7,,335.63,323.71,363.48,371.94
2000-06-16 22:09:26.713000,L7,415.02,355.72,355.01,352.29,356.49
2000-08-03 22:08:44.137000,L7,,340.70,323.73,348.88,347.12
2000-08-12 22:02:30.151000,L7,,,,375.16,399.88
2000-08-19 22:08:38.248000,L7,,,,339.32,345.77
2000-09-13 22:02:02.316000,L7,466.50,331.27,,,335.83
2000-11-07 22:07:53.532000,L7,400.62,362.04,367.14,353.60,356.93
2001-03-08 22:01:45.126000,L7,,,,355.96,367.17
2001-03-24 22:01:35.778000,L7,,,,,365.03
2001-06-19 22:07:05.722000,L7,,,400.03,392.92,397.39
2001-09-07 22:06:11.116000,L7,,,,,350.97
2001-10-02 21:59:40.713000,L7,371.43,400.04,403.02,368.44,371.48
2001-11-19 21:59:56.393000,L7,403.78,403.06,281.42,359.98,371.13
2001-12-05 21:59:55.034000,L7,,,,,358.00
2001-12-21 22:00:05.972000,L7,410.43,395.97,,356.28,371.76
2001-12-28 22:06:14.106000,L7,498.57,,,343.68,346.67
2002-01-22 22:00:16.971000,L7,418.28,,,361.90,369.59
2002-01-29 22:06:21.478000,L7,,,,343.22,342.99
2002-02-14 22:06:29.522000,L7,555.74,395.50,397.48,409.90,
2002-02-23 22:00:19.685000,L7,409.59,,,357.30,371.11
2002-03-27 22:00:13.634000,L7,,333.91,336.19,364.10,376.06
2002-06-15 21:59:55.710000,L7,,,,354.36,295.10
2002-07-08 22:06:00.488000,L7,564.04,,,,
2002-07-17 21:59:44.793000,L7,,340.78,336.34,335.17,374.26
2002-10-12 22:05:14.598000,L7,399.01,,,347.03,351.83
2002-10-28 22:05:22.323000,L7,535.57,,,,
2002-11-22 21:59:33.639000,L7,281.33,337.50,283.18,359.33,400.81
2003-01-09 21:59:45.950000,L7,418.52,413.60,333.64,346.98,378.82
2003-04-06 22:06:21.012000,L7,,,,341.55,345.46
2003-04-22 22:06:19.091000,L7,541.26,,,,
2003-05-24 22:06:17.162000,L7,,,,339.25,321.57
2003-12-26 21:56:18.593000,L5,452.00,324.13,338.60,337.15,348.44
2004-06-12 21:52:47.645000,L5,,357.96,353.03,353.44,368.31
2004-09-16 21:55:17.605000,L5,472.44,372.91,378.55,380.79,392.57
2004-10-18 21:55:59.918000,L5,363.81,352.83,334.52,341.73,360.18
2004-11-19 21:56:31.297000,L5,368.93,354.09,339.91,344.42,
2005-01-13 22:03:41.143000,L5,360.57,315.80,323.39,333.48,
2005-02-14 22:04:09.465000,L5,372.60,354.12,350.84,,
2005-02-23 21:58:07.648000,L5,357.20,339.07,,,363.79
2005-03-02 22:04:24.338000,L5,370.08,348.65,332.81,330.68,339.59
2005-03-27 21:58:27.646000,L5,,,,,363.38
2005-04-03 22:04:40.528000,L5,352.34,319.59,335.36,331.97,344.08
2005-04-12 21:58:31.220000,L5,332.70,314.86,332.00,335.88,365.19
2005-06-06 22:05:05.724000,L5,,349.14,329.85,322.99,337.51
2005-07-08 22:05:15.796000,L5,,346.77,322.40,328.93,337.06
2005-08-25 22:05:41.221000,L5,358.67,359.29,336.77,336.04,346.64
2005-09-03 21:59:32.312000,L5,,,351.34,367.33,378.31
2005-09-26 22:05:42.687000,L5,363.33,344.31,324.77,324.41,333.68
2005-10-05 21:59:29.384000,L5,370.08,358.77,361.15,355.19,368.72
2005-11-13 22:05:57.059000,L5,377.62,358.58,350.56,350.49,349.26
2006-02-10 22:01:51.332000,L5,359.95,350.56,344.77,344.97,368.42
2006-02-17 22:08:11.136000,L5,376.27,352.21,343.35,346.28,352.18
2006-03-14 22:02:31.280000,L5,351.02,318.67,351.67,355.40,363.52
2006-04-06 22:09:08.139000,L5,357.58,351.98,336.53,337.57,344.42
2006-05-17 22:03:33.996000,L5,,,349.76,356.95,366.30
2006-08-12 22:10:59.603000,L5,,345.58,334.29,331.35,340.37
2006-08-21 22:04:55.513000,L5,,351.22,351.10,355.94,360.58
2006-08-28 22:11:11.674000,L5,365.46,353.52,333.19,330.64,341.04
2006-09-13 22:11:23.474000,L5,359.62,343.06,327.90,326.67,334.34
