dates,nzd0053-0000,nzd0053-0001,nzd0053-0002,nzd0053-0003,nzd0053-0004,nzd0053-0005,nzd0053-0006,nzd0053-0007,nzd0053-0008,nzd0053-0009,nzd0053-0010,nzd0053-0011,nzd0053-0012,satname
2005-04-12 21:58:31+00:00,333.61,333.2125,325.572,334.14166666666665,334.4783333333333,342.79333333333335,335.0833333333333,336.3933333333333,344.166,361.696,380.5833333333333,,368.648,L5
2005-06-06 22:05:05+00:00,330.08250000000004,326.2233333333333,318.86750000000006,333.0416666666667,331.8383333333333,341.20166666666665,325.814,328.0559999999999,349.375,361.696,381.265,,369.44166666666666,L5
2005-07-08 22:05:15+00:00,330.08250000000004,326.2233333333333,318.86750000000006,333.0416666666667,335.6871428571429,343.9242857142857,331.7483333333334,328.0559999999999,351.5971428571429,361.696,381.31399999999996,,366.60857142857145,L5
2006-02-10 22:01:51+00:00,322.72,320.55,319.8,,314.51,325.06,313.82,319.42,344.55,355.54,331.39,,368.3,L5
2006-02-17 22:08:11+00:00,340.005,338.24,325.475,,316.825,330.83000000000004,319.0,316.23,338.0,349.88,327.74,376.99,356.70000000000005,L5
2006-03-14 22:02:31+00:00,340.005,338.24,325.475,,316.92333333333335,329.1566666666667,318.66,317.5266666666667,337.30333333333334,350.3,324.26,376.99,357.78000000000003,L5
2006-06-25 22:10:20+00:00,340.005,338.24,325.475,358.44,325.435,339.1625,327.32,330.71500000000003,343.7825,354.4925,335.94,378.315,350.88,L5
2006-08-21 22:04:55+00:00,331.53,331.01,329.19,341.94,336.12,351.0,342.49666666666667,351.03666666666663,349.56500000000005,359.105,344.14,379.64,347.64000000000004,L5
2006-09-13 22:11:23+00:00,331.53,331.01,329.19,345.5833333333333,344.35999999999996,363.08,355.76,364.1766666666667,362.395,374.895,376.9,384.58,348.7,L5
2006-09-29 22:11:34+00:00,347.385,347.26,341.02,348.9475,344.3975,364.2325,356.5425,365.215,362.27,372.5,373.56666666666666,383.20666666666665,344.8075,L5
2007-02-13 22:06:23+00:00,337.4866666666667,341.23,332.2766666666667,345.7833333333333,333.005,362.5833333333333,344.5825,349.5675,353.42,372.26000000000005,373.8666666666666,384.98999999999995,357.5525,L5
2007-09-25 22:04:24+00:00,,,,339.63,326.94,358.73,328.82,341.92,364.41,378.7,,,,L5
2007-10-02 22:10:31+00:00,,,,350.63,343.28,360.81,338.76,336.96500000000003,357.925,361.705,,,,L5
2008-11-21 22:01:05+00:00,,,,,,,,,,,,,377.12,L5
2008-12-16 21:55:41+00:00,324.55,327.08,316.61,328.34,323.43,335.1,319.81,323.31,350.2,362.89,366.13,,370.2,L5
2009-01-01 21:56:07+00:00,324.55,327.08,316.61,328.34,323.43,335.1,310.855,317.71500000000003,347.615,357.61,366.13,379.35,367.03666666666663,L5
2009-01-24 22:02:55+00:00,324.55,327.08,316.61,328.34,323.43,335.1,310.855,317.71500000000003,347.615,357.61,366.13,344.93,357.7575,L5
2009-02-02 21:56:58+00:00,324.55,327.08,316.61,324.065,319.03,328.885,311.55333333333334,316.1166666666667,345.2833333333333,355.07666666666665,365.445,346.3933333333334,360.62199999999996,L5
2009-12-03 22:01:55+00:00,,333.17,323.82,345.8,339.75,352.09,329.06,349.19,367.67,382.87,,,356.45,L5
2010-11-27 22:07:24+00:00,351.16,,358.08,367.63,367.0,348.3,331.63,331.17,349.37,348.97,350.32,375.98,343.07,L5
2011-03-12 22:01:19+00:00,351.16,320.5,340.05499999999995,351.78,346.14,337.07,326.47,342.39,353.735,364.295,369.11,388.01,357.195,L5
2011-08-19 22:00:12+00:00,,320.5,322.03,335.93,322.01,345.715,312.4,352.61,361.45500000000004,372.78499999999997,387.9,379.885,358.155,L5
2011-09-04 22:00:03+00:00,339.25,329.04499999999996,330.41499999999996,341.14,333.15333333333336,355.5533333333333,332.3866666666667,352.61,361.45500000000004,372.78499999999997,387.9,379.885,358.1366666666667,L5
