dates,nzd0305-0000,nzd0305-0001,nzd0305-0002,nzd0305-0003,nzd0305-0004,nzd0305-0005,nzd0305-0006,nzd0305-0007,nzd0305-0008,nzd0305-0009,nzd0305-0010,nzd0305-0011,nzd0305-0012,nzd0305-0013,nzd0305-0014,nzd0305-0015,nzd0305-0016,nzd0305-0017,nzd0305-0018,nzd0305-0019,nzd0305-0020,nzd0305-0021,nzd0305-0022,nzd0305-0023,nzd0305-0024,nzd0305-0025,nzd0305-0026,nzd0305-0027,nzd0305-0028,nzd0305-0029,nzd0305-0030,nzd0305-0032,nzd0305-0033,nzd0305-0031,nzd0305-0034,nzd0305-0035,nzd0305-0036,nzd0305-0037,satname
1999-08-21 21:47:20+00:00,348.49,336.87,310.57,319.58,320.39,322.36,314.73,308.58,,,351.03,,337.3,332.68,199.16,314.93,,,,,,348.35,,,,,,,,329.33,346.09,,,,,,211.49,254.71,L7
1999-09-22 21:47:24+00:00,348.49,336.87,310.57,319.58,320.39,326.03,314.73,320.37,,,351.03,372.5,337.3,332.68,199.16,314.93,,,,,,348.35,364.24,,,,,,352.78,329.33,352.09,,,,,,211.49,254.71,L7
1999-09-29 21:53:40+00:00,348.49,336.87,310.57,319.58,320.39,326.03,314.73,324.59999999999997,322.5,,357.05999999999995,372.5,337.3,332.68,199.16,314.93,334.39,,,,,348.35,364.24,,,,352.97,,353.885,337.765,352.09,,,,,,208.325,254.71,L7
1999-10-24 21:47:20+00:00,348.49,336.87,310.57,319.58,320.39,326.03,321.495,322.3125,321.8,,357.05999999999995,372.5,337.3,332.68,199.16,314.93,334.39,,,,,348.35,364.24,,,,351.625,,353.885,337.765,357.24333333333334,,,,,,208.325,254.71,L7
2000-01-19 21:53:25+00:00,357.70500000000004,344.545,325.13,319.58,320.39,326.03,321.495,322.3125,321.8,,357.05999999999995,372.5,337.3,332.68,199.16,314.93,334.39,,,,,348.35,364.24,,,,339.66333333333336,314.06,353.885,330.3233333333333,350.0075,314.3,,325.29,,,213.26999999999998,248.765,L7
2000-05-03 21:46:43+00:00,366.92,352.22,339.69,,333.43,,,,,,,360.78,,340.23,,328.79,,,,330.85,,,,,,,315.74,333.72,349.93,315.44,342.96000000000004,314.3,,343.315,,336.01,211.13,238.91,L7
2000-05-19 21:46:31+00:00,360.21000000000004,352.22,330.875,327.81,329.66499999999996,,328.07,331.67,337.73,,,360.78,339.69,340.23,,328.79,333.98,,,330.85,,,,,,,315.74,343.59666666666664,350.3,315.44,342.96000000000004,314.3,,345.2633333333333,,336.01,211.13,238.91,L7
2000-05-26 21:52:36+00:00,352.9266666666667,337.45000000000005,317.13,311.37,317.0733333333333,323.48,315.695,313.02,309.595,322.44,360.66,349.75,319.745,318.03499999999997,197.85,313.01,323.32500000000005,321.46,295.05,333.925,337.43,350.14,360.52,,,348.34,298.235,343.59666666666664,350.3,309.26,342.96000000000004,333.92,352.27,345.2633333333333,,336.33,211.13,238.91,L7
2000-07-13 21:52:07+00:00,348.5475,331.94666666666666,309.5425,309.0566666666667,314.315,317.52,311.98,308.87333333333333,303.72,329.15,358.425,349.34,320.48,319.29,197.85,308.23,319.27000000000004,321.46,292.99,333.925,337.43,350.14,360.52,,,344.265,298.235,343.59666666666664,350.3,312.55333333333334,334.06,339.4433333333333,350.435,344.3275,,323.63666666666666,213.17,238.91,L7
2000-07-29 21:51:50+00:00,347.0175,331.6333333333333,299.49333333333334,309.0566666666667,314.315,317.52,319.0425,308.87333333333333,310.5975,329.15,358.425,349.34,320.48,319.29,197.85,308.23,319.27000000000004,321.46,292.99,333.925,337.43,350.14,360.52,,,344.265,280.73,358.365,350.3,311.11,336.94000000000005,352.015,350.435,350.67333333333335,,323.63666666666666,208.175,235.0,L7
2000-08-07 21:45:32+00:00,348.63199999999995,334.61,306.025,309.0566666666667,317.21,322.80333333333334,320.854,312.39,313.466,329.15,360.55333333333334,349.34,320.48,319.29,197.85,315.1675,319.27000000000004,321.46,292.99,333.925,338.375,350.14,360.52,,,344.265,280.73,344.21000000000004,347.9166666666667,311.11,336.94000000000005,338.6433333333333,350.435,350.67333333333335,,323.63666666666666,208.49333333333334,245.615,L7
2000-08-14 21:51:44+00:00,348.7616666666667,334.098,303.186,312.0125,316.4316666666667,322.90250000000003,319.31166666666667,309.882,311.97833333333335,332.63,360.55333333333334,349.34,323.9175,323.1975,197.85,316.7,320.225,321.46,303.2633333333333,333.16333333333336,339.49333333333334,349.95,355.1,,,344.265,280.73,343.795,335.8825,318.3066666666667,334.9866666666667,338.6433333333333,350.435,350.33500000000004,,323.63666666666666,209.885,258.7633333333333,L7
2000-09-15 21:51:13+00:00,347.43857142857144,333.1033333333333,303.186,312.0125,315.92285714285714,321.508,318.54857142857145,308.43333333333334,311.6614285714286,332.63,360.55333333333334,341.1325,325.326,323.1975,203.265,315.75333333333333,320.69,321.46,306.785,333.16333333333336,335.345,349.95,353.04333333333335,,352.28,342.6233333333333,307.97,342.066,334.47799999999995,319.5675,333.12,338.6433333333333,350.435,349.076,,326.585,209.885,258.7633333333333,L7
2000-12-04 21:50:58+00:00,348.04200000000003,334.1666666666667,305.9,313.5933333333333,315.758,318.05,319.6516666666667,309.37600000000003,314.2816666666667,337.725,360.5,332.515,329.0466666666667,328.36,208.68,317.125,318.93333333333334,,310.6966666666667,331.64,334.65000000000003,349.76,349.30500000000006,,352.28,339.765,335.21,331.2,323.92999999999995,325.06333333333333,324.9533333333333,331.195,348.6,344.96000000000004,,316.84,213.48,270.645,L7
