dates,satname,nzd0305-0000,nzd0305-0001,nzd0305-0002,nzd0305-0003,nzd0305-0004,nzd0305-0005,nzd0305-0006,nzd0305-0007,nzd0305-0008,nzd0305-0009,nzd0305-0010,nzd0305-0011,nzd0305-0012,nzd0305-0013,nzd0305-0014,nzd0305-0015,nzd0305-0016,nzd0305-0017,nzd0305-0018,nzd0305-0019,nzd0305-0020,nzd0305-0021,nzd0305-0022,nzd0305-0023,nzd0305-0024,nzd0305-0025,nzd0305-0026,nzd0305-0027,nzd0305-0028,nzd0305-0029,nzd0305-0030,nzd0305-0031,nzd0305-0032,nzd0305-0033,nzd0305-0034,nzd0305-0035,nzd0305-0036,nzd0305-0037
1999-08-05 21:47:23.016000,L7,,,283.19,298.63,301.99,311.86,294.60,284.52,291.09,303.83,347.62,353.28,325.58,322.15,332.05,285.21,318.54,321.32,310.26,330.30,341.08,327.63,,,,,,,,,,,,,,,,
1999-08-21 21:47:20.968000,L7,371.12,359.45,348.87,342.60,370.87,343.30,353.30,341.52,339.25,355.52,393.17,377.51,372.09,359.77,370.54,358.02,358.20,355.09,356.32,361.23,366.73,373.24,373.46,382.18,382.76,375.31,372.18,361.27,357.79,354.37,367.87,379.47,373.20,380.46,359.17,359.49,361.44,366.96
1999-08-28 21:53:35.950000,L7,402.39,386.33,364.44,365.22,330.30,333.85,332.72,328.89,349.05,360.96,378.38,377.96,365.34,357.91,349.61,365.00,363.40,362.62,357.57,370.08,367.76,373.06,367.10,380.48,385.01,374.48,362.24,355.72,345.61,334.71,338.55,356.20,357.48,372.62,355.80,344.40,344.77,348.77
1999-09-22 21:47:24.746000,L7,362.36,355.90,349.10,338.58,331.39,335.92,337.62,343.91,343.01,354.95,400.81,376.93,367.12,348.69,366.92,358.04,370.90,347.78,355.60,350.33,364.24,368.37,371.80,382.07,386.23,373.61,392.28,372.59,362.52,365.43,364.38,389.50,378.74,380.82,368.18,356.19,352.03,395.71
1999-09-29 21:53:40.155000,L7,354.90,347.86,347.08,326.12,325.40,348.32,340.22,335.57,323.09,332.86,361.14,360.32,355.76,385.94,393.96,381.29,377.57,381.06,357.54,364.07,359.54,360.37,371.70,381.82,372.45,374.78,359.12,355.68,364.17,352.17,360.57,410.66,418.53,400.58,358.88,365.25,373.09,414.84
1999-10-24 21:47:20.173000,L7,408.93,393.45,383.22,363.07,374.17,376.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-16 21:53:32.114000,L7,356.33,346.31,327.68,328.32,327.37,334.10,338.21,337.45,341.25,351.05,370.28,370.78,357.14,358.19,350.19,347.57,350.19,350.30,348.80,366.27,363.35,368.42,375.15,380.00,381.05,372.52,363.79,361.35,357.71,357.83,363.40,373.44,381.31,385.90,363.30,362.84,362.04,414.56
2000-01-12 21:47:18.340000,L7,360.22,351.49,329.78,329.16,330.91,351.39,342.22,337.07,340.37,352.35,368.16,374.68,356.00,352.57,350.65,346.57,344.13,349.16,346.35,354.31,359.50,365.97,371.58,372.59,369.38,362.49,360.09,356.64,356.88,351.77,358.32,359.50,369.03,368.13,351.44,342.80,353.23,362.41
2000-01-19 21:53:25.812000,L7,369.92,359.84,361.71,341.72,329.47,336.79,340.08,333.03,342.49,372.24,372.66,390.38,392.99,343.00,382.74,397.54,352.15,345.31,347.47,362.27,371.17,366.36,379.60,397.32,393.20,367.04,365.00,417.21,419.27,324.25,338.01,336.69,387.93,382.86,368.42,364.56,364.41,381.72
2000-04-01 21:46:58.583000,L7,386.52,333.33,308.62,315.25,313.52,325.48,342.15,331.54,294.87,352.59,373.48,385.87,367.81,359.35,341.80,348.02,348.28,346.55,347.30,351.16,355.62,356.82,330.36,,,,,,,,,,366.29,398.55,366.39,344.04,352.81,371.44
