dates,nzd0551-0000,nzd0551-0001,nzd0551-0002,nzd0551-0003,nzd0551-0004,nzd0551-0005,nzd0551-0006,nzd0551-0007,nzd0551-0008,nzd0551-0009,nzd0551-0010,nzd0551-0011,nzd0551-0012,nzd0551-0013,nzd0551-0014,nzd0551-0015,nzd0551-0021,nzd0551-0022,nzd0551-0023,nzd0551-0024,nzd0551-0025,nzd0551-0026,nzd0551-0027,nzd0551-0028,nzd0551-0029,nzd0551-0030,nzd0551-0031,nzd0551-0032,nzd0551-0033,nzd0551-0034,nzd0551-0035,nzd0551-0036,nzd0551-0037,nzd0551-0038,nzd0551-0039,nzd0551-0040,nzd0551-0041,nzd0551-0042,nzd0551-0043,nzd0551-0046,nzd0551-0047,nzd0551-0048,nzd0551-0049,nzd0551-0050,nzd0551-0051,nzd0551-0052,nzd0551-0053,nzd0551-0054,nzd0551-0055,nzd0551-0056,nzd0551-0057,nzd0551-0058,nzd0551-0059,nzd0551-0060,nzd0551-0061,nzd0551-0062,nzd0551-0063,nzd0551-0064,nzd0551-0065,nzd0551-0066,nzd0551-0067,nzd0551-0068,nzd0551-0069,nzd0551-0070,nzd0551-0071,nzd0551-0072,nzd0551-0073,nzd0551-0074,nzd0551-0075,nzd0551-0076,nzd0551-0077,nzd0551-0078,nzd0551-0079,nzd0551-0096,nzd0551-0097,nzd0551-0016,nzd0551-0017,nzd0551-0018,nzd0551-0019,nzd0551-0020,nzd0551-0044,nzd0551-0045,nzd0551-0085,nzd0551-0086,nzd0551-0087,nzd0551-0088,nzd0551-0091,nzd0551-0092,nzd0551-0093,nzd0551-0094,nzd0551-0095,nzd0551-0098,nzd0551-0099,nzd0551-0100,nzd0551-0103,nzd0551-0104,nzd0551-0080,nzd0551-0081,nzd0551-0082,nzd0551-0083,nzd0551-0089,nzd0551-0090,nzd0551-0101,nzd0551-0102,nzd0551-0084,satname
1999-08-08 22:19:52.507,,,,,,,,,,,,,,,,,,,,,,,385.09,373.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.01,,,,,,,,,,,,,,,260.0,,,,,477.84,,,,188.69,,,,,,,,,,,,,494.21,,241.56,,,483.14,L7
1999-10-04 22:14:13.777,,,,,,,,,,,,,,,,,,,,,,,385.09,373.76,,,513.96,510.92,504.99,512.8,505.31,502.57,517.14,497.89,503.75,495.02,477.82,,,504.4,506.51,506.06,506.6,515.89,523.91,,,,,,,,379.58,415.01,417.81,,,,,,,,449.01,,,,,,,,,,,,,,,260.0,,,,507.43,477.84,,,,205.15,,,,,,,,,486.17,,,,494.21,,242.75,,,483.14,L7
1999-10-27 22:19:51.122,,,,,,,,,,,,,,,,,,,,,,,385.09,373.76,,,513.96,510.92,504.99,512.8,505.31,502.57,517.14,497.89,503.75,495.02,477.82,,,504.4,506.51,506.06,506.6,515.89,523.91,521.44,522.85,510.48,511.74,501.91,500.27,496.64,381.46500000000003,400.6,406.07,,488.03,,488.01,483.09,479.05,,464.78,514.54,,,473.44,,,,,,486.52,,,,,260.0,,,,507.43,480.815,,,,205.15,,,,,,,,,472.06,,,,489.905,,242.75,,,484.41499999999996,L7
1999-11-05 22:13:40.966,,,,,,,,,,,,,,,,,,,,,,,385.09,373.76,,,518.73,514.535,510.99,516.4649999999999,507.265,504.365,512.025,501.32,503.0,496.2,484.43,517.62,,504.4,506.51,506.06,506.6,515.89,523.91,521.44,522.85,510.48,511.74,501.91,500.27,496.64,378.17,407.00333333333333,411.75333333333333,434.43,488.03,,488.01,483.09,479.05,,464.78,514.54,,,473.44,,,,,,486.52,,,,,260.0,,,514.93,507.43,480.815,,,,205.15,,,,,,,,,472.06,,,,489.905,,242.75,,,484.41499999999996,L7
1999-12-07 22:13:41.663,,,,,,,,,,,,,,,,,,,,,,,385.09,373.76,,,520.4366666666666,516.2066666666666,513.5600000000001,516.8233333333333,508.0933333333333,503.2,510.1166666666666,499.92,500.98,495.1066666666666,484.72,498.53,475.29,496.185,502.32,502.79499999999996,507.125,517.735,517.995,517.8800000000001,520.385,514.725,514.8199999999999,507.72,510.885,508.425,378.17,407.00333333333333,411.75333333333333,431.0,488.03,,488.01,483.09,479.05,,464.78,514.54,,,473.44,,,,,,486.52,,,,,260.0,,,497.025,496.01,480.815,,,,205.15,,,,,,,,,472.06,,,,489.905,,242.75,,,484.41499999999996,L7
1999-12-07 22:14:05.637,,,,,,,,,,,,,,,,,,,,,,,385.09,373.76,,,521.06,516.8225,514.6275,516.655,508.0925,502.4425,508.5675,498.7375,499.615,494.2625,484.605,491.8633333333333,474.94,493.0366666666667,500.3633333333333,501.74333333333334,506.93,517.4666666666667,515.7766666666666,516.3433333333334,519.3166666666666,515.7233333333334,515.21,509.42666666666673,514.1466666666666,512.1033333333334,378.17,407.055,408.905,429.4166666666667,488.03,,488.01,483.09,479.05,,464.78,514.54,,,473.44,,,,,,486.52,,,,,260.0,,,490.5433333333333,491.76,480.815,,,,205.15,,,,,,,,,472.06,,,,489.905,,242.75,,,484.41499999999996,L7
2000-04-13 22:13:06.040,468.32,464.94,455.17,428.55,461.96,483.92,457.75,445.52,454.26,436.5,438.7,468.23,423.07,406.93,411.47,505.97,407.12,,,486.58,,467.83,413.44,369.05,314.84,241.54,523.4266666666666,518.79,517.84,517.9399999999999,509.02,502.40000000000003,505.71000000000004,499.02,456.8675,494.01,486.86666666666673,491.8633333333333,474.94,487.3550000000001,497.28999999999996,499.58500000000004,507.09499999999997,518.2550000000001,511.71,511.92,519.3166666666666,515.7233333333334,515.21,505.89500000000004,514.1466666666666,512.1033333333334,377.46500000000003,404.40333333333336,405.93666666666667,429.4166666666667,481.78999999999996,424.93,485.03499999999997,475.765,468.025,417.29,486.61,509.09499999999997,440.6,,458.48,411.15,402.87,312.35,284.93,223.44,474.905,341.27,305.62,,,,,,490.5433333333333,483.92499999999995,483.79,,,,,,,,,,,,,457.95,,,,485.6,,,,,485.69,L7
2000-04-13 22:13:30.062,465.71500000000003,465.925,452.67,439.92,466.135,482.69500000000005,454.99,445.53499999999997,454.745,435.275,438.635,465.29,424.78,405.6,412.13,504.71000000000004,412.56,,,485.505,,465.935,412.755,368.16499999999996,300.645,241.855,523.4266666666666,518.79,517.84,517.9399999999999,509.02,502.40000000000003,505.71000000000004,499.02,434.134,494.01,486.86666666666673,491.8633333333333,474.94,487.3550000000001,497.28999999999996,499.58500000000004,507.09499999999997,518.2550000000001,511.71,513.75,515.1324999999999,510.54,515.935,503.326,514.1466666666666,512.1033333333334,387.77333333333337,409.5375,409.04,422.8675,479.16,442.01,485.03499999999997,472.7033333333333,461.56333333333333,435.70000000000005,488.75,505.99333333333334,440.82500000000005,,454.37999999999994,408.55499999999995,397.02,310.76,284.36,218.69,474.905,342.725,303.38,,,,,,490.5433333333333,483.92499999999995,483.79,,,,,,,,,,,,,457.95,,,,485.6,,,,,485.69,L7
2000-04-20 22:19:15.385,465.71500000000003,465.925,452.67,439.92,466.135,482.69500000000005,454.99,445.53499999999997,454.745,435.275,438.635,465.29,424.78,405.6,412.13,504.71000000000004,412.56,,465.46,467.95,428.75,465.935,402.9633333333333,369.60999999999996,297.35999999999996,241.855,523.4266666666666,518.79,517.84,517.9399999999999,509.02,502.40000000000003,505.71000000000004,499.02,417.48,494.01,486.86666666666673,491.8633333333333,474.94,487.3550000000001,497.28999999999996,499.58500000000004,507.09499999999997,518.2550000000001,511.71,513.75,515.1324999999999,509.81800000000004,513.54,503.326,514.1466666666666,512.1033333333334,387.77333333333337,409.5375,409.04,422.8675,479.16,442.01,485.03499999999997,472.7033333333333,461.56333333333333,435.70000000000005,488.75,505.99333333333334,440.82500000000005,,454.37999999999994,408.55499999999995,397.02,310.76,273.9166666666667,218.69,474.905,342.725,303.38,,,,,,490.5433333333333,483.92499999999995,483.79,,,246.17,,,,,,234.56,,,,457.95,,,,485.6,,,,,485.69,L7
2000-05-22 22:18:57.481,465.71500000000003,465.925,452.67,439.92,466.135,482.69500000000005,454.99,445.53499999999997,454.745,435.275,438.635,465.29,424.78,405.6,412.13,504.71000000000004,412.56,280.78,464.065,452.4625,422.79499999999996,465.935,402.9633333333333,371.4225,293.57,251.94999999999996,523.3899999999999,519.11,518.2650000000001,516.845,508.91999999999996,500.52,505.11,496.15500000000003,400.526,492.325,484.78000000000003,478.98499999999996,474.94,487.3550000000001,497.28999999999996,499.58500000000004,507.09499999999997,518.2550000000001,511.71,511.8275,512.56,509.65250000000003,513.99,503.68,521.085,519.835,408.39,416.07500000000005,409.355,419.3,474.725,435.59,482.06,467.51,452.82000000000005,435.70000000000005,492.85,501.72,440.82500000000005,,444.8499999999999,398.6499999999999,397.02,310.76,262.66,211.45666666666668,463.29,342.725,303.38,,,239.1,324.4,296.15,478.34999999999997,483.92499999999995,,287.04,346.92,255.38,232.75,,276.18,,,230.4,,275.51,,,,,,,,,,,,L7
