dates,satname,nzd0215-0000,nzd0215-0001,nzd0215-0002,nzd0215-0003,nzd0215-0004,nzd0215-0005,nzd0215-0006,nzd0215-0007,nzd0215-0008,nzd0215-0009,nzd0215-0010,nzd0215-0011,nzd0215-0012,nzd0215-0013,nzd0215-0014,nzd0215-0015,nzd0215-0016,nzd0215-0017,nzd0215-0018,nzd0215-0019,nzd0215-0020,nzd0215-0021,nzd0215-0022,nzd0215-0023,nzd0215-0024,nzd0215-0025,nzd0215-0026,nzd0215-0027,nzd0215-0028,nzd0215-0029,nzd0215-0030,nzd0215-0031,nzd0215-0032,nzd0215-0033,nzd0215-0034,nzd0215-0035,nzd0215-0036,nzd0215-0037,nzd0215-0038,nzd0215-0039,nzd0215-0040,nzd0215-0041,nzd0215-0042,nzd0215-0043,nzd0215-0044,nzd0215-0045,nzd0215-0046,nzd0215-0047,nzd0215-0048,nzd0215-0049,nzd0215-0050,nzd0215-0051,nzd0215-0052,nzd0215-0053,nzd0215-0054,nzd0215-0055,nzd0215-0056,nzd0215-0057,nzd0215-0058,nzd0215-0059,nzd0215-0060,nzd0215-0061,nzd0215-0062,nzd0215-0063,nzd0215-0064,nzd0215-0065,nzd0215-0066,nzd0215-0067,nzd0215-0068,nzd0215-0069,nzd0215-0070,nzd0215-0071,nzd0215-0072
1999-08-21 21:46:33.053000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.53,385.87,370.52,373.91,362.34,357.27,351.81,356.47,351.18,359.52,363.49,366.77,354.45,364.21,364.02,375.61,393.30,397.67,405.17,407.57,,,,,,,376.09,372.94,378.93,381.31,391.82,392.76,407.89,400.46,394.89,388.39,380.58,371.41,375.26,368.15,373.19,376.91,377.53,392.62
1999-09-22 21:46:36.849000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.34,353.67,364.50,362.08,373.23,401.60,400.64,406.80,411.37,,,,,,,370.15,374.52,371.26,384.53,390.62,404.91,416.42,408.68,396.73,392.93,382.52,381.04,380.08,379.65,380.49,386.07,389.62,397.48
1999-10-24 21:46:32.266000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.00,379.05,413.00,390.49,,,,,,,,,,,,,,,,,,396.18,389.79,388.28,383.60,383.27,391.72,385.26,397.09
2000-03-16 21:46:15.139000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.29,354.41,372.19,372.23,380.83,400.76,404.79,407.88,415.76,,,,,,,,,,,,,,,,394.87,373.40,365.91,372.85,406.70,394.66,381.52,381.59,395.26
2000-04-01 21:46:10.627000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.23,390.34,370.84,375.95,368.41,354.83,350.87,368.05,358.83,362.47,370.46,370.83,353.51,363.96,369.89,380.62,397.22,400.95,405.93,413.48,408.97,405.73,389.35,,,,377.36,376.64,378.25,379.51,397.17,398.35,410.95,404.42,399.00,388.03,384.32,376.91,379.85,377.83,379.80,385.17,389.64,397.38
2000-05-19 21:45:43.918000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.60,376.24,363.47,354.33,355.97,352.57,364.04,369.63,381.45,375.76,356.67,355.54,367.30,379.10,395.47,414.57,413.24,416.48,,,,,,,,,380.12,388.67,392.68,396.90,411.42,408.07,398.89,392.65,386.99,382.63,386.02,381.92,,,,
2000-06-04 21:45:32.324000,L7,423.52,391.94,386.47,379.33,366.27,351.73,363.01,368.60,363.32,369.01,366.33,370.91,355.35,357.72,358.36,354.44,355.47,361.00,351.25,357.76,360.26,349.67,276.44,334.02,362.69,381.90,391.03,384.24,382.94,373.93,364.75,352.25,357.17,345.25,334.06,329.53,333.56,335.31,337.47,337.68,343.59,339.22,341.60,351.64,356.66,366.34,380.47,386.60,395.22,392.79,379.80,365.15,358.49,358.54,351.49,353.60,358.31,360.77,362.27,370.76,379.39,390.19,384.33,376.63,369.61,369.95,365.37,367.81,360.95,365.25,368.67,372.65,386.54
2000-08-07 21:44:45.034000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.68,368.51,370.48,355.62,350.51,344.91,349.55,349.35,356.67,371.92,360.82,357.53,358.36,374.85,370.91,383.32,396.73,398.92,401.76,409.30,393.09,385.99,378.15,,,369.85,369.94,379.03,379.56,390.43,390.82,407.46,399.33,388.02,384.71,377.75,378.21,371.94,370.58,372.38,381.49,380.92,387.23
2000-09-24 21:44:07.338000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.88,408.36,400.73,383.31,375.60,378.69,375.05,384.30,373.58,381.56,392.90,388.67,398.04
2001-01-14 21:44:09.210000,L7,,405.41,393.80,383.28,377.85,363.75,371.96,379.33,366.38,373.11,372.81,,360.71,367.08,367.71,361.86,368.01,365.04,,,,,,,368.95,384.35,399.95,398.38,390.25,384.13,371.80,357.91,356.47,346.55,338.25,337.17,339.23,344.07,341.27,345.61,342.25,340.27,342.65,354.54,359.43,374.25,385.95,393.40,398.71,399.02,387.22,369.08,362.86,360.52,353.85,358.33,363.75,364.32,366.67,375.25,380.75,392.63,386.64,381.24,371.79,368.87,365.08,372.68,358.09,363.57,362.77,368.92,380.22
