dates,nzd0215-0000,nzd0215-0001,nzd0215-0002,nzd0215-0003,nzd0215-0004,nzd0215-0005,nzd0215-0006,nzd0215-0007,nzd0215-0008,nzd0215-0009,nzd0215-0010,nzd0215-0011,nzd0215-0012,nzd0215-0013,nzd0215-0014,nzd0215-0015,nzd0215-0016,nzd0215-0017,nzd0215-0018,nzd0215-0019,nzd0215-0020,nzd0215-0021,nzd0215-0022,nzd0215-0023,nzd0215-0024,nzd0215-0025,nzd0215-0026,nzd0215-0027,nzd0215-0028,nzd0215-0029,nzd0215-0030,nzd0215-0031,nzd0215-0032,nzd0215-0033,nzd0215-0034,nzd0215-0035,nzd0215-0036,nzd0215-0037,nzd0215-0038,nzd0215-0039,nzd0215-0040,nzd0215-0041,nzd0215-0042,nzd0215-0043,nzd0215-0044,nzd0215-0045,nzd0215-0046,nzd0215-0047,nzd0215-0048,nzd0215-0049,nzd0215-0050,nzd0215-0051,nzd0215-0052,nzd0215-0053,nzd0215-0054,nzd0215-0055,nzd0215-0056,nzd0215-0057,nzd0215-0058,nzd0215-0059,nzd0215-0060,nzd0215-0061,nzd0215-0062,nzd0215-0063,nzd0215-0064,nzd0215-0065,nzd0215-0066,nzd0215-0067,nzd0215-0068,nzd0215-0069,nzd0215-0070,nzd0215-0071,nzd0215-0072,satname
1999-08-21 21:46:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.49,366.77,,,,,,,405.17,,,,,,,,,,,381.31,,,,,,388.39,,371.41,375.26,368.15,373.19,376.91,377.53,,L7
1999-09-22 21:46:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.49,371.05499999999995,353.67,364.5,362.08,373.23,,400.64,405.985,411.37,,,,,,,370.15,374.52,371.26,382.91999999999996,390.62,,416.42,408.68,396.73,390.65999999999997,382.52,376.225,375.26,373.9,376.84000000000003,381.49,383.575,397.48,L7
2000-04-01 21:46:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.84,,,354.83,350.87,368.05,358.83,362.47,,,353.51,363.96,369.89,380.62,397.22,400.95,405.93,413.48,408.97,405.73,389.35,,,,377.36,376.64,378.25,,397.17,398.35,410.95,404.42,399.0,388.03,384.32,376.91,379.85,377.83,379.8,385.17,389.64,397.38,L7
2000-05-19 21:45:43+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.84,,,354.58,353.42,360.31,361.435,366.05,,375.76,355.09000000000003,359.75,368.595,380.62,397.22,400.95,405.93,413.48,408.97,405.73,389.35,,,,377.36,376.64,378.25,,397.17,397.625,411.185,406.245,398.945,390.34,385.655,379.77,382.935,379.875,379.8,385.17,389.64,397.38,L7
2000-06-04 21:45:32+00:00,,,,,,351.73,363.01,368.6,363.32,369.01,366.33,,355.35,357.72,358.36,354.44,355.47,361.0,351.25,357.76,360.26,349.67,276.44,334.02,362.69,381.9,,384.24,,,364.75,361.54499999999996,357.17,345.25,347.74,345.45666666666665,351.3933333333334,352.7266666666667,356.52333333333337,337.68,359.67499999999995,349.8,353.7,362.9433333333333,368.64,381.78,390.71000000000004,396.265,404.35,400.88,392.765,377.25,358.49,358.54,351.49,365.48,367.475,369.51,362.27,383.96500000000003,391.5466666666666,404.18666666666667,398.94,391.50666666666666,383.43,380.42,374.97,377.8933333333334,373.56666666666666,372.525,376.92,381.145,391.96000000000004,L7
2000-08-07 21:44:45+00:00,,,,,,351.73,363.01,368.6,363.32,369.01,366.33,,355.35,357.72,358.36,354.44,355.47,361.0,351.25,357.76,360.26,349.67,276.44,334.02,362.69,381.9,,384.24,,,364.75,361.54499999999996,357.17,345.25,348.4325,345.32,350.9325,351.8825,356.56,337.68,360.0566666666667,351.7325,354.865,362.9433333333333,369.3966666666667,382.29333333333335,390.71000000000004,397.15000000000003,404.35,400.88,392.765,377.25,358.49,358.54,351.49,366.93666666666667,368.2966666666666,369.51,370.91499999999996,386.12000000000006,391.365,405.005,399.0375,390.635,383.75,380.42,374.97,376.405,372.82,372.4766666666667,378.4433333333333,381.07,390.3833333333334,L7
2001-01-14 21:44:09+00:00,,,393.8,383.28,377.85,363.75,371.96,,366.38,373.11,372.81,,360.71,367.08,367.71,361.86,368.01,365.04,,,,,,,368.95,384.35,399.95,398.38,390.25,384.13,371.8,357.91,356.47,346.55,344.38,341.04,344.39,346.71000000000004,348.97,345.61,351.53499999999997,348.9,350.505,354.54,365.17,378.78499999999997,385.95,396.15999999999997,398.71,399.02,387.22,369.08,362.86,360.52,353.85,364.09000000000003,366.845,364.32,373.115,382.84000000000003,385.78499999999997,400.04499999999996,392.985,384.63,378.25,368.87,365.08,372.31,364.335,367.975,372.13,374.92,383.725,L7
2001-04-04 21:43:43+00:00,,,393.8,383.28,377.85,363.75,371.96,,366.38,373.11,372.81,,360.71,367.08,367.71,361.86,368.01,365.04,,,,,,,368.95,384.35,399.95,398.38,390.25,384.13,371.8,357.91,356.47,346.55,338.25,337.17,339.23,344.07,341.27,345.61,342.25,340.27,342.65,354.54,359.43,374.25,385.95,393.4,398.71,399.02,387.22,369.08,362.86,360.52,353.85,358.33,363.75,364.32,366.67,375.25,380.75,392.63,404.085,381.24,371.79,368.87,365.08,377.845,368.25,371.4,373.51,376.95500000000004,387.51,L7
2001-04-20 21:43:46+00:00,,,393.8,383.28,377.85,363.75,371.96,,366.38,373.11,372.81,,360.71,367.08,367.71,361.86,368.01,365.04,,,,,,,368.95,384.35,399.95,398.38,390.25,384.13,371.8,357.91,356.47,346.55,338.25,344.815,347.065,348.755,349.905,353.92,349.745,351.895,352.595,361.065,371.03999999999996,383.725,396.03,402.7,398.71,399.02,387.22,369.08,362.86,360.52,353.85,367.03999999999996,371.055,374.22,374.795,388.0,393.03,403.5,408.5233333333333,381.24,371.79,368.87,371.72,378.49666666666667,369.5466666666666,373.77666666666664,377.09999999999997,380.0133333333333,391.14000000000004,L7
2001-05-22 21:43:30+00:00,,,393.8,383.28,377.85,363.75,371.96,,366.38,373.11,372.81,,360.71,367.08,367.71,361.86,368.01,365.04,,,,,,,368.95,384.35,399.95,398.38,390.25,384.13,371.8,357.91,356.47,346.55,338.25,344.815,347.065,348.755,349.905,353.92,349.745,351.895,352.595,361.065,371.03999999999996,383.725,396.03,402.7,398.71,399.02,387.22,369.08,362.86,360.52,353.85,367.03999999999996,371.055,374.22,374.795,388.0,393.03,403.5,409.635,381.24,371.79,368.87,371.72,378.49666666666667,372.35249999999996,377.1075,380.23249999999996,384.14,393.9175,L7
