dates,satname,nzd0100-0000,nzd0100-0001,nzd0100-0002,nzd0100-0003,nzd0100-0004,nzd0100-0005,nzd0100-0006,nzd0100-0007,nzd0100-0008,nzd0100-0009,nzd0100-0010,nzd0100-0011,nzd0100-0012,nzd0100-0013,nzd0100-0014,nzd0100-0015,nzd0100-0016,nzd0100-0017,nzd0100-0018,nzd0100-0019,nzd0100-0020,nzd0100-0021,nzd0100-0022,nzd0100-0023,nzd0100-0024,nzd0100-0025,nzd0100-0026,nzd0100-0027,nzd0100-0028,nzd0100-0029,nzd0100-0030,nzd0100-0031,nzd0100-0032,nzd0100-0033,nzd0100-0034,nzd0100-0035,nzd0100-0036,nzd0100-0037,nzd0100-0038,nzd0100-0039,nzd0100-0040,nzd0100-0041,nzd0100-0042,nzd0100-0043,nzd0100-0044,nzd0100-0045,nzd0100-0046,nzd0100-0047,nzd0100-0048,nzd0100-0049,nzd0100-0050,nzd0100-0051,nzd0100-0052,nzd0100-0053,nzd0100-0054,nzd0100-0055,nzd0100-0056,nzd0100-0057,nzd0100-0058,nzd0100-0059,nzd0100-0060,nzd0100-0061,nzd0100-0062,nzd0100-0063,nzd0100-0064,nzd0100-0065,nzd0100-0066,nzd0100-0067,nzd0100-0068,nzd0100-0069,nzd0100-0070,nzd0100-0071,nzd0100-0072,nzd0100-0073
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,,340.08,352.75,326.89,325.05,345.29,340.28,337.88,317.32,339.24,349.64,385.72,395.00,394.30,407.61,387.13,389.24,316.58,302.36,292.84,282.23,307.86,310.81,350.16,350.90,403.62,404.48,391.49,401.09,399.34,401.73,391.80,387.75,393.40,410.20,413.00,414.00,406.72,400.58,391.85,378.30,376.08,381.17,379.01,379.94,380.27,383.13,383.51,392.19,409.53,439.98,346.68,395.37,405.64,412.08,403.50,402.13,411.05,398.32,385.40,392.94,394.48
1999-09-27 22:04:48.949000,L7,434.00,407.83,383.45,382.30,383.41,362.34,381.46,385.71,378.16,383.71,373.70,383.66,389.16,407.79,406.63,385.18,394.95,327.99,331.10,328.74,303.30,303.09,336.60,322.34,386.48,391.57,396.48,384.80,394.84,389.88,398.35,373.99,368.86,388.38,385.76,389.86,394.87,393.23,401.38,391.56,404.31,403.09,405.79,380.61,380.75,385.49,386.35,394.11,402.91,405.19,391.45,389.05,370.87,377.77,376.27,378.84,393.83,394.90,387.69,382.68,394.45,407.09,437.13,393.11,386.91,403.71,403.41,399.66,384.28,391.66,391.49,385.65,387.93,392.79
1999-11-14 22:04:42.286000,L7,,,,,,,,,,,,,,,,395.67,411.80,406.29,401.70,395.42,311.69,341.45,335.77,334.24,404.60,349.63,341.67,318.41,346.39,352.95,343.44,334.70,316.11,325.26,335.38,341.74,331.42,345.95,365.00,343.66,347.44,346.62,347.55,331.50,311.39,319.53,329.50,342.24,352.25,352.79,341.09,397.85,383.82,387.16,385.90,390.86,394.33,336.66,405.58,410.42,404.13,422.91,455.76,346.87,334.76,346.60,343.04,339.51,358.03,339.12,336.21,330.73,336.53,
2000-01-01 22:04:37.439000,L7,,,,,,,,,,330.36,315.72,337.39,348.84,345.37,349.16,344.01,358.73,351.50,347.07,,311.86,327.54,343.75,338.98,340.83,346.19,338.53,332.04,344.69,352.37,346.22,328.35,329.72,346.35,,,,,,396.55,409.03,358.86,421.93,,,,,,,,,,,,,,,,,,,,,,,,429.85,360.02,354.93,334.46,350.64,333.42,342.95,411.17
2000-02-18 22:04:29.218000,L7,,,,,,,,,388.53,340.96,327.67,300.00,346.81,,,,,,,,,,,,,,,,,,,,302.42,335.89,343.24,346.79,340.90,329.88,344.30,335.32,344.50,423.11,353.64,362.53,352.37,340.89,340.16,355.26,360.91,388.76,392.11,381.92,398.78,388.29,368.77,376.88,378.83,392.03,381.68,392.83,389.31,409.52,419.10,419.17,393.84,421.84,423.82,411.69,426.13,418.39,408.30,393.74,387.17,413.00
2000-05-24 22:03:46.662000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.33,353.30,363.03,362.42,385.82,357.96,312.45,,348.50,353.60,348.68,339.79,349.47,353.40,362.36,364.83,361.14,347.41,343.73,338.78,319.35,334.78,341.62,399.32,397.44,402.70,398.58,441.33,453.88,340.73,351.24,366.58,369.31,349.22,355.40,360.27,356.85,351.34,349.23,342.47
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,,,,341.41,334.72,324.61,330.44,321.52,332.49,332.78,311.45,328.00,344.15,335.19,333.99,330.36,328.47,322.52,336.18,412.01,381.63,365.95,371.48,388.04,393.04,395.58,398.52,396.72,400.18,387.93,407.96,362.89,,404.14,373.66,,,,415.72,406.52,,,,,,,,388.91,379.45,397.00,399.90,404.34,416.67,376.91,376.81,408.78,423.93,358.19,,,,373.29,388.52,
2000-08-12 22:02:54.094000,L7,433.40,377.18,392.81,328.24,,,,,,,,,,,,,,,,,,423.59,406.26,384.25,409.10,399.21,405.19,387.88,410.58,422.82,,,,,,,,,,407.69,397.33,397.75,394.88,390.82,372.51,379.74,380.95,399.44,405.86,397.92,370.39,384.68,377.27,374.39,361.43,367.09,364.01,379.20,386.92,394.38,408.77,464.90,,,,,,,,,,,,
2000-09-13 22:02:26.190000,L7,427.28,422.06,383.76,336.73,377.75,342.42,359.82,,,,,,,,,,,,,,,,,,,,,305.51,330.13,369.90,,,306.96,317.08,319.07,324.61,325.20,,327.20,318.80,329.75,329.97,321.61,327.96,312.32,316.88,324.91,329.82,367.59,340.42,311.55,300.08,295.45,311.75,298.80,295.09,304.28,313.57,314.44,310.06,325.98,412.39,445.66,409.23,320.85,333.88,326.87,319.85,324.09,328.52,323.49,,,
2000-10-15 22:01:56.204000,L7,423.31,393.31,373.61,317.83,317.35,322.65,337.28,365.94,360.45,373.19,390.50,,,,,,,,,,,,,,,,412.99,368.15,391.16,390.41,385.47,374.16,370.73,326.59,,,,,,,,,,,384.75,383.88,383.00,392.59,361.00,354.41,355.75,355.94,345.33,340.58,321.33,348.96,354.13,374.79,376.03,376.83,401.01,455.28,,,,389.48,400.15,378.15,377.18,394.52,385.19,368.98,367.95,372.20
