dates,satname,nzd0486-0000,nzd0486-0001,nzd0486-0002
1999-12-16 22:07:09.748000,L7,328.14,338.65,339.57
1999-12-16 22:07:33.708000,L7,325.60,337.95,340.09
2000-05-08 22:06:44.900000,L7,323.89,330.68,341.21
2000-06-25 22:05:55.844000,L7,339.13,337.43,334.77
2000-06-25 22:06:19.852000,L7,339.75,336.84,335.24
2000-07-27 22:05:48.258000,L7,351.18,341.93,335.41
2000-08-12 22:05:17.927000,L7,350.23,340.58,348.67
2000-08-12 22:05:41.803000,L7,349.44,340.69,349.21
2000-12-18 22:04:37.758000,L7,349.44,348.82,354.05
2000-12-18 22:05:01.704000,L7,341.84,342.59,348.83
2001-01-03 22:05:00.181000,L7,363.27,397.05,375.89
2001-02-20 22:05:00.525000,L7,355.00,350.08,359.83
2001-04-09 22:04:41.882000,L7,317.15,317.59,342.99
2001-07-14 22:03:33.580000,L7,337.41,324.30,338.49
2001-07-14 22:03:57.537000,L7,,316.29,330.94
2001-08-15 22:03:02.378000,L7,341.07,339.52,344.51
2001-08-15 22:03:26.328000,L7,320.03,323.09,327.88
2001-11-03 22:02:34.745000,L7,345.33,343.32,355.04
2001-11-03 22:02:58.699000,L7,342.86,338.44,345.95
2002-03-11 22:03:31.366000,L7,366.50,358.53,380.91
2002-04-12 22:03:25.302000,L7,369.28,356.98,377.36
2002-05-14 22:02:55.455000,L7,355.21,356.53,374.95
2002-05-14 22:03:19.418000,L7,350.49,350.90,366.83
2002-05-30 22:03:13.672000,L7,340.20,330.43,343.15
2002-06-15 22:02:43.613000,L7,347.33,344.43,356.09
2002-08-18 22:02:21.439000,L7,,310.59,320.99
2002-11-22 22:02:21.568000,L7,345.66,342.62,353.85
2002-11-22 22:02:45.529000,L7,344.68,342.85,357.91
2002-12-08 22:02:27.564000,L7,328.78,328.78,332.53
2002-12-08 22:02:51.522000,L7,331.69,331.37,337.62
2002-12-24 22:02:33.044000,L7,337.69,338.42,343.09
2002-12-24 22:02:57.022000,L7,333.47,336.61,340.95
2003-08-13 21:51:32.649000,L5,378.12,330.41,387.79
2003-10-16 21:52:08.058000,L5,337.07,326.82,318.83
2004-02-05 21:53:05.047000,L5,357.49,358.94,459.37
2004-06-12 21:55:59.429000,L5,328.18,318.89,334.11
2004-07-30 21:57:15.668000,L5,315.67,323.85,334.39
2005-04-12 22:01:42.862000,L5,329.90,325.60,325.73
2005-09-19 22:02:44.739000,L5,368.29,335.53,334.97
2005-10-05 22:02:41.026000,L5,335.05,327.87,327.87
2005-11-06 22:02:46.848000,L5,331.73,324.98,316.74
2006-02-26 22:05:22.928000,L5,332.17,327.96,324.85
2006-08-05 22:07:55.109000,L5,323.29,321.44,325.92
2006-10-08 22:08:40.914000,L5,333.75,315.93,303.64
2006-10-24 22:08:26.357000,L5,371.26,366.03,379.97
2007-09-09 22:07:21.190000,L5,340.36,333.12,339.32
2007-09-09 22:07:45.163000,L5,337.33,332.67,337.51
2007-09-16 22:13:28.554000,L5,315.78,317.78,317.74
2008-02-16 22:04:45.714000,L5,334.15,327.91,323.50
2008-11-14 21:57:52.281000,L5,332.62,323.06,310.07
2011-02-08 22:04:35.159000,L5,323.13,319.62,317.22
2013-07-07 22:16:11.966000,L8,326.50,328.39,330.02
2013-07-07 22:16:35.929000,L8,320.94,327.11,329.14
2013-07-23 22:16:34.633000,L8,318.34,320.79,327.74
2013-09-16 22:22:21.348000,L8,406.39,,
2013-10-11 22:16:05.328000,L8,322.37,322.69,323.19
2013-10-27 22:15:55.590000,L8,321.35,321.20,321.80
2013-10-27 22:16:19.549000,L8,322.47,321.83,322.37
