dates,nzd0243-0000,nzd0243-0001,nzd0243-0002,nzd0243-0003,nzd0243-0004,nzd0243-0005,nzd0243-0006,nzd0243-0007,nzd0243-0008,nzd0243-0009,nzd0243-0010,nzd0243-0011,nzd0243-0014,nzd0243-0015,nzd0243-0018,nzd0243-0019,nzd0243-0028,nzd0243-0030,nzd0243-0031,nzd0243-0032,nzd0243-0033,nzd0243-0034,nzd0243-0012,nzd0243-0013,nzd0243-0016,nzd0243-0017,nzd0243-0020,nzd0243-0021,nzd0243-0022,nzd0243-0023,nzd0243-0024,nzd0243-0025,nzd0243-0026,nzd0243-0027,nzd0243-0029,satname
1999-08-21 21:46:33+00:00,,,265.01,252.96,,334.82,340.21,323.83,306.76,321.26,,314.98,366.67,,,,349.19,225.57,290.39,306.27,309.16,308.44,,,,,,,,,,,,,,L7
1999-09-06 21:46:35+00:00,,,265.01,252.96,,334.82,340.21,323.83,306.76,321.26,,314.98,366.67,,,,347.65,226.82999999999998,304.325,309.595,310.99,320.1,342.74,,333.8,326.12,,,,,,,,,328.46,L7
1999-09-22 21:46:36+00:00,,,265.01,252.96,,334.82,340.21,323.83,306.76,321.26,,314.98,366.67,,,,347.65,250.67999999999998,301.64,312.1166666666667,312.75,327.87666666666667,342.74,,333.8,326.12,,,,,,,,,312.05499999999995,L7
2000-04-01 21:46:10+00:00,,313.6,,290.15,,325.34,327.86,336.82,317.56,,335.76,334.37,351.05,357.76,350.77,,347.31,321.04,295.25,315.42,307.46,329.06,343.44,350.68,346.72,,330.78,372.09,354.6,356.55,352.82,356.79,355.07,,331.1,L7
2000-05-19 21:45:43+00:00,290.86,316.71500000000003,290.27,290.15,,325.82,331.735,337.87,314.0,341.84,337.02,336.99,342.84000000000003,357.76,350.77,305.47,346.7,303.25,296.765,316.74,310.78499999999997,328.03499999999997,346.855,350.68,341.97,351.23,330.78,372.09,354.6,356.55,335.345,356.79,355.07,,331.1,L7
2000-06-04 21:45:32+00:00,290.86,310.97,290.27,290.15,317.4,326.08,326.91333333333336,324.57,314.0,341.84,337.02,334.0133333333333,342.84000000000003,357.76,345.855,325.17,352.84,312.06333333333333,304.22666666666663,314.3866666666667,310.7633333333333,328.03499999999997,346.855,350.68,341.97,351.23,330.78,372.09,337.58000000000004,356.55,342.77,356.79,354.185,,319.89,L7
2000-08-07 21:44:45+00:00,290.86,310.97,290.27,306.66499999999996,317.4,326.08,326.91333333333336,324.57,314.0,341.84,337.02,334.0133333333333,342.84000000000003,357.76,345.855,325.17,352.3975,307.6875,299.8975,317.125,312.9375,329.48333333333335,346.855,350.68,341.97,351.23,330.78,372.09,337.58000000000004,356.55,344.1725,356.79,354.185,302.95,319.89,L7
2001-04-04 21:43:43+00:00,279.9,312.95,,,,318.99,324.27,333.65,308.93,328.81,327.4,312.6,307.37,351.9,349.49,305.62,340.32,275.76,282.15,303.88,290.39,,,,339.13,,309.79,370.28,315.61,349.75,313.93,346.35,315.8,296.61,,L7
2001-04-20 21:43:46+00:00,279.9,307.4,,,319.52,323.365,326.45,333.65,310.345,330.0,329.79499999999996,309.4,307.37,353.04499999999996,349.49,305.62,346.555,275.76,283.1,303.885,292.54499999999996,,,,342.93,,309.79,370.28,315.61,334.325,313.93,355.185,319.49,307.005,331.2,L7
2001-05-22 21:43:30+00:00,297.245,307.67333333333335,262.23,,319.52,320.68,326.71999999999997,333.65,307.5,327.90333333333336,326.24,304.6466666666667,296.075,352.78999999999996,349.49,305.62,342.83666666666664,285.38,287.3,290.56,292.54499999999996,,,,342.93,,306.36,370.28,324.275,334.325,313.93,350.87000000000006,314.25666666666666,307.005,331.2,L7
