dates,satname,nzd0243-0000,nzd0243-0001,nzd0243-0002,nzd0243-0004,nzd0243-0005,nzd0243-0006,nzd0243-0007,nzd0243-0008,nzd0243-0009,nzd0243-0003,nzd0243-0012,nzd0243-0013,nzd0243-0014,nzd0243-0015,nzd0243-0018,nzd0243-0019,nzd0243-0020,nzd0243-0023,nzd0243-0024,nzd0243-0026,nzd0243-0027,nzd0243-0028,nzd0243-0029,nzd0243-0031,nzd0243-0032,nzd0243-0033,nzd0243-0034,nzd0243-0010,nzd0243-0011,nzd0243-0016,nzd0243-0017,nzd0243-0021,nzd0243-0022,nzd0243-0025,nzd0243-0030
1999-08-21 21:46:33.053000,L7,353.54,323.12,356.72,320.92,332.74,331.46,330.22,314.41,331.23,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-06 21:46:35.553000,L7,377.23,372.70,379.97,382.82,366.81,364.64,,,,339.87,381.46,366.93,395.58,389.99,390.95,382.11,346.79,381.58,378.67,383.18,387.48,411.49,399.66,289.59,316.71,317.94,335.97,,,,,,,,
1999-09-22 21:46:36.849000,L7,,,,370.31,361.68,367.32,,,364.97,,390.13,,,374.38,383.04,,,,,,,414.63,400.67,295.21,316.48,315.35,341.58,373.27,385.26,387.59,380.58,,,,299.86
1999-10-24 21:46:32.266000,L7,,,,,,,,,,,386.00,396.13,393.11,368.84,,,,,,,417.89,412.87,397.90,329.17,321.48,320.21,323.36,,,381.70,,,,,309.28
2000-04-01 21:46:10.627000,L7,368.44,319.68,311.52,318.44,333.02,334.20,342.48,377.85,381.99,,354.45,357.82,372.48,364.46,356.53,357.88,377.47,365.79,359.70,365.11,348.02,356.67,339.46,301.97,316.56,314.76,331.90,340.99,342.27,352.40,363.71,382.15,364.50,366.31,327.16
2000-05-19 21:45:43.918000,L7,293.80,320.49,298.59,,335.82,345.30,348.53,318.80,357.18,,364.52,376.17,377.36,322.15,351.00,381.34,388.28,378.06,,,,,,,,,321.53,343.77,349.27,292.40,315.82,411.02,395.16,,
2000-06-04 21:45:32.324000,L7,,,380.99,362.96,382.66,383.53,376.52,,,338.45,,393.31,399.46,389.46,403.30,408.15,,,,,,416.00,402.08,360.09,345.57,345.17,349.33,,,391.73,396.94,,,,371.69
2000-08-07 21:44:45.034000,L7,355.28,317.72,289.41,306.13,346.78,337.50,362.83,370.02,367.34,,376.03,356.25,384.33,366.68,,379.29,392.91,390.48,375.95,312.64,294.10,,,,,,,322.00,352.06,353.39,,397.40,349.94,359.55,
2001-01-14 21:44:09.210000,L7,335.29,324.94,340.53,313.71,340.17,351.93,356.28,375.93,368.51,348.99,396.50,378.81,365.45,387.29,370.42,370.68,382.30,393.63,382.70,393.09,318.44,360.45,362.25,296.51,300.25,310.53,325.15,355.18,359.32,399.47,388.63,385.92,407.76,390.42,322.65
2001-04-04 21:43:43.008000,L7,,,,,,,,,,,,,,,,,,,,,419.56,412.15,399.67,358.39,332.61,334.37,350.45,,,,,,,,375.08
2001-04-20 21:43:46.702000,L7,365.37,342.48,361.43,333.71,357.52,345.31,368.48,372.14,379.19,287.35,376.03,372.90,382.55,367.04,376.98,380.09,395.49,393.88,383.42,391.48,380.05,370.14,352.92,320.91,315.50,310.37,325.65,372.41,355.92,363.05,386.82,399.84,392.39,394.98,293.38
2001-05-22 21:43:30.869000,L7,,,,,329.70,336.00,338.96,314.05,332.25,,,,378.52,358.14,,,,,331.24,320.61,,,,,,,,340.94,317.13,,,,,357.52,
2001-07-25 21:42:54.824000,L7,368.10,353.81,364.10,,,,,,375.68,,389.56,391.02,405.59,385.20,387.65,404.78,,,,403.97,408.59,414.31,397.42,346.19,325.63,328.82,332.39,394.39,385.22,399.40,394.36,,,,368.36
2001-08-10 21:42:36.562000,L7,357.34,321.12,358.41,300.18,347.85,347.39,368.83,317.67,372.72,,383.17,370.59,391.80,324.16,344.69,388.64,399.61,384.37,379.10,390.14,335.75,,,,,,,382.81,369.22,299.74,332.07,389.74,378.91,382.65,
2001-08-26 21:42:25.671000,L7,371.29,362.84,371.21,342.45,359.86,390.10,389.91,386.19,387.98,313.13,389.81,379.30,379.28,375.74,389.75,398.32,,402.59,393.03,392.07,370.26,,,308.92,325.69,328.21,335.66,391.80,378.61,403.53,393.79,,,400.45,
2001-09-11 21:42:14.303000,L7,324.66,309.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-13 21:41:51.963000,L7,,,,,,,,,,,,,,,,,,,,,,418.02,406.39,381.49,371.62,359.24,363.62,,,,,,,,387.59
2001-10-29 21:41:57.341000,L7,,,,,336.09,342.65,348.30,342.04,372.97,,349.87,352.94,348.01,371.27,363.98,333.09,343.95,369.23,358.84,369.36,355.60,357.75,344.60,300.87,309.54,309.62,316.14,341.71,360.23,359.95,371.01,386.94,380.69,360.34,304.10
2002-02-02 21:42:30.783000,L7,,,,,335.92,336.58,335.41,317.16,353.82,,367.06,327.02,345.51,370.17,357.27,368.98,391.25,368.98,364.86,360.25,340.81,352.60,349.14,304.88,291.55,299.23,301.47,331.95,344.35,362.74,361.00,387.72,370.51,365.56,296.87
