dates,satname,nzd0025-0000,nzd0025-0014,nzd0025-0015,nzd0025-0058,nzd0025-0059,nzd0025-0001,nzd0025-0002,nzd0025-0003,nzd0025-0004,nzd0025-0005,nzd0025-0006,nzd0025-0007,nzd0025-0008,nzd0025-0009,nzd0025-0010,nzd0025-0011,nzd0025-0012,nzd0025-0013,nzd0025-0023,nzd0025-0024,nzd0025-0025,nzd0025-0026,nzd0025-0027,nzd0025-0028,nzd0025-0029,nzd0025-0030,nzd0025-0031,nzd0025-0032,nzd0025-0033,nzd0025-0034,nzd0025-0035,nzd0025-0036,nzd0025-0037,nzd0025-0038,nzd0025-0039,nzd0025-0040,nzd0025-0041,nzd0025-0042,nzd0025-0043,nzd0025-0044,nzd0025-0045,nzd0025-0046,nzd0025-0047,nzd0025-0089,nzd0025-0090,nzd0025-0091,nzd0025-0092,nzd0025-0093,nzd0025-0016,nzd0025-0017,nzd0025-0018,nzd0025-0019,nzd0025-0020,nzd0025-0021,nzd0025-0022,nzd0025-0071,nzd0025-0072,nzd0025-0073,nzd0025-0074,nzd0025-0075,nzd0025-0085,nzd0025-0086,nzd0025-0087,nzd0025-0048,nzd0025-0049,nzd0025-0050,nzd0025-0051,nzd0025-0052,nzd0025-0053,nzd0025-0054,nzd0025-0055,nzd0025-0056,nzd0025-0057,nzd0025-0060,nzd0025-0061,nzd0025-0062,nzd0025-0063,nzd0025-0076,nzd0025-0077,nzd0025-0078,nzd0025-0079,nzd0025-0080,nzd0025-0081,nzd0025-0082,nzd0025-0083,nzd0025-0084,nzd0025-0088,nzd0025-0094,nzd0025-0095,nzd0025-0064,nzd0025-0065,nzd0025-0066,nzd0025-0067,nzd0025-0068,nzd0025-0069,nzd0025-0070
2005-02-14 22:04:09.465000,L5,355.08,302.59,321.66,358.48,359.50,341.04,330.95,324.03,329.77,335.70,341.10,349.16,364.76,353.16,343.80,327.35,308.94,293.63,317.83,325.54,330.70,324.38,328.51,330.22,338.63,364.58,,374.26,358.71,360.37,340.37,334.92,325.14,326.34,332.63,329.03,310.24,326.52,339.42,343.42,343.48,347.60,361.68,356.61,359.03,358.15,362.16,373.79,325.94,325.78,328.41,325.85,316.53,305.30,314.03,,307.52,320.03,339.64,347.88,339.94,347.89,352.70,336.54,328.18,329.89,328.20,343.44,356.65,366.51,367.32,374.20,366.37,361.27,344.60,328.63,325.04,341.54,344.36,341.60,335.61,334.80,331.10,336.08,339.43,336.45,357.98,379.88,385.36,,,,,,,
2005-04-03 22:04:40.528000,L5,403.13,359.06,382.86,358.93,377.16,405.93,392.27,374.88,353.87,350.06,335.75,327.50,338.97,361.79,373.20,,359.93,356.66,323.29,345.39,365.38,,,,,,,,,,375.92,374.89,357.86,344.13,353.85,349.38,365.89,378.23,364.61,352.57,353.57,363.65,370.30,,,,,,362.58,345.32,335.70,338.08,322.89,306.54,312.90,357.51,358.98,360.48,353.29,356.07,348.51,364.93,351.30,394.14,,,380.87,362.76,351.97,340.52,360.30,358.33,360.04,392.90,406.50,404.39,399.57,365.50,,352.11,359.16,351.05,342.51,368.19,369.98,359.13,,,,385.73,376.88,381.14,383.07,369.54,370.08,365.43
2010-11-27 22:07:24.215000,L5,374.42,334.95,328.78,334.45,346.41,386.09,381.11,359.68,341.84,333.07,327.17,329.04,328.66,332.98,337.38,333.76,335.77,334.38,306.37,312.96,315.36,312.11,320.65,321.92,325.51,327.42,318.72,317.16,314.75,313.62,313.46,323.17,323.02,325.27,324.41,328.75,329.56,340.31,350.66,350.52,345.32,337.49,330.70,347.17,341.32,333.47,335.73,348.81,311.92,296.79,291.99,295.52,296.68,298.48,302.36,359.41,363.07,356.03,356.41,356.89,360.66,354.71,353.88,335.82,335.28,326.51,317.45,320.31,336.98,330.28,328.79,331.56,334.16,352.70,358.01,361.55,339.55,352.36,343.48,341.92,342.50,342.64,343.77,352.86,359.37,358.14,347.14,374.23,380.28,367.90,416.10,,,,375.38,359.05
2013-07-14 22:19:34.707000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.95,349.99,341.83,326.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.26,,,,,,,,,
2015-08-05 22:17:13.094000,L8,296.08,,,,,294.17,289.44,290.15,284.00,,,,,,,,,,,,,,,,271.58,280.38,296.51,310.10,284.75,282.48,293.75,289.96,299.39,286.96,293.17,278.19,265.83,,,,,,,,,,,,279.89,299.11,295.06,272.12,267.00,260.84,258.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12 22:17:40.472000,L8,,,,,,,,,,,,,383.13,371.58,364.34,,,,262.44,264.17,264.74,265.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.05,267.65,262.67,259.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.44,408.92,,,,,350.69,,
2016-01-28 22:17:39.790000,L8,291.66,264.04,260.28,,,300.92,301.68,297.14,291.06,284.19,285.46,277.58,276.52,271.71,265.61,259.55,262.90,260.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.74,258.31,264.82,259.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 22:17:38.957000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.58,323.70,332.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01 22:17:30.804000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.26,299.88,350.69,289.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05 22:17:21.574000,L8,,,,,,287.86,296.82,299.81,279.16,275.26,269.93,278.78,271.25,272.25,267.82,260.71,257.31,261.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.92,409.78,,,,,,,,,,,,,,,,,,,,,
2019-06-29 22:17:29.720000,L8,320.05,296.04,287.11,,,328.29,330.07,322.47,329.35,342.57,319.15,321.69,311.20,304.26,306.49,309.60,304.86,299.94,319.30,317.17,300.12,295.65,287.79,,,284.66,289.94,304.96,306.45,304.89,301.78,313.68,311.74,310.80,313.50,315.19,299.27,,,,,,,,,,,,290.44,292.08,285.74,285.06,292.12,295.97,304.26,,,,,,,,,293.69,310.60,313.54,331.89,317.26,310.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25 22:17:44.203000,L8,297.37,,,285.16,299.26,289.40,280.99,286.38,280.58,268.54,,,,,,,,,,269.66,294.24,306.33,320.25,300.91,287.18,292.68,276.47,285.72,297.40,300.99,305.49,308.53,314.11,317.97,314.80,298.75,285.34,285.90,284.50,285.28,283.30,288.68,292.69,,,427.88,450.42,436.04,,,,,,,,322.07,,,,,377.82,377.02,355.23,300.14,308.86,327.84,342.59,316.51,312.27,320.33,315.48,305.58,303.03,300.80,,,,,,,,,,,,,336.21,424.83,,,339.37,338.04,329.91,324.99,318.30,324.54
2021-11-09 22:17:58.951000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,259.44,262.21,289.85,333.87,297.99,306.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
