dates,satname,nzd0490-0000,nzd0490-0001,nzd0490-0002,nzd0490-0003,nzd0490-0004,nzd0490-0005,nzd0490-0006,nzd0490-0007,nzd0490-0008,nzd0490-0014,nzd0490-0015,nzd0490-0016,nzd0490-0017,nzd0490-0018,nzd0490-0019,nzd0490-0020,nzd0490-0021,nzd0490-0024,nzd0490-0025,nzd0490-0026,nzd0490-0027,nzd0490-0028,nzd0490-0029,nzd0490-0030,nzd0490-0031,nzd0490-0032,nzd0490-0033,nzd0490-0035,nzd0490-0036,nzd0490-0037,nzd0490-0038,nzd0490-0039,nzd0490-0009,nzd0490-0010,nzd0490-0011,nzd0490-0022,nzd0490-0023,nzd0490-0034,nzd0490-0012,nzd0490-0013
1999-08-26 22:07:32.686000,L7,,339.84,310.29,295.47,307.25,325.00,342.56,350.01,349.99,355.08,354.01,353.56,352.71,356.18,362.87,368.03,371.71,377.94,373.79,374.04,333.47,370.52,373.27,370.19,362.58,363.30,359.99,368.98,365.63,350.58,360.80,392.43,357.54,354.22,350.30,368.01,379.11,370.22,354.88,360.51
1999-12-16 22:07:33.708000,L7,,,,,,,,,,,,,288.09,289.40,294.55,289.53,301.08,,307.83,310.51,318.94,300.66,307.76,,310.38,300.83,297.37,304.11,313.81,304.70,294.41,288.97,,,,299.05,,297.98,,
2000-05-08 22:06:44.900000,L7,,,257.54,256.66,257.69,259.32,277.45,287.22,303.00,347.49,341.36,338.51,293.88,295.81,,,,,,,,,399.59,390.77,382.50,376.10,369.14,370.87,371.82,362.71,384.67,,311.74,304.88,345.34,,,373.54,346.11,342.61
2000-06-25 22:06:19.852000,L7,,,,,,293.53,354.43,381.00,352.26,357.47,,,,,,,,,,,,,,,,,,,,,,,332.03,375.38,368.93,,,,361.74,352.01
2000-07-11 22:06:05.496000,L7,,,,,,265.45,266.92,289.05,318.23,327.15,317.76,318.51,289.74,286.78,,,,,,,,,,,,,,,,,,,314.02,296.89,325.72,,,,309.85,315.51
2000-07-27 22:05:48.258000,L7,,,,245.39,257.61,259.64,268.26,361.75,386.23,347.79,352.07,348.05,295.96,293.92,,,,,,,,,,,,,,,,,377.12,393.25,369.32,301.88,344.09,,,,355.27,350.61
2000-08-12 22:05:41.803000,L7,364.81,352.99,334.40,271.79,287.88,303.71,311.04,320.74,320.80,376.10,362.79,353.78,369.44,359.22,364.10,312.08,305.28,,,,,,,,,,,,,,,,,,,,,,,
2000-12-18 22:05:01.704000,L7,,,,238.95,241.35,254.06,269.65,282.04,279.55,288.37,274.42,293.48,294.89,297.35,298.71,300.93,304.73,362.61,378.59,376.85,367.72,310.98,309.72,311.70,313.98,306.23,298.42,340.70,345.25,364.36,378.19,310.65,298.29,339.15,358.73,303.44,302.06,298.56,343.13,335.82
2001-01-03 22:05:00.181000,L7,,,,,,,,,,355.53,340.40,,,,,289.28,294.82,312.03,312.30,311.22,313.14,304.60,307.91,309.72,313.71,303.79,297.41,307.26,314.74,300.44,295.75,376.29,,,339.84,301.01,296.85,293.43,355.05,343.55
2001-02-20 22:05:00.525000,L7,398.56,,,,,,,,,,,374.38,376.59,373.43,347.47,316.69,307.22,341.86,390.04,385.58,378.36,374.29,316.54,320.95,286.24,325.31,285.33,346.60,288.94,350.45,299.91,360.39,,,,,,,,
2001-04-09 22:04:41.882000,L7,394.13,380.41,308.47,291.02,292.89,301.16,308.73,323.77,332.00,368.96,365.09,365.07,376.34,377.90,380.49,377.68,384.63,386.34,347.71,392.78,389.67,386.00,378.57,380.28,368.92,319.40,320.95,369.83,383.77,381.23,356.84,317.36,330.30,303.15,305.84,376.08,383.93,327.69,,
2001-07-14 22:03:57.537000,L7,,,,,,,,,307.40,323.87,307.54,304.97,290.84,260.87,,,,,,,,,377.23,376.58,374.53,361.68,357.32,337.53,382.70,362.21,354.58,354.57,345.01,283.80,314.42,,,349.80,310.32,318.89
2001-08-15 22:03:26.328000,L7,,,271.51,248.03,248.27,256.99,268.21,279.20,352.57,297.65,297.09,321.54,294.14,300.53,,,,339.61,347.07,336.67,323.23,335.39,320.17,330.33,328.19,325.02,317.50,325.01,324.10,315.85,310.00,,305.38,302.15,324.34,,338.30,335.37,315.32,315.05
2001-11-03 22:02:58.699000,L7,,365.57,333.25,312.11,327.79,330.02,295.11,294.17,324.49,360.04,,,,,,,,,,,,,,,,,,,,,,,350.99,360.74,364.22,,,,357.63,357.79
2002-02-23 22:03:31.354000,L7,,,,339.22,293.57,267.89,277.29,291.14,308.74,341.05,294.12,339.45,318.09,320.02,318.71,332.47,320.78,336.15,343.82,347.97,339.91,346.23,323.99,337.09,332.08,320.88,322.83,335.99,345.20,333.52,338.36,314.95,302.64,308.28,337.90,315.01,329.51,317.30,307.45,311.02
2002-03-11 22:03:31.366000,L7,351.12,350.96,335.93,311.51,302.18,287.52,306.82,325.39,323.01,308.36,312.34,348.45,358.15,366.16,369.76,386.85,365.43,351.47,362.29,361.04,360.82,339.70,357.71,358.16,349.45,344.22,346.99,339.48,339.95,,,,327.50,322.36,310.25,342.54,346.46,346.57,292.44,300.73
2002-04-12 22:03:25.302000,L7,371.65,355.17,338.66,352.39,312.13,321.36,340.62,348.86,359.94,362.87,351.90,364.21,383.50,377.88,377.09,371.87,380.16,,,,,354.05,348.35,342.82,349.92,338.69,335.74,,,,,,364.52,360.56,359.21,380.15,380.81,333.48,348.05,351.94
2002-05-14 22:03:19.418000,L7,316.35,339.86,321.92,324.72,318.37,317.62,340.59,351.44,344.47,352.25,360.09,365.98,331.76,336.71,337.32,372.49,368.73,372.57,339.13,333.82,326.55,339.95,381.25,381.66,369.34,329.97,352.26,,376.55,369.68,357.59,314.74,349.74,338.55,340.91,366.40,372.49,369.56,344.34,342.81
2002-05-30 22:03:13.672000,L7,,,300.95,292.13,274.40,311.33,299.36,324.75,329.87,326.88,322.28,323.10,297.44,299.52,,,,,,,,,327.20,360.83,326.88,328.64,321.09,350.44,341.57,323.03,333.05,,320.54,308.91,329.59,,,315.00,329.63,332.50
2002-06-15 22:03:07.576000,L7,,,,274.14,302.32,322.56,326.63,349.04,349.07,356.75,338.36,338.13,295.15,293.61,,,,,,,,,273.57,352.56,327.81,336.76,320.92,377.84,376.18,359.14,359.96,360.31,347.70,303.87,354.65,,,314.87,359.43,335.62
2002-11-22 22:02:45.529000,L7,342.78,323.10,298.56,279.60,282.77,293.93,301.63,309.26,316.20,353.79,354.40,354.10,367.03,371.23,370.79,385.99,,,,,,,,,,,,,,,,,316.86,308.56,376.27,,,,356.54,349.94
2002-12-08 22:02:51.522000,L7,,,,,,,,,,275.27,271.24,319.55,316.70,315.38,304.07,294.02,301.41,323.17,326.74,320.00,323.80,308.00,311.26,313.74,313.43,305.56,300.71,309.19,332.05,303.79,299.06,318.73,,286.13,312.41,298.16,302.91,296.26,292.05,277.38
2002-12-24 22:02:57.022000,L7,322.98,325.15,256.19,235.96,243.22,252.82,267.88,279.48,283.79,,,,,,,345.84,323.12,,,336.13,344.20,341.76,340.48,343.45,,318.69,325.87,,,,,,317.70,305.92,331.95,314.60,342.29,322.80,,
2003-08-13 21:51:32.649000,L5,,,,341.27,335.51,340.25,338.34,369.74,374.36,379.94,364.45,356.09,365.12,379.96,377.13,372.89,367.10,,,,,,,,,,,,,,,,372.67,377.92,362.74,373.21,380.42,,368.26,369.30
2003-08-29 21:51:49.928000,L5,,,284.03,278.75,284.67,290.07,306.55,312.71,322.00,331.76,321.94,330.53,326.10,330.29,334.15,344.12,346.06,369.67,377.14,368.78,368.62,363.95,363.99,377.42,369.06,366.09,362.28,378.66,376.86,360.53,354.18,354.62,325.37,329.99,331.86,337.55,356.34,367.77,332.08,329.11
2003-09-30 21:52:18.101000,L5,329.08,326.04,312.76,293.33,301.79,305.35,323.18,332.65,342.31,340.40,343.13,346.20,352.40,354.41,355.31,364.40,363.82,379.34,385.15,383.54,381.34,379.77,377.89,378.87,374.41,378.01,366.36,369.69,369.41,371.37,374.29,372.08,344.26,358.21,352.89,362.71,371.77,364.60,351.81,346.45
2003-11-17 21:52:57.120000,L5,,,300.57,274.76,279.16,281.76,300.87,309.05,312.58,341.44,339.05,340.59,338.39,331.38,333.79,339.74,339.37,349.54,360.23,376.12,375.75,368.57,365.23,371.57,368.78,363.43,352.96,344.40,347.61,344.72,342.98,341.68,312.61,343.33,343.59,335.27,338.41,334.89,342.26,343.04
2004-06-12 21:55:59.429000,L5,,,,,,,,,,298.32,297.25,307.13,291.62,280.46,,,,,,,,,,,332.04,337.15,326.70,343.09,339.72,326.38,324.30,,,,296.03,,,319.93,288.72,303.01
2004-06-28 21:56:28.308000,L5,,,,,253.36,261.91,277.00,292.70,303.98,313.15,308.80,319.31,305.02,290.21,,,,,,,,,308.20,351.16,344.50,339.61,329.97,344.48,345.66,340.09,336.47,,293.69,299.02,314.52,,,325.34,310.18,309.06
2004-07-30 21:57:15.668000,L5,,,305.04,287.17,289.35,299.37,313.41,327.70,331.90,336.16,335.25,344.81,335.31,346.70,346.65,354.28,343.58,372.78,376.40,372.92,361.03,367.32,360.22,369.40,365.52,356.69,359.42,366.14,372.57,360.96,367.81,337.06,328.96,330.21,342.30,328.93,363.27,351.77,325.73,333.43
2004-08-15 21:57:37.379000,L5,,,,,,258.18,272.52,293.26,293.53,303.62,299.08,308.17,297.52,302.10,,,,,,,,,,334.81,326.75,327.59,323.35,329.53,341.82,333.03,331.34,,281.50,294.50,295.26,,,323.43,293.59,295.90
2004-10-18 21:59:11.702000,L5,,,263.05,275.55,281.65,293.88,302.11,319.67,318.22,321.85,319.44,323.08,322.59,333.33,339.80,346.24,344.46,361.57,369.32,360.54,354.34,350.46,345.95,349.73,351.98,341.57,335.03,339.96,350.30,343.31,339.96,347.76,320.63,328.07,321.60,341.80,348.72,330.28,323.42,321.69
2005-03-11 22:01:31.683000,L5,,,,340.25,332.46,349.00,357.10,362.49,364.97,360.97,349.10,363.43,362.24,370.53,371.03,375.33,382.65,,,,,,,,,,,,,,,,366.78,367.24,363.18,384.10,386.57,,362.97,355.89
2005-04-12 22:01:42.862000,L5,351.08,353.77,326.55,312.63,308.70,323.27,338.49,354.81,358.12,357.01,355.82,356.47,360.37,358.92,364.76,370.68,365.70,379.78,390.68,402.73,393.22,389.87,384.04,391.92,383.41,372.76,372.70,379.94,,,,,375.70,367.56,362.82,371.21,379.53,371.21,358.06,360.00
2005-04-19 22:07:31.266000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,322.60,334.85,342.43,335.70,332.02,302.04,,,,,,322.90,,
2005-09-19 22:02:44.739000,L5,358.91,346.03,332.76,308.84,324.94,322.46,344.77,348.81,364.43,,,,,,,,,,,395.84,394.61,380.83,383.76,381.88,383.07,377.13,368.80,372.22,381.11,382.59,,,,,,,,364.94,,
2005-10-05 22:02:41.026000,L5,342.95,338.62,324.09,305.53,304.41,311.42,330.41,339.14,354.74,355.32,355.87,366.26,363.01,364.39,362.66,366.94,362.23,374.83,384.58,386.25,391.82,382.43,377.96,380.85,386.77,376.79,374.84,372.85,373.54,374.77,368.59,371.80,343.05,353.54,352.55,359.77,362.67,369.49,357.34,353.15
2005-11-06 22:02:46.848000,L5,358.76,352.08,322.94,323.92,326.23,340.02,352.74,372.40,367.55,345.82,350.16,351.64,365.62,370.40,377.84,372.12,375.91,,392.24,391.01,380.42,384.87,385.15,380.16,382.10,372.28,371.19,,,,,,379.39,364.19,355.12,373.83,374.92,377.76,345.28,351.85
2006-02-26 22:05:22.928000,L5,,313.79,313.59,302.12,303.74,307.90,326.10,342.49,346.39,342.02,339.60,342.72,349.85,348.53,353.65,354.62,355.10,375.42,385.59,391.22,381.20,380.17,373.89,377.24,362.99,363.80,357.89,366.23,363.51,364.30,369.13,369.54,341.23,347.52,350.43,362.54,370.63,353.70,347.51,353.28
2006-03-14 22:05:42.635000,L5,,,,,,,,,,,,,,,310.24,332.82,327.53,353.08,357.36,359.48,354.99,352.30,347.92,351.50,346.27,333.89,325.62,336.09,337.58,333.07,329.09,340.27,,,,328.51,337.32,321.25,,
2006-07-04 22:07:29.185000,L5,,,,,,,,,,312.09,306.15,308.79,307.01,308.27,283.49,330.36,309.06,,,,,,,,,,,,,,,,,285.24,297.03,,,,300.06,305.75
2006-07-27 22:13:58.731000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.38,335.21,326.50,329.86,309.24,,,,,,,,
2006-08-05 22:07:55.109000,L5,,,,,265.57,268.54,278.52,298.31,301.65,313.02,307.65,312.16,303.79,300.03,,,,,,,,,,,,,,,,,,,295.05,304.58,309.77,,,,308.25,305.93
2006-08-12 22:13:47.414000,L5,,,,,,,,,,,,,,,,,,,,,,337.36,386.69,379.14,369.80,363.43,373.75,,,,,,,,,,,,,
2006-08-28 22:13:59.628000,L5,,,,,,,,,,,294.76,300.40,299.02,296.32,279.39,315.41,304.81,,,,,,,,324.12,319.29,312.12,317.13,322.28,319.16,299.99,,,,,,,296.87,,
2006-12-11 22:09:16.015000,L5,,,,,248.49,253.55,267.51,277.10,291.67,314.60,298.01,295.58,295.85,298.57,307.09,312.31,313.16,337.69,343.43,344.99,343.23,335.56,332.06,336.80,328.43,311.44,298.04,,,,,,292.45,312.37,315.26,305.01,309.28,286.54,315.13,314.43
2007-09-09 22:07:45.163000,L5,366.55,349.48,333.25,321.35,322.42,327.63,359.73,379.74,362.76,379.92,355.92,350.62,361.07,363.75,364.90,361.21,359.09,,,392.92,390.48,390.23,381.90,378.30,371.53,367.29,362.07,367.20,364.49,360.39,375.39,375.40,356.07,371.91,374.87,373.18,382.92,363.23,369.57,
