dates,nzd0490-0000,nzd0490-0001,nzd0490-0002,nzd0490-0003,nzd0490-0004,nzd0490-0005,nzd0490-0006,nzd0490-0007,nzd0490-0008,nzd0490-0014,nzd0490-0015,nzd0490-0016,nzd0490-0017,nzd0490-0018,nzd0490-0019,nzd0490-0020,nzd0490-0021,nzd0490-0024,nzd0490-0025,nzd0490-0026,nzd0490-0027,nzd0490-0028,nzd0490-0029,nzd0490-0030,nzd0490-0031,nzd0490-0032,nzd0490-0033,nzd0490-0035,nzd0490-0036,nzd0490-0037,nzd0490-0038,nzd0490-0039,nzd0490-0009,nzd0490-0010,nzd0490-0011,nzd0490-0022,nzd0490-0023,nzd0490-0034,nzd0490-0012,nzd0490-0013,satname
2002-04-12 22:03:25+00:00,,,,,,287.52,306.82,325.39,323.01,308.36,303.23,,318.09,320.02,318.71,332.47,320.78,343.81,343.82,354.505,350.365,346.66,343.34999999999997,346.0233333333333,340.765,334.59666666666664,329.28499999999997,337.735,339.95,,,314.95,315.07,315.32,310.25,328.775,337.985,325.39,299.945,305.875,L7
2002-05-14 22:03:19+00:00,316.35,,,,,287.52,306.82,325.39,323.01,308.36,303.23,,324.92499999999995,328.365,318.71,332.47,320.78,343.81,341.475,347.60999999999996,342.4266666666667,344.9825,343.34999999999997,346.0233333333333,340.765,333.44,329.28499999999997,337.735,339.95,,,314.845,315.07,315.32,310.25,328.775,337.985,325.39,299.945,305.875,L7
2002-05-30 22:03:13+00:00,316.35,,,,274.4,287.52,303.09000000000003,325.39,323.01,308.36,309.58,323.1,315.7633333333333,318.75,318.71,332.47,320.78,343.81,341.475,347.60999999999996,342.4266666666667,344.9825,339.3125,346.0233333333333,336.13666666666666,333.44,329.28499999999997,337.735,339.95,,,314.845,315.07,313.18333333333334,310.25,328.775,337.985,321.9266666666667,299.945,305.875,L7
2002-06-15 22:03:07+00:00,316.35,,,274.14,274.4,287.52,303.09000000000003,325.39,323.01,308.36,309.58,323.1,310.61,312.465,318.71,332.47,320.78,343.81,341.475,347.60999999999996,342.4266666666667,344.9825,339.3125,346.0233333333333,336.13666666666666,333.44,329.28499999999997,337.735,339.95,,,314.845,315.07,310.855,310.25,328.775,337.985,320.1625,299.945,305.875,L7
2002-11-22 22:02:45+00:00,342.78,323.1,298.56,276.87,278.585,293.93,300.495,309.26,316.2,,322.28,323.1,296.2950000000001,296.56499999999994,,,,,,,,,327.2,,326.88,,,,,,,,316.86,307.11333333333334,,,,314.93500000000006,,,L7
2002-12-24 22:02:57+00:00,332.88,324.125,298.56,257.78000000000003,262.995,273.375,284.755,294.37,299.995,,,,,,,,323.12,,,336.13,344.2,341.76,340.48,,,318.69,325.87,,,,,,317.28,307.24,,314.6,,322.8,,,L7
2003-11-17 21:52:57+00:00,,,300.57,274.76,279.16,281.76,300.87,309.05,312.58,,,340.59,,,,,,,,,,368.57,365.23,,,363.43,352.96,344.4,,,,,312.61,343.33,343.59,,,334.89,,,L5
2004-06-12 21:55:59+00:00,,,,,,,,,,298.32,297.25,307.13,291.62,280.46,,,,,,,,,,,332.04,337.15,326.7,343.09,339.72,326.38,324.3,,,,296.03,,,319.93,288.72,303.01,L5
2004-06-28 21:56:28+00:00,,,,,253.36,261.91,277.0,292.7,303.98,305.735,303.025,313.22,298.32,285.335,,,,,,,,,308.2,351.16,338.27,338.38,328.33500000000004,343.78499999999997,339.72,326.38,324.3,,293.69,299.02,305.275,,,322.635,299.45000000000005,306.03499999999997,L5
2004-07-30 21:57:15+00:00,,,305.04,287.17,271.355,280.64,277.0,310.2,317.94,305.735,303.025,313.22,298.32,285.335,,,,,,,,,308.2,351.16,338.27,338.38,328.33500000000004,343.78499999999997,339.72,326.38,324.3,337.06,311.325,314.615,305.275,328.93,,322.635,299.45000000000005,306.03499999999997,L5
2004-08-15 21:57:37+00:00,,,305.04,287.17,271.355,273.15333333333336,274.76,304.55333333333334,309.80333333333334,305.03,301.71,311.5366666666667,298.05333333333334,290.92333333333335,,,,,,,,,308.2,342.985,334.43,334.7833333333333,326.67333333333335,339.0333333333333,339.72,326.38,327.82,337.06,301.3833333333333,307.91,301.93666666666667,328.93,,322.90000000000003,297.49666666666667,302.6566666666667,L5
2004-10-18 21:59:11+00:00,,,305.04,281.36,274.7866666666667,278.33500000000004,283.87666666666667,308.3325,311.9075,309.235,306.1425,314.4225,304.1875,301.525,,,344.46,,,,354.34,350.46,327.075,342.985,334.43,334.7833333333333,326.67333333333335,339.0333333333333,339.72,326.38,327.82,337.06,306.195,312.95,306.85249999999996,328.93,,324.745,303.9775,307.41499999999996,L5
2005-10-05 22:02:41+00:00,342.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-11-06 22:02:46+00:00,350.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2006-02-26 22:05:22+00:00,350.855,313.79,,,,,,,,,,,,,,,,375.42,,,,,,,,,,,,,,,,,,,,,,,L5
2008-11-14 21:57:52+00:00,,316.47,,299.6,305.38,310.89,324.42,334.71,335.55,,,,346.7,346.86,,,351.47,,,,,,,,,,,,,,,,328.47,332.61,337.21,352.84,359.79,,335.43,,L5
2010-12-22 22:04:29+00:00,,,297.57,282.99,282.66,293.22,304.86,319.08,315.35,330.07,,,,,,,,,,,,346.52,,347.29,,,331.47,,,,,,328.87,,,,,,,,L5
2013-05-11 22:22:18+00:00,,,,,264.96,271.78,285.05,295.52,304.16,293.65,293.16,293.07,291.42,293.91,284.18,313.51,303.5,332.75,337.7,334.91,326.53,332.57,322.57,332.33,326.15,324.09,314.54,320.96,,,,312.28,302.92,291.22,302.86,283.55,322.84,311.45,297.52,291.08,L8
2013-06-05 22:16:38+00:00,,,,,264.96,271.78,293.70000000000005,306.315,318.605,302.855,298.63,298.505,292.01,296.85,290.295,316.07,304.945,335.54499999999996,337.7,336.305,329.94,335.64,327.685,337.445,330.965,324.09,314.54,320.96,,,,312.28,302.92,297.795,302.86,289.3,322.84,314.575,297.52,291.08,L8
2013-06-28 22:22:20+00:00,,341.03,319.09,291.27,275.78999999999996,282.30499999999995,296.81,312.65333333333336,326.21333333333337,306.4733333333333,304.31666666666666,303.26,292.42333333333335,299.8433333333333,290.8066666666667,316.07,306.49666666666667,335.54499999999996,337.7,336.305,329.94,335.64,330.68333333333334,338.7233333333333,330.965,324.09,314.54,320.96,,,,312.28,315.46000000000004,301.54333333333335,312.45000000000005,289.90000000000003,322.84,314.575,309.505,304.96500000000003,L8
2013-07-14 22:22:22+00:00,,341.03,319.09,291.27,275.78999999999996,282.30499999999995,296.81,312.65333333333336,317.775,301.90999999999997,300.115,298.28,289.1175,295.485,290.8066666666667,316.07,306.49666666666667,335.54499999999996,337.7,336.305,329.94,335.64,330.68333333333334,338.7233333333333,330.965,324.09,314.54,320.96,,,,312.28,309.12666666666667,298.765,306.4666666666667,289.90000000000003,322.84,314.575,304.04333333333335,298.67,L8
2013-08-31 22:22:26+00:00,,341.03,296.80999999999995,276.365,272.17333333333335,278.6166666666666,293.4,308.40999999999997,314.91999999999996,302.28000000000003,300.636,299.63800000000003,290.62600000000003,296.61,292.21500000000003,319.4533333333333,306.3075,337.3966666666667,338.54999999999995,337.63,330.35999999999996,336.23333333333335,328.83,337.715,330.9633333333333,324.75,315.865,322.63,328.74,323.97,323.73,311.895,309.0925,299.968,307.5,291.355,329.4,313.0133333333333,304.39,299.3175,L8
2013-09-25 22:16:28+00:00,,341.03,289.0133333333333,270.06666666666666,269.49,276.015,290.62,305.3,312.685,302.31333333333333,301.27500000000003,299.39166666666665,291.4166666666667,296.99833333333333,293.486,318.3125,306.382,336.065,339.01,337.87,330.46,335.0325,327.306,337.715,329.15999999999997,324.3333333333333,315.08666666666664,322.27666666666664,327.47,321.44500000000005,319.27,312.84999999999997,308.454,300.785,307.3,293.496,328.56,311.72749999999996,304.664,300.98199999999997,L8
2013-10-02 22:22:40+00:00,,341.03,286.155,268.515,269.328,275.594,289.69,304.2133333333333,312.9428571428571,303.0,302.5628571428571,301.90000000000003,293.4871428571428,298.5614285714286,297.50333333333333,322.26,309.1433333333334,336.065,339.01,338.77599999999995,332.066,335.0325,326.75,336.23199999999997,328.628,324.2525,315.525,322.27666666666664,327.47,321.44500000000005,319.27,313.995,308.454,300.785,307.3,296.42,328.56,312.49,304.664,300.98199999999997,L8
2013-10-11 22:16:29+00:00,,341.03,283.73400000000004,267.71999999999997,269.3566666666666,275.0366666666667,288.7442857142857,303.28999999999996,312.1625,302.8225,302.33500000000004,302.19375,294.2625,299.10875,298.37142857142857,322.01666666666665,309.40285714285716,336.065,339.01,338.685,332.65000000000003,334.77,326.2814285714286,336.3933333333333,328.54,323.93,315.41999999999996,322.3675,327.12666666666667,321.3333333333333,319.68333333333334,313.614,308.6816666666667,301.90714285714284,308.4016666666667,297.5357142857143,330.1775,312.03833333333336,304.75333333333333,301.65333333333336,L8
2013-10-18 22:22:13+00:00,,341.03,283.73400000000004,267.71999999999997,269.3566666666666,275.0366666666667,288.7442857142857,303.28999999999996,312.1625,299.54,298.6144444444445,297.68333333333334,290.9588888888889,295.51444444444445,294.5425,316.40285714285716,306.30375,336.065,339.01,338.685,332.65000000000003,334.77,326.2814285714286,336.3933333333333,328.54,323.93,315.41999999999996,322.3675,327.12666666666667,321.3333333333333,319.68333333333334,313.614,308.6816666666667,301.90714285714284,305.0185714285714,297.5357142857143,330.1775,312.03833333333336,301.1742857142857,298.18285714285713,L8
2013-10-27 22:16:19+00:00,,341.03,280.53,266.3666666666667,268.75142857142856,274.1328571428571,287.64,302.13125,310.9122222222222,299.407,299.499,296.771,291.172,295.822,294.90666666666664,314.9375,306.0855555555556,334.54,339.2125,337.99285714285713,332.07,333.0116666666667,325.32625,334.5285714285714,327.63,322.6433333333333,314.10833333333335,320.67600000000004,325.1325,319.76,317.195,312.72166666666664,307.4642857142857,301.34125,304.79,297.82625,326.396,310.83,301.955,297.825,L8
