dates,satname,nzd0575-0000,nzd0575-0001,nzd0575-0002,nzd0575-0003,nzd0575-0004,nzd0575-0005,nzd0575-0006,nzd0575-0007,nzd0575-0008,nzd0575-0009,nzd0575-0010,nzd0575-0011,nzd0575-0012,nzd0575-0013,nzd0575-0014,nzd0575-0015,nzd0575-0016,nzd0575-0017,nzd0575-0018,nzd0575-0019,nzd0575-0020,nzd0575-0021,nzd0575-0022,nzd0575-0023,nzd0575-0024,nzd0575-0025,nzd0575-0026,nzd0575-0027,nzd0575-0028,nzd0575-0029,nzd0575-0030,nzd0575-0031,nzd0575-0032,nzd0575-0033,nzd0575-0034,nzd0575-0035,nzd0575-0039,nzd0575-0040,nzd0575-0043,nzd0575-0044,nzd0575-0045,nzd0575-0059,nzd0575-0060,nzd0575-0061,nzd0575-0062,nzd0575-0063,nzd0575-0064,nzd0575-0066,nzd0575-0067,nzd0575-0068,nzd0575-0069,nzd0575-0036,nzd0575-0037,nzd0575-0041,nzd0575-0042,nzd0575-0048,nzd0575-0049,nzd0575-0050,nzd0575-0038,nzd0575-0046,nzd0575-0047,nzd0575-0051,nzd0575-0052,nzd0575-0053,nzd0575-0054,nzd0575-0055,nzd0575-0056,nzd0575-0057,nzd0575-0058,nzd0575-0065
1999-08-26 22:06:20.800000,L7,179.29,182.51,157.67,187.51,186.25,190.26,179.52,180.41,174.15,168.07,177.79,168.88,169.76,123.16,159.65,166.30,6.44,86.49,168.41,178.18,182.33,151.86,171.94,170.55,123.26,120.23,113.09,97.29,86.81,64.96,177.57,165.39,153.79,115.00,22.01,34.15,125.47,138.86,175.79,176.28,185.31,138.65,147.59,142.22,122.14,113.11,100.77,66.67,74.88,98.81,90.35,,,,,,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,186.63,18.80,132.13,124.64,104.17,193.19,187.65,183.85,167.20,180.72,177.45,171.74,159.68,165.71,180.19,178.63,188.21,179.16,180.46,178.74,180.17,160.99,174.96,166.80,142.21,,,172.52,164.40,162.02,4.65,177.99,162.89,118.67,74.34,53.42,151.56,142.31,140.80,189.74,202.09,,,,,,,,,,,192.87,154.49,196.39,133.25,190.33,113.57,181.47,,,,,,,,,,,,
1999-09-27 22:06:24.836000,L7,178.75,179.74,167.72,184.34,185.67,191.16,179.35,182.73,168.40,166.27,180.69,174.15,174.71,169.55,176.40,179.89,183.68,176.54,175.31,177.96,176.45,167.86,175.97,170.59,152.26,,,166.58,160.64,170.94,180.07,169.91,158.29,127.35,15.79,,149.94,185.27,146.99,180.57,188.13,,132.56,107.86,,,,,,,,,,,,177.56,120.83,164.48,54.36,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,190.37,186.83,150.59,202.24,203.68,205.46,199.55,193.31,190.64,190.21,185.36,187.58,192.18,185.29,186.75,187.39,176.44,189.55,183.17,186.64,186.03,177.67,188.16,181.30,171.60,141.46,105.51,85.78,73.16,52.10,194.16,184.99,177.73,148.53,90.19,199.36,136.95,139.63,198.51,194.29,203.75,183.89,176.90,173.76,164.27,179.89,190.75,115.62,128.69,34.76,190.95,15.28,,197.68,108.13,201.58,194.23,186.88,76.15,121.00,200.28,107.48,125.39,79.49,191.15,199.88,195.70,92.12,,
1999-12-09 22:00:09.551000,L7,,,,,,,,,100.54,159.89,153.31,157.45,161.72,118.13,,,,,,,,,158.00,158.28,29.11,,,,154.73,158.23,177.23,160.93,161.03,121.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16 22:06:21.817000,L7,186.32,186.14,131.63,79.26,109.09,200.87,191.39,188.04,178.19,190.81,180.56,186.38,179.53,172.78,187.47,190.78,193.30,190.89,188.80,184.43,183.07,181.05,179.82,178.53,171.89,168.62,174.85,175.71,171.93,174.30,178.51,186.99,180.07,171.97,106.52,138.48,134.85,151.93,173.96,184.69,182.78,150.02,131.80,113.01,84.59,114.13,118.05,,,168.47,177.35,184.04,162.89,,,158.89,176.59,163.83,,162.69,153.45,169.57,177.31,181.79,178.81,171.23,152.12,,,
1999-12-25 22:00:04.067000,L7,170.64,124.51,,,,,,,118.32,163.48,165.24,167.67,162.56,167.35,,,,,,156.16,160.63,111.67,167.60,145.52,,,,,99.51,159.71,165.16,166.08,144.81,109.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17 22:06:11.705000,L7,276.71,269.41,389.18,378.18,376.05,384.07,388.28,366.60,359.33,355.99,343.86,343.41,333.90,332.23,348.24,336.66,340.21,325.48,323.77,321.72,317.59,321.06,316.20,317.34,319.25,312.76,309.05,306.35,311.57,299.92,311.69,315.52,323.91,327.30,330.07,328.31,334.03,334.44,246.26,252.61,249.20,303.70,300.92,302.01,310.29,306.43,296.62,297.56,310.49,327.90,321.14,338.09,341.33,251.20,247.56,312.76,313.23,315.38,332.23,246.70,318.13,314.66,318.77,307.57,308.71,312.76,309.93,305.97,300.61,304.44
2000-01-26 22:00:02.226000,L7,154.77,127.72,56.09,162.89,167.20,173.44,66.87,145.69,162.38,158.92,166.00,142.61,159.80,78.57,,,,,,151.61,168.60,148.80,142.89,146.12,28.25,,,,,125.21,68.47,154.15,148.46,46.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,177.80,172.74,140.65,169.24,179.16,187.45,167.97,166.73,169.84,165.85,170.58,161.52,160.64,92.44,,,,,39.33,167.92,174.08,141.50,162.08,141.32,,,,93.79,151.34,178.64,181.51,165.52,148.41,96.16,62.95,,,,,,,,,61.57,125.74,93.02,98.26,82.94,80.13,97.67,85.39,,,,,,,,,,,,,,,,,,,
2000-02-18 22:06:05.064000,L7,160.55,173.91,147.31,162.06,185.81,188.11,178.48,169.34,164.35,163.17,167.22,164.36,163.42,95.52,,,,,62.54,163.66,164.43,154.13,167.46,161.28,25.98,,,,151.30,65.60,171.25,151.46,142.91,111.00,23.70,,,,,,,,,,49.49,92.14,104.36,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,165.31,176.77,,171.51,187.04,122.37,179.02,178.66,108.43,169.14,165.49,162.99,158.84,115.52,157.75,119.86,,159.96,171.64,171.15,171.80,160.46,171.95,164.74,,,,166.17,162.61,106.02,181.04,167.69,155.04,63.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21 22:06:01.097000,L7,186.52,187.66,167.50,193.76,195.45,198.01,190.71,187.68,176.26,182.48,182.76,178.34,179.06,175.85,184.29,183.34,182.56,182.54,184.98,185.07,189.07,175.82,180.41,176.66,167.59,164.50,176.86,170.54,169.88,178.54,181.99,177.38,158.18,132.02,31.32,47.75,,,,,,152.89,154.14,129.79,135.19,158.26,142.75,125.20,167.17,170.46,170.89,22.76,,,,,,,,,,,152.41,142.91,,,,,,107.48
2000-03-30 21:59:45.397000,L7,87.88,64.24,121.63,115.87,121.19,55.44,27.85,188.53,180.88,176.24,183.70,176.24,174.66,164.47,185.20,184.76,184.14,182.32,182.59,182.14,185.50,178.51,180.04,177.41,164.03,,172.91,178.50,168.58,161.73,179.16,180.09,155.25,117.59,20.71,48.23,,,,,,146.33,157.13,98.88,141.52,115.57,132.86,125.65,131.43,141.93,,9.39,,,,,,,,,,,79.70,68.69,,,,,,
2000-05-01 21:59:30.586000,L7,98.15,77.72,104.94,112.12,97.03,50.83,49.25,24.47,167.95,164.51,172.61,123.57,164.89,175.33,176.51,173.79,70.79,167.17,143.96,164.82,179.64,152.45,183.93,144.13,122.13,129.44,125.80,123.89,102.36,99.02,74.51,14.67,153.67,93.27,,,,,,,,113.07,175.40,171.02,167.66,160.97,121.81,,184.89,176.79,184.12,,,,,,,,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,151.61,157.12,,,,99.59,142.59,166.75,171.77,168.21,175.16,147.50,149.76,78.73,,,,,,166.58,174.13,,173.24,127.50,,,,92.26,158.25,176.73,182.30,162.37,159.64,120.54,91.35,34.05,,,,,,119.38,139.61,87.13,157.43,165.14,118.92,45.89,49.55,,,7.70,,,,,175.44,,,,,161.35,164.32,,,,,,,
2000-11-09 21:57:33.274000,L7,204.41,201.01,180.47,213.96,219.81,219.96,215.48,211.83,212.83,209.76,213.59,198.74,205.00,208.43,208.13,203.24,205.65,207.81,203.59,201.28,203.40,205.42,204.99,197.43,199.21,196.80,205.01,190.15,188.12,206.70,207.27,213.31,201.09,225.32,212.72,211.76,167.34,204.35,131.35,118.44,220.83,199.22,199.74,195.72,199.52,197.90,199.96,205.23,205.44,204.66,209.68,206.78,200.80,215.55,37.75,225.38,209.50,213.02,185.06,214.36,220.84,213.59,212.14,213.63,214.19,213.96,211.23,205.96,190.93,202.03
2000-11-25 21:57:34.931000,L7,,,,,,,126.50,131.95,116.63,164.40,164.07,167.26,162.22,128.02,,,,177.03,164.42,101.80,167.03,,,,,,,152.69,150.36,156.33,159.22,146.13,152.45,113.05,26.13,32.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-11 21:57:36.803000,L7,187.63,186.15,178.30,197.25,197.09,200.38,187.44,188.26,181.50,190.16,182.39,182.30,178.39,179.17,186.79,184.83,188.62,192.35,182.48,184.56,181.18,179.85,179.47,181.72,165.01,153.14,172.07,175.33,174.94,172.24,179.10,186.60,181.02,137.35,47.82,47.49,,,,,,147.55,133.69,25.50,57.90,111.72,101.68,,,,,7.03,,,,,,,,,,166.38,173.59,171.13,175.06,173.87,162.16,,,
2001-01-03 22:03:48.276000,L7,162.15,165.83,117.70,67.13,179.04,149.86,170.32,165.66,160.19,163.47,165.69,157.05,159.96,118.53,168.99,154.58,140.82,174.84,162.79,169.00,167.51,166.95,,,,,,143.81,154.84,42.00,166.12,168.55,148.61,107.73,29.83,29.30,,,,,,,,,100.81,93.26,89.00,,,,,,,,,,,,,,,,,,,,,,,94.04
2001-01-19 22:03:55.051000,L7,183.08,181.41,112.97,78.99,119.65,32.27,60.27,179.17,170.55,177.22,182.25,175.53,170.68,162.52,184.51,184.83,187.35,182.39,178.58,179.20,179.42,174.04,,,161.64,76.68,105.28,98.38,68.27,168.65,179.70,181.71,165.51,123.65,37.92,33.26,,,,,,,53.06,131.77,147.21,160.79,118.13,116.33,110.16,,152.63,,,,,,,,,,,143.83,160.36,160.06,156.66,153.35,129.11,,,
2001-02-13 21:57:39.607000,L7,167.66,171.61,145.36,99.98,94.97,184.89,167.21,175.05,167.21,163.99,175.00,166.51,162.23,173.10,,,,,,,,,,,,,,165.09,157.90,178.69,178.41,169.54,152.26,67.09,37.73,,,,,,,,,,74.83,102.56,106.94,,,169.00,100.12,,,,,,,,,,,,,,,,,,,105.87
2001-02-20 22:03:48.640000,L7,132.52,167.60,141.89,144.30,141.83,100.03,170.18,130.14,163.65,150.95,166.81,103.62,163.36,,,,,,,,,,,,,,,131.41,146.96,93.35,171.42,146.00,130.54,,,,,,,,,112.00,168.65,,,,,,,144.17,108.77,,,,,,,,,,,,,,,,,,,
2001-08-31 22:02:05.221000,L7,168.36,178.64,155.43,195.22,197.71,204.12,187.36,190.24,178.15,179.02,183.82,168.77,180.30,188.65,,,,,,,,,,,159.72,162.95,181.58,163.95,162.79,188.37,192.15,169.68,159.10,156.49,152.98,29.16,123.01,71.01,186.55,188.71,143.61,,155.20,114.10,159.33,159.32,113.55,120.83,105.40,,,12.83,,73.22,90.58,207.95,175.54,152.94,,,,179.94,193.54,202.73,26.89,40.43,,,,149.92
2001-09-25 21:55:40.572000,L7,156.29,171.39,102.82,160.55,187.52,186.81,159.02,177.24,167.74,159.65,179.88,152.04,168.82,158.28,,,,,,,,,,,,,172.82,151.72,148.76,156.60,179.58,168.32,149.83,113.38,141.17,,119.80,127.21,,,,104.29,156.94,143.88,152.42,108.02,109.81,89.41,149.75,159.44,174.74,,,,,,,,,,,,,,,,,,,83.15
2001-10-02 22:01:40.483000,L7,169.91,174.11,141.57,178.95,172.47,181.22,177.47,178.30,172.72,165.25,167.18,147.26,164.58,116.23,,,,,,,,,,,,,169.36,91.96,153.85,158.11,179.54,164.86,155.88,113.36,30.42,,,,,,,119.97,145.95,153.35,145.28,119.12,100.20,108.75,157.08,147.95,175.00,,,,,,,,,,,,,,,,,,,106.75
2001-10-11 21:55:21.747000,L7,176.82,175.72,141.08,188.44,193.27,192.80,182.21,175.97,170.54,167.75,179.65,169.46,166.97,123.56,,,,,,,,,,,,152.98,176.81,89.20,162.55,171.61,179.28,166.62,164.92,117.15,74.93,40.48,120.48,130.43,,,,,,108.36,152.82,152.50,118.11,,147.40,168.35,174.65,9.82,,,,,,,,,,,,,,,,,,110.07
