dates,nzd0575-0000,nzd0575-0001,nzd0575-0002,nzd0575-0003,nzd0575-0004,nzd0575-0005,nzd0575-0006,nzd0575-0007,nzd0575-0008,nzd0575-0009,nzd0575-0010,nzd0575-0011,nzd0575-0012,nzd0575-0013,nzd0575-0014,nzd0575-0015,nzd0575-0016,nzd0575-0017,nzd0575-0018,nzd0575-0019,nzd0575-0020,nzd0575-0021,nzd0575-0022,nzd0575-0023,nzd0575-0024,nzd0575-0025,nzd0575-0026,nzd0575-0027,nzd0575-0028,nzd0575-0029,nzd0575-0030,nzd0575-0031,nzd0575-0032,nzd0575-0033,nzd0575-0034,nzd0575-0035,nzd0575-0039,nzd0575-0040,nzd0575-0043,nzd0575-0044,nzd0575-0045,nzd0575-0059,nzd0575-0060,nzd0575-0061,nzd0575-0062,nzd0575-0063,nzd0575-0064,nzd0575-0066,nzd0575-0067,nzd0575-0068,nzd0575-0069,nzd0575-0036,nzd0575-0037,nzd0575-0041,nzd0575-0042,nzd0575-0048,nzd0575-0049,nzd0575-0050,nzd0575-0038,nzd0575-0046,nzd0575-0047,nzd0575-0051,nzd0575-0052,nzd0575-0053,nzd0575-0054,nzd0575-0055,nzd0575-0056,nzd0575-0057,nzd0575-0058,nzd0575-0065,satname
1999-08-26 22:06:20+00:00,179.29,,157.67,,,190.26,179.52,180.41,174.15,168.07,177.79,168.88,169.76,,159.65,166.3,,,168.41,178.18,182.33,151.86,171.94,170.55,123.26,120.23,113.09,,,,,165.39,153.79,115.0,,34.15,125.47,138.86,175.79,176.28,185.31,,147.59,142.22,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-20 22:00:08+00:00,182.95999999999998,,144.89999999999998,,,191.725,183.585,182.13,170.675,174.39499999999998,177.62,170.31,164.72,165.71,169.92000000000002,172.465,188.21,179.16,174.435,178.46,181.25,156.425,173.45,168.675,132.735,120.23,113.09,172.52,164.4,162.02,,171.69,158.33999999999997,116.83500000000001,,43.785,138.515,140.585,158.29500000000002,183.01,193.7,,147.59,142.22,,,,,,,,,154.49,196.39,133.25,190.33,113.57,181.47,,,,,,,,,,,,,L7
1999-09-27 22:06:24+00:00,181.55666666666664,179.74,152.50666666666666,184.34,185.67,191.53666666666666,182.17333333333332,182.33,169.91666666666666,171.68666666666664,178.64333333333332,171.59,168.04999999999998,167.63,172.08,174.93999999999997,185.945,177.85,174.7266666666667,178.29333333333332,179.65,160.23666666666668,174.29,169.31333333333336,139.24333333333334,120.23,113.09,169.55,162.51999999999998,166.48000000000002,180.07,171.09666666666666,158.32333333333332,120.33999999999999,,43.785,142.32333333333335,140.585,154.52666666666667,182.1966666666667,191.84333333333333,,140.075,125.03999999999999,,,,,,,,,154.49,196.39,133.25,183.945,117.19999999999999,172.975,54.36,,,,,,,,,,,,L7
1999-10-22 22:00:04+00:00,183.76,183.28500000000003,152.0275,193.29000000000002,194.675,195.01749999999998,186.5175,185.075,175.0975,176.3175,180.3225,175.5875,174.0825,173.51666666666665,175.7475,178.0525,182.77666666666667,181.75,176.8375,180.38,181.245,164.595,177.7575,172.31,147.33249999999998,130.845,109.30000000000001,169.55,162.51999999999998,166.48000000000002,187.115,174.57,163.17499999999998,127.3875,90.19,43.785,140.98,140.26666666666668,154.52666666666667,185.22,194.82,183.89,140.075,125.03999999999999,,,,115.62,,,190.95,,154.49,197.035,120.69,189.82333333333335,142.87666666666667,177.60999999999999,65.255,,,,,,191.15,199.88,,,,,L7
1999-12-09 22:00:09+00:00,183.76,183.28500000000003,152.0275,193.29000000000002,194.675,195.01749999999998,186.5175,185.075,175.0975,173.03199999999998,174.92000000000002,171.95999999999998,171.60999999999999,173.51666666666665,175.7475,178.0525,182.77666666666667,181.75,176.8375,180.38,181.245,164.595,173.80599999999998,169.504,147.33249999999998,130.845,109.30000000000001,169.55,159.92333333333332,163.73,183.82000000000002,171.842,162.746,126.232,90.19,43.785,140.98,140.26666666666668,154.52666666666667,185.22,194.82,183.89,140.075,125.03999999999999,,,,115.62,,,190.95,,154.49,197.035,120.69,189.82333333333335,142.87666666666667,177.60999999999999,65.255,,,,,,191.15,199.88,,,,,L7
1999-12-16 22:06:21+00:00,184.272,184.23666666666668,147.948,193.29000000000002,194.675,196.18800000000002,187.49200000000002,185.66799999999998,175.71599999999998,175.995,175.86,174.36333333333334,172.92999999999998,173.3325,178.092,180.598,185.4075,184.035,179.23,181.19,181.60999999999999,167.88600000000002,174.8083333333333,171.00833333333333,152.244,143.4366666666667,131.15,171.60333333333335,162.925,166.3725,182.4925,174.36666666666667,165.63333333333333,126.232,98.35499999999999,43.785,139.754,143.1825,159.385,185.11399999999998,192.41199999999998,166.95499999999998,137.3166666666667,121.03000000000002,,114.13,118.05,115.62,,,184.14999999999998,,158.69,197.035,120.69,189.82333333333335,151.305,174.165,65.255,,,169.57,177.31,181.79,184.98000000000002,185.555,,,,,L7
1999-12-25 22:00:04+00:00,182.0,184.23666666666668,147.948,193.29000000000002,194.675,196.18800000000002,187.49200000000002,185.66799999999998,175.71599999999998,174.20714285714286,174.34285714285716,173.40714285714284,171.44857142857146,172.13600000000002,178.092,180.598,185.4075,184.035,179.23,177.01833333333335,178.11333333333334,158.51666666666668,173.77857142857144,167.36714285714288,152.244,143.4366666666667,131.15,171.60333333333335,162.925,165.04000000000002,179.026,173.18285714285713,162.6585714285714,123.36166666666668,98.35499999999999,43.785,139.754,143.1825,159.385,185.11399999999998,192.41199999999998,166.95499999999998,137.3166666666667,121.03000000000002,,114.13,118.05,115.62,,,184.14999999999998,,158.69,197.035,120.69,189.82333333333335,151.305,174.165,65.255,,,169.57,177.31,181.79,184.98000000000002,185.555,,,,,L7
2000-01-17 22:06:11+00:00,182.0,184.23666666666668,147.948,193.29000000000002,194.675,196.18800000000002,187.49200000000002,185.66799999999998,175.71599999999998,174.20714285714286,174.34285714285716,173.40714285714284,171.44857142857146,172.13600000000002,178.092,180.598,185.4075,184.035,179.23,177.01833333333335,178.11333333333334,158.51666666666668,173.77857142857144,167.36714285714288,152.244,143.4366666666667,131.15,171.60333333333335,162.925,165.04000000000002,179.026,173.18285714285713,162.6585714285714,123.36166666666668,98.35499999999999,43.785,139.754,143.1825,159.385,185.11399999999998,192.41199999999998,166.95499999999998,137.3166666666667,121.03000000000002,,114.13,118.05,115.62,,,184.14999999999998,,158.69,197.035,120.69,189.82333333333335,151.305,174.165,65.255,246.7,,169.57,177.31,181.79,184.98000000000002,185.555,,,,,L7
2000-01-26 22:00:02+00:00,178.10999999999999,184.23666666666668,147.948,183.15666666666667,185.51666666666665,192.39666666666668,187.49200000000002,179.005,173.49333333333334,172.29625,173.3,169.5575,169.9925,156.54166666666666,178.092,180.598,185.4075,184.035,179.23,173.38857142857142,176.75428571428571,157.12857142857143,169.9175,164.71125,152.244,143.4366666666667,131.15,171.60333333333335,162.925,158.40166666666667,179.026,170.80375,160.88375,123.36166666666668,98.35499999999999,43.785,139.754,143.1825,159.385,185.11399999999998,192.41199999999998,166.95499999999998,137.3166666666667,121.03000000000002,,114.13,118.05,115.62,,,184.14999999999998,,158.69,197.035,120.69,189.82333333333335,151.305,174.165,65.255,246.7,,169.57,177.31,181.79,184.98000000000002,185.555,,,,,L7
2000-02-11 21:59:57+00:00,178.07125,181.3625,146.73166666666665,179.6775,183.9275,191.69,184.23833333333334,177.25142857142856,172.97142857142856,171.58,172.99777777777777,168.66444444444446,168.95333333333332,147.3842857142857,178.092,180.598,185.4075,184.035,179.23,172.705,176.42,155.175,169.04666666666668,162.11222222222221,152.244,143.4366666666667,131.15,171.60333333333335,160.608,158.40166666666667,179.43999999999997,170.21666666666667,159.49777777777777,119.47571428571429,86.55333333333333,43.785,139.754,143.1825,159.385,185.11399999999998,192.41199999999998,166.95499999999998,137.3166666666667,121.03000000000002,,103.57499999999999,108.155,99.28,,,184.14999999999998,,158.69,197.035,120.69,189.82333333333335,151.305,174.165,65.255,246.7,,169.57,177.31,181.79,184.98000000000002,185.555,,,,,L7
