dates,satname,nzd0260-0000,nzd0260-0001,nzd0260-0002,nzd0260-0003,nzd0260-0004,nzd0260-0005,nzd0260-0006,nzd0260-0007,nzd0260-0008,nzd0260-0009,nzd0260-0010,nzd0260-0011,nzd0260-0012,nzd0260-0013,nzd0260-0014,nzd0260-0015,nzd0260-0016,nzd0260-0018,nzd0260-0019,nzd0260-0020,nzd0260-0021,nzd0260-0022,nzd0260-0017
2000-01-10 21:59:16.407000,L7,,,,,,,,,,,,,,,,274.41,286.59,274.02,275.69,274.11,270.71,275.03,284.44
2000-09-22 21:56:53.357000,L7,,,,315.85,373.36,372.42,355.85,349.70,338.18,,,,,,,,372.32,391.90,315.06,316.98,313.90,317.89,400.48
2000-11-09 21:56:45.337000,L7,310.50,293.04,285.54,280.90,285.56,297.39,295.90,334.65,279.44,376.99,331.11,345.22,354.50,395.50,330.69,314.21,379.85,355.86,382.44,363.57,311.16,308.64,
2000-11-25 21:56:47.006000,L7,,,,,,,,,,,,258.95,270.24,281.87,324.26,311.99,273.49,309.93,274.88,275.04,272.17,267.42,313.92
2001-03-17 21:56:40.512000,L7,299.55,294.75,300.39,344.68,370.50,,,,,,254.24,259.45,275.32,283.99,301.06,285.13,299.03,285.16,285.86,284.15,284.39,286.07,294.64
2001-07-07 21:55:48.139000,L7,326.40,337.12,303.91,318.63,339.90,344.37,347.30,360.60,359.32,364.70,354.18,383.77,377.55,,403.14,372.44,362.97,353.52,334.35,303.66,310.14,293.29,359.92
2001-09-25 21:54:52.649000,L7,292.70,281.51,255.68,279.11,294.51,286.15,,,,,288.79,288.79,303.17,319.83,323.14,299.69,319.68,307.26,302.06,304.15,303.94,305.22,313.48
2001-10-11 21:54:33.822000,L7,299.80,287.19,276.07,264.55,282.47,283.80,280.73,296.03,291.49,275.62,290.67,293.11,305.80,318.26,322.87,308.96,319.37,330.82,352.91,389.01,,,326.47
2002-02-16 21:55:18.119000,L7,305.24,279.62,270.05,282.24,295.14,309.42,301.68,298.73,283.27,,278.09,293.83,306.77,324.71,328.87,322.47,331.11,334.14,327.57,323.18,321.96,327.15,335.35
2002-03-04 21:55:22.074000,L7,325.09,294.80,258.06,292.95,290.14,290.10,288.94,289.92,286.93,280.91,309.42,292.55,309.59,311.87,390.56,383.03,386.70,382.82,374.46,376.00,377.82,385.63,371.61
2002-10-14 21:54:07.948000,L7,302.86,278.58,262.47,282.39,284.91,277.83,,,,261.06,301.95,290.49,303.24,334.95,339.80,326.07,325.18,306.95,299.68,294.88,290.42,292.62,308.30
2002-12-01 21:54:40.891000,L7,284.68,264.06,245.65,247.30,267.70,,,,,,255.09,275.05,284.48,292.87,302.67,281.57,300.44,287.66,285.14,282.04,281.60,282.68,292.99
2003-02-19 21:55:06.528000,L7,285.90,273.94,271.89,299.16,327.48,341.14,339.15,355.30,365.61,,,,,,,,,,,,,,
2003-03-07 21:55:10.647000,L7,319.96,295.65,319.52,335.62,360.74,376.98,373.40,386.18,353.77,360.38,253.82,280.84,278.68,327.51,311.37,291.59,337.32,381.69,315.50,295.10,315.98,291.66,353.05
2003-07-21 21:42:57.544000,L5,321.12,260.38,245.68,271.15,284.72,304.81,,,,,265.23,270.19,281.09,277.75,299.71,298.18,320.78,308.24,301.18,298.56,301.84,298.37,304.22
2004-03-01 21:45:26.384000,L5,288.48,267.11,266.64,273.76,287.37,293.16,,,,,262.23,279.27,300.22,298.05,318.52,286.66,312.72,284.45,,,,,302.70
2004-03-17 21:45:32.199000,L5,,,,,,,,,,,255.22,259.72,271.35,278.80,290.84,267.25,288.50,278.73,272.69,,,,284.33
2004-04-02 21:45:42.656000,L5,296.10,271.43,260.81,270.45,283.99,301.11,,,,,,,,,,,,,,,,,
2004-04-18 21:46:13.246000,L5,309.30,282.25,268.79,269.49,288.93,310.14,302.40,280.52,,259.21,275.58,283.39,292.28,294.78,310.38,298.13,317.60,307.21,303.30,308.98,305.34,313.22,318.49
2004-05-20 21:47:08.268000,L5,,,,,,,,,,,259.20,265.72,280.37,273.16,297.45,279.00,292.09,285.47,280.63,276.16,274.68,275.37,291.63
2004-07-23 21:48:56.995000,L5,314.92,267.19,248.22,280.48,280.40,311.72,,,,,261.25,279.00,283.99,280.28,311.58,294.04,324.77,302.83,297.42,295.37,297.66,295.76,306.48
2004-09-25 21:50:31.000000,L5,,,,,,,,,,,246.80,260.23,275.01,284.57,294.25,265.69,289.30,275.65,277.61,271.32,267.01,267.02,281.81
2005-01-31 21:52:45.327000,L5,313.44,298.16,275.76,286.48,288.58,302.80,297.43,298.27,286.43,294.27,283.35,300.45,307.80,319.64,330.08,319.13,331.40,305.65,312.78,327.10,301.97,310.75,318.08
2005-03-04 21:53:16.048000,L5,289.08,268.40,256.27,268.17,279.07,281.35,,,,,262.38,271.86,282.36,296.94,303.22,281.98,306.61,291.84,291.25,288.06,288.42,286.62,301.17
2005-04-21 21:53:34.581000,L5,,,,,,,,,,276.27,273.47,284.44,294.46,297.51,309.45,291.87,313.40,299.61,292.19,295.72,296.60,298.48,306.53
2005-09-12 21:54:34.182000,L5,294.74,269.23,252.22,262.70,268.49,,,,,,259.91,270.15,281.78,293.45,301.71,275.14,293.35,277.80,278.94,273.93,270.26,274.39,285.93
2005-09-28 21:54:32.218000,L5,,,,,,,,,,,,,,273.49,296.98,271.84,295.38,267.96,274.32,272.72,270.22,275.20,282.40
2005-10-30 21:54:27.218000,L5,319.93,293.64,292.83,303.19,321.49,317.44,292.55,288.00,290.98,293.56,292.73,318.64,334.46,340.10,347.66,330.49,350.35,304.93,311.63,306.52,304.93,304.05,339.96
2006-02-03 21:56:42.865000,L5,,,,,,,,,,,,,,,,259.15,282.40,270.24,270.85,267.22,269.01,273.44,275.21
2006-11-02 22:00:44.654000,L5,330.95,305.24,293.32,296.57,305.29,341.42,324.54,331.19,308.27,301.27,339.94,323.90,345.81,340.51,350.42,323.96,341.75,335.29,330.87,317.40,316.84,314.98,336.45
2009-12-12 21:57:01.642000,L5,,,,,,,,,,269.32,260.71,278.20,282.76,291.42,298.56,277.49,305.62,289.50,286.51,284.41,281.58,282.48,296.36
2010-12-31 21:56:20.363000,L5,,,,,,,,,,,,,265.91,284.26,292.85,274.26,303.18,278.05,270.83,263.36,,,285.45
2011-01-16 21:56:21.862000,L5,325.72,309.70,290.93,294.32,345.10,337.22,332.26,326.70,308.02,323.75,328.86,342.42,339.05,346.39,340.00,354.87,338.38,326.58,331.15,328.14,319.17,315.55,333.55
2013-05-13 22:08:23.242000,L8,312.91,290.54,289.01,306.21,282.27,335.67,335.25,311.07,336.05,347.70,347.17,282.77,288.64,380.16,389.96,371.16,367.24,362.73,303.88,304.18,296.94,302.71,369.53
2013-05-29 22:08:29.376000,L8,333.85,315.41,308.34,332.86,359.97,383.18,385.86,392.45,373.67,369.61,379.76,382.70,,,407.67,397.36,391.99,364.08,371.18,303.84,296.74,300.42,373.64
2013-09-02 22:08:28.553000,L8,320.92,308.22,319.95,340.53,324.94,364.32,,,,,269.63,287.27,303.90,311.80,323.93,302.86,319.58,308.56,302.22,297.32,302.36,301.86,311.30
2013-11-21 22:08:01.711000,L8,296.20,278.97,272.13,281.41,280.02,264.24,,,,277.93,279.66,291.56,296.16,303.89,316.94,282.57,309.23,294.98,290.69,294.63,295.82,297.41,298.34
2014-04-30 22:06:10.487000,L8,299.70,283.60,285.68,292.77,317.08,337.53,333.14,328.28,326.08,330.33,322.51,270.09,312.52,310.66,334.74,338.86,344.87,337.87,328.09,327.16,327.08,324.76,340.63
2014-06-01 22:06:02.776000,L8,321.00,306.31,309.08,328.96,315.56,299.54,305.31,303.74,295.69,299.91,263.96,313.55,287.76,337.33,320.91,342.25,345.24,351.23,348.64,331.88,341.32,308.95,350.15
2014-08-20 22:06:30.681000,L8,297.02,276.58,251.64,266.69,260.91,,,,,,261.66,272.75,289.87,291.52,310.02,280.80,299.72,287.63,279.61,275.92,275.06,281.88,291.91
2014-11-08 22:06:40.082000,L8,306.33,298.30,304.02,315.97,316.09,348.07,347.41,329.27,322.91,327.50,338.44,354.12,341.90,346.69,339.28,334.44,333.30,323.19,324.22,320.39,323.61,319.04,330.66
2015-01-27 22:06:23.288000,L8,317.53,304.59,311.35,330.44,351.10,383.07,374.53,376.12,389.40,356.98,383.87,312.18,317.63,314.02,381.21,383.86,382.62,392.92,392.43,399.06,311.30,306.93,397.54
2015-02-12 22:06:15.200000,L8,308.96,299.70,306.19,332.80,349.27,374.05,389.84,388.90,390.69,385.45,379.28,377.96,375.26,383.45,391.06,332.46,383.98,344.04,378.29,374.96,377.46,375.27,377.50
2015-02-28 22:06:12.396000,L8,,,,,,,,,,,,277.72,263.29,268.20,276.00,273.34,285.05,270.48,,,,,279.84
2015-04-01 22:05:49.742000,L8,294.86,277.62,272.93,286.60,309.98,331.36,,,,,251.26,263.97,294.47,287.19,309.02,281.00,302.54,290.61,288.71,283.57,287.54,284.82,294.67
2015-06-04 22:05:36.569000,L8,,,,,,,,,,,,,,,,258.06,281.46,278.38,274.01,267.84,264.67,267.84,280.02
