dates,satname,nzd0276-0000,nzd0276-0001,nzd0276-0002,nzd0276-0003,nzd0276-0004,nzd0276-0005,nzd0276-0006,nzd0276-0007,nzd0276-0008,nzd0276-0009,nzd0276-0012,nzd0276-0013,nzd0276-0014,nzd0276-0015,nzd0276-0016,nzd0276-0017,nzd0276-0018,nzd0276-0019,nzd0276-0020,nzd0276-0021,nzd0276-0022,nzd0276-0023,nzd0276-0024,nzd0276-0025,nzd0276-0026,nzd0276-0027,nzd0276-0028,nzd0276-0029,nzd0276-0030,nzd0276-0031,nzd0276-0032,nzd0276-0033,nzd0276-0034,nzd0276-0035,nzd0276-0036,nzd0276-0037,nzd0276-0038,nzd0276-0039,nzd0276-0040,nzd0276-0041,nzd0276-0042,nzd0276-0043,nzd0276-0044,nzd0276-0045,nzd0276-0046,nzd0276-0047,nzd0276-0048,nzd0276-0049,nzd0276-0050,nzd0276-0051,nzd0276-0054,nzd0276-0055,nzd0276-0056,nzd0276-0057,nzd0276-0058,nzd0276-0010,nzd0276-0011,nzd0276-0052,nzd0276-0053
1999-12-09 21:59:21.619000,L7,,,,,,,,,,,,,,,,,,,,,,263.31,274.34,267.18,275.25,281.92,270.34,288.40,313.97,316.98,285.22,292.53,300.08,,,,,,279.89,299.74,279.04,289.73,280.08,263.52,289.19,299.41,,,,,,,,,,,,,
1999-12-25 21:59:16.152000,L7,317.23,279.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10 21:59:16.407000,L7,,302.56,260.51,273.34,334.72,311.73,298.57,303.20,288.92,303.39,280.08,251.69,264.35,268.59,280.57,284.50,284.92,278.63,280.88,272.64,277.45,284.42,270.69,277.87,285.98,288.26,268.69,296.92,331.92,326.68,294.92,303.91,311.53,306.38,311.10,318.70,306.67,291.48,284.22,301.59,285.03,268.68,269.14,266.78,292.12,304.61,280.26,,,,301.59,329.38,339.84,314.53,335.90,284.27,272.51,,
2000-01-26 21:59:14.283000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.82,304.41,289.94,290.90,296.90,297.37,301.89,294.53,274.71,271.78,,,,,,,,,,,,,,,
2000-03-30 21:58:57.484000,L7,,,,,,,,,,,,,261.83,268.15,279.47,284.83,294.23,296.96,294.56,317.39,303.11,290.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.69,366.24,346.72,382.58,342.38,,,,
2000-05-01 21:58:42.678000,L7,,,,,,,,,,,,270.91,261.72,272.19,269.59,288.79,310.50,296.89,303.27,318.35,285.74,277.97,295.88,307.14,307.89,279.64,,269.68,292.25,303.61,327.92,328.82,323.39,310.53,323.49,322.36,310.71,289.29,,,,,,,,,,,,,257.59,281.24,304.78,302.14,297.13,,,,
2000-07-04 21:58:02.420000,L7,306.52,261.30,250.66,304.05,344.34,311.83,382.71,357.95,340.12,293.25,295.44,317.06,306.63,319.59,306.80,301.65,318.02,295.88,280.61,319.03,288.28,289.81,282.49,289.01,300.35,294.16,304.40,306.63,321.15,317.18,323.07,321.19,322.23,314.49,317.39,322.75,313.76,305.12,304.80,295.19,328.09,282.45,283.72,301.36,303.12,307.10,290.66,300.92,325.92,329.49,302.79,323.26,338.95,335.11,356.95,,,,
2000-08-05 21:57:32.751000,L7,284.35,273.57,305.90,278.14,295.38,320.63,288.42,306.94,274.15,279.47,257.60,263.08,285.93,257.57,281.26,279.24,278.78,292.72,261.16,341.96,332.91,348.41,334.01,365.56,327.47,316.54,345.98,367.82,352.26,353.94,353.07,362.97,361.67,381.99,,398.30,381.41,308.68,292.88,327.88,337.11,321.84,351.00,368.50,363.34,,,,291.12,406.64,,379.92,377.86,362.62,352.22,,,,
2000-09-22 21:56:53.357000,L7,,,,,,,,,,,,,,282.14,288.34,294.95,324.83,353.45,348.73,338.27,326.17,335.24,322.17,353.67,346.20,348.14,377.00,377.26,365.39,363.85,375.25,,,,,392.63,373.45,,,,,,,,,,,,361.70,398.04,377.09,374.19,358.39,382.21,385.52,,,396.68,418.57
2000-11-09 21:56:45.337000,L7,,252.90,240.64,265.89,313.43,333.56,325.84,315.73,283.61,309.32,,,,,,312.32,270.03,274.33,264.62,263.05,256.82,263.64,258.05,259.05,269.40,268.26,,272.92,285.61,271.84,287.47,303.76,366.28,314.57,336.51,315.32,308.18,285.85,,,,,,,,,,,,,279.24,274.10,290.28,292.33,337.65,,,,
