dates,nzd0276-0000,nzd0276-0001,nzd0276-0002,nzd0276-0003,nzd0276-0004,nzd0276-0005,nzd0276-0006,nzd0276-0007,nzd0276-0008,nzd0276-0009,nzd0276-0010,nzd0276-0011,nzd0276-0012,nzd0276-0013,nzd0276-0014,nzd0276-0015,nzd0276-0016,nzd0276-0017,nzd0276-0018,nzd0276-0019,nzd0276-0020,nzd0276-0021,nzd0276-0022,nzd0276-0023,nzd0276-0024,nzd0276-0025,nzd0276-0026,nzd0276-0027,nzd0276-0028,nzd0276-0029,nzd0276-0030,nzd0276-0031,nzd0276-0032,nzd0276-0033,nzd0276-0034,nzd0276-0035,nzd0276-0036,nzd0276-0037,nzd0276-0038,nzd0276-0039,nzd0276-0040,nzd0276-0041,nzd0276-0042,nzd0276-0043,nzd0276-0044,nzd0276-0045,nzd0276-0046,nzd0276-0047,nzd0276-0048,nzd0276-0049,nzd0276-0050,nzd0276-0051,nzd0276-0052,nzd0276-0053,nzd0276-0054,nzd0276-0055,nzd0276-0056,nzd0276-0057,nzd0276-0058
1999-12-09 21:59:21+00:00,259.96,,274.3,305.81,315.62,,291.23,282.36,283.19,292.91,284.79,266.31,267.55,265.13,275.9,281.38,272.86,263.46,264.68,274.77,273.78,291.29,261.03,272.89,283.57,275.81,283.33,290.08,280.21,296.01,,324.82,293.86,297.64,306.67,299.41,309.85,315.42,299.42,293.05,284.92,304.17,284.86,291.98,,,,,,,,,,,,,,,
2000-01-10 21:59:16+00:00,259.96,312.6,269.935,299.78,315.62,324.66,301.90999999999997,302.225,302.41999999999996,303.8,292.44500000000005,275.96500000000003,281.555,263.555,276.03,280.345,281.915,279.755,280.4,281.76,282.27,286.69,273.525,283.725,281.225,280.72,288.46,292.99,277.63,296.01,,329.115,297.68,303.185,311.47,306.19000000000005,312.48,320.35,305.09000000000003,294.65,286.415,305.48,287.21000000000004,282.74,271.07,268.38,,308.39,286.84,276.42,,,,290.17,299.53,319.96,,312.88,329.63
2000-01-26 21:59:14+00:00,278.06,300.375,273.9433333333333,297.84999999999997,314.795,328.9,314.1566666666667,313.91,307.47666666666663,301.41,289.9533333333334,282.05,295.51666666666665,263.555,287.03,280.345,281.915,279.755,280.4,281.76,282.27,300.14000000000004,290.1066666666666,283.725,293.23,283.4633333333333,288.46,300.56666666666666,285.59666666666664,296.01,,329.115,311.9866666666667,313.4866666666667,321.15000000000003,318.4433333333333,325.09,334.00666666666666,317.97333333333336,307.95666666666665,299.2766666666667,313.3066666666667,287.21000000000004,297.9066666666667,289.34000000000003,285.125,,308.39,303.995,296.37,,345.71,,292.15,302.17999999999995,315.865,322.34,320.81,327.02
2000-03-30 21:58:57+00:00,278.06,274.70666666666665,261.7425,297.84999999999997,314.795,328.9,314.1566666666667,302.9125,298.22749999999996,293.8725,283.295,282.05,295.51666666666665,261.62333333333333,283.03499999999997,278.75333333333333,273.32666666666665,283.96666666666664,287.37666666666667,289.2833333333333,288.8533333333333,307.16,295.59,289.3433333333333,293.23,283.4633333333333,288.46,305.335,285.59666666666664,296.01,279.72,329.115,311.9866666666667,313.4866666666667,321.15000000000003,318.4433333333333,325.09,333.185,321.9925,311.9325,295.2825,310.6275,287.21000000000004,297.9,289.34000000000003,285.125,,308.39,303.995,296.37,,345.71,,279.8933333333334,291.78999999999996,302.46666666666664,304.66999999999996,309.49,313.44
2000-05-01 21:58:42+00:00,272.8566666666666,265.97,259.328,288.3,305.6366666666667,324.91333333333336,315.105,302.972,300.246,297.036,287.088,286.935,297.475,272.1825,285.512,284.3075,273.32666666666665,291.9625,287.37666666666667,298.7525,299.0425,307.16,299.212,293.0825,300.0425,283.4633333333333,288.46,306.74,287.4025,294.41999999999996,296.475,330.49333333333334,311.9866666666667,313.4866666666667,327.21500000000003,322.09250000000003,329.045,335.688,323.804,312.902,296.482,314.656,298.3066666666667,296.26800000000003,288.25,290.3233333333333,310.99,312.705,306.39,294.5466666666667,311.52,327.11,284.59,280.18,289.7425,303.24,304.66999999999996,313.4425,311.3575
2000-07-04 21:58:02+00:00,279.30499999999995,266.866,256.51800000000003,282.46333333333337,300.64500000000004,322.69,323.06333333333333,308.125,305.402,298.152,286.68600000000004,288.00750000000005,306.1975,282.645,293.38199999999995,296.3725,273.56,303.54499999999996,307.33,305.76,302.8925,315.6975,306.12600000000003,299.0775,301.365,289.76666666666665,299.73,308.564,293.74,301.975,306.16,328.7533333333334,322.1666666666667,322.55333333333334,331.84749999999997,327.0225,331.6075,337.676,326.99,314.83000000000004,299.62,313.65199999999993,312.94,294.242,284.7325,290.31,304.71500000000003,312.13666666666666,302.3675,295.15250000000003,315.67999999999995,327.11,290.985,281.552,289.712,301.852,304.66999999999996,315.87800000000004,311.3575
2000-08-05 21:57:32+00:00,262.45,244.52666666666664,245.02000000000007,259.65,287.32,308.81666666666666,301.855,284.1133333333333,290.5025,287.995,282.5,279.5466666666666,302.895,284.1075,292.33500000000004,302.6625,256.15,306.0433333333333,312.93499999999995,311.43,306.93666666666667,326.8299999999999,307.1133333333334,300.5833333333333,304.66999999999996,294.72,305.87,310.40000000000003,299.19000000000005,301.975,306.16,326.425,324.4,324.84,335.30499999999995,326.085,308.59,322.7425,314.1175,306.4675,292.0125,304.59749999999997,301.0,275.9,267.51666666666665,273.21999999999997,304.71500000000003,314.01,300.74,293.93500000000006,315.67999999999995,308.51,290.985,274.4866666666667,281.40000000000003,292.51,287.0,312.59000000000003,295.69500000000005
2000-09-22 21:56:53+00:00,251.38,244.52666666666664,245.02000000000007,259.65,287.32,297.295,287.31333333333333,278.7525,286.57,284.014,276.804,266.43,302.895,281.026,279.26000000000005,302.6625,244.42,306.0433333333333,312.93499999999995,311.43,290.1175,296.32666666666665,307.1133333333334,300.5833333333333,304.66999999999996,294.72,305.87,310.40000000000003,299.19000000000005,283.33,306.16,326.425,324.4,324.84,335.30499999999995,326.085,299.0875,313.27,305.23400000000004,298.366,284.748,298.726,288.7825,267.778,260.8075,264.105,304.71500000000003,314.01,275.6933333333333,293.93500000000006,288.09666666666664,289.69,290.985,274.4866666666667,281.40000000000003,292.51,267.165,312.59000000000003,294.28000000000003
2000-11-09 21:56:45+00:00,257.12,268.705,260.07,282.68,,290.74666666666667,271.995,290.56666666666666,287.96000000000004,289.515,272.0425,260.185,286.775,277.375,273.41,299.1466666666667,232.69,316.78499999999997,303.495,294.44,268.30333333333334,278.11999999999995,282.29,284.86,277.995,281.21000000000004,291.825,287.735,279.58500000000004,279.2366666666667,309.145,299.32500000000005,309.265,317.66499999999996,325.2,320.495,285.14666666666665,302.09499999999997,293.71750000000003,285.7025,281.35,288.005,278.0525,253.20250000000001,254.0025,254.8525,289.12,299.46500000000003,255.62,296.97,275.02666666666664,281.12,298.075,282.95000000000005,284.95,285.195,268.44,307.935,291.45
2000-11-25 21:56:47+00:00,256.7033333333333,260.18666666666667,255.69666666666663,272.83500000000004,278.08,295.5825,286.21999999999997,295.2325,291.16200000000003,292.27599999999995,275.768,261.452,281.53333333333336,279.088,276.872,297.9675,272.385,315.5333333333333,307.05333333333334,297.2966666666667,276.405,281.09,286.1366666666667,286.21000000000004,277.995,288.6166666666667,293.5933333333333,285.1066666666666,277.2633333333333,285.1575,307.4066666666667,303.85333333333335,313.16,322.37666666666667,322.83500000000004,316.25666666666666,279.12,302.09499999999997,293.71750000000003,285.7025,282.932,289.8,279.48,254.95600000000005,256.59000000000003,261.51599999999996,295.28333333333336,302.17,261.1025,291.605,276.7425,277.5733333333333,283.75,268.93,270.08666666666664,285.195,262.50666666666666,307.935,288.955
