dates,satname,nzd0024-0000,nzd0024-0001,nzd0024-0002,nzd0024-0003,nzd0024-0004,nzd0024-0005,nzd0024-0006,nzd0024-0007,nzd0024-0008,nzd0024-0009,nzd0024-0010
1999-08-17 22:10:26.276000,L7,372.26,372.46,367.68,372.06,377.28,371.40,362.51,364.63,328.36,,
1999-09-27 22:04:25.056000,L7,356.36,400.19,411.69,414.97,427.90,419.00,426.16,369.61,381.15,382.58,362.54
1999-10-13 22:04:24.936000,L7,376.05,382.34,393.06,386.95,386.03,407.18,417.89,414.44,425.59,418.02,405.56
1999-11-14 22:04:18.343000,L7,353.28,361.02,361.61,371.87,371.00,371.15,373.13,,382.22,374.77,364.35
2000-02-09 22:10:19.398000,L7,379.30,392.41,405.85,409.89,408.46,405.05,403.41,406.72,405.51,397.77,396.13
2000-03-28 22:10:07.233000,L7,,,,420.49,381.94,384.26,372.53,363.41,377.54,373.21,416.62
2000-04-29 22:09:53.797000,L7,408.81,375.80,383.55,381.38,379.02,372.64,368.27,357.60,374.97,371.92,427.96
2000-05-15 22:09:42.527000,L7,,,385.22,381.61,381.20,376.93,369.52,361.16,370.71,370.09,419.21
2000-08-03 22:08:44.137000,L7,,,,,,387.98,400.27,406.01,400.16,366.34,350.90
2000-09-04 22:08:22.800000,L7,363.30,370.81,376.66,375.38,370.67,367.31,358.75,349.72,332.01,,
2000-09-20 22:08:03.348000,L7,365.08,369.17,373.28,371.42,371.07,365.45,358.47,345.13,377.86,300.50,
2000-10-06 22:07:59.689000,L7,,402.89,386.01,416.04,404.27,392.65,407.95,412.35,408.82,397.11,430.84
2000-11-07 22:07:53.532000,L7,,,411.43,408.31,404.07,408.35,407.06,413.32,410.15,407.80,426.24
2001-02-27 22:07:54.461000,L7,,,,,,,363.43,348.57,358.10,375.45,421.30
2001-03-15 22:07:52.114000,L7,393.53,396.49,409.70,417.55,415.97,405.74,399.88,403.86,407.37,397.16,461.39
2001-06-03 22:07:16.736000,L7,,357.85,373.93,371.58,371.80,365.25,361.73,352.77,,332.49,331.39
2001-11-19 21:59:56.393000,L7,400.27,365.83,364.00,373.18,373.61,377.23,376.08,367.25,385.46,384.33,379.47
2001-12-12 22:06:14.960000,L7,,,,,,,,,,,436.97
2002-01-22 22:00:16.971000,L7,343.10,358.95,359.83,369.31,358.72,314.00,,,,,
2002-01-29 22:06:21.478000,L7,,,,,,388.59,429.23,357.29,379.90,420.88,
2002-02-23 22:00:19.685000,L7,,399.13,413.07,396.22,400.21,401.04,397.07,389.69,407.83,,410.50
2002-04-28 22:00:14.417000,L7,332.95,366.82,360.74,364.51,370.21,359.62,365.94,354.48,371.47,375.74,368.96
2002-06-22 22:06:03.573000,L7,,,359.13,365.69,349.49,,,,,,
2002-10-28 22:05:22.323000,L7,407.41,407.81,373.71,380.63,380.15,377.64,367.28,362.37,423.48,416.96,421.07
2002-12-08 21:59:39.665000,L7,,403.15,409.16,417.95,397.26,393.71,394.94,380.10,398.69,425.30,418.62
2002-12-24 21:59:45.194000,L7,,,,409.67,413.35,422.95,422.20,377.83,393.98,400.28,420.78
2002-12-31 22:05:56.221000,L7,,398.99,398.74,410.86,412.86,414.50,405.64,403.31,431.06,373.10,370.24
2003-03-21 22:06:15.912000,L7,,363.45,363.98,384.48,376.45,365.26,359.21,350.72,360.93,358.44,363.68
2003-04-06 22:06:21.012000,L7,,,,,,,,294.89,381.92,417.27,412.17
2003-05-08 22:06:20.773000,L7,,,,414.40,412.76,365.40,360.55,345.74,359.93,356.55,346.50
2003-07-28 21:48:04.987000,L5,325.80,362.51,378.32,380.16,373.21,379.56,372.61,365.09,370.14,364.47,349.87
2003-08-29 21:48:38.429000,L5,346.70,361.41,364.35,357.78,355.14,365.35,352.05,349.99,355.67,352.55,358.63
2003-09-14 21:48:54.793000,L5,383.13,383.54,390.95,389.10,392.73,397.28,383.06,386.88,385.83,386.55,393.72
2003-09-30 21:49:06.317000,L5,357.86,359.44,360.55,,327.39,374.04,370.24,367.33,374.27,369.56,372.49
2003-12-26 21:56:18.593000,L5,,,,,,,,,421.86,416.38,404.82
2004-05-18 21:58:14.785000,L5,375.13,374.43,385.68,381.33,374.74,375.59,361.98,357.33,362.42,354.63,359.06
2004-06-12 21:52:47.645000,L5,369.68,393.96,398.85,400.32,396.05,394.07,393.50,389.58,386.37,384.69,385.34
2004-06-19 21:59:10.521000,L5,363.05,373.11,380.11,374.41,362.06,366.96,347.20,338.00,344.32,,325.85
2004-07-30 21:54:04.170000,L5,355.56,364.02,369.52,369.06,366.62,367.00,362.75,355.63,362.89,354.19,364.19
2004-08-06 22:00:22.463000,L5,371.60,373.58,382.35,384.76,378.18,375.95,372.15,362.58,362.68,353.52,355.07
2004-08-22 22:00:48.706000,L5,404.75,412.64,416.94,418.04,414.30,412.07,405.02,390.66,399.54,393.96,393.08
2004-09-16 21:55:17.605000,L5,344.65,346.55,366.83,359.70,369.37,370.04,365.75,353.40,364.90,362.20,362.42
2004-11-19 21:56:31.297000,L5,395.52,399.63,406.54,407.37,398.88,404.81,398.96,400.69,400.67,403.28,399.61
2005-02-14 22:04:09.465000,L5,,398.48,408.32,399.92,413.51,415.13,402.00,383.28,367.81,347.25,368.01
2005-02-23 21:58:07.648000,L5,386.18,392.97,398.46,401.47,401.27,398.60,400.96,393.72,396.17,400.03,399.37
2005-03-11 21:58:20.185000,L5,367.47,370.70,378.75,384.43,375.03,380.26,367.18,359.99,302.52,,
2005-04-03 22:04:40.528000,L5,,,,419.55,414.03,401.50,387.34,375.88,384.44,385.33,376.24
2005-04-12 21:58:31.220000,L5,373.66,367.73,368.01,391.01,378.83,383.21,359.80,351.88,352.44,,
2005-04-19 22:04:43.597000,L5,,414.65,413.44,412.66,411.72,407.03,388.45,383.66,388.74,387.68,382.34
2005-05-30 21:58:51.383000,L5,364.58,377.39,377.12,371.93,363.13,359.18,334.96,353.95,357.68,359.59,357.90
2005-06-06 22:05:05.724000,L5,380.32,374.37,390.34,388.04,380.02,383.81,371.30,364.09,367.01,364.88,362.94
2005-07-08 22:05:15.796000,L5,374.75,378.88,392.99,391.89,391.00,388.36,378.68,372.90,375.34,369.49,370.98
2005-07-17 21:59:11.604000,L5,322.10,362.85,374.77,366.76,372.84,370.88,360.15,363.00,365.45,356.31,362.84
2005-08-25 22:05:41.221000,L5,365.05,370.28,375.33,376.29,370.67,371.79,362.98,359.21,365.60,356.49,361.14
2005-09-03 21:59:32.312000,L5,344.84,356.39,363.61,366.43,357.78,367.53,363.97,358.71,362.32,354.00,362.06
2005-09-26 22:05:42.687000,L5,398.32,406.73,413.01,419.11,408.55,410.58,400.66,390.71,389.32,386.78,383.94
2006-02-10 22:01:51.332000,L5,382.08,395.10,400.70,398.03,399.94,400.63,388.53,394.98,393.78,400.09,400.28
2006-02-17 22:08:11.136000,L5,399.95,399.52,409.36,405.36,398.96,398.31,387.19,376.69,384.31,384.83,381.13
2006-02-26 22:02:11.573000,L5,393.95,387.93,393.41,399.02,404.07,399.87,395.19,396.52,408.78,411.64,403.55
2006-03-14 22:02:31.280000,L5,380.84,387.67,391.04,388.71,384.84,385.31,377.27,370.32,377.66,383.13,382.72
2006-04-06 22:09:08.139000,L5,367.23,365.97,374.85,,,362.10,347.01,348.74,346.99,342.16,353.86
