dates,nzd0206-0000,nzd0206-0001,nzd0206-0002,nzd0206-0003,nzd0206-0004,nzd0206-0005,nzd0206-0006,nzd0206-0007,nzd0206-0008,nzd0206-0009,nzd0206-0010,nzd0206-0011,nzd0206-0012,nzd0206-0013,nzd0206-0014,nzd0206-0015,nzd0206-0016,nzd0206-0017,nzd0206-0018,nzd0206-0019,nzd0206-0020,nzd0206-0021,nzd0206-0022,nzd0206-0023,nzd0206-0024,nzd0206-0025,nzd0206-0026,nzd0206-0027,nzd0206-0028,nzd0206-0029,nzd0206-0030,nzd0206-0031,nzd0206-0032,nzd0206-0033,nzd0206-0034,nzd0206-0035,nzd0206-0036,nzd0206-0037,nzd0206-0038,nzd0206-0039,nzd0206-0040,nzd0206-0041,nzd0206-0042,satname
1999-12-25 21:58:52.197,,,,,,,,,306.33,301.12,303.95,295.11,297.03,301.17,310.8,311.93,298.06,289.95,301.93,310.71,308.1,305.58,,,188.03,205.74,190.7,199.33,231.82,,,284.62,292.42,291.81,,,,,,,,,,L7
2000-02-18 22:04:53.186,,,,,,,,,323.46,310.125,313.06,292.08500000000004,306.24,308.395,318.15,309.95000000000005,290.885,288.815,296.435,300.61,296.345,289.61,256.64,224.0,188.095,205.74,190.7,199.33,231.82,,,293.855,287.08500000000004,286.88,284.75,280.15,272.28,270.28,,,,,,L7
2000-03-14 21:58:35.291,292.26,286.97,,217.16,,275.91,216.65,,284.13,285.3066666666667,298.0233333333333,282.86333333333334,295.23333333333335,300.30333333333334,308.2633333333333,297.61333333333334,282.06,280.58,290.75666666666666,300.3333333333333,295.55,281.70666666666665,271.28499999999997,240.27,203.10666666666665,198.77,190.065,191.875,224.16,244.9,249.09,286.6566666666667,287.08500000000004,286.88,284.75,280.15,272.28,270.28,,,,,,L7
2000-03-30 21:58:33.541,285.53999999999996,283.71500000000003,,215.915,224.81,277.83500000000004,233.57,257.28,266.0025,278.2175,282.92,271.16,277.4825,293.05,304.73,290.635,279.06,278.27250000000004,288.4675,299.67499999999995,294.2475,275.22249999999997,277.20666666666665,247.86333333333334,212.7625,198.90666666666667,190.01,190.07666666666668,220.08333333333334,244.06,243.825,281.28,287.08500000000004,271.8,264.99,264.61,272.695,289.15,328.27,308.7,344.64,,335.6,L7
2000-05-24 22:04:10.630,285.53999999999996,283.71500000000003,,211.27999999999997,208.34,277.43,240.31000000000003,244.29,260.724,273.152,272.918,259.478,268.142,293.05,304.73,290.635,279.06,278.27250000000004,288.4675,299.67499999999995,294.2475,275.22249999999997,277.20666666666665,247.86333333333334,212.7625,198.90666666666667,190.01,190.07666666666668,220.08333333333334,244.06,243.825,281.28,287.08500000000004,271.8,264.99,264.61,272.695,289.15,328.27,308.7,344.64,,335.6,L7
2000-07-04 21:57:38.483,285.53999999999996,283.71500000000003,,211.27999999999997,208.34,277.43,237.285,228.43666666666664,240.888,257.03799999999995,256.52,242.538,251.846,276.055,302.7066666666667,274.66249999999997,263.70750000000004,266.3825,283.97999999999996,291.37,284.87,258.3875,277.4225,250.25,228.2475,196.28,188.6966666666667,185.45,214.215,244.06,243.825,280.16666666666663,281.75,243.31666666666663,256.32,261.32,272.2133333333333,287.72999999999996,311.90999999999997,317.685,344.11,208.73,332.43,L7
2000-07-11 22:03:41.691,285.53999999999996,275.63,,211.27999999999997,208.34,277.43,237.285,228.43666666666664,240.888,257.03799999999995,256.52,242.538,251.846,276.055,302.7066666666667,274.66249999999997,263.70750000000004,266.3825,283.97999999999996,291.37,284.87,258.3875,277.4225,250.25,228.702,191.45000000000002,188.6966666666667,185.45,214.215,244.06,243.825,280.16666666666663,281.75,243.31666666666663,256.32,261.32,272.2133333333333,287.72999999999996,311.90999999999997,322.3866666666667,344.11,214.32,332.43,L7
2000-08-05 21:57:08.715,285.53999999999996,275.63,,210.7025,212.66666666666666,277.43,237.19,223.14749999999998,236.14000000000001,254.2933333333333,252.5,240.88333333333333,245.58166666666668,268.738,302.7066666666667,270.146,262.896,267.90999999999997,283.97749999999996,293.146,286.472,256.33000000000004,279.274,253.298,233.50666666666666,193.186,190.1625,180.80999999999997,213.24666666666667,235.10666666666665,238.45666666666668,280.16666666666663,281.75,239.855,254.665,261.18,272.6125,289.125,311.8433333333333,324.15250000000003,343.97333333333336,227.87666666666667,334.06,L7
2000-08-12 22:03:18.130,285.53999999999996,275.63,,210.7025,212.66666666666666,282.5775,245.68500000000003,229.142,243.7214285714286,258.78428571428566,253.19,242.97428571428574,245.8014285714286,268.738,301.5475,272.00666666666666,264.535,269.82,283.146,293.146,286.472,256.33000000000004,279.274,253.298,233.50666666666666,193.186,190.1625,180.80999999999997,213.24666666666667,235.10666666666665,238.45666666666668,280.16666666666663,281.75,239.855,254.665,261.18,272.6125,289.125,298.9875,324.15250000000003,343.97333333333336,227.87666666666667,334.06,L7
2000-09-13 22:02:50.153,278.82,265.81,,208.54999999999998,212.66666666666666,288.09999999999997,264.7783333333333,232.48333333333335,241.68333333333337,256.2683333333333,240.65833333333333,234.76,228.85999999999999,247.98333333333335,311.86,268.11,261.866,268.502,281.23,288.85249999999996,281.2725,251.10500000000002,284.59999999999997,250.735,244.9375,193.53250000000003,190.40666666666667,179.005,211.62,230.20999999999998,233.14,265.15,,225.82333333333335,244.63666666666666,254.85666666666668,272.72333333333336,295.4066666666667,283.976,324.15250000000003,343.97333333333336,227.87666666666667,334.06,L7
