dates,satname,nzd0206-0000,nzd0206-0001,nzd0206-0002,nzd0206-0003,nzd0206-0004,nzd0206-0005,nzd0206-0006,nzd0206-0007,nzd0206-0008,nzd0206-0009,nzd0206-0010,nzd0206-0011,nzd0206-0012,nzd0206-0013,nzd0206-0014,nzd0206-0015,nzd0206-0016,nzd0206-0017,nzd0206-0018,nzd0206-0019,nzd0206-0020,nzd0206-0021,nzd0206-0022,nzd0206-0023,nzd0206-0026,nzd0206-0027,nzd0206-0028,nzd0206-0029,nzd0206-0030,nzd0206-0031,nzd0206-0032,nzd0206-0033,nzd0206-0034,nzd0206-0035,nzd0206-0036,nzd0206-0037,nzd0206-0038,nzd0206-0039,nzd0206-0040,nzd0206-0041,nzd0206-0042,nzd0206-0024,nzd0206-0025
1999-12-25 21:58:52.197000,L7,323.71,322.54,323.95,323.47,329.62,320.23,316.37,313.88,309.59,303.26,306.35,297.73,299.73,303.42,312.95,314.65,300.89,290.32,304.10,314.08,311.19,308.87,300.93,273.84,187.22,197.67,229.55,263.22,271.02,286.70,291.27,294.07,298.83,306.28,307.73,328.00,360.21,347.28,361.90,375.07,380.40,,
2000-02-18 22:04:53.186000,L7,,,,,,337.42,352.80,350.48,316.62,312.36,274.47,285.20,270.33,317.33,325.88,304.72,275.03,289.77,295.39,293.41,285.74,269.20,250.35,,,,,,,,,,,,,,,,,,,,
2000-03-14 21:58:35.291000,L7,347.32,319.59,313.59,315.29,328.30,330.05,262.53,315.24,281.37,284.45,331.44,307.54,307.03,317.74,323.33,327.96,312.13,303.53,314.49,323.20,323.82,320.49,315.66,295.25,211.73,211.49,240.20,274.08,291.31,319.93,,,,,,,,,,,,276.91,237.02
2000-03-30 21:58:33.541000,L7,283.04,289.51,,,,,,,,,,,,,,276.03,277.18,276.99,286.89,305.74,297.65,260.78,295.97,269.80,190.80,194.57,214.28,247.52,248.77,263.03,231.17,,,,277.31,305.01,328.48,340.94,341.28,347.58,329.49,249.71,208.27
2000-07-11 22:03:41.691000,L7,,273.97,296.27,297.75,307.17,318.06,293.43,266.42,296.23,298.83,276.02,,,,,288.65,308.84,316.86,312.30,312.06,305.44,,,,,,,,,,,,,368.05,352.06,340.34,301.02,337.65,,,,,
2000-08-05 21:57:08.715000,L7,300.42,293.64,,,,,,,,,,,275.08,307.17,321.05,322.78,326.21,324.12,330.31,331.63,328.86,332.46,326.77,305.08,225.03,217.69,248.21,260.60,259.00,310.55,,266.63,283.48,287.33,312.82,337.97,355.95,358.29,368.55,373.10,353.86,295.81,273.40
2000-08-12 22:03:18.130000,L7,369.89,337.16,306.23,306.43,311.59,319.03,302.94,260.44,304.34,296.71,273.89,272.19,280.92,317.52,317.80,301.34,287.15,299.76,296.44,296.04,286.13,,,,,,,,,,,,,,,,,,,,,,
2000-09-13 22:02:50.153000,L7,334.41,,,,372.10,317.45,344.73,321.96,306.91,295.86,272.06,272.56,273.39,339.09,336.91,311.55,286.25,291.03,295.21,291.86,286.32,279.82,255.78,,,,,,,,,,,,,,,,,,,,
2000-10-15 22:02:20.178000,L7,,,,,,,372.82,362.89,356.30,338.55,332.37,323.15,325.91,334.88,338.20,326.58,305.64,299.82,311.21,311.68,297.11,316.27,267.19,243.65,,,,,,,,,,,,,,,326.40,345.95,397.05,,
2000-11-09 21:56:21.390000,L7,340.24,331.75,334.17,334.90,340.78,327.01,327.48,324.58,323.25,316.92,319.16,308.07,315.29,322.90,331.35,327.43,318.04,308.02,323.22,316.31,317.76,314.49,295.15,,,,,,,,,,,,,,,,,,,,
2001-01-03 22:02:36.401000,L7,,,,,,,387.27,382.66,372.81,358.95,357.19,343.26,343.12,345.18,346.78,332.73,315.23,319.75,321.17,315.44,313.94,303.63,285.92,264.48,173.81,188.04,219.28,234.73,237.35,237.05,255.29,,,,,,,,,,,240.32,
2001-01-12 21:56:30.696000,L7,,,,,,,,,,,305.80,269.11,330.06,333.80,397.15,370.78,343.93,,,,,,,,167.57,166.69,204.62,279.77,295.31,303.59,318.47,311.61,360.14,363.05,400.97,372.74,367.12,363.76,379.04,,,,
2001-02-04 22:02:38.355000,L7,,,,,,366.03,347.23,335.61,346.60,346.50,343.39,294.87,,,,262.42,244.19,269.15,281.62,271.50,262.02,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:02:36.849000,L7,,,,,,,380.08,367.53,365.89,348.89,341.40,324.61,335.01,328.73,330.42,313.52,295.00,301.57,306.44,303.93,295.38,280.40,264.70,237.18,,,,,,,,,,,369.15,372.35,319.08,,,,,,
2001-03-01 21:56:21.596000,L7,,,,352.78,349.97,339.93,342.30,338.81,340.66,325.54,331.67,332.08,329.76,340.71,346.08,346.44,,,340.93,339.25,349.45,342.62,330.76,310.30,228.34,237.17,264.18,296.42,305.87,318.48,314.02,309.43,312.24,321.83,330.22,345.99,385.41,373.35,371.78,389.55,,294.40,274.86
2001-03-17 21:56:16.575000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.25,302.79,334.37,297.05,298.28,,,,
2001-03-24 22:02:23.691000,L7,369.40,374.60,357.39,336.67,369.08,315.58,351.62,330.95,305.69,293.79,273.80,271.73,275.12,321.90,318.81,289.80,279.55,284.87,294.34,292.30,284.87,,,,,,,,,,,,,,,,,,,,,,
2001-06-12 22:01:48.945000,L7,,290.85,320.65,302.37,365.33,,,,,,338.85,299.36,288.66,311.57,,282.04,293.79,295.89,300.25,297.13,283.10,283.32,282.31,332.08,,,,,,,,,,,,,,,,,,334.81,239.14
2001-06-21 21:55:29.297000,L7,376.63,362.22,364.35,348.03,336.29,333.78,336.47,353.20,336.49,326.89,336.18,333.01,328.35,320.04,342.71,358.28,367.71,354.74,347.92,,,,,,218.70,199.56,231.43,243.80,247.82,329.73,346.61,352.40,357.71,359.35,355.61,,,,,,,,307.32
2001-08-08 21:55:01.113000,L7,,,,,,,390.63,372.02,360.97,331.92,349.73,358.28,369.11,376.55,361.95,362.97,344.72,340.24,326.78,373.10,339.59,345.60,350.43,361.81,218.69,211.53,239.98,263.50,257.17,290.73,,378.04,371.59,357.71,364.02,357.94,374.27,,,,,289.20,247.03
2001-08-15 22:01:02.634000,L7,,,,,,,,321.17,339.90,315.59,313.29,319.88,337.79,348.22,347.16,331.04,330.55,327.56,322.81,368.53,,316.17,286.53,270.10,,,,316.31,318.61,326.79,287.03,284.31,265.08,,,405.10,388.98,352.76,312.01,306.47,,248.57,
