dates,nzd0092-0000,nzd0092-0001,nzd0092-0002,nzd0092-0003,nzd0092-0004,nzd0092-0005,nzd0092-0006,nzd0092-0007,nzd0092-0008,nzd0092-0009,nzd0092-0010,nzd0092-0011,nzd0092-0012,nzd0092-0013,nzd0092-0014,nzd0092-0016,nzd0092-0017,nzd0092-0018,nzd0092-0019,nzd0092-0020,nzd0092-0021,nzd0092-0022,nzd0092-0023,nzd0092-0024,nzd0092-0025,nzd0092-0026,nzd0092-0027,nzd0092-0028,nzd0092-0029,nzd0092-0030,nzd0092-0031,nzd0092-0032,nzd0092-0033,nzd0092-0015
2002-10-21 21:59:36+00:00,,,,,,,,,,,291.22,,,,,,,213.56,209.3,,,254.43,246.01,260.33,258.18,264.83,,305.73,309.69,,,,,
2002-10-28 22:05:46+00:00,,220.49,214.5,212.0,208.55,202.76,209.62,197.57,,,291.22,,,,,,,213.56,209.3,,,254.43,246.01,260.33,258.18,264.83,185.09,305.73,309.69,229.37,241.31,,,
2002-12-24 22:00:09+00:00,,220.49,214.5,212.0,208.55,202.76,209.62,197.57,,,291.22,,,,,,,213.56,209.3,185.82,,250.95499999999998,245.44,259.2,258.905,262.225,185.09,306.94,302.71500000000003,229.37,241.31,,,
2002-12-31 22:06:20+00:00,,220.49,214.5,212.0,208.55,205.815,212.29500000000002,203.0,,,291.22,,,,,,,213.56,209.3,185.82,,250.95499999999998,245.44,259.2,258.905,248.15333333333334,187.495,306.94,284.4266666666667,233.79000000000002,245.82999999999998,,,
2003-01-16 22:06:26+00:00,,220.49,214.5,212.0,208.55,205.815,212.88666666666666,203.76999999999998,,,291.22,,,,,,,213.56,209.3,185.82,,250.95499999999998,245.44,259.2,258.905,276.1675,187.495,306.94,284.4266666666667,233.54333333333332,246.71,250.06,226.47,
2003-07-28 21:48:28+00:00,,,183.64,193.0,191.43,189.92,194.24,194.02,201.43,197.94,188.33,,,,,,,,,277.53,286.2,309.35,335.95,335.1,319.79,346.52,,337.66,262.39,326.08,345.64,334.26,339.31,
2003-08-13 21:48:45+00:00,,,183.64,193.0,191.43,189.92,194.24,194.02,201.43,197.94,188.33,,,,,,,219.25,214.59,261.105,270.05,303.71000000000004,323.37,321.295,318.845,333.53999999999996,,326.295,260.395,322.53999999999996,338.365,329.22,327.575,
2003-09-30 21:49:30+00:00,,,183.64,193.0,191.43,189.92,194.24,194.02,201.43,197.94,188.33,,,,,,,227.51,221.865,259.0133333333333,270.57,303.2033333333333,324.42333333333335,320.8666666666667,320.58666666666664,331.2966666666667,,327.73,260.395,327.03,341.55,333.3433333333333,329.5733333333333,
2004-06-12 21:53:11+00:00,,,,,,,,,,,,,,,,,,,,,,270.05,288.67,303.49,303.73,304.72,243.98,,247.46,,,304.47,312.1,
2004-08-22 22:01:12+00:00,,255.32,,,265.95,,,,,,,262.5,254.4,263.43,248.73,,292.59,293.51,291.4,289.18,299.27,303.445,312.82000000000005,309.31,311.675,313.9,283.585,337.17,287.45,327.53,,304.47,296.995,264.63
2004-09-16 21:55:41+00:00,,255.32,,,265.95,,,,,,,262.5,254.4,263.43,248.73,177.72,275.19,278.13,274.075,285.515,297.9,310.29333333333335,322.0733333333333,321.9533333333333,323.42333333333335,324.43,303.83,339.775,304.93,335.76,,304.47,296.995,264.63
2004-10-18 21:56:23+00:00,,255.32,,,265.95,,,,,,,262.5,254.4,263.43,248.73,177.72,252.98666666666668,264.49,258.09,272.05,290.08666666666664,308.695,321.8825,322.6,323.2575,324.3725,309.64750000000004,334.07666666666665,307.905,335.0233333333333,353.74,324.07000000000005,296.995,264.63
2004-11-19 21:56:55+00:00,,255.32,,,265.95,,,,,,,262.5,254.4,263.43,248.73,177.72,241.9325,257.5025,249.1325,264.6975,284.255,305.338,319.89,320.8,322.38800000000003,323.694,312.71400000000006,330.8,309.62399999999997,335.12,351.235,333.04333333333335,296.995,264.63
2005-01-13 22:04:05+00:00,239.76,247.78,,,251.39999999999998,218.8,214.39,200.41,193.34,184.72,,262.5,254.4,263.43,248.73,177.72,234.67200000000003,252.856,245.744,253.728,279.206,305.608,317.57399999999996,315.812,327.0525,328.4375,329.89750000000004,330.8,325.16499999999996,335.12,351.235,347.33000000000004,271.40999999999997,264.63
2005-02-07 21:58:15+00:00,239.76,247.78,192.85,190.35,234.34,212.35000000000002,214.5,210.685,205.42000000000002,201.04000000000002,203.85,235.53,235.47500000000002,243.74,231.425,185.695,234.67200000000003,255.38166666666666,248.43666666666664,253.728,279.206,305.608,317.57399999999996,315.812,333.3,328.4375,329.89750000000004,330.8,325.16499999999996,339.258,351.235,356.3766666666667,271.40999999999997,264.63
2005-02-14 22:04:33+00:00,239.76,247.78,192.85,203.495,232.97,217.67333333333332,218.38,211.96333333333334,202.97333333333336,199.85333333333332,192.84,235.53,235.47500000000002,243.74,231.425,185.695,227.235,250.29857142857142,242.8814285714286,243.26999999999998,279.206,305.608,306.1116666666667,306.6616666666667,333.3,328.4375,329.89750000000004,330.8,325.16499999999996,339.258,351.235,356.3766666666667,259.7733333333333,264.63
2005-02-23 21:58:31+00:00,239.76,240.24,192.85,203.495,221.9766666666667,217.67333333333332,218.38,211.96333333333334,202.97333333333336,199.85333333333332,192.84,208.56,216.55,224.05,214.12,185.695,211.22000000000003,239.3542857142857,231.72571428571428,234.90499999999997,271.698,295.08799999999997,300.9916666666666,304.92333333333335,332.83600000000007,327.29,330.235,327.2,322.07,338.382,346.9166666666667,351.6225,248.71499999999997,
2005-04-03 22:05:04+00:00,237.57999999999998,234.04500000000002,208.16,210.76666666666665,223.22250000000003,219.2225,218.5475,210.35750000000002,200.525,198.5225,189.5666666666667,208.56,216.55,224.05,214.12,193.67,201.615,232.83142857142857,225.46714285714285,221.73833333333334,261.13800000000003,282.582,289.22499999999997,293.58833333333337,319.062,321.22333333333336,312.43250000000006,309.08000000000004,302.415,336.98,346.9166666666667,351.6225,250.25,
2005-05-30 21:59:15+00:00,237.57999999999998,234.04500000000002,208.16,210.76666666666665,223.22250000000003,219.2225,218.5475,210.35750000000002,200.525,198.5225,189.5666666666667,208.56,216.55,224.05,214.12,193.67,197.57999999999998,229.61833333333334,225.15833333333333,214.808,254.9125,273.625,277.78000000000003,284.976,314.5475,315.265,301.91,291.1566666666667,276.29333333333335,328.3233333333333,325.33,344.91333333333336,250.25,
2005-08-25 22:06:05+00:00,228.91500000000002,228.52499999999998,226.055,225.945,228.245,222.115,220.555,206.45,196.325,192.69,183.02,,,,,,197.45666666666668,219.73,219.57333333333335,214.19333333333336,249.82333333333335,267.76666666666665,277.0233333333333,286.96333333333337,289.54,294.935,287.8733333333334,275.0133333333333,256.68666666666667,306.01,312.38,322.91,248.755,
2005-09-03 21:59:56+00:00,228.91500000000002,228.52499999999998,226.055,225.945,228.245,222.115,220.555,206.45,196.325,192.69,183.02,,,,,,197.9875,221.14749999999998,219.97,214.19333333333336,253.8075,275.27250000000004,277.0233333333333,294.815,298.095,294.935,287.8733333333334,275.0133333333333,256.68666666666667,313.72,324.345,330.51,248.755,
2005-11-22 22:00:23+00:00,222.43,229.2,228.64,226.58,229.53,220.36,222.06,207.36,199.47,190.85,,,,,,,200.22500000000002,224.29000000000002,220.78750000000002,219.865,260.6,284.53999999999996,280.54499999999996,305.7375,310.3225,294.935,295.25500000000005,277.57,254.39500000000004,321.18,332.67333333333335,336.72333333333336,244.19,
2006-02-17 22:08:35+00:00,224.825,227.45,226.345,224.65,227.01999999999998,222.86,220.285,205.26,192.37,186.965,,,,,,,198.91750000000002,223.575,219.0225,205.04000000000002,257.685,279.175,269.625,298.9725,302.655,273.16999999999996,278.485,269.895,256.53000000000003,328.765,342.82,343.63,244.63,
2006-03-05 22:08:55+00:00,230.68,228.76,227.485,226.62,227.45499999999998,224.14,219.865,205.7,189.495,185.53500000000003,,,,,,,199.41333333333333,225.80666666666664,215.67,204.05,254.66,272.24,267.145,293.6766666666667,293.07666666666665,271.5,276.9200000000001,266.895,257.495,336.1,349.33,349.15,246.415,
2006-04-15 22:03:30+00:00,230.68,228.76,227.485,226.62,227.45499999999998,224.14,219.865,205.7,189.495,185.53500000000003,,,,,,,199.41333333333333,225.80666666666664,215.67,204.05,254.66,272.24,267.145,293.6766666666667,299.3425,287.91,291.53000000000003,266.895,257.495,330.94500000000005,341.80499999999995,343.085,246.415,
2006-08-28 22:11:35+00:00,227.37,228.72,227.325,225.315,223.45499999999998,214.22,211.91500000000002,200.495,193.72,187.99,,,,,,,198.8,228.98,216.8,206.38,249.56,262.25,269.35,283.68,298.265,297.61,300.0250000000001,268.34,258.17,325.79,334.28,337.02,247.76,
2006-09-29 22:11:58+00:00,226.255,231.68,231.79,230.08,227.45999999999998,218.625,215.82,206.135,204.18,196.37,178.94,,,,,,202.49,229.88,231.24,217.45,255.69,273.6,282.83,288.8,303.94,304.185,304.32000000000005,273.02,258.35,325.79,334.28,337.02,252.55,
