dates,satname,nzd0092-0000,nzd0092-0001,nzd0092-0002,nzd0092-0003,nzd0092-0004,nzd0092-0005,nzd0092-0006,nzd0092-0007,nzd0092-0008,nzd0092-0009,nzd0092-0010,nzd0092-0023,nzd0092-0024,nzd0092-0025,nzd0092-0026,nzd0092-0027,nzd0092-0028,nzd0092-0029,nzd0092-0030,nzd0092-0031,nzd0092-0032,nzd0092-0033,nzd0092-0011,nzd0092-0012,nzd0092-0013,nzd0092-0014,nzd0092-0015,nzd0092-0016,nzd0092-0017,nzd0092-0018,nzd0092-0019,nzd0092-0020,nzd0092-0021,nzd0092-0022
2000-01-17 22:04:35.821000,L7,,,323.33,329.94,337.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-24 22:01:59.719000,L7,,,,,,273.46,344.32,329.46,,,,,,,,325.43,326.15,316.87,318.28,325.26,336.90,325.14,,,,,,,353.70,356.12,360.93,,,
2001-12-05 22:00:18.987000,L7,,,,347.28,313.81,359.05,293.04,375.22,344.67,320.14,364.77,441.95,383.76,421.56,,,321.17,314.21,313.91,328.80,339.78,315.94,376.02,379.27,,,,,,369.59,367.02,357.76,365.79,406.55
2001-12-12 22:06:38.912000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.36,292.77,346.94,,,,
2002-04-12 22:00:37.812000,L7,,,,,,,,,,,,,,,,,315.85,312.61,311.02,328.69,333.52,324.10,,,,,,,,,,,,
2002-08-18 21:59:57.690000,L7,,,,,,,,,,,,,,,,,,,312.56,321.30,331.83,310.95,,,,,,,,,,,,
2002-10-21 21:59:36.443000,L7,,,,,,,,,,,,,,,,,307.71,314.26,328.78,328.45,390.69,306.23,,,,,,,,,,,,
2003-09-30 21:49:30.432000,L5,,,,,,,,,,,,325.29,333.88,334.00,336.28,341.93,341.69,335.22,343.63,351.91,357.59,340.02,,,,,,,,,,,,311.69
2004-09-16 21:55:41.721000,L5,,,,,,,,,,,,318.89,328.54,333.09,334.17,336.86,335.40,329.32,334.05,341.73,347.38,336.65,,,,,,,,,,,,
2004-10-18 21:56:23.891000,L5,,,,,,,,,,,,316.64,331.77,329.16,331.49,335.84,329.92,322.66,338.37,357.37,355.35,336.93,,,,,,,,,,,,
