dates,nzd0456-0000,nzd0456-0001,nzd0456-0002,nzd0456-0003,nzd0456-0004,nzd0456-0005,nzd0456-0006,nzd0456-0007,nzd0456-0008,nzd0456-0009,nzd0456-0010,nzd0456-0011,nzd0456-0012,nzd0456-0013,nzd0456-0014,nzd0456-0015,nzd0456-0016,nzd0456-0017,nzd0456-0018,nzd0456-0019,nzd0456-0020,nzd0456-0021,nzd0456-0022,nzd0456-0023,nzd0456-0024,nzd0456-0025,satname
2013-12-19 22:34:12.842,276.59166666666664,267.675,246.8014285714286,236.1357142857143,235.05666666666664,230.675,231.085,234.75,236.64874999999998,237.69142857142856,209.9825,194.33714285714288,191.126,193.5125,212.88,223.2725,222.544,202.4,201.04,199.135,199.005,205.055,222.1825,230.53333333333333,304.03,290.81,L8
2014-01-13 22:27:45.180,280.32,272.85999999999996,253.06,241.24142857142857,241.635,239.74142857142857,238.25,240.81714285714287,246.06285714285713,245.93599999999998,216.04166666666666,197.01166666666668,191.126,193.5125,220.228,223.2725,222.544,208.56833333333336,201.04,199.135,199.005,205.055,222.1825,230.53333333333333,302.03499999999997,294.225,L8
2014-02-05 22:33:44.781,281.89428571428573,274.59714285714284,254.32125000000002,242.08249999999998,242.20142857142855,240.5725,239.4775,241.92000000000002,246.85999999999999,246.6683333333333,217.25142857142856,198.10285714285715,192.225,193.472,219.87,223.74200000000002,222.40833333333333,207.42285714285714,198.894,196.756,197.48399999999998,203.078,219.37199999999999,227.915,302.03499999999997,294.225,L8
2014-03-02 22:27:09.178,279.2985714285714,272.13714285714286,253.91375,240.915,242.65428571428575,239.44124999999997,244.34875,248.16,248.19875,255.71666666666667,220.58428571428573,201.53571428571428,198.13666666666666,194.0,220.3057142857143,226.05666666666664,224.70857142857145,210.22875,202.20833333333334,200.06000000000003,202.11,203.078,219.37199999999999,227.915,302.93,295.79333333333335,L8
2014-04-10 22:32:49.425,275.00857142857143,267.45,249.9875,236.88875,238.47714285714284,235.55499999999998,240.375,243.9975,243.88625,249.18499999999997,216.12428571428572,197.22571428571428,192.48166666666665,192.17000000000002,220.55000000000004,225.83799999999997,224.715,210.8557142857143,204.286,201.96000000000004,204.51800000000003,205.14,220.6375,221.07333333333335,302.93,295.79333333333335,L8
2014-05-12 22:32:19.647,273.75,264.925,250.67374999999998,237.335,235.855,236.335,239.46375,243.56875,241.93,245.54,212.16285714285712,193.3442857142857,192.48166666666665,192.17000000000002,220.55000000000004,225.83799999999997,221.602,207.10833333333332,198.9925,197.64000000000004,200.04500000000002,196.9333333333333,210.76333333333332,221.07333333333335,302.38,298.28499999999997,L8
2014-07-15 22:32:37.463,266.152,254.488,240.902,226.786,225.76799999999997,224.93400000000003,233.73200000000003,238.86599999999999,230.064,236.638,205.206,185.04000000000002,190.10999999999999,194.97500000000002,220.50000000000006,231.62499999999994,230.12,215.20999999999995,204.54500000000002,201.91000000000008,208.32000000000005,195.17,208.13,220.06,304.72,298.93,L8
2014-09-01 22:32:51.438,272.33,260.27250000000004,244.01999999999998,230.66500000000002,226.54000000000002,227.2225,226.43,229.54500000000002,229.1675,228.3,201.39249999999998,182.04,183.37,193.95,214.69,227.58,222.39,201.24,184.66,185.77,189.5,194.5,209.85,216.05,222.29,,L8
2014-09-26 22:26:40.595,272.33,260.27250000000004,244.01999999999998,230.66500000000002,226.54000000000002,227.2225,226.43,229.54500000000002,229.1675,226.56199999999998,201.314,181.164,182.02666666666667,183.515,205.415,213.515,219.39499999999998,203.02,185.845,181.255,178.95999999999998,194.1,197.59,216.05,222.29,,L8
2014-10-03 22:32:56.013,283.4,260.27250000000004,244.01999999999998,230.66500000000002,226.54000000000002,231.88600000000002,233.13600000000002,233.23200000000003,229.1675,226.56199999999998,201.314,181.164,185.9375,183.515,205.415,217.54333333333332,219.39499999999998,201.42999999999998,185.09,182.08,181.54333333333332,193.22333333333333,201.13666666666666,217.82,241.04500000000002,,L8
2014-11-04 22:32:58.094,297.896,261.82000000000005,246.54999999999995,232.61,227.70000000000002,234.13000000000002,235.8675,236.125,230.9433333333333,228.16249999999997,202.0725,181.8275,191.67,183.515,205.415,217.54333333333332,219.39499999999998,201.42999999999998,185.09,182.08,181.54333333333332,193.22333333333333,201.13666666666666,217.82,252.59,279.42,L8
2014-12-15 22:26:40.930,306.135,269.1050000000001,245.77666666666664,231.8166666666667,226.66,232.6825,237.625,236.925,236.96666666666667,235.015,209.8275,189.0075,195.45,189.20666666666668,212.74333333333334,222.21,226.98000000000002,209.08,195.345,191.3125,193.61,203.4375,214.0475,217.82,259.1575,282.505,L8
2014-12-22 22:32:52.265,304.89,277.06,252.83499999999998,238.655,233.5325,236.794,240.46800000000002,240.81199999999998,243.76,240.252,213.35999999999999,193.458,197.46599999999998,193.3875,215.4375,223.914,227.175,208.57,195.796,191.862,193.768,203.03,214.13400000000001,218.91666666666666,256.134,282.505,L8
2014-12-31 22:26:35.482,304.89,277.06,252.83499999999998,238.655,233.5325,236.794,240.46800000000002,240.81199999999998,243.76,240.252,210.78333333333333,191.7483333333333,196.01333333333332,191.952,214.746,223.48000000000002,227.81599999999997,210.06833333333336,197.43666666666664,193.5716666666667,196.60833333333335,206.19000000000003,217.92,227.6475,257.9816666666666,281.45,L8
2015-02-08 22:32:38.133,310.48,288.66,260.175,246.14749999999998,241.4425,243.01799999999997,247.08800000000002,246.07,253.79000000000002,248.54000000000002,217.14666666666668,198.61666666666665,196.78285714285715,193.8516666666667,215.625,224.04999999999998,227.28833333333333,209.10714285714286,196.8542857142857,193.04857142857142,196.02142857142857,204.38714285714286,217.1257142857143,226.064,255.59428571428572,271.51,L8
2015-02-17 22:26:23.050,310.48,288.66,254.652,242.512,236.526,238.9283333333333,244.21666666666667,243.23000000000002,250.73600000000002,248.26833333333332,217.76,199.7042857142857,198.1725,194.03428571428572,217.19142857142856,225.43875,229.38285714285715,211.81375,199.86375,196.28,199.7525,207.875,221.37125,233.27666666666664,258.19875,271.51,L8
2015-04-13 22:32:08.069,306.9575,289.6066666666667,255.05599999999998,243.102,237.282,234.5125,239.82999999999998,240.44750000000002,249.9925,254.43400000000003,221.82500000000002,203.51666666666665,201.97166666666666,197.77333333333334,221.79833333333332,230.3016666666667,232.4,215.89000000000001,205.66833333333332,202.31166666666664,208.4933333333333,213.41833333333332,233.512,242.12199999999999,262.87857142857143,265.322,L8
2015-05-24 22:25:38.197,296.75666666666666,289.6066666666667,246.71,234.05499999999998,228.77833333333334,226.22200000000004,231.946,232.584,242.504,248.17666666666665,218.4157142857143,199.43,198.08571428571426,197.77333333333334,221.79833333333332,230.3016666666667,232.4,215.89000000000001,205.66833333333332,202.31166666666664,208.4933333333333,213.41833333333332,233.512,242.12199999999999,260.745,261.79749999999996,L8
2015-08-19 22:32:30.043,277.315,267.90500000000003,233.23666666666668,220.17333333333332,216.40333333333334,203.1,205.41,209.75,215.76,237.16999999999996,215.34,191.44,188.11499999999995,195.43,221.28,230.93,227.51,205.12,190.37,189.87,197.57,197.18,,246.59,256.65,240.57,L8
2015-09-20 22:32:43.512,281.66,272.86333333333334,239.995,227.1125,223.5175,217.05666666666664,218.45666666666668,222.9,227.54333333333332,242.6233333333333,219.66333333333333,196.09,191.19333333333336,195.45499999999998,217.45499999999998,227.245,224.01999999999998,201.965,186.93,186.625,191.385,193.04000000000002,,230.345,238.73999999999995,240.125,L8
2015-12-18 22:26:42.726,267.44,264.9,241.56000000000003,231.12,226.30000000000004,226.28333333333333,229.23666666666668,233.40666666666667,238.26,254.61,229.67000000000002,209.485,204.035,197.85,222.72,232.305,233.215,216.45499999999998,204.94,201.155,206.14499999999998,211.07999999999998,261.34,244.675,254.66999999999996,239.68,L8
2016-01-03 22:26:39.547,261.90999999999997,264.9,239.41750000000002,227.905,222.9375,223.81,228.7475,232.2375,238.46,249.67,227.89000000000001,207.75,204.41333333333333,196.83,223.85666666666665,233.64666666666668,236.00666666666666,221.25666666666666,210.9766666666667,206.8033333333333,213.14666666666668,218.5233333333333,257.93999999999994,253.33333333333334,263.52,239.68,L8
2016-01-10 22:32:49.418,261.90999999999997,279.09666666666664,245.07399999999998,227.905,222.9375,223.81,233.27200000000002,236.368,242.22200000000004,250.8975,228.28,208.0925,204.1675,197.66,223.0575,233.345,233.885,216.84,206.635,202.3,208.055,213.53,243.37999999999997,252.155,259.9,241.84,L8
2016-02-20 22:26:27.762,258.345,295.135,245.81599999999997,227.14499999999998,230.225,224.07999999999998,242.512,237.78400000000002,246.006,249.86999999999998,226.936,206.382,204.08800000000002,195.968,223.0575,233.345,233.885,216.84,206.635,202.3,208.055,213.53,243.37999999999997,252.155,259.9,241.84,L8
2016-02-27 22:32:38.835,258.345,295.135,245.81599999999997,227.14499999999998,230.225,224.07999999999998,242.512,237.78400000000002,246.006,249.86999999999998,227.60833333333335,206.72,203.6833333333333,196.35333333333332,222.836,232.02400000000003,232.32,214.27200000000002,204.858,199.42000000000002,205.186,210.204,236.20499999999998,252.18200000000002,257.178,241.94333333333336,L8
2016-03-07 22:26:26.859,249.01399999999998,265.50666666666666,238.9433333333333,219.352,220.708,217.67799999999997,236.05999999999997,231.72166666666666,239.78166666666667,244.62666666666667,222.95142857142858,202.17000000000002,199.71714285714285,191.75142857142856,222.836,224.75833333333333,228.14000000000001,211.82500000000002,201.8166666666667,196.74166666666667,203.225,209.06833333333336,229.51,252.18200000000002,253.8033333333333,241.6625,L8
2016-04-08 22:26:11.653,238.67999999999998,256.87,234.67799999999997,204.988,206.73600000000002,206.31799999999998,227.56166666666664,222.80999999999997,232.21,237.76999999999998,222.05833333333337,201.63333333333335,200.11166666666668,191.13,225.13750000000002,224.998,229.66200000000003,214.42800000000003,205.48200000000003,199.41400000000002,206.82999999999998,213.102,229.51,261.70250000000004,260.398,242.32333333333335,L8
2016-04-24 22:26:04.497,233.406,239.97,229.27666666666667,202.22,202.98333333333335,203.67666666666665,224.16,219.41714285714284,229.14857142857142,235.20000000000002,217.8457142857143,197.6357142857143,196.3657142857143,191.13,225.13750000000002,224.998,229.66200000000003,214.42800000000003,205.48200000000003,199.41400000000002,206.82999999999998,213.102,229.51,261.70250000000004,260.398,242.32333333333335,L8
2016-05-26 22:26:12.554,231.04,232.5725,226.47285714285712,201.05285714285716,200.93714285714285,202.71142857142857,221.86625,217.36374999999998,227.86625,234.01,215.84125,195.0475,193.785,191.13,225.13750000000002,224.998,229.66200000000003,214.42800000000003,205.48200000000003,199.41400000000002,206.82999999999998,213.102,229.51,261.70250000000004,260.398,242.32333333333335,L8
2016-06-11 22:26:15.919,229.29285714285714,227.98000000000002,224.08875,199.78625,199.45,201.87625,220.04555555555555,215.89555555555555,226.60555555555555,232.52777777777777,214.1788888888889,193.04888888888888,192.13777777777779,191.13,225.13750000000002,224.998,229.66200000000003,214.42800000000003,205.48200000000003,199.41400000000002,206.82999999999998,213.102,229.51,261.70250000000004,260.398,242.32333333333335,L8
2016-06-27 22:26:23.365,225.20833333333334,227.98000000000002,218.29125,194.29125,193.745,197.905,215.91111111111113,211.74444444444444,222.69,227.40444444444444,209.25666666666666,188.31555555555553,189.815,189.31199999999998,222.91333333333333,220.98499999999999,225.60250000000002,209.51000000000002,200.25500000000002,194.53500000000003,201.765,208.06250000000003,221.5525,257.18666666666667,253.36999999999998,242.32333333333335,L8
2016-07-04 22:32:37.915,230.1,234.82833333333335,220.0575,196.46875,195.86374999999998,200.07,216.2788888888889,212.5966666666667,222.59555555555556,226.5922222222222,207.7211111111111,186.15111111111113,186.35875,187.9425,221.30500000000004,215.86999999999998,220.2733333333334,202.39333333333335,192.65666666666667,186.68000000000004,193.30333333333328,199.61333333333337,210.55666666666664,250.45500000000004,244.08666666666662,242.32333333333335,L8
2016-07-20 22:32:44.045,235.24142857142854,226.67166666666665,216.66250000000002,200.17333333333332,199.0511111111111,202.92555555555558,213.60555555555553,209.95777777777778,219.87,222.6188888888889,204.38444444444445,182.88222222222223,181.83624999999998,183.87333333333333,221.95,207.58499999999998,216.65000000000006,201.79500000000002,192.18000000000004,185.62500000000003,193.56499999999994,200.14500000000004,208.70499999999998,252.29,241.60999999999996,241.48499999999999,L8
2016-08-05 22:32:46.763,239.38,231.49857142857144,219.2411111111111,203.149,201.416,205.346,214.583,211.885,221.007,222.13400000000001,203.88400000000001,182.29500000000002,180.67666666666665,183.87333333333333,221.95,207.58499999999998,216.65000000000006,201.79500000000002,192.18000000000004,185.62500000000003,193.56499999999994,200.14500000000004,208.70499999999998,252.29,241.60999999999996,241.48499999999999,L8
2016-08-14 22:26:38.015,239.38,231.49857142857144,218.121,203.149,200.13545454545454,204.20818181818183,213.58636363636361,210.8790909090909,220.42636363636365,221.83727272727273,203.32636363636365,181.47454545454545,179.82,183.87333333333333,221.95,207.58499999999998,216.65000000000006,201.79500000000002,192.18000000000004,185.62500000000003,193.56499999999994,200.14500000000004,208.70499999999998,252.29,241.60999999999996,241.48499999999999,L8
2016-09-22 22:32:59.262,244.98714285714286,237.46571428571428,219.17111111111114,205.07333333333335,198.96599999999998,205.206,209.73499999999999,210.61599999999999,219.571,219.56,198.63125,176.67499999999998,173.83571428571426,,,,,,,,,,,,,,L8
2016-10-08 22:33:02.908,244.98714285714286,237.46571428571428,219.17111111111114,208.69375,201.62888888888887,211.33800000000002,211.53222222222223,212.26999999999998,221.11444444444447,220.45625,198.63125,176.67499999999998,173.83571428571426,,,,223.68,203.44,190.89,191.08,186.6,193.04,208.05,245.68,233.28,234.06,L8
2016-11-09 22:33:04.659,250.43333333333337,242.68166666666664,221.28375,211.5957142857143,203.805,213.65666666666667,212.505,213.92125,222.40625,220.55285714285714,199.49714285714285,177.10714285714286,173.82666666666668,,,,223.68,203.44,190.89,191.08,186.6,193.04,222.57,247.485,231.86999999999995,234.06,L8
2016-12-04 22:26:53.506,256.678,249.142,220.1225,210.6285714285714,202.94875000000002,215.74875,212.0675,213.7075,221.18375,219.32142857142858,195.75285714285715,176.37000000000003,173.5716666666667,164.03,188.04,186.17,213.29000000000002,200.185,188.605,184.145,187.935,187.64,222.57,247.485,231.05666666666662,240.575,L8
2016-12-11 22:33:02.499,266.14500000000004,259.025,221.94,213.91333333333333,204.9357142857143,218.56571428571428,213.00857142857143,215.07285714285715,221.85,228.09142857142857,194.8983333333333,176.25500000000002,183.62833333333333,164.03,188.04,186.17,213.29000000000002,200.185,188.605,184.145,187.935,187.64,228.64999999999998,246.38,234.14999999999998,240.07333333333335,L8
2017-02-22 22:26:28.144,247.51999999999998,241.245,219.10666666666668,206.3166666666667,201.04333333333332,224.56000000000003,211.69999999999996,212.55666666666664,220.8166666666667,248.75,175.6,184.755,204.56000000000003,178.185,204.67000000000002,186.17,221.4333333333333,209.7733333333333,198.07000000000002,194.5,200.87,187.64,233.21249999999998,250.76999999999998,234.14999999999998,240.07333333333335,L8
2017-03-26 22:26:10.766,225.89,220.09,211.21333333333334,196.36666666666667,191.19333333333336,217.20000000000002,209.5,208.34333333333333,217.91333333333333,241.16,175.6,184.755,204.56000000000003,172.09333333333333,197.2733333333333,185.23,216.8075,206.6775,193.1375,194.5,200.87,187.64,233.21249999999998,250.76999999999998,229.49799999999996,239.5425,L8
2017-04-02 22:32:18.852,225.89,220.09,211.21333333333334,196.36666666666667,204.3225,224.79500000000002,209.5,208.34333333333333,227.645,244.464,175.6,184.755,204.56000000000003,172.09333333333333,197.2733333333333,185.23,229.48000000000002,206.6775,193.1375,194.5,196.5275,187.37333333333333,233.21249999999998,250.76999999999998,229.49799999999996,243.36999999999998,L8
2017-05-04 22:32:03.123,239.5,233.59333333333333,218.5725,204.675,208.526,219.3125,213.36,213.4825,228.75799999999998,244.464,187.815,182.65,195.885,172.09333333333333,197.2733333333333,185.23,230.93,207.75666666666666,193.88666666666666,196.20999999999998,199.83666666666667,184.54000000000002,241.6,252.4666666666666,228.55249999999995,245.6975,L8
2017-05-20 22:32:14.958,239.5,233.59333333333333,220.574,208.048,208.8216666666667,219.22200000000004,213.164,214.474,227.71833333333333,244.464,187.815,182.65,195.885,172.09333333333333,197.2733333333333,185.23,230.93,207.75666666666666,193.88666666666666,196.20999999999998,199.83666666666667,184.54000000000002,243.85499999999996,254.05499999999995,227.9166666666666,245.6975,L8
2017-09-02 22:26:40.811,243.60666666666665,236.51333333333332,227.7375,216.25,215.79000000000002,220.416,217.44750000000002,219.62,232.798,244.25333333333333,215.01,193.225,188.675,178.215,203.54,207.63,241.1866666666667,215.52999999999997,178.34,218.7,203.33499999999998,209.5,249.93,270.22,210.89,259.20666666666665,L8
2017-09-09 22:32:51.783,243.60666666666665,236.51333333333332,227.7375,216.25,215.79000000000002,220.416,217.44750000000002,219.62,237.17666666666665,247.475,220.94000000000003,198.54333333333332,193.46,183.79333333333332,208.42666666666665,224.32666666666668,242.395,225.22666666666666,178.34,233.27499999999998,209.07000000000002,214.54,234.265,270.22,215.65499999999992,259.20666666666665,L8
2017-09-18 22:26:42.973,243.9425,236.6325,228.728,216.68199999999996,215.10500000000002,219.9766666666667,219.436,221.52400000000003,237.55571428571426,249.84,221.92000000000002,198.54333333333332,193.46,183.79333333333332,212.2025,226.76500000000001,242.05599999999998,227.375,197.875,229.15,213.76999999999998,214.54,234.265,278.03,215.65499999999992,265.23,L8
2017-10-04 22:26:49.608,254.51999999999998,246.93999999999997,235.12750000000003,223.87249999999997,208.54000000000002,213.92000000000002,223.8675,220.558,234.30500000000004,257.71000000000004,221.92000000000002,192.8775,187.6525,186.03666666666666,214.64,240.92333333333337,242.39333333333332,226.82999999999998,217.41,229.15,223.85999999999999,228.39,234.265,278.03,220.42,282.14500000000004,L8
2017-10-20 22:26:52.422,245.825,236.9125,229.99,218.55599999999998,205.52833333333334,211.34,220.714,218.62166666666667,231.8271428571429,257.71000000000004,221.92000000000002,192.8775,187.6525,186.03666666666666,214.64,240.92333333333337,234.6325,223.56199999999998,206.075,219.045,214.9225,228.39,234.265,278.03,220.42,282.14500000000004,L8
2017-11-05 22:26:51.496,242.1025,232.26,228.842,217.42799999999997,204.42333333333332,209.73166666666668,228.714,225.1783333333333,239.72285714285718,267.39750000000004,229.38250000000002,201.2875,197.7275,191.2075,218.43400000000003,241.435,234.6325,223.56199999999998,206.075,219.045,218.142,228.39,234.265,287.25666666666666,220.42,283.2366666666667,L8
2017-11-28 22:32:54.093,242.1025,232.26,228.90750000000003,216.39999999999998,203.248,216.16666666666666,238.064,232.28666666666666,246.49714285714285,268.12800000000004,231.44,205.31,200.61599999999999,194.7,219.62333333333333,239.894,233.97600000000003,222.07333333333335,205.09333333333333,215.254,216.00666666666666,220.17333333333332,230.37666666666664,287.25666666666666,230.37999999999994,283.2366666666667,L8
2018-02-25 22:26:18.105,243.118,233.77599999999998,230.054,218.158,205.00333333333333,216.17142857142858,237.505,231.96,246.09125,265.945,230.67166666666665,205.49833333333333,201.76166666666666,194.7,219.62333333333333,239.894,233.97600000000003,223.79285714285714,210.23250000000002,216.04333333333332,217.78714285714287,220.17333333333332,230.37666666666664,288.3425,230.37999999999994,286.575,L8
2018-03-04 22:32:25.254,240.92499999999998,231.4125,235.594,223.974,210.12666666666667,220.58857142857144,240.27999999999997,235.1657142857143,247.9375,265.66833333333335,230.79,205.31499999999997,200.45166666666668,194.578,218.08333333333334,238.948,230.16,219.09999999999997,206.164,210.82666666666668,216.89,206.72333333333336,216.47666666666666,294.38333333333327,229.27666666666664,288.43666666666667,L8
2018-06-01 22:25:21.565,229.89999999999998,222.765,232.39666666666668,222.8166666666667,214.55999999999997,218.05666666666664,227.84666666666666,228.0566666666667,237.96333333333334,242.9766666666667,228.765,206.67499999999995,203.56000000000003,195.91,215.36,226.24,221.38,217.46499999999995,207.76999999999998,203.69500000000005,228.47,191.81,208.23,291.6,227.07,296.59,L8
