dates,satname,nzd0401-0000,nzd0401-0001,nzd0401-0002,nzd0401-0003,nzd0401-0004,nzd0401-0005,nzd0401-0006,nzd0401-0007,nzd0401-0008,nzd0401-0009
1999-10-22 22:00:28.631000,L7,320.61,323.06,350.53,353.36,341.40,308.89,308.41,331.19,356.62,352.86
1999-12-09 22:00:33.510000,L7,283.26,262.09,312.94,,258.69,284.39,279.10,319.35,338.96,325.66
2000-01-26 22:00:26.187000,L7,295.44,291.98,316.46,334.34,271.74,287.31,284.64,318.19,336.15,312.70
2000-02-27 22:00:16.353000,L7,302.06,283.18,313.66,340.48,344.36,295.32,289.09,,,
2000-03-30 22:00:09.363000,L7,310.53,288.58,332.46,332.58,300.19,282.47,,,,
2000-11-25 21:57:58.896000,L7,345.95,340.46,356.48,356.21,359.03,322.37,329.79,351.26,360.73,350.50
2002-10-30 21:55:25.430000,L7,307.60,306.84,334.57,333.76,269.65,299.36,303.59,344.08,357.96,343.59
2003-01-18 21:56:06.129000,L7,,,,,,341.11,338.80,361.60,368.97,364.92
2004-04-02 21:46:54.575000,L5,299.82,289.19,328.95,322.03,,,,,,
2004-07-07 21:49:44.929000,L5,,306.29,343.48,333.35,268.23,308.51,308.78,,,
2004-10-27 21:52:23.346000,L5,311.81,303.69,326.67,321.93,,,,,,
2005-03-04 21:54:27.824000,L5,305.16,285.34,326.91,316.70,,,,,,
2005-04-21 21:54:46.500000,L5,322.49,300.73,335.68,330.32,265.94,,,,,
2005-06-08 21:55:08.756000,L5,319.17,328.56,349.79,336.16,271.10,314.75,318.74,333.83,353.94,355.99
2005-07-10 21:55:19.319000,L5,327.20,328.90,344.07,341.14,272.71,305.66,319.78,322.59,356.42,355.88
2005-09-28 21:55:44.137000,L5,297.22,289.89,324.27,304.86,,,,,,
2006-02-19 21:58:15.515000,L5,307.13,298.34,331.58,328.31,258.84,,,,,
2006-11-02 22:01:56.430000,L5,300.18,292.03,323.88,303.63,,,,,,
2007-01-05 22:02:28.201000,L5,338.70,336.83,350.35,330.26,307.42,322.69,317.76,346.39,349.87,355.08
2008-02-25 21:58:00.859000,L5,322.17,328.13,342.60,332.41,283.52,323.15,309.24,343.54,347.89,344.05
2014-12-26 22:07:42.898000,L8,290.66,319.29,330.92,317.07,344.72,316.82,305.35,341.43,341.89,345.96
