dates,satname,nzd0526-0000,nzd0526-0001,nzd0526-0002,nzd0526-0009,nzd0526-0010,nzd0526-0011,nzd0526-0012,nzd0526-0013,nzd0526-0014,nzd0526-0015,nzd0526-0003,nzd0526-0004,nzd0526-0005,nzd0526-0006,nzd0526-0007,nzd0526-0008,nzd0526-0016
1999-08-17 22:13:37.953000,L7,,,,,,,,,,,309.54,304.28,313.44,309.64,,,
1999-11-05 22:13:40.966000,L7,346.74,315.69,278.18,284.55,294.94,299.57,296.16,300.33,289.65,282.26,,,,,,,
1999-12-07 22:13:41.663000,L7,,306.24,307.19,282.27,289.05,298.97,289.70,,,293.78,309.23,311.59,314.02,318.31,304.44,290.65,281.16
1999-12-16 22:07:33.708000,L7,331.78,312.22,305.24,293.56,297.92,300.68,299.25,,,286.81,309.14,322.16,329.68,327.06,315.49,297.34,280.38
2000-05-08 22:06:44.900000,L7,347.34,324.45,325.72,300.99,301.91,304.75,297.01,324.17,326.33,342.51,334.96,332.95,339.41,332.09,316.19,299.94,358.76
2000-06-16 22:12:38.425000,L7,,,,291.08,290.66,283.73,276.03,301.23,280.25,270.58,,286.79,312.03,305.25,294.90,285.33,
2000-09-20 22:11:14.930000,L7,329.02,325.03,322.03,294.25,298.95,300.99,299.75,306.49,302.55,310.51,330.09,330.23,330.42,328.92,323.68,299.06,300.96
2000-12-18 22:05:01.704000,L7,351.72,344.44,343.93,350.55,308.50,343.83,330.99,336.38,327.17,323.60,344.94,361.33,361.37,352.55,356.01,344.98,354.81
2001-01-03 22:05:00.181000,L7,350.36,358.29,353.04,278.96,288.05,301.81,292.83,302.10,352.41,350.48,352.69,360.45,360.44,368.89,360.94,351.48,342.80
2001-02-20 22:05:00.525000,L7,348.63,315.25,305.94,289.76,299.84,308.02,299.01,310.92,297.96,295.11,311.83,319.24,323.55,323.30,312.06,298.92,291.06
2001-07-05 22:10:09.496000,L7,287.85,319.58,366.54,,,,,,,,,,,,,,
2001-08-15 22:03:26.328000,L7,341.70,314.06,301.75,295.33,296.89,285.32,270.02,274.09,295.64,299.90,294.54,316.83,325.55,322.98,305.26,291.28,295.08
2001-11-03 22:02:58.699000,L7,364.94,374.05,329.32,,,323.39,354.23,348.43,345.66,345.70,324.21,341.36,379.49,379.46,,,
2002-01-29 22:09:33.112000,L7,,,331.35,334.94,330.51,334.24,332.46,337.76,331.03,295.24,331.38,335.84,348.01,347.68,343.25,342.06,324.95
2002-03-11 22:03:31.366000,L7,,,,329.15,334.99,323.51,,,334.44,324.74,,,,,,338.29,335.95
2002-04-12 22:03:25.302000,L7,,,353.52,,,,,,,,312.77,309.55,296.32,327.59,,,
2002-05-05 22:09:37.985000,L7,,,,,,,,,,,,312.23,270.04,311.84,,,
2002-08-09 22:08:57.725000,L7,,365.25,335.10,340.43,342.05,,,,,,371.83,371.21,351.89,360.65,361.21,342.53,
2002-12-24 22:02:57.022000,L7,364.12,353.64,363.91,329.14,313.42,336.37,352.59,306.17,345.22,346.69,344.35,332.51,330.98,332.13,326.93,312.67,349.11
2003-02-01 22:09:21.746000,L7,382.73,341.13,340.89,335.80,333.04,304.56,302.60,347.13,342.82,338.24,338.19,350.07,352.69,352.30,349.81,346.42,329.68
2003-08-13 21:51:32.649000,L5,367.85,352.90,347.62,327.98,327.25,338.78,330.35,340.82,339.50,328.86,345.60,346.49,360.45,356.07,350.63,329.07,334.05
2003-08-29 21:51:49.928000,L5,339.28,326.10,297.68,297.57,303.05,289.05,292.80,311.67,302.38,,307.06,317.12,323.70,326.41,315.59,296.68,
2003-10-07 21:58:35.519000,L5,368.38,356.18,354.88,327.17,328.51,329.76,325.58,340.22,329.49,327.12,345.26,353.48,361.34,361.45,349.26,330.23,326.81
2003-11-17 21:52:57.120000,L5,343.52,329.53,314.09,299.15,297.49,308.87,301.93,275.22,,,318.32,328.77,334.00,329.54,323.41,309.21,
2003-12-26 21:59:30.091000,L5,363.37,351.05,349.92,319.89,318.08,329.99,327.84,334.23,330.42,321.59,353.61,352.34,359.91,355.97,346.39,319.13,320.26
2004-01-20 21:53:24.777000,L5,329.85,315.74,305.46,308.07,304.89,319.97,311.61,320.44,320.55,312.66,323.99,322.17,330.48,327.62,323.13,,307.82
2004-01-27 21:59:38.149000,L5,330.30,311.03,297.69,298.63,297.64,312.49,307.45,321.06,318.55,289.72,317.68,321.44,329.78,327.79,318.05,,304.67
2004-03-31 21:59:59.745000,L5,379.09,367.99,366.26,338.07,339.58,339.66,338.51,351.67,347.43,345.10,365.60,360.03,363.06,361.27,351.41,339.69,346.88
2004-05-02 22:00:57.398000,L5,355.76,343.09,278.98,333.71,328.35,328.59,320.16,333.96,332.09,326.44,286.15,314.00,351.54,362.31,356.71,337.53,336.98
2004-05-18 22:01:26.569000,L5,,,,,277.25,287.08,293.93,306.88,299.45,276.99,,,,,,,287.50
2004-06-12 21:55:59.429000,L5,316.76,312.52,299.48,300.44,302.52,302.01,282.32,300.80,279.62,294.99,309.83,315.23,330.07,321.81,311.99,289.07,302.06
2004-07-21 22:03:15.748000,L5,,,273.48,303.95,309.82,296.99,290.25,307.64,,,309.93,320.38,338.99,337.96,323.68,303.31,
2004-07-30 21:57:15.668000,L5,357.46,356.21,357.61,338.37,340.76,331.44,334.51,351.83,354.01,345.10,344.16,351.74,364.43,357.15,354.48,343.29,357.84
2004-10-18 21:59:11.702000,L5,360.06,350.99,345.77,329.33,329.07,337.06,330.47,341.00,338.74,328.89,345.96,346.90,354.93,353.37,345.53,317.35,329.93
2005-01-22 22:00:50.292000,L5,381.33,369.56,363.56,352.65,353.13,361.41,358.37,367.38,360.74,357.22,364.94,362.67,372.83,369.30,362.21,353.54,357.95
2005-02-14 22:07:21.106000,L5,377.21,369.19,371.98,355.43,354.04,360.71,359.41,368.10,350.83,343.57,370.12,374.73,380.51,375.32,369.46,358.73,343.33
2005-03-11 22:01:31.683000,L5,,,,302.46,299.35,303.74,303.51,309.69,309.96,306.81,,,,,,301.79,304.05
2005-04-12 22:01:42.862000,L5,325.03,305.84,313.16,300.19,296.87,296.98,299.36,299.10,297.27,292.58,319.69,327.26,327.21,321.84,312.05,302.22,283.67
2005-06-15 22:02:10.206000,L5,327.18,305.94,296.43,294.07,291.40,279.48,291.12,308.25,303.52,294.42,318.36,312.98,,247.22,267.89,290.23,302.18
2005-06-22 22:08:22.866000,L5,339.24,321.43,322.48,301.96,302.18,297.33,298.13,321.29,310.48,304.66,322.88,328.83,321.72,315.71,301.08,302.97,313.48
2005-08-09 22:08:46.932000,L5,340.15,328.92,324.73,315.15,313.07,309.33,305.30,323.26,312.85,312.54,330.32,332.45,326.85,329.86,316.28,307.97,311.72
