dates,nzd0427-0000,nzd0427-0001,nzd0427-0002,nzd0427-0003,nzd0427-0004,nzd0427-0005,nzd0427-0006,nzd0427-0007,nzd0427-0008,nzd0427-0009,nzd0427-0010,nzd0427-0011,nzd0427-0012,nzd0427-0013,nzd0427-0014,nzd0427-0015,nzd0427-0016,nzd0427-0017,nzd0427-0018,nzd0427-0019,nzd0427-0020,nzd0427-0021,nzd0427-0022,nzd0427-0023,nzd0427-0024,nzd0427-0025,nzd0427-0026,nzd0427-0027,nzd0427-0028,nzd0427-0029,nzd0427-0030,nzd0427-0031,nzd0427-0032,nzd0427-0033,nzd0427-0034,nzd0427-0035,nzd0427-0036,nzd0427-0037,nzd0427-0038,nzd0427-0039,nzd0427-0040,nzd0427-0041,nzd0427-0042,nzd0427-0043,nzd0427-0044,nzd0427-0045,nzd0427-0046,nzd0427-0047,nzd0427-0048,nzd0427-0049,nzd0427-0050,nzd0427-0051,nzd0427-0052,nzd0427-0053,nzd0427-0054,nzd0427-0055,nzd0427-0056,nzd0427-0057,nzd0427-0058,nzd0427-0059,nzd0427-0060,satname
2003-08-20 21:57:03+00:00,,,,228.86,202.46,197.13,186.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-12-10 21:58:29+00:00,301.05,270.65,240.84,216.56,190.22500000000002,180.925,186.06,,,,,171.52,212.01,236.21,235.67,,235.4,,,,252.52,245.9,252.03,250.27,249.44,250.73,248.24,249.91,255.19,,,,,,,,,252.8,252.07,257.49,257.39,263.89,260.36,269.55,269.09,,,,,,,,,274.01,278.96,274.6,273.69,265.58,261.53,261.91,,L5
2004-01-27 21:58:50+00:00,301.05,270.65,240.84,216.56,190.22500000000002,180.925,186.06,,,,,171.52,212.01,236.21,235.67,,235.4,187.67,200.21,204.48,234.63,229.87,233.72,232.57,231.86,234.08999999999997,231.015,232.39,236.85500000000002,223.8,227.42,236.23,235.97,228.05,222.49,217.76,221.29,238.54000000000002,236.06,241.345,241.39,248.32999999999998,245.435,254.26,249.14999999999998,231.49,228.09,232.94,237.74,231.86,237.82,,,258.005,263.105,256.66,255.32,246.15499999999997,244.98499999999999,244.82500000000002,,L5
2004-05-18 22:00:38+00:00,302.485,270.65,240.84,204.26,172.54500000000002,164.72,,,,,,171.52,193.54,218.10500000000002,218.745,192.66,217.435,197.175,208.60500000000002,213.375,231.1833333333333,227.9333333333333,223.7266666666667,229.20666666666668,228.09666666666666,231.64,231.09,230.9,236.08666666666667,231.255,236.01999999999998,236.23,235.97,232.275,224.575,219.64,214.21499999999997,228.21666666666667,223.82000000000002,230.63333333333333,235.02999999999997,248.32999999999998,237.79666666666665,242.22333333333336,249.14999999999998,230.42000000000002,220.685,232.94,237.74,231.86,233.565,,,247.90333333333334,263.105,256.66,243.51333333333332,239.35,238.67,240.9466666666667,243.39,L5
2004-11-26 22:05:17+00:00,,,,,,,,,,,,,,172.0,177.1,172.12,176.57,188.96,204.99,219.07,221.1,216.65,205.15,210.97,217.72,217.28,215.25,200.79,208.51,211.12,215.48,219.8,217.98,214.12,213.51,215.01,222.88,225.07,225.85,226.02,228.15,233.8,228.56,231.03,228.21,231.36,227.94,232.26,235.02,232.27,235.27,246.89,253.99,246.08,250.02,247.63,247.04,236.64,225.84,226.08,219.48,L5
2005-02-14 22:06:33+00:00,,,,,,,,,,,,,,172.08499999999998,178.58499999999998,170.99,175.075,188.895,203.11,205.53,206.555,202.35000000000002,205.15,210.97,217.72,217.28,215.25,200.79,213.99,218.015,219.235,227.465,222.95,219.845,208.89,211.39,210.06,211.06,209.76,226.02,212.16,215.765,220.09,224.57999999999998,231.215,235.005,231.72,237.3,237.845,235.66500000000002,238.3,241.94,242.69,234.51,250.02,247.63,247.04,236.64,225.84,226.08,219.48,L5
2005-03-02 22:06:47+00:00,,,,,,,,,,,,,,173.08333333333334,179.51666666666665,170.9,175.13,192.08666666666667,205.57333333333335,209.57000000000002,209.73333333333335,206.53333333333333,210.45499999999998,213.68,218.42000000000002,215.64499999999998,212.4,204.175,215.0,219.70666666666668,221.90333333333334,228.95333333333335,225.58333333333334,222.33333333333334,215.14333333333335,215.33333333333334,215.36333333333334,214.89000000000001,215.03333333333333,226.135,217.79999999999998,221.07000000000002,221.54666666666665,227.17,231.67666666666665,235.45333333333335,232.14666666666668,236.90666666666667,237.1833333333333,237.17333333333332,240.49666666666667,241.14,243.79999999999998,236.46666666666667,248.35500000000002,242.935,242.625,230.095,224.91500000000002,225.885,220.345,L5
2005-09-10 22:08:07+00:00,,,,,,,,,,,,,182.69,197.97,200.52,193.48,200.25,205.66,214.24,215.23,217.4,222.45,221.84,223.84,227.32,229.71,223.93,225.43,236.27,233.4,236.46,241.26,239.34,234.31,,,,,,,,,219.0,231.93,234.43,236.42,223.99,213.76,,,,,228.93,226.64,236.09,228.16,237.95,236.12,240.11,236.45,232.94,L5
2005-11-13 22:08:20+00:00,303.62,277.21,243.89,213.97,187.89,175.95,169.1,,,164.96,172.39,181.95,198.475,219.61,221.76,220.27499999999998,222.14499999999998,227.625,235.61,239.57999999999998,243.935,244.21,243.61,244.14499999999998,248.29999999999998,247.14499999999998,242.775,243.64000000000001,251.13,251.66000000000003,256.025,263.18,264.275,261.36,281.17,273.49,273.11,272.71,274.26,265.24,267.75,271.56,245.63,254.495,256.235,258.08,252.35,249.245,284.34,283.23,288.46,285.44,261.03,258.125,263.125,253.135,258.69,255.07,255.92000000000002,252.43,249.9,L5
2006-10-31 22:14:17+00:00,311.7,276.45,243.73,207.16,182.26,176.0,170.22,,,167.2,174.58,189.14,221.03,243.74,233.65,238.93,237.03,242.37,249.63,255.36,260.2,255.71,266.31,271.35,275.73,271.85,268.43,266.33,272.27,276.17,281.8,275.48,278.68,276.94,270.07,262.37,259.54,259.55,260.11,270.62,270.08,273.06,273.04,281.07,281.23,284.15,282.19,272.85,274.08,275.8,279.4,275.09,280.42,278.16,286.8,285.45,281.52,280.01,274.11,279.07,271.24,L5
