dates,satname,nzd0427-0000,nzd0427-0001,nzd0427-0002,nzd0427-0003,nzd0427-0004,nzd0427-0005,nzd0427-0006,nzd0427-0007,nzd0427-0008,nzd0427-0009,nzd0427-0010,nzd0427-0011,nzd0427-0012,nzd0427-0013,nzd0427-0014,nzd0427-0015,nzd0427-0016,nzd0427-0017,nzd0427-0018,nzd0427-0019,nzd0427-0020,nzd0427-0021,nzd0427-0022,nzd0427-0023,nzd0427-0024,nzd0427-0025,nzd0427-0026,nzd0427-0027,nzd0427-0028,nzd0427-0029,nzd0427-0030,nzd0427-0031,nzd0427-0032,nzd0427-0033,nzd0427-0034,nzd0427-0035,nzd0427-0036,nzd0427-0037,nzd0427-0038,nzd0427-0039,nzd0427-0040,nzd0427-0041,nzd0427-0042,nzd0427-0043,nzd0427-0044,nzd0427-0045,nzd0427-0046,nzd0427-0047,nzd0427-0048,nzd0427-0049,nzd0427-0050,nzd0427-0051,nzd0427-0052,nzd0427-0053,nzd0427-0054,nzd0427-0055,nzd0427-0056,nzd0427-0057,nzd0427-0058,nzd0427-0059,nzd0427-0060
2003-08-20 21:57:03.003000,L5,326.97,299.31,257.76,228.86,202.46,197.13,186.06,187.88,178.46,184.37,187.23,198.13,227.50,249.61,250.54,251.07,245.88,245.81,255.84,258.79,271.02,261.81,267.80,273.28,267.45,269.74,268.82,271.11,275.85,278.37,282.70,288.18,287.24,282.36,274.00,266.54,265.53,266.07,263.76,265.99,274.54,271.40,268.71,278.20,281.92,282.83,275.36,282.48,278.43,275.93,273.23,278.37,283.99,280.29,282.41,279.12,281.59,288.05,273.15,271.65,274.66
2003-12-10 21:58:29.659000,L5,301.05,270.65,240.84,204.26,177.99,164.72,,,,,,171.52,212.01,236.21,235.67,238.56,235.40,240.28,250.10,259.23,252.52,245.90,252.03,250.27,249.44,250.73,248.24,249.91,255.19,267.80,274.64,280.76,281.74,278.92,273.27,268.19,268.99,252.80,252.07,257.49,257.39,263.89,260.36,269.55,269.09,285.04,283.17,283.94,286.23,283.86,287.93,287.91,289.38,274.01,278.96,274.60,273.69,265.58,261.53,261.91,269.74
2003-12-26 21:58:42.145000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.77,202.02,195.58,215.87,224.78,218.02,217.82,204.40,223.02,,,,,,225.28,233.80,227.78,232.77,226.25,244.16,237.31,244.25,,,,,,
2004-01-27 21:58:50.060000,L5,,,,,,,,,,,,,,,,,,187.67,200.21,204.48,216.74,213.84,215.41,214.87,214.28,217.45,213.79,214.87,218.52,223.80,227.42,236.23,235.97,228.05,222.49,217.76,221.29,224.28,220.05,225.20,225.39,232.77,230.51,238.97,229.21,231.49,228.09,232.94,237.74,231.86,237.82,234.42,246.20,242.00,247.25,238.72,236.95,226.73,228.44,227.74,186.30
2004-05-18 22:00:38.480000,L5,303.92,278.28,236.40,199.67,167.10,,,,,,,,175.07,200.00,201.82,192.66,199.47,206.68,217.00,222.27,224.29,224.06,203.74,222.48,220.57,226.74,231.24,227.92,234.55,238.71,244.62,249.48,248.32,236.50,226.66,221.52,207.14,207.57,199.34,209.21,222.31,,222.52,218.15,181.92,229.35,213.28,,,,229.31,183.54,199.70,227.70,,,219.90,225.74,226.04,233.19,243.39
2004-08-22 22:03:12.259000,L5,302.46,275.14,238.95,202.93,173.38,165.56,,,,,,,183.27,203.48,206.82,204.51,207.96,208.97,220.50,218.75,226.64,223.77,221.76,223.79,227.72,230.22,230.39,223.93,233.48,237.01,244.22,253.34,251.64,240.55,229.72,224.72,216.01,221.85,220.16,193.35,211.00,174.11,,,,,,,,,,,,,,,,225.11,224.19,239.53,244.04
2004-11-26 22:05:17.306000,L5,,,,,,,,,,,,,,172.00,177.10,172.12,176.57,188.96,204.99,219.07,221.10,216.65,205.15,210.97,217.72,217.28,215.25,200.79,208.51,211.12,215.48,219.80,217.98,214.12,213.51,215.01,222.88,225.07,225.85,226.02,228.15,233.80,228.56,231.03,228.21,231.36,227.94,232.26,235.02,232.27,235.27,246.89,253.99,246.08,250.02,247.63,247.04,236.64,225.84,226.08,219.48
2005-02-14 22:06:33.160000,L5,,,,,,,,,,,,,,172.17,180.07,169.86,173.58,188.83,201.23,191.99,192.01,188.05,,,,,,,219.47,224.91,222.99,235.13,227.92,225.57,204.27,207.77,197.24,197.05,193.67,,196.17,197.73,211.62,218.13,234.22,238.65,235.50,242.34,240.67,239.06,241.33,236.99,231.39,222.94,192.96,,,,,,
2005-03-02 22:06:47.890000,L5,,,,,,,,,,,,,,175.08,181.38,170.72,175.24,198.47,210.50,217.65,216.09,214.90,215.76,216.39,219.12,214.01,209.55,207.56,217.02,223.09,227.24,231.93,230.85,227.31,227.65,223.22,225.97,222.55,225.58,226.25,229.08,231.68,224.46,232.35,232.60,236.35,233.00,236.12,235.86,240.19,244.89,239.54,246.02,240.38,246.69,238.24,238.21,223.55,223.99,225.69,221.21
2005-09-10 22:08:07.620000,L5,,,,,,,,,,,,,182.69,197.97,200.52,193.48,200.25,205.66,214.24,215.23,217.40,222.45,221.84,223.84,227.32,229.71,223.93,225.43,236.27,233.40,236.46,241.26,239.34,234.31,,,,,,,,,219.00,231.93,234.43,236.42,223.99,213.76,,,,,228.93,226.64,236.09,228.16,237.95,236.12,240.11,236.45,232.94
