dates,satname,nzd0291-0000,nzd0291-0001,nzd0291-0009,nzd0291-0010,nzd0291-0011,nzd0291-0012,nzd0291-0013,nzd0291-0014,nzd0291-0007,nzd0291-0008,nzd0291-0002,nzd0291-0003,nzd0291-0004,nzd0291-0005,nzd0291-0006
2003-02-21 21:42:44.547000,L7,293.20,323.57,390.16,413.09,296.24,314.37,308.19,382.48,383.37,388.68,378.49,393.98,289.65,391.16,416.01
2003-05-03 21:49:01.134000,L7,,,410.43,404.88,397.63,391.04,395.91,392.31,414.89,409.14,,,,,
2003-05-12 21:42:48.091000,L7,384.55,375.71,336.93,327.01,316.94,324.03,320.32,360.58,340.80,344.26,,,,,
2003-05-28 21:42:46.560000,L7,388.00,389.94,375.78,356.86,326.87,326.57,409.78,,390.83,354.89,,309.63,407.07,349.59,398.97
2003-07-30 21:36:57.157000,L5,336.71,343.44,341.61,343.76,341.07,334.84,341.97,356.81,336.94,341.59,264.17,311.11,320.06,334.43,350.73
2003-08-15 21:37:12.191000,L5,354.10,363.63,359.01,361.62,354.75,355.01,369.48,377.02,364.78,357.91,351.79,362.48,371.91,383.21,374.67
2003-09-25 21:31:42.973000,L5,332.50,344.38,335.50,340.46,331.36,327.71,335.52,350.73,328.59,334.54,313.74,303.90,307.09,320.70,343.26
2003-10-18 21:38:12.093000,L5,343.53,350.84,323.33,329.50,319.71,316.29,338.99,354.81,324.18,326.19,321.28,313.72,317.69,329.81,338.13
2003-11-19 21:38:38.232000,L5,328.48,336.66,344.01,343.18,339.05,335.30,343.33,336.90,337.06,344.05,311.79,298.68,308.73,314.91,332.21
2003-11-28 21:32:34.027000,L5,328.63,336.21,335.67,332.99,332.94,327.49,333.99,336.91,338.91,346.12,318.84,311.59,323.73,328.15,352.39
2003-12-14 21:32:38.364000,L5,329.49,334.88,324.13,331.46,324.32,322.15,329.76,337.10,327.65,335.44,319.91,308.97,312.70,325.11,342.69
2003-12-30 21:32:48.382000,L5,333.21,339.27,340.42,342.30,336.93,337.59,342.29,341.10,339.96,344.42,311.99,298.93,311.09,321.70,333.06
2004-01-15 21:32:50.035000,L5,299.38,307.68,,,,,,,304.01,,285.44,282.80,293.21,304.38,313.03
2004-01-22 21:39:04.232000,L5,336.98,345.72,324.39,337.60,331.63,331.97,337.69,354.65,315.60,321.56,314.51,298.61,304.19,312.40,325.64
2004-02-16 21:33:00.436000,L5,333.53,341.70,332.77,340.37,330.97,335.28,334.64,344.43,328.51,336.85,312.60,309.58,311.61,323.89,340.34
2004-03-19 21:33:10.985000,L5,339.50,348.33,337.95,339.97,335.99,335.57,342.08,351.15,331.16,340.17,311.94,309.05,316.31,331.56,345.84
2004-05-06 21:34:22.023000,L5,,,339.90,345.89,336.23,343.48,345.59,357.51,337.41,339.89,,312.88,315.77,331.23,345.97
2004-06-07 21:35:18.585000,L5,337.25,340.88,348.82,351.17,346.74,340.80,352.25,348.96,357.56,340.94,350.97,329.33,341.94,349.28,369.56
2004-06-23 21:35:46.683000,L5,,,334.15,339.07,331.38,333.40,339.88,354.39,328.28,330.52,,301.45,313.17,330.64,342.35
2004-07-25 21:36:37.854000,L5,,,340.09,338.14,344.11,341.33,345.51,352.73,345.14,336.60,,313.93,317.03,331.62,345.77
2004-09-11 21:37:49.351000,L5,342.99,343.52,337.99,341.88,334.52,335.78,338.98,348.86,334.21,338.24,311.34,302.93,312.01,320.14,338.79
2004-10-13 21:38:32.826000,L5,330.56,337.93,331.43,335.33,323.60,325.75,330.81,341.49,323.80,333.70,309.63,300.25,305.28,320.66,337.98
2004-10-20 21:44:52.536000,L5,333.21,340.95,323.13,330.53,324.16,321.20,332.79,351.47,318.59,325.77,314.67,305.63,311.54,326.94,339.95
2004-12-07 21:45:47.781000,L5,331.88,343.42,296.33,,,,,,309.32,314.32,314.88,307.11,315.67,328.83,342.18
2005-02-09 21:46:43.169000,L5,339.39,348.45,339.57,341.80,339.88,339.28,345.11,354.15,326.21,331.51,316.52,299.83,304.21,317.74,333.64
2005-02-18 21:40:42.163000,L5,336.00,339.65,334.07,339.36,332.71,329.73,335.19,344.25,332.55,344.03,312.72,306.85,318.12,326.41,340.86
2005-05-09 21:41:19.893000,L5,,,325.37,332.97,324.33,325.85,326.68,338.52,323.92,327.64,,296.41,302.99,314.22,335.46
2005-05-25 21:41:28.038000,L5,,,335.32,338.13,334.94,331.79,338.45,358.47,331.11,332.74,,302.67,311.74,326.23,340.83
2005-06-10 21:41:36.102000,L5,,,,,,,317.82,337.38,,,,,,,
2005-06-26 21:41:40.412000,L5,,,347.39,342.77,342.51,346.28,345.68,353.53,355.45,351.05,,307.96,329.64,340.27,352.83
2005-07-28 21:41:57.832000,L5,,,340.82,341.45,336.34,334.15,338.41,354.17,332.02,335.34,,305.80,311.79,327.03,342.32
2005-08-13 21:42:05.358000,L5,,,307.78,318.90,307.15,305.99,317.17,335.79,,311.47,,,,,
2005-08-29 21:42:10.705000,L5,331.92,343.76,330.94,333.01,332.33,328.86,334.16,343.32,329.96,334.54,300.48,306.82,311.54,322.44,338.31
2005-11-08 21:48:28.444000,L5,349.93,356.88,378.31,380.83,363.30,354.91,361.53,359.26,381.98,381.89,346.08,354.57,363.70,373.40,381.83
2006-01-20 21:44:01.121000,L5,327.57,335.29,328.86,333.76,332.65,332.00,333.56,342.82,336.98,337.39,313.56,310.92,314.16,329.14,343.25
2006-01-27 21:50:22.231000,L5,338.31,346.79,333.95,334.23,335.86,338.39,346.74,360.52,333.23,333.02,315.28,313.11,317.06,322.23,333.63
2006-02-12 21:50:43.974000,L5,329.73,338.87,335.75,334.27,337.38,332.53,337.67,347.26,330.48,336.89,315.19,311.76,311.12,326.02,344.19
2006-02-21 21:44:44.561000,L5,350.55,354.60,383.89,387.54,374.38,368.21,375.15,371.54,386.54,391.93,337.86,344.21,354.59,360.17,379.28
