dates,satname,nzd0324-0000,nzd0324-0001,nzd0324-0002,nzd0324-0003,nzd0324-0004,nzd0324-0005,nzd0324-0006,nzd0324-0007,nzd0324-0008,nzd0324-0014,nzd0324-0015,nzd0324-0016,nzd0324-0017,nzd0324-0018,nzd0324-0019,nzd0324-0020,nzd0324-0021,nzd0324-0022,nzd0324-0023,nzd0324-0024,nzd0324-0025,nzd0324-0026,nzd0324-0027,nzd0324-0028,nzd0324-0029,nzd0324-0030,nzd0324-0031,nzd0324-0032,nzd0324-0033,nzd0324-0034,nzd0324-0035,nzd0324-0036,nzd0324-0037,nzd0324-0038,nzd0324-0039,nzd0324-0040,nzd0324-0041,nzd0324-0042,nzd0324-0043,nzd0324-0044,nzd0324-0045,nzd0324-0046,nzd0324-0047,nzd0324-0048,nzd0324-0049,nzd0324-0050,nzd0324-0051,nzd0324-0052,nzd0324-0053,nzd0324-0054,nzd0324-0055,nzd0324-0056,nzd0324-0057,nzd0324-0058,nzd0324-0059,nzd0324-0060,nzd0324-0061,nzd0324-0009,nzd0324-0010,nzd0324-0011,nzd0324-0012,nzd0324-0013
1999-08-21 21:47:20.968000,L7,348.20,340.50,285.05,338.81,343.12,348.65,316.63,325.93,332.32,333.84,347.79,352.98,347.72,343.49,342.59,340.67,347.25,359.12,353.31,341.68,357.57,353.36,348.93,347.46,352.83,347.28,347.84,333.54,324.34,319.92,339.91,347.56,375.30,373.02,359.50,340.32,332.99,336.89,317.59,315.98,315.09,339.70,334.32,326.30,322.91,300.34,305.47,284.91,305.16,319.75,301.28,296.25,289.82,299.06,294.50,281.46,91.73,,,,,
1999-09-22 21:47:48.716000,L7,,,350.94,364.84,372.24,363.85,370.24,384.17,344.27,,,,,,386.20,360.67,357.82,361.77,368.56,358.39,358.04,364.56,359.54,345.80,356.00,353.02,352.67,332.25,330.49,330.70,340.53,360.45,378.63,,,,,,368.68,359.60,349.36,336.21,334.28,327.40,327.22,306.79,317.34,298.02,312.62,334.14,313.13,307.10,301.52,314.45,304.14,295.35,292.65,336.32,362.19,365.15,301.06,358.51
1999-09-29 21:53:40.155000,L7,,365.07,356.13,380.56,390.53,,,,,,,,,388.15,348.77,351.08,359.11,385.77,356.68,328.22,334.63,357.65,338.76,334.92,352.93,359.62,357.20,368.63,330.04,350.66,335.22,345.75,363.82,362.71,358.82,340.99,358.33,327.09,274.31,275.86,285.02,285.98,249.13,324.41,316.78,299.58,300.05,282.92,298.79,315.69,296.43,290.35,287.23,292.59,283.72,275.87,272.98,,,,,
1999-11-25 21:47:14.750000,L7,378.83,348.39,289.15,332.26,354.81,313.89,307.30,305.22,322.51,373.98,343.53,382.86,368.83,364.76,353.57,382.50,,,,,,,,,,364.91,324.70,332.58,259.23,303.69,381.35,389.04,375.21,355.89,334.18,305.47,312.04,355.58,302.28,337.49,344.70,356.86,359.22,347.03,338.02,336.22,296.35,277.98,290.52,296.70,295.86,285.97,285.31,278.24,267.05,267.25,181.96,269.98,267.65,,,
2000-01-12 21:47:18.340000,L7,,,337.88,353.28,390.70,,,,,329.49,322.47,373.68,376.17,378.98,387.30,368.18,398.43,375.69,367.40,361.81,396.29,380.79,377.51,349.24,354.55,356.87,345.55,345.38,340.69,349.17,349.96,364.86,377.31,381.45,378.22,367.64,362.30,353.05,355.80,360.88,366.04,358.53,341.62,347.51,337.50,323.73,323.42,312.26,310.99,328.23,318.32,306.25,298.59,307.04,314.19,303.52,288.98,,,,,380.93
2000-01-19 21:53:25.812000,L7,,,,,,324.43,331.02,306.29,293.03,391.86,350.02,348.19,347.89,351.53,336.06,339.51,381.78,377.05,359.09,359.03,361.49,364.90,369.91,359.12,362.39,370.38,365.34,342.27,343.69,342.53,345.73,363.40,395.06,,362.59,351.88,352.93,356.70,329.34,336.04,335.05,322.75,356.51,351.44,346.95,332.42,329.84,316.51,338.26,337.08,332.50,324.52,321.31,325.62,323.12,310.76,305.01,273.25,272.27,390.08,387.91,371.86
2000-04-17 21:46:44.595000,L7,381.57,376.42,358.01,368.24,373.00,370.18,372.87,365.07,337.18,371.91,382.56,388.44,386.82,,401.19,360.77,372.76,378.94,369.89,370.52,367.35,370.16,368.27,358.89,360.49,357.88,362.38,346.47,340.14,349.61,348.51,366.95,378.71,,,366.61,352.97,356.40,357.74,364.80,361.16,346.52,343.92,341.88,330.86,316.35,318.15,304.98,320.92,335.31,318.55,312.23,310.09,315.57,310.33,300.63,294.19,387.19,311.97,380.99,370.74,376.63
2000-05-03 21:46:43.127000,L7,374.61,368.02,284.16,365.60,382.20,395.44,,,,399.55,398.05,392.10,391.98,368.78,364.76,377.96,389.66,379.21,377.48,363.92,358.69,361.68,370.16,348.25,359.44,352.92,367.50,353.16,349.90,351.01,349.98,368.14,390.51,418.26,376.84,308.87,321.73,300.79,271.80,341.84,335.47,324.58,310.91,359.55,340.44,327.07,324.95,305.72,319.21,324.62,317.11,307.78,299.95,305.25,311.78,299.29,273.40,,,,396.54,359.90
2000-05-19 21:46:31.829000,L7,312.83,308.91,,,,,383.77,339.62,308.74,335.16,332.58,374.62,387.56,361.85,364.76,320.63,355.50,325.19,332.15,321.00,330.69,362.46,363.56,342.83,356.13,347.24,327.33,320.52,290.92,341.05,337.20,345.93,366.31,376.95,353.21,346.61,321.88,327.90,328.02,343.01,335.03,319.84,280.57,325.66,318.68,301.56,303.12,285.93,298.46,312.89,306.50,302.62,302.75,294.62,286.74,274.55,260.83,,,,,
2000-05-26 21:52:36.566000,L7,,,,,,,,,,326.84,318.20,330.00,328.37,322.46,332.69,314.58,324.52,322.46,326.44,325.20,332.03,361.98,340.85,342.64,354.37,326.11,307.76,290.38,277.96,300.06,323.55,366.57,390.33,375.57,363.80,328.53,266.81,281.25,250.52,257.61,262.00,265.00,278.71,275.90,321.55,304.31,294.52,281.35,289.83,310.94,296.77,291.97,315.72,286.63,301.73,286.39,258.88,,,,,
