dates,nzd0324-0000,nzd0324-0001,nzd0324-0002,nzd0324-0003,nzd0324-0004,nzd0324-0005,nzd0324-0006,nzd0324-0007,nzd0324-0008,nzd0324-0014,nzd0324-0015,nzd0324-0016,nzd0324-0017,nzd0324-0018,nzd0324-0019,nzd0324-0020,nzd0324-0021,nzd0324-0022,nzd0324-0023,nzd0324-0024,nzd0324-0025,nzd0324-0026,nzd0324-0027,nzd0324-0028,nzd0324-0029,nzd0324-0030,nzd0324-0031,nzd0324-0032,nzd0324-0033,nzd0324-0034,nzd0324-0035,nzd0324-0036,nzd0324-0037,nzd0324-0038,nzd0324-0039,nzd0324-0040,nzd0324-0041,nzd0324-0042,nzd0324-0043,nzd0324-0044,nzd0324-0045,nzd0324-0046,nzd0324-0047,nzd0324-0048,nzd0324-0049,nzd0324-0050,nzd0324-0051,nzd0324-0052,nzd0324-0053,nzd0324-0054,nzd0324-0055,nzd0324-0056,nzd0324-0057,nzd0324-0058,nzd0324-0059,nzd0324-0060,nzd0324-0061,nzd0324-0009,nzd0324-0010,nzd0324-0011,nzd0324-0012,nzd0324-0013,satname
1999-08-21 21:47:20+00:00,,340.5,285.05,338.81,,,316.63,325.93,332.32,333.84,347.79,352.98,347.72,343.49,342.59,340.67,,,353.31,341.68,,,,,,,,,,319.92,,347.56,,,,,332.99,336.89,,,315.09,,,326.3,322.91,300.34,305.47,284.91,305.16,319.75,301.28,296.25,289.82,299.06,294.5,281.46,,,,,,,L7
1999-09-29 21:53:40+00:00,,340.5,285.05,338.81,,,316.63,325.93,332.32,333.84,347.79,352.98,347.72,343.49,345.67999999999995,345.875,,,354.995,334.95000000000005,334.63,,338.76,334.92,,,,,330.04,319.92,335.22,346.655,363.82,362.71,,,332.99,331.99,,,300.05499999999995,285.98,249.13,325.355,319.845,299.96,302.76,283.915,301.975,317.72,298.855,293.3,288.525,295.825,289.11,278.66499999999996,272.98,,,,,,L7
2000-01-19 21:53:25+00:00,,340.5,285.05,338.81,,,316.63,325.93,332.32,333.84,347.79,352.98,347.72,343.49,342.47333333333336,343.75333333333333,,,354.995,334.95000000000005,334.63,,338.76,334.92,,,,,330.04,319.92,335.22,346.655,363.82,362.71,,,332.99,331.99,329.34,336.04,300.05499999999995,304.365,249.13,325.355,319.845,310.78,311.7866666666667,283.915,314.07,324.17333333333335,310.07,303.70666666666665,299.4533333333333,305.75666666666666,300.44666666666666,289.3633333333333,288.995,,,,,,L7
2000-04-17 21:46:44+00:00,,,,,,,,,337.18,,,,,,336.06,350.14,,,,,,,,,,,,,,,,,,,,,,,329.34,336.04,,322.75,,,330.86,324.385,323.995,304.98,329.59000000000003,336.195,325.525,318.375,315.7,320.595,316.725,305.695,299.6,,311.97,,,,L7
2000-05-19 21:46:31+00:00,312.83,308.91,,,,,,339.62,322.96000000000004,335.16,332.58,,,,336.06,340.30333333333334,,325.19,332.15,321.0,330.69,,,,,,327.33,320.52,290.92,,,345.93,,,,,321.88,327.9,328.67999999999995,339.525,,321.29499999999996,280.57,325.66,324.77,316.7766666666667,317.03666666666663,295.45500000000004,319.2133333333333,328.4266666666667,319.18333333333334,313.12333333333333,311.3833333333333,311.93666666666667,306.73,295.31333333333333,286.6766666666667,,311.97,,,,L7
2000-05-26 21:52:36+00:00,312.83,308.91,,,,,,339.62,322.96000000000004,331.0,325.39,330.0,328.37,322.46,334.375,333.8725,324.52,323.825,329.29499999999996,323.1,331.36,,340.85,,,326.11,317.54499999999996,305.45,284.44,300.06,323.55,345.93,,,,328.53,294.345,327.9,328.67999999999995,339.525,262.0,321.29499999999996,279.64,325.66,323.69666666666666,313.66,311.40749999999997,290.75333333333333,311.8675,324.055,313.58,307.83500000000004,312.4675,305.61,305.48,293.0825,279.72749999999996,,311.97,,,,L7
2000-07-13 21:52:07+00:00,319.47,318.85,,,,,,339.62,322.96000000000004,334.96666666666664,334.5733333333333,330.0,334.2,329.11,336.82,335.148,333.07,323.825,333.11999999999995,328.56666666666666,335.0133333333333,347.39,340.85,,,326.11,317.54499999999996,305.45,284.44,300.06,323.55,345.93,,,,328.53,294.345,327.9,324.5333333333333,339.03000000000003,262.0,319.67,288.8633333333333,325.58500000000004,323.5725,310.73400000000004,310.63800000000003,288.33000000000004,310.794,324.88599999999997,312.192,306.416,308.21,304.70799999999997,298.88,293.46999999999997,280.898,,311.97,,,,L7
2000-07-29 21:51:50+00:00,319.47,318.85,282.43,,,,,339.62,322.96000000000004,334.96666666666664,334.5733333333333,330.0,334.2,329.11,337.20000000000005,334.0575,333.07,323.825,333.11999999999995,328.56666666666666,335.0133333333333,347.39,340.85,,,326.11,317.54499999999996,305.45,284.44,300.06,323.55,345.93,,,,328.53,294.345,327.9,322.13,340.525,262.0,324.68,288.8633333333333,325.58500000000004,323.5725,306.66999999999996,305.83750000000003,290.91400000000004,305.78000000000003,322.72200000000004,308.582,302.86,305.89,302.622,296.90200000000004,289.87,281.18199999999996,325.21,320.37,,,,L7
2000-08-07 21:45:32+00:00,319.47,318.85,282.43,,,,,339.62,322.96000000000004,332.34,333.0325,329.48,333.7233333333333,329.56,337.20000000000005,330.818,331.88,324.63,331.46999999999997,329.47249999999997,334.19,346.56,342.905,324.27,,329.775,315.31333333333333,302.6933333333333,276.68666666666667,298.65999999999997,315.03,335.97,,,,328.53,289.7966666666667,308.14,302.16333333333336,340.525,265.64,324.68,285.6675,313.98333333333335,321.46,305.02,302.946,288.835,304.34666666666664,320.885,305.16,300.7716666666667,303.17,301.05833333333334,297.14000000000004,288.53,277.16833333333335,325.21,320.37,,,,L7
2000-08-14 21:51:44+00:00,319.47,318.85,282.43,,,,,339.62,322.96000000000004,332.408,336.46,333.38666666666666,334.82,332.47249999999997,337.24333333333334,330.818,335.8225,332.03999999999996,332.512,329.76,334.752,347.90333333333336,342.905,324.27,,329.775,315.31333333333333,306.74,276.68666666666667,298.65999999999997,315.03,338.96666666666664,367.85,,,328.53,289.7966666666667,308.14,293.25750000000005,340.525,268.46999999999997,324.9625,285.6675,315.78499999999997,321.105,304.2557142857143,303.09833333333336,288.32,304.4557142857143,320.4957142857143,304.20142857142855,299.99285714285713,301.54285714285714,300.46000000000004,296.42285714285714,287.9942857142857,276.0357142857143,325.21,320.37,,,,L7
