dates,satname,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
2000-09-20 22:11:14.930000,L7,375.57,352.64,357.72,,332.47,335.70,344.86,343.74,310.25,329.51,342.13,340.21,344.12,318.76,342.23,328.12,332.62,326.17,336.20,343.93,333.69,334.84,347.08,343.02,343.12,338.78,339.57,350.35,350.59,348.96,341.72,338.32,340.17,341.81,327.01,334.92,334.86,340.21,338.09,355.58,329.21,349.24,350.03,335.63,340.51,341.44,348.15,347.91,340.83,332.60,344.68,333.74,342.72,344.69,342.93,342.76,334.58,328.50,326.68,331.34,334.84,341.29,338.73,338.05,296.05,270.69,288.42,294.14,344.69,352.67,345.49,342.98,333.65,341.08,333.10,320.76,319.18,323.23,319.19,300.99
2000-12-18 22:05:01.704000,L7,,,,333.43,349.22,353.87,361.95,360.57,353.73,354.98,364.54,368.80,388.12,379.41,383.97,368.42,357.57,356.75,366.63,379.93,369.03,367.17,377.42,387.03,383.19,356.70,380.53,386.90,382.29,368.22,,,,,,366.64,375.83,358.27,374.09,379.91,374.37,368.30,375.85,367.31,366.53,,,,,,,,,,,,,363.61,354.86,364.22,380.43,378.20,379.08,375.08,316.19,308.06,311.92,320.75,,,,,377.44,383.53,377.30,364.90,358.54,355.67,364.04,358.46
2001-01-03 22:05:00.181000,L7,,,,325.72,342.91,346.65,354.70,354.47,352.67,348.27,359.83,362.22,359.15,362.03,357.68,347.37,346.29,335.20,344.98,359.50,352.02,342.93,353.94,353.13,357.70,353.71,359.73,364.33,358.28,360.01,361.24,350.71,,387.89,379.23,375.63,387.64,356.96,353.73,357.67,354.36,362.24,362.64,353.73,355.04,358.06,364.74,,,,,,360.74,379.51,373.97,364.66,,,348.16,363.56,386.45,344.06,339.36,339.48,375.46,308.16,310.69,320.86,,,,,344.54,371.76,367.58,356.79,377.61,357.00,365.60,366.33
2001-02-20 22:05:00.525000,L7,360.21,344.65,352.18,318.69,332.96,339.61,346.24,345.76,337.50,338.34,348.66,351.04,346.29,352.07,347.33,339.99,335.68,328.25,336.33,352.25,338.32,335.13,345.15,348.18,351.80,347.96,353.87,358.88,351.41,348.53,345.05,338.11,394.05,343.53,336.91,339.08,344.62,342.29,338.48,346.37,343.88,353.14,349.04,342.07,348.26,349.52,355.24,352.17,356.66,355.37,354.61,348.88,298.18,347.54,353.43,344.66,337.64,332.00,326.92,334.18,337.84,339.80,333.83,333.12,308.24,289.45,303.81,312.02,298.07,300.89,297.47,303.30,336.39,338.03,323.91,320.89,319.03,317.18,320.59,302.46
2001-02-27 22:11:06.137000,L7,,357.65,369.51,326.78,343.90,346.39,356.99,357.53,351.31,348.85,359.16,360.96,356.59,361.44,359.89,348.97,348.31,338.45,349.30,364.25,356.33,351.38,362.15,361.20,363.92,357.01,365.24,370.45,367.25,359.63,358.38,391.64,,,,,,,,,,,,,,,,367.16,369.98,357.72,365.98,360.62,353.73,355.92,361.41,353.07,351.63,340.45,336.11,347.50,347.74,349.42,343.01,347.93,332.00,308.29,311.41,317.64,356.09,362.16,,356.03,348.93,386.94,,,,,,
2001-04-16 22:10:54.636000,L7,,,375.97,335.04,348.57,348.09,358.13,361.74,354.21,349.44,360.12,365.55,359.44,363.39,364.41,356.20,350.17,344.94,358.67,383.49,373.87,367.52,383.83,367.02,373.97,366.58,370.59,375.61,367.15,363.30,354.78,360.62,,,,,,,,,361.13,374.35,372.32,364.11,361.42,363.83,366.44,367.92,382.68,390.42,,,367.47,361.52,360.57,358.27,349.70,,,,,379.94,378.47,376.39,333.55,315.30,316.00,320.52,389.27,391.42,359.55,369.73,377.77,,373.22,332.88,333.99,327.72,331.64,324.74
2001-06-19 22:10:17.246000,L7,,,,328.07,360.79,349.29,355.69,364.55,352.29,351.38,360.54,370.72,362.51,363.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.91,361.32,385.41,375.65,390.30,323.38,,,,,376.71,359.98,361.94,376.41,358.06,350.77,364.81,370.81
2001-07-14 22:03:57.537000,L7,,358.99,364.69,,,348.21,344.11,344.96,289.46,299.63,356.08,361.48,357.60,363.60,360.58,346.62,345.00,335.46,353.23,356.15,354.03,342.63,358.21,362.05,364.96,355.35,370.75,,,,,,,355.32,359.49,357.27,358.51,362.22,357.62,368.00,354.13,362.99,351.24,356.16,351.13,353.88,364.08,360.09,365.92,365.28,360.03,346.02,345.92,363.94,361.06,355.65,381.41,366.19,346.76,343.38,356.55,354.76,343.49,368.57,293.35,274.75,283.35,305.17,365.20,369.41,352.08,355.58,353.89,358.25,341.10,333.24,333.09,333.83,340.07,297.04
2001-08-15 22:03:26.328000,L7,,,,327.88,352.48,349.45,359.86,361.03,352.57,350.13,361.94,367.03,359.38,362.42,359.47,354.34,351.41,345.25,388.52,394.02,385.65,353.46,365.21,360.76,375.72,371.91,376.85,385.95,375.51,360.73,362.15,370.43,,,,,,,,,,,,379.93,369.25,365.41,375.14,366.56,372.47,374.09,373.74,,,,,,382.84,384.18,371.57,348.08,352.31,352.66,358.74,379.74,341.26,310.86,311.15,317.86,,,,,378.09,377.37,345.43,346.17,336.41,334.54,334.12,321.15
2001-11-26 22:09:21.320000,L7,,,,340.07,351.81,350.42,359.43,360.60,352.92,351.25,361.55,363.10,360.43,362.58,361.70,349.20,346.22,335.97,349.59,365.52,353.77,344.48,354.05,354.10,360.75,360.20,361.23,367.16,365.22,360.15,352.59,386.30,,356.36,350.20,352.05,357.68,357.95,375.96,381.78,,,,,,,,,,,,,,,,,361.55,338.69,379.16,349.36,,,376.04,376.73,373.25,381.67,388.72,320.99,,,,,376.43,375.69,373.60,366.09,355.92,355.76,354.93,347.46
2001-12-12 22:09:26.650000,L7,379.08,352.14,358.41,319.11,333.80,337.41,345.18,344.52,339.44,338.63,347.29,349.88,345.79,348.53,347.35,336.03,334.70,325.32,338.77,356.34,343.82,335.92,346.60,344.70,349.77,346.33,355.75,355.42,352.01,348.00,343.89,341.54,385.33,344.74,338.10,338.93,342.98,344.21,339.59,346.85,344.18,353.11,348.11,341.42,341.50,341.71,351.41,346.68,350.24,347.50,355.38,353.76,333.17,343.96,345.50,330.32,328.96,325.67,314.23,324.23,339.26,339.67,336.71,344.98,328.15,297.91,303.40,308.30,352.12,339.92,,339.29,336.57,342.30,341.72,,,,,
2002-02-23 22:03:31.354000,L7,,,,334.15,357.09,368.93,,,386.37,347.42,358.87,370.45,363.73,373.66,327.60,293.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.24,332.05,292.81,316.42,314.12,,,,,343.83,345.85,343.09,335.43,326.08,317.03,315.54,303.34
2002-03-11 22:03:31.366000,L7,,,,338.66,359.40,354.34,361.63,365.62,356.86,356.19,361.20,368.21,360.70,363.06,362.27,354.68,352.65,345.01,359.02,370.21,360.38,352.85,365.20,359.53,365.71,364.55,366.84,376.39,371.18,370.96,,,,366.47,358.42,359.95,369.11,364.98,362.38,364.85,361.81,374.52,370.43,358.86,364.15,366.41,376.83,371.80,375.18,369.19,370.02,364.41,358.06,364.40,364.72,358.06,347.49,340.77,335.16,339.50,347.16,352.09,349.03,348.74,379.93,321.94,319.98,327.43,362.93,358.62,342.68,353.19,346.46,350.35,343.05,333.66,327.19,318.25,318.75,308.73
2002-04-12 22:03:25.302000,L7,,,,382.63,378.20,357.13,369.72,,,,,,373.61,388.10,364.15,357.68,362.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.43,366.22,364.40,360.68,354.00,339.74,335.79,338.86,349.88,348.34,348.69,348.40,359.44,369.10,371.21,368.67,386.73,388.38,370.17,357.85,348.62,349.62,348.54,341.27,329.18,321.23,320.61,314.16
2002-05-05 22:09:37.985000,L7,301.53,326.25,340.27,,306.06,337.90,343.73,319.79,281.07,330.92,344.91,348.01,346.82,343.44,338.71,324.56,323.79,314.22,334.85,338.90,330.08,334.62,341.59,342.18,350.06,341.37,343.41,350.41,343.27,333.53,334.33,333.65,,310.00,335.03,327.40,332.02,338.96,334.14,333.68,317.17,346.45,346.42,316.46,346.91,339.18,327.45,339.02,341.16,329.44,314.19,346.80,264.05,317.62,316.92,325.62,326.82,325.25,309.24,316.99,338.56,336.40,336.31,332.93,,,,,335.78,340.22,305.49,266.74,337.52,338.44,341.91,330.27,322.40,284.37,,
