dates,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
2001-04-16 22:10:54+00:00,321.8,,349.92,304.565,240.1,265.1,275.35,237.95,,338.03333333333336,339.94000000000005,341.8500000000001,310.6366666666667,328.11333333333334,345.78666666666663,339.03666666666663,346.01666666666665,343.5466666666666,343.775,332.765,,,,344.98,,328.31,198.19,184.23,213.21,203.51,346.62,342.14,,344.57,336.41,334.365,336.58,341.655,285.98,288.81,311.89,331.995,242.96,310.06,304.4,253.9,284.76,336.19,,,,,,,,248.07,,258.21,251.22,250.45,,,,275.56,277.86,242.16,,316.21,,301.08,320.38,323.46,328.28,,315.01,318.15,315.94,314.83,316.33,
2001-06-19 22:10:17+00:00,321.8,,349.92,304.565,240.1,265.1,276.90333333333336,225.95333333333335,342.32,330.79,339.94000000000005,341.8500000000001,310.6366666666667,317.6325,347.68,342.5525,348.15999999999997,344.86249999999995,343.775,332.765,,,,344.98,,328.31,198.19,184.23,213.21,203.51,346.62,342.14,,344.57,336.41,334.365,336.58,341.655,285.98,288.81,311.89,331.995,242.96,310.06,304.4,253.9,284.76,336.19,,,,323.32,,,,248.07,,258.21,251.22,250.45,,,,275.56,277.86,242.16,,316.21,,301.08,320.38,323.46,328.28,,315.01,318.15,315.94,320.82,322.16499999999996,318.75
2001-07-14 22:03:57+00:00,321.8,,349.92,305.245,246.85,272.01,284.19666666666666,205.21,342.32,332.63,345.64,347.13000000000005,297.0450000000001,307.455,351.165,347.645,352.195,346.02666666666664,346.48,336.03,,,,344.53,,,198.19,184.23,213.21,203.51,346.62,342.14,,344.57,336.41,334.58,336.58,346.04,,300.61,,334.74,242.96,,,253.9,284.76,336.19,,,,323.32,,,,,,,,,,,,,,,,,,,,,,,315.01,318.15,315.94,320.82,322.16499999999996,312.73
2001-08-15 22:03:26+00:00,321.8,,349.92,290.8533333333333,252.65499999999997,270.7366666666667,282.695,205.46,342.32,335.71999999999997,344.65000000000003,341.08666666666664,293.08,304.964,351.95200000000006,347.645,352.195,346.02666666666664,346.48,310.42499999999995,280.35,,,329.475,188.2,,199.485,192.055,208.5,202.685,346.62,327.14,,338.28499999999997,325.35,327.61,328.09000000000003,313.98,275.28,282.54,284.57,332.965,242.96,327.18,296.8,253.9,284.76,325.825,,334.37,,320.875,312.76,315.78,312.28,,,,,,,322.82,,,,,,,,,,,,,308.145,313.0,315.27,320.82,322.3666666666666,313.16
2002-04-12 22:03:25+00:00,,,333.0,,225.97,252.24,276.04,201.61,334.29,,,310.49,279.49,,,345.66,,349.23,,,,,,,,,,,,,,,,,,,326.89,291.42,,,,324.6,,,,,,,,,,,,,,,,,,,,,,,,,321.69,322.73,,338.37,336.86,336.33,336.87,340.57,332.92,327.97,316.23,307.48,,300.83
2002-05-05 22:09:37+00:00,,,333.0,,225.97,252.24,276.04,201.61,334.29,331.54,320.06,301.57500000000005,276.125,257.16,311.26,345.66,,349.23,,,,,,,185.8,,204.44,203.94,217.46,204.34,,,,295.74,289.86,,326.89,268.195,254.03,259.93,281.58,302.19500000000005,266.42,290.58,293.72,288.03,297.44,,,,,,316.35,306.01,300.47,,292.05,271.94,254.46,261.05,265.34,309.88,311.99,308.89,,291.93,304.635,310.1,,336.22,336.86,334.355,336.87,340.57,332.92,327.97,319.885,307.48,,300.83
2002-05-14 22:03:19+00:00,,,333.0,310.77,243.08499999999998,268.93,292.355,209.25,334.29,331.54,320.06,301.57500000000005,298.06333333333333,257.16,311.26,345.66,,349.23,,,,,,,185.8,,204.44,203.94,217.46,204.34,,,,295.74,289.86,,326.89,268.195,254.03,259.93,281.58,302.19500000000005,266.42,290.58,293.72,288.03,297.44,,,,,,316.35,306.01,300.47,,292.05,271.94,254.46,261.05,265.34,309.88,311.99,308.89,,291.93,304.635,310.1,,336.22,336.86,334.355,336.87,340.57,332.92,327.97,319.885,314.25,319.02,306.725
2002-06-15 22:03:07+00:00,,,333.0,310.77,241.48666666666668,264.20666666666665,295.8766666666667,204.51,334.29,331.54,320.06,301.57500000000005,298.06333333333333,257.16,311.26,345.66,,349.23,,,,,,,185.8,,204.44,203.94,217.46,204.34,,,,295.74,289.86,,326.89,268.195,254.03,259.93,281.58,302.19500000000005,266.42,290.58,293.72,288.03,297.44,,,,,,316.35,306.01,300.47,,292.05,271.94,254.46,261.05,265.34,309.88,311.99,308.89,,291.93,304.635,310.1,,336.22,336.86,334.355,336.87,340.57,332.92,327.97,319.885,319.54,319.905,311.53
2002-08-09 22:08:57+00:00,,,333.0,310.77,249.41,272.33,299.41,204.51,334.29,331.54,320.06,301.57500000000005,301.485,257.16,311.26,345.66,,349.23,,,,,,,185.8,,204.44,203.94,217.46,204.34,,,,295.74,289.86,,326.89,268.195,254.03,259.93,281.58,302.19500000000005,266.42,290.58,293.72,288.03,297.44,,,,,,316.35,306.01,300.47,,292.05,271.94,254.46,261.05,265.34,309.88,311.99,308.89,,291.93,304.635,310.1,,336.22,336.86,334.355,336.87,340.57,332.92,327.97,322.34,319.9075,318.39000000000004,311.53
2002-11-29 22:09:01+00:00,,,,,255.735,291.40333333333336,306.46500000000003,195.03,,,,,311.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.25,325.56500000000005,318.07500000000005,321.14
2003-08-13 21:51:32+00:00,,,,310.67,313.74,331.45,332.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.86,,,,,,,,,,,,,,,,,,,,,,,363.7,346.83
2003-08-29 21:51:49+00:00,,,,313.78499999999997,312.65999999999997,330.84000000000003,330.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.86,,,,,,,,,,,,,,,,,,,,,,,359.96500000000003,343.51
2003-10-07 21:58:35+00:00,,,,317.52,313.2266666666667,330.3833333333334,332.7733333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.86,,,,,,,,,,,,,,,,,,,,362.79,356.9,358.03,359.8733333333333,343.51
2004-05-18 22:01:26+00:00,,,,,,,,,310.37,308.6,310.37,290.36,284.61,282.72,275.09,,,,,281.01,306.76,,,339.09,,334.47,,,165.64,,333.72,339.07,336.46,,323.92,,,280.78,262.75,272.51,286.83,281.71,261.31,289.88,292.12,308.94,325.7,315.03,332.51,335.09,330.6,321.45,332.59,325.33,324.41,296.98,329.21,,,294.6,292.26,333.23,,327.65,321.27,323.95,,,,,,336.25,340.1,332.93,331.73,,,323.41,325.58,299.22
2004-06-12 21:55:59+00:00,,,,,,,,,310.37,308.6,299.01,309.665,284.19,281.45000000000005,277.12,,,,,281.01,306.76,260.49,,336.92999999999995,,336.23,,,177.32,,332.235,332.395,334.315,276.02,332.44500000000005,326.98,307.09,262.21,248.10500000000002,282.225,299.005,278.76,277.3,299.53499999999997,299.895,314.11,321.62,310.255,325.885,329.41499999999996,326.83500000000004,321.135,335.505,328.205,320.475,315.33500000000004,331.275,336.36,325.02,310.11,305.525,333.23,324.13,325.09,322.03999999999996,318.97,,315.43,,333.9,326.73,336.25,340.1,336.99,339.1,,,323.41,325.58,299.22
2004-10-18 21:59:11+00:00,,,,335.96,333.45,337.78,338.89,,310.37,308.6,299.01,309.665,284.19,281.45000000000005,277.12,,,,,281.01,306.76,260.49,,336.92999999999995,,336.23,,,177.32,,332.235,332.395,334.315,276.02,332.44500000000005,326.98,307.09,262.21,248.10500000000002,282.225,299.005,278.76,277.3,299.53499999999997,299.895,314.11,321.62,310.255,325.885,329.41499999999996,326.83500000000004,321.135,335.505,328.205,320.475,315.33500000000004,331.275,336.36,325.02,310.11,305.525,333.23,324.13,325.09,322.03999999999996,318.97,,315.43,,333.9,326.73,336.25,340.1,336.99,339.1,,,323.41,325.58,299.22
2005-05-14 22:01:54+00:00,292.66,,,,,,,217.85,331.65,335.01,,330.54,291.47,,,325.21,327.82,342.17,343.95,309.1,331.72,,,,,,,,,,,,,,,,,,,291.01,306.01,292.99,288.63,311.21,312.45,,,,,,,,285.76,297.87,292.34,304.07,315.55,,319.66,307.83,314.92,329.88,,,,302.82,,,,,,,,318.04,,,,,,
2005-06-15 22:02:10+00:00,292.66,,,334.19,,,,217.85,331.65,335.01,,330.54,291.47,,,325.21,327.82,342.17,343.95,309.1,331.72,,,,,,,,,,,,,,,,,,,291.01,306.01,292.99,288.63,311.21,312.45,,,,,,,,285.76,297.87,292.34,304.07,315.55,,319.66,307.83,314.92,329.88,,,,302.82,,,,,,,,318.04,,,,,,
2005-08-25 22:08:52+00:00,292.66,,,331.01,,349.4,,217.85,331.65,335.01,,330.54,291.47,,,325.21,327.82,342.17,343.95,309.1,331.72,,,,,,,,,,,,,,,,,,,291.01,306.01,292.99,288.63,311.21,312.45,,,,,,,,285.76,297.87,292.34,304.07,315.55,,319.66,307.83,314.92,329.88,,,,302.82,,,,,,,,318.04,,,,,,
2006-04-15 22:06:18+00:00,,,,325.46,342.69,346.57,344.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-02 22:07:00+00:00,,,,325.46,342.69,346.57,344.48,,,,287.15,316.53,272.65,275.58,269.9,253.52,,250.99,,239.28,,227.28,225.37,,194.94,,195.3,186.11,179.89,166.0,,,303.51,306.44,318.62,,,,264.27,264.12,288.66,276.49,274.6,287.69,299.76,326.2,308.97,289.02,298.78,316.85,316.56,318.82,322.92,319.47,311.09,325.9,329.01,324.66,320.86,272.34,289.87,,,332.13,325.22,322.98,280.04,285.11,289.63,323.93,329.73,330.36,331.0,326.9,330.88,328.46,331.74,331.4,335.3,311.38
2006-06-25 22:13:31+00:00,,,,325.46,342.69,346.57,344.48,,348.8,359.25,287.15,328.93499999999995,283.16499999999996,284.72,269.9,265.37,320.9,269.69,,251.995,278.45,242.495,243.8,327.5,194.94,,195.3,186.11,179.89,166.0,352.42,,303.51,306.44,318.62,347.48,,,264.27,264.12,308.395,285.48,279.395,295.16499999999996,305.87,326.2,317.82000000000005,312.04499999999996,315.245,323.42,324.095,322.71500000000003,334.08500000000004,328.59000000000003,322.16499999999996,330.75,329.01,331.185,293.36,274.61,289.105,,,332.13,325.22,322.98,290.04,293.93,302.04499999999996,323.93,329.73,330.36,331.0,330.15,333.9,334.99,335.945,335.125,337.34000000000003,314.255
