dates,satname,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0045,nzd0190-0046,nzd0190-0047,nzd0190-0048,nzd0190-0049,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0063,nzd0190-0064,nzd0190-0065,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0073,nzd0190-0074,nzd0190-0076,nzd0190-0077,nzd0190-0078,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0084,nzd0190-0085,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0089,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110,nzd0190-0075
2001-06-21 21:55:29.297000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.81,300.82,304.25,299.19,273.69,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-08 21:55:01.113000,L7,405.76,365.44,338.74,340.32,388.89,323.58,360.56,361.73,370.71,400.70,388.85,,,,330.23,332.49,321.22,332.90,325.05,336.81,343.39,372.97,373.31,359.08,411.93,432.77,445.94,467.15,512.27,481.42,521.57,549.42,519.52,507.61,497.18,480.10,453.87,491.49,444.10,551.08,489.53,390.97,472.26,516.71,518.01,518.24,556.38,532.19,,,,,,,,,,,,527.37,520.00,521.10,551.22,521.91,514.43,528.00,497.46,526.19,517.97,511.30,505.21,506.04,466.81,461.65,504.63,446.57,424.02,404.84,397.04,366.77,355.17,328.07,319.35,308.61,262.62,285.38,276.97,273.38,310.89,290.29,310.20,311.20,311.35,317.94,327.09,283.18,282.76,271.77,278.17,260.99,265.46,283.88,308.27,294.25,296.62,300.19,,,,,466.67
2001-09-09 21:54:36.880000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,469.34,497.59,527.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.71,549.32,528.08,538.03,511.97,,450.77,417.05,412.51,395.19,400.43,,,,,,,,,333.73,349.65,324.59,330.94,,,,,,,,,,,,,,,,,,
2001-09-25 21:54:28.694000,L7,359.19,359.66,429.25,341.19,448.77,413.22,419.43,445.57,464.65,484.12,383.53,434.53,420.78,433.71,414.24,392.03,371.92,374.78,375.82,434.77,412.07,426.89,434.30,321.98,,377.41,407.68,472.12,538.26,528.70,479.74,433.68,399.99,281.46,264.97,473.03,459.63,515.82,541.75,540.34,502.21,,385.09,385.58,405.11,294.53,183.66,414.04,230.07,274.98,336.41,298.07,316.16,445.42,538.34,,,405.37,363.53,368.36,486.08,464.05,478.87,397.68,,,379.14,390.74,300.93,308.43,344.19,319.11,275.40,359.25,,414.66,417.98,384.66,354.04,339.69,330.12,350.87,357.52,324.17,295.17,252.20,432.20,322.93,341.23,337.56,367.84,372.57,255.97,474.13,389.87,280.61,258.61,292.58,284.79,203.28,455.49,467.63,252.19,473.11,487.65,506.96,521.83,472.91,437.03,,399.66
2001-12-21 22:00:53.965000,L7,,,,,,,,,,,,358.77,405.89,247.26,361.07,261.02,198.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.23,499.30,438.82,401.82,448.87,460.17,476.82,477.19,541.13,479.44,522.33,520.07,,,,,,363.11,357.54,341.47,330.74,323.34,,,,,,,231.37,298.88,212.01,326.95,,,,,,,,533.65,525.67,482.06,497.96,,,,,,
2002-01-06 22:00:55.947000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.86,535.16,491.24,485.33,519.51,485.53,479.24,505.82,496.14,356.57,417.81,400.88,367.71,371.77,340.71,324.99,307.39,300.38,288.36,253.29,328.47,338.81,259.58,247.86,231.70,234.58,226.40,329.56,314.88,303.69,,,238.83,205.12,232.87,220.46,263.14,415.29,400.91,414.58,418.46,252.00,425.77,479.63
2002-01-22 22:01:04.880000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.20,472.79,497.32,,,,,,,,,,,,,,,,,,,,,,,,,,551.98,533.63,543.53,519.74,536.96,516.23,503.00,486.91,463.76,443.48,418.93,343.85,365.51,352.99,343.43,333.79,309.31,284.94,278.96,292.82,296.93,293.01,223.65,199.15,223.04,224.75,200.26,,,,,,248.90,224.66,200.69,191.08,188.13,196.31,,,,,,472.02
2002-01-31 21:54:50.570000,L7,,,,,,,,,,,,,,,376.49,359.07,350.38,346.59,355.58,340.82,349.41,305.63,355.41,376.26,366.39,362.54,382.03,392.93,413.30,445.00,473.71,502.45,558.54,443.06,529.36,442.56,429.23,441.42,414.36,380.62,335.29,385.35,420.92,472.16,,,,,,,,,,,,,,,,,,,,,,,,,472.40,396.34,388.78,385.12,525.51,472.69,465.28,430.53,436.61,433.31,386.36,,,,,,,,,,,,,,,,,,,,,,,,,,,357.82,335.78,,214.31,447.50,537.61
2002-02-16 21:54:54.191000,L7,,250.11,312.02,259.00,232.13,,,,,,,,,383.57,382.79,329.60,356.15,379.07,364.37,366.53,380.62,383.17,370.05,371.52,370.70,433.57,384.81,422.10,495.16,461.42,479.11,488.81,383.64,410.22,244.49,319.06,320.56,317.24,362.77,347.30,308.48,350.99,381.19,357.69,364.29,392.61,514.78,,,,,,,,,,,,,,,551.30,495.12,469.95,484.29,496.78,493.18,538.65,480.94,465.99,277.10,330.55,282.92,291.96,250.40,321.66,318.71,300.62,285.80,294.46,289.79,278.84,273.59,266.18,266.24,249.65,241.32,216.82,214.80,249.67,264.05,272.79,224.01,260.39,270.44,220.06,333.95,274.26,299.26,276.45,257.88,353.19,343.98,380.71,339.79,450.18,370.71,319.29,439.42,458.89,320.49
2002-02-23 22:01:07.592000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.78,474.50,466.74,468.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-11 22:01:07.753000,L7,,,,,,335.14,190.00,246.75,180.46,199.87,,,,,,,,,,,,,,,,,,,,,,530.15,461.01,476.89,458.23,518.94,,,,381.15,399.96,422.95,414.72,505.74,,,,,,,,,,,,,,,543.35,543.00,521.41,,,,,,432.47,423.64,406.90,350.21,297.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.36,452.44,455.22,384.89,,,,,,,,
2002-08-27 21:54:00.253000,L7,400.30,329.26,480.81,485.96,480.87,448.18,326.11,388.35,400.94,396.78,389.89,373.90,402.56,277.50,286.75,282.26,279.34,292.51,301.77,457.68,442.86,442.89,450.72,450.16,439.25,259.65,251.96,242.83,308.23,342.99,328.29,387.20,403.33,457.63,345.81,513.74,500.49,466.63,338.06,329.86,395.11,411.14,466.06,460.79,499.39,537.33,550.06,555.86,525.60,537.88,533.61,544.65,544.96,,,,,,543.91,527.39,526.29,513.78,502.21,493.71,492.89,475.01,460.87,533.51,508.91,443.10,438.13,437.58,436.06,452.19,461.29,467.66,394.20,392.10,544.82,537.61,525.46,508.36,477.40,436.08,524.31,263.72,249.28,240.85,240.87,244.74,248.81,268.07,291.06,368.30,396.02,516.04,343.52,224.42,218.39,240.93,224.61,219.43,195.81,224.41,242.14,237.23,247.68,266.29,295.96,348.83,469.95
2002-10-05 21:59:55.463000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.59,484.84,506.28,528.79,503.55,,,,,,,,550.09,533.99,525.66,511.95,503.50,493.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-14 21:53:43.769000,L7,,,,,,,,,,,,435.03,422.71,410.98,,,,,,,,481.69,503.24,496.55,481.26,484.68,447.32,435.27,444.68,446.49,489.66,512.74,515.93,536.35,542.29,538.91,529.47,512.37,499.03,526.25,528.65,476.87,512.07,,,,,,,,,,,,,,,,,,,,,,,,,535.11,536.77,527.74,537.21,540.32,525.33,525.31,416.11,521.16,412.29,510.39,463.47,481.90,365.47,374.34,452.88,446.66,417.11,388.16,395.43,334.19,290.90,276.79,257.95,259.37,364.95,441.90,,,507.29,399.07,435.06,485.92,483.22,496.38,510.11,322.75,379.16,402.25,546.29,537.86,458.97,249.83,513.00
2003-01-18 21:54:30.278000,L7,327.78,362.98,396.64,416.44,281.75,251.50,236.94,228.61,218.94,322.53,337.67,373.32,329.92,373.50,303.46,287.55,271.78,261.70,410.37,364.72,451.05,381.19,398.50,324.21,361.41,303.55,368.64,340.42,322.29,327.25,298.78,341.05,427.49,418.36,464.69,450.59,526.17,442.14,480.89,383.67,440.64,512.06,473.88,481.33,449.19,425.36,450.33,463.99,467.90,475.75,505.01,,523.76,526.91,527.36,538.01,527.27,525.25,502.39,495.80,486.97,525.47,522.78,522.98,512.34,502.36,520.29,478.88,458.45,439.41,517.63,415.39,526.85,378.70,503.20,411.78,503.02,466.02,327.89,334.87,346.16,327.62,329.23,326.03,307.97,306.48,289.05,217.97,206.77,186.06,206.10,208.97,211.99,362.01,261.36,239.08,227.70,314.47,365.38,333.24,335.11,343.89,362.42,353.64,365.83,306.03,235.00,241.93,509.55,470.91,490.81
2003-01-25 22:00:42.755000,L7,249.77,354.24,382.27,347.52,444.16,519.47,461.97,531.04,241.02,187.99,320.42,388.94,338.32,355.60,384.67,361.84,358.15,361.28,372.35,364.49,408.46,393.44,386.77,376.65,381.93,,520.22,492.56,519.71,501.53,494.21,514.09,525.18,520.22,512.38,487.46,497.82,493.25,473.54,454.33,457.45,482.47,500.83,365.15,299.35,212.68,293.55,313.99,338.68,322.81,342.32,384.37,428.08,327.49,298.24,433.48,318.59,411.21,,380.49,414.83,,288.90,269.38,299.81,537.31,504.95,484.08,442.25,381.06,546.12,532.32,531.60,509.45,506.55,533.91,535.49,379.27,495.37,420.13,504.54,508.99,504.22,455.15,422.90,413.39,433.62,422.59,369.65,203.55,412.30,336.17,327.79,297.09,298.19,549.06,378.88,401.86,410.14,350.73,286.96,323.17,302.06,329.82,324.74,316.05,340.43,386.56,327.57,332.98,487.62
2003-10-25 21:44:04.226000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.31,464.48,
2004-02-14 21:44:57.678000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.01,456.47,
2004-03-01 21:45:02.553000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.08,228.69,
2004-08-24 21:49:18.016000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.47,
2005-01-15 21:52:09.437000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.35,203.73,463.58,
2005-02-23 21:58:55.594000,L5,165.40,195.54,220.60,249.57,314.15,283.45,273.98,202.16,,,,,,,,,,,,,,,,,,,388.82,395.56,407.40,409.10,418.37,350.34,368.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-15 21:54:26.309000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.46,454.07,
2006-02-03 21:56:19.035000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.67,
2006-04-08 21:57:36.601000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.44,215.64,444.60,
2009-11-26 21:56:28.873000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.73,
2010-01-13 21:56:49.389000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.40,449.16,
2010-01-29 21:56:53.427000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.47,445.82,
2010-12-22 22:02:05.586000,L5,,198.18,245.18,244.34,357.80,315.59,321.00,346.60,362.75,353.95,404.90,244.60,263.63,221.80,207.16,248.53,254.72,262.69,385.42,401.53,239.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-07 22:02:08.379000,L5,,199.80,227.66,247.12,345.60,300.81,290.44,227.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-17 21:56:00.979000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.99,
2011-03-12 22:02:07.527000,L5,,198.92,221.30,238.84,300.13,302.61,225.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-13 22:07:59.284000,L8,,,,,,,,463.75,460.53,470.37,,,,,,,,427.01,419.76,416.03,404.49,386.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.13,410.84,419.72,427.27,424.58,430.01,435.12,424.48,,386.25,389.54,356.68,397.93,415.40,408.52,,,,,,,,,,,,,,,391.47,411.33,431.17,443.22,457.76,,,,,357.15,379.28,383.98,353.37,,,,,,,,460.99,419.66
2013-05-20 22:14:14.522000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.19,508.55,519.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05 22:14:15.215000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.25,471.52,456.96,,,,,,,,,,,,,,,,,,,,,,,,,320.55,315.64,308.22,289.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-17 22:08:03.120000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.62,403.95,395.46,403.50,,,,,,,,
2013-11-05 22:07:46.855000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.26,376.08,367.39,367.02,,,,,,,,,,,,,,,417.23,395.80,370.44,367.04,379.77,353.90,,359.00,346.21,328.86,327.63,339.54,,,,,,,,,,,,355.03,339.57,351.97,349.17,336.98,,,322.65,313.44,302.01,,,,,,,,,,,,,,,,187.08,469.88,
2013-11-21 22:07:37.752000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.28,434.26,435.10,422.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.03,471.48,
2014-02-16 22:13:02.774000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.52,331.18,296.70,335.68,331.63,317.14,326.28,314.49,301.99,262.25,310.14,,289.02,261.43,284.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.73
