dates,nzd0468-0000,nzd0468-0007,nzd0468-0008,nzd0468-0009,nzd0468-0010,nzd0468-0011,nzd0468-0012,nzd0468-0013,nzd0468-0014,nzd0468-0015,nzd0468-0016,nzd0468-0017,nzd0468-0018,nzd0468-0019,nzd0468-0020,nzd0468-0021,nzd0468-0022,nzd0468-0023,nzd0468-0024,nzd0468-0025,nzd0468-0026,nzd0468-0027,nzd0468-0028,nzd0468-0029,nzd0468-0030,nzd0468-0031,nzd0468-0032,nzd0468-0033,nzd0468-0034,nzd0468-0035,nzd0468-0036,nzd0468-0037,nzd0468-0038,nzd0468-0039,nzd0468-0040,nzd0468-0041,nzd0468-0042,nzd0468-0043,nzd0468-0044,nzd0468-0045,nzd0468-0046,nzd0468-0047,nzd0468-0048,nzd0468-0049,nzd0468-0050,nzd0468-0051,nzd0468-0052,nzd0468-0053,nzd0468-0054,nzd0468-0055,nzd0468-0056,nzd0468-0057,nzd0468-0058,nzd0468-0059,nzd0468-0060,nzd0468-0061,nzd0468-0073,nzd0468-0074,nzd0468-0075,nzd0468-0076,nzd0468-0077,nzd0468-0078,nzd0468-0079,nzd0468-0080,nzd0468-0081,nzd0468-0082,nzd0468-0083,nzd0468-0084,nzd0468-0085,nzd0468-0086,nzd0468-0087,nzd0468-0088,nzd0468-0089,nzd0468-0090,nzd0468-0091,nzd0468-0092,nzd0468-0093,nzd0468-0094,nzd0468-0095,nzd0468-0096,nzd0468-0097,nzd0468-0098,nzd0468-0099,nzd0468-0100,nzd0468-0101,nzd0468-0102,nzd0468-0103,nzd0468-0104,nzd0468-0105,nzd0468-0106,nzd0468-0107,nzd0468-0108,nzd0468-0109,nzd0468-0110,nzd0468-0111,nzd0468-0112,nzd0468-0113,nzd0468-0114,nzd0468-0115,nzd0468-0116,nzd0468-0117,nzd0468-0118,nzd0468-0119,nzd0468-0120,nzd0468-0121,nzd0468-0122,nzd0468-0123,nzd0468-0124,nzd0468-0125,nzd0468-0126,nzd0468-0127,nzd0468-0128,nzd0468-0129,nzd0468-0130,nzd0468-0131,nzd0468-0132,nzd0468-0062,nzd0468-0063,nzd0468-0064,nzd0468-0065,nzd0468-0066,nzd0468-0067,nzd0468-0068,nzd0468-0069,nzd0468-0070,nzd0468-0071,nzd0468-0072,nzd0468-0006,nzd0468-0002,nzd0468-0003,nzd0468-0004,nzd0468-0005,nzd0468-0001,satname
1999-10-13 22:07:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.82,292.51,283.02,280.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-06-25 22:05:55+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.36,,,286.7,288.14,264.87,288.13,279.64,288.44,268.24,,,,,,280.39,266.95,279.35,276.02,258.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-12 22:05:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.36,,,283.875,284.25,266.365,282.655,275.235,279.755,268.83000000000004,,,,,,278.49,271.455,268.78,272.845,261.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-10-02 22:02:28+00:00,,314.05,312.14,313.79,314.1,313.44,316.37,313.93,311.64,315.35,319.25,315.37,316.39,316.62,321.14,319.77,323.37,316.87,319.22,313.59,309.69,316.32,311.27,321.15,323.97,324.16,323.58,326.11,329.2,314.73,304.9,317.52,299.64,310.17,312.08,321.77,319.51,322.89,325.48,324.6,323.58,332.33,335.27,327.29,320.71,315.87,317.32,318.66,317.96,326.06,324.51,329.21,335.2,333.36,328.26,324.12,320.74,333.06,343.04,334.48,,335.74,335.38,335.52,,,,,,,,,,327.41,,,,,,,,,,,,315.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.38,325.47,319.99,313.0,315.37,316.61,323.08,326.36,323.47,328.57,327.43,,,,,,,L7
2002-05-14 22:02:55+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.93,302.3,302.35,317.72,319.39,325.7,325.68,326.06,327.2,315.83,,312.36,296.33,288.24,304.63,309.79,308.92,309.84,320.36,324.33,322.52,324.49,332.36,333.4,333.39,327.58,329.21,322.61,331.69,327.21,,328.51,336.75,332.05,327.17,319.98,,324.82,310.71,313.02,322.34,319.3,319.23,319.13,315.23,320.11,319.58,324.53,312.7,317.51,315.79,317.04,323.39,318.14,,314.59,,,319.18,328.33,321.64,,328.96,,,329.21,,321.66,317.17,314.35,321.33,322.49,316.3,320.15,312.56,311.98,316.82,319.29,315.9,317.27,321.42,313.12,318.03,310.98,313.14,311.96,313.47,326.48,326.1,319.79,317.21,320.08,,,,,,,L7
2002-05-30 22:02:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.93,302.3,302.35,317.72,319.39,325.7,325.68,326.06,327.2,315.83,,312.36,296.33,288.24,304.63,309.79,308.92,309.84,320.36,324.33,322.52,324.49,332.36,333.4,333.39,327.58,329.21,322.61,331.69,327.21,282.99,310.85,317.625,314.155,309.63,302.28,281.56,305.685,310.71,313.02,322.34,319.3,319.23,319.13,315.23,320.11,319.58,324.53,312.7,317.51,315.79,317.04,323.39,318.14,,314.59,,,319.18,328.33,321.64,,328.96,,,329.21,,321.66,317.17,314.35,321.33,322.49,316.3,320.15,312.56,311.98,316.82,319.29,315.9,317.27,321.42,313.12,318.03,310.98,313.14,311.96,313.47,326.48,326.1,319.79,317.21,320.08,,,,,,,L7
2002-07-01 22:02:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.93,302.3,302.35,317.72,319.39,325.7,325.68,326.06,327.2,315.83,,312.36,296.33,288.24,304.63,305.115,303.95000000000005,310.015,312.34000000000003,318.955,311.615,325.75,332.36,326.865,324.815,321.85,321.80499999999995,317.33500000000004,330.01,327.21,282.99,310.85,317.625,321.30333333333334,318.72333333333336,309.99666666666667,296.95500000000004,308.49,319.875,322.89,321.43499999999995,323.78,325.21000000000004,314.475,313.095,320.11,321.825,317.075,312.7,317.51,312.245,318.665,323.57,318.14,,319.09,,312.66,319.18,328.33,321.64,322.53,328.9,,,327.24,,321.66,317.17,312.145,321.33,322.49,321.545,320.15,316.14,317.84000000000003,316.82,319.29,315.9,317.27,321.61,306.075,310.255,308.165,307.475,311.78499999999997,312.65,319.005,319.36,316.915,314.98,319.91999999999996,,,,,,,L7
2002-09-03 22:02:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.93,302.3,302.35,317.72,319.39,325.7,325.68,326.06,327.2,315.83,,312.36,296.33,288.24,304.63,305.115,303.95000000000005,310.015,312.34000000000003,318.955,311.615,325.75,332.36,326.865,317.31,314.1566666666667,314.0233333333333,309.92333333333335,330.01,327.21,282.99,310.85,317.625,321.30333333333334,318.72333333333336,309.99666666666667,296.95500000000004,308.49,319.875,322.89,321.43499999999995,323.78,325.21000000000004,314.475,313.095,320.11,321.825,317.075,312.7,317.51,312.245,318.665,323.57,299.205,,306.2366666666666,282.62,293.96500000000003,319.18,328.33,321.64,322.53,328.9,,,327.24,,321.66,317.17,312.145,321.33,322.49,321.545,320.15,316.14,317.84000000000003,316.82,319.29,315.9,317.27,321.61,306.075,310.255,308.165,307.475,311.78499999999997,312.65,319.005,319.36,316.915,314.98,319.91999999999996,,,,,,,L7
2002-11-22 22:02:21+00:00,321.36,322.45,324.83,323.76,325.17,325.16,323.0,322.66,319.73,323.8,331.06,322.41,318.35,319.69,320.04,322.53,321.59,317.55,317.67,322.15,316.69,317.0,320.29,316.95,321.19,318.59,323.43,320.07,324.58,321.3,308.25,318.12,311.69,314.05,314.18,310.89,317.53,318.69,316.6,319.66,323.92,327.07,331.63,328.38,312.71,315.84,316.06,311.98,314.59,315.31,309.625,311.385,317.62,314.985,319.84000000000003,311.975,324.73,328.82,327.59000000000003,317.2733333333333,316.8833333333334,315.98999999999995,312.95,328.33,333.1,307.06,293.19,298.5,315.93000000000006,314.5,310.58666666666664,307.6933333333333,310.24666666666667,325.625,323.19,322.04499999999996,326.22,325.84000000000003,314.42499999999995,310.96,320.1,324.07,312.06,311.95,310.95,310.45,320.29,323.75,280.27,,302.05999999999995,282.62,293.96500000000003,321.61,,,322.53,328.84,,,325.27,,,,309.94,,,324.54,,319.72,323.7,,,,316.25,319.945,309.605,311.055,311.155,308.73,310.755,315.30499999999995,316.85,316.22,317.05,317.655,322.64,288.37,,,,,,L7
2003-08-13 21:51:08+00:00,327.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.44,308.86,303.66,304.35,306.22,297.57,300.3,315.73,326.68,330.26,328.77,316.54,313.09,,,,,,313.56,313.2,321.47,314.69,316.13,322.77,336.03,334.61,336.72,338.82,336.03,335.14,332.07,,325.26,329.91,328.44,336.87,333.06,331.19,330.03,332.14,326.54,327.06,309.59,330.31,,321.11,323.21,320.76,318.26,323.61,321.29,323.88,322.29,325.6,319.9,321.6,,322.37,,,,,,,,320.01,329.77,333.39,324.4,318.32,320.39,325.32,,,,,,,,,,,,,316.46,323.95,320.59,317.98,317.73,316.75,320.36,,325.64,327.41,327.17,,,,,,,L5
