dates,satname,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0024,nzd0237-0021,nzd0237-0022,nzd0237-0023
1999-12-25 21:58:52.197000,L7,286.99,306.26,316.19,312.91,308.28,302.56,298.28,287.68,272.69,246.75,237.53,275.97,307.25,331.17,329.52,337.65,334.52,334.88,332.56,330.87,331.48,321.96,323.83,324.18,321.18,318.78,304.06,300.26,302.58,314.95,310.73,296.43,297.48,326.55,322.26,315.59,336.91,335.57,328.81,,,,,,,,,,,,,,,,,
2000-01-10 21:58:52.465000,L7,304.64,324.07,330.70,327.72,331.21,324.57,316.80,311.17,295.07,292.24,290.52,289.50,321.91,348.45,340.02,347.67,426.50,374.79,350.59,372.59,346.84,337.50,335.29,335.32,333.74,327.73,322.30,323.50,314.73,326.51,330.20,315.04,303.31,327.66,322.58,318.14,336.79,342.09,421.39,290.47,281.97,270.13,261.66,250.67,239.02,245.11,247.99,266.53,,,,,,,,
2000-02-27 21:58:40.521000,L7,313.09,315.22,318.50,320.06,296.41,266.77,281.48,302.31,282.67,251.79,243.55,311.23,327.45,354.05,379.63,417.11,401.30,366.32,355.32,350.35,356.27,360.25,,,,,,,,,,,,,,,376.64,353.83,353.26,269.06,264.55,230.72,,,,,,272.27,,,,,,,,
2000-03-14 21:58:35.291000,L7,284.44,304.88,315.47,316.20,308.90,302.70,300.39,293.96,289.99,272.76,263.80,280.55,312.32,332.37,331.25,342.19,345.73,348.80,342.22,406.62,,,,,,,,,,,321.77,309.17,304.30,329.08,327.67,320.99,339.92,335.64,294.58,254.43,247.98,242.40,246.67,,,,,,,,,,,,,
2000-03-30 21:58:33.541000,L7,298.59,318.58,328.65,325.44,331.22,316.20,318.07,320.93,305.67,294.43,288.77,282.21,321.71,343.64,338.70,346.29,347.39,350.05,342.91,345.31,352.89,341.51,338.31,340.11,338.55,325.24,318.56,329.32,313.01,326.85,330.51,321.32,308.00,335.64,336.58,327.62,347.07,349.87,337.14,280.29,286.16,274.76,278.68,254.75,,,,,,,,,,,,
2000-05-17 21:58:07.485000,L7,,,,302.83,280.54,273.86,278.06,282.24,269.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-04 21:57:38.483000,L7,,,,,345.05,363.54,354.02,,,,,,,,393.58,391.02,392.87,385.60,384.72,388.04,405.14,387.09,381.88,383.90,354.57,384.37,405.11,388.35,390.49,390.32,388.19,353.66,328.83,,,,,,,314.44,323.68,324.43,319.83,338.70,351.79,,,,369.57,,,,,,,
2000-08-05 21:57:08.715000,L7,306.95,317.29,321.78,327.49,329.82,307.93,321.39,315.85,309.30,302.86,296.85,299.39,317.47,350.09,340.78,346.12,351.10,359.21,344.24,348.14,348.83,346.61,334.03,338.96,343.71,325.29,327.77,309.72,,,,,,342.25,335.47,319.86,342.42,349.43,,292.09,291.98,275.17,286.87,270.28,254.02,,,,,,,,,,,
2000-11-09 21:56:21.390000,L7,301.69,325.81,333.21,327.20,326.64,319.01,373.14,366.04,338.60,339.81,342.72,358.73,354.26,,,,,,,,,,373.18,386.72,428.51,336.78,329.72,323.18,313.85,324.05,324.50,309.64,312.01,388.21,396.89,333.42,351.00,349.96,345.34,340.32,282.79,280.12,280.17,271.86,254.24,249.90,377.92,376.72,,,,,,,,
2001-03-01 21:56:21.596000,L7,310.38,332.54,338.87,335.75,333.19,324.34,334.54,,,,,,,383.20,359.95,355.10,354.79,344.10,334.58,348.05,353.79,351.97,368.25,373.70,344.96,344.48,332.98,331.37,319.05,339.50,333.54,320.54,323.16,343.77,342.67,,,,,,,,,300.00,270.04,,,,311.41,312.76,312.77,352.30,,,,
2001-03-17 21:56:16.575000,L7,341.30,336.51,367.12,367.35,375.25,360.62,360.58,360.04,341.80,343.87,330.35,301.19,340.22,371.40,382.09,368.66,359.64,359.45,353.88,349.52,357.77,363.79,345.78,340.84,343.32,330.35,332.26,366.26,320.84,344.57,353.44,323.67,321.03,348.10,345.71,334.68,365.34,357.01,344.96,331.57,332.48,319.95,288.12,280.99,255.51,250.37,251.97,275.75,245.51,,,,,,,
2001-08-24 21:54:48.593000,L7,314.71,329.36,336.99,332.78,331.58,323.87,321.21,337.58,345.34,304.10,286.97,302.22,326.91,354.44,345.60,350.36,356.26,360.15,353.03,394.24,395.42,353.31,341.26,343.66,348.02,344.36,332.94,337.84,327.64,346.40,332.84,329.21,313.31,346.66,348.49,332.35,371.08,357.98,347.76,277.89,271.23,273.18,270.54,261.64,245.45,,,269.03,,,,,,,,
2001-09-09 21:54:36.880000,L7,326.74,341.63,350.86,355.88,372.48,356.91,360.33,353.65,353.94,347.73,346.77,307.12,336.29,357.49,353.28,355.78,357.01,362.52,380.25,348.87,369.39,355.86,340.05,342.64,345.62,347.78,333.71,339.19,333.55,349.18,347.22,328.93,324.55,352.48,353.54,338.16,348.87,369.66,382.78,339.85,333.74,304.40,290.08,273.16,262.63,256.15,258.45,287.08,,,,,,,,
2001-09-25 21:54:28.694000,L7,312.32,334.43,341.27,335.43,333.82,323.02,340.17,330.34,343.77,331.96,327.02,314.86,334.06,356.44,355.85,358.85,357.58,377.92,374.15,376.55,360.16,367.67,358.17,358.95,367.24,352.38,338.80,331.85,321.77,331.63,331.48,323.21,323.60,349.14,344.33,334.85,358.05,359.64,354.98,307.69,303.25,298.23,314.32,275.51,266.34,263.64,254.95,283.18,,,,,242.87,,,
2001-12-30 21:54:37.254000,L7,285.10,308.20,322.08,318.43,301.28,296.54,295.12,287.66,275.57,253.48,243.85,,,,,,,,,,352.25,319.83,318.95,315.00,327.99,326.55,326.22,306.60,303.64,323.80,318.40,299.40,300.10,339.72,322.62,,,,,230.05,,,,,,,,,,,,,,,,
2002-01-31 21:54:50.570000,L7,,,,,,,,,,337.14,345.09,338.65,342.11,359.07,357.89,373.19,370.76,369.94,370.23,349.51,353.57,,,,,,,,,,,,359.48,322.82,367.89,381.54,377.69,422.37,,300.49,308.33,299.29,297.62,288.34,268.56,275.05,321.63,356.06,245.95,,,,251.91,,,
2002-02-16 21:54:54.191000,L7,364.91,351.35,357.59,359.55,375.32,369.26,356.55,343.02,325.21,319.54,319.43,310.66,342.30,362.67,365.13,373.20,374.71,380.58,370.47,364.76,363.83,361.34,364.31,366.91,368.07,377.94,374.59,343.50,335.77,350.16,350.30,334.68,326.44,351.97,350.72,336.80,362.48,372.36,363.47,311.93,318.38,322.21,331.44,318.32,332.51,265.43,272.23,292.60,265.91,,,,,,,
