dates,satname,nzd0072-0000,nzd0072-0001,nzd0072-0002,nzd0072-0003
1999-09-27 22:04:48.949000,L7,294.37,290.23,325.56,352.43
1999-11-14 22:04:42.286000,L7,280.21,269.70,305.60,322.89
2000-08-12 22:02:54.094000,L7,285.46,292.36,304.99,322.36
2000-09-13 22:02:26.190000,L7,281.14,258.71,,
2000-10-15 22:01:56.204000,L7,288.32,282.78,323.53,348.32
2001-06-12 22:01:24.980000,L7,,,255.98,310.07
2001-08-15 22:00:38.680000,L7,280.62,271.70,317.78,341.75
2001-10-02 22:00:04.650000,L7,290.72,296.65,325.48,348.59
2001-11-03 22:00:10.954000,L7,299.65,365.53,377.34,
2002-01-22 22:00:40.906000,L7,287.80,289.37,317.72,345.86
2002-02-23 22:00:43.620000,L7,278.69,262.60,304.86,317.40
2002-04-28 22:00:38.357000,L7,,,267.65,296.94
2002-06-15 22:00:19.658000,L7,271.50,289.90,321.04,345.41
2002-07-01 22:00:15.186000,L7,,,293.33,324.98
2002-07-17 22:00:08.747000,L7,,,,307.21
2003-03-30 22:00:31.029000,L7,331.44,318.38,345.28,365.80
2003-09-30 21:49:30.432000,L5,304.46,313.75,339.74,360.68
2004-07-30 21:54:28.143000,L5,,,,323.12
2005-03-11 21:58:44.158000,L5,271.12,260.35,,
2006-05-17 22:03:57.969000,L5,,,,319.67
2013-05-20 22:13:50.559000,L8,,,297.96,312.58
2013-11-28 22:13:02.012000,L8,296.33,306.19,331.15,351.08
2013-11-28 22:13:25.971000,L8,289.01,284.15,311.42,333.96
2013-12-14 22:12:57.636000,L8,,,294.43,321.81
2013-12-14 22:13:21.591000,L8,,270.51,296.90,323.04
2014-01-15 22:12:33.689000,L8,290.84,302.38,320.73,347.27
2014-04-21 22:11:42.175000,L8,265.64,,,
2014-07-26 22:11:43.162000,L8,,,309.10,325.97
2014-08-11 22:11:51.972000,L8,,,301.50,320.89
2015-01-02 22:11:27.004000,L8,,274.93,299.35,320.39
2015-01-02 22:11:50.958000,L8,274.25,273.25,298.61,320.70
2015-07-29 22:11:01.897000,L8,,269.38,307.99,328.13
2015-07-29 22:11:25.856000,L8,,274.86,309.72,330.16
2015-12-20 22:11:33.546000,L8,284.67,270.11,298.58,326.42
2015-12-20 22:11:57.501000,L8,284.84,271.05,300.33,326.81
2016-02-22 22:11:42.580000,L8,,269.48,301.42,322.72
2016-05-12 22:10:56.720000,L8,,,304.12,313.45
2016-05-12 22:11:20.683000,L8,,,302.43,310.04
2016-11-04 22:11:45.464000,L8,,269.98,312.07,326.38
2016-11-04 22:12:09.415000,L8,,,310.61,324.65
2016-11-20 22:11:45.458000,L8,296.00,308.76,331.98,347.83
2016-11-20 22:12:09.409000,L8,299.54,318.15,335.83,357.73
2017-04-29 22:10:42.581000,L8,,,,316.71
2017-07-02 22:11:12.012000,L8,,,,297.70
2017-08-19 22:11:53.133000,L8,,,310.29,325.44
2017-09-04 22:11:31.619000,L8,,,308.39,323.23
2017-09-04 22:11:55.578000,L8,,,307.35,322.61
2018-01-10 22:11:30.163000,L8,375.84,327.36,355.48,365.41
2018-01-10 22:11:54.118000,L8,376.03,327.47,355.58,365.53
2018-04-16 22:10:42.721000,L8,271.50,,,
2018-09-07 22:11:00.442000,L8,,,311.29,324.53
2018-09-07 22:11:24.397000,L8,,,304.99,314.42
2019-05-21 22:11:27.314000,L8,,,304.36,314.68
2019-06-06 22:11:11.322000,L8,,274.51,320.64,332.49
2019-06-06 22:11:35.277000,L8,,,,300.67
2019-06-22 22:11:40.996000,L8,,,316.97,330.57
2019-08-09 22:11:31.395000,L8,365.34,349.35,359.56,363.14
2019-08-09 22:11:55.358000,L8,365.65,350.12,359.90,363.74
2019-09-26 22:11:45.238000,L8,,,316.60,329.60
2020-02-01 22:11:29.826000,L8,285.87,273.96,298.02,324.64
2020-02-01 22:11:53.781000,L8,296.63,305.23,339.72,342.95
2020-04-21 22:10:57.868000,L8,,,309.81,325.11
2020-04-21 22:11:21.823000,L8,,,310.50,325.68
2020-07-26 22:11:44.648000,L8,,,313.50,322.00
2020-08-27 22:11:32.405000,L8,272.73,,317.33,324.92
2020-08-27 22:11:56.368000,L8,,,312.15,321.20
2020-09-12 22:11:38.984000,L8,,,312.64,310.61
2020-11-15 22:11:42.305000,L8,374.16,357.45,363.45,365.94
2020-12-01 22:12:09.987000,L8,277.52,271.65,309.89,327.90
2021-02-19 22:11:27.994000,L8,286.14,273.91,307.43,317.07
2021-02-19 22:11:51.945000,L8,280.62,254.06,,
2021-04-24 22:11:01.432000,L8,,,,314.10
2021-04-24 22:11:25.382000,L8,,,,306.71
2021-10-01 22:11:46.773000,L8,298.71,300.82,331.07,347.64
2021-10-01 22:12:10.732000,L8,,,307.96,326.04
2021-11-18 22:11:44.821000,L8,290.21,294.33,328.85,342.01
2021-11-18 22:12:08.776000,L8,297.68,311.76,339.86,352.86
2022-03-26 22:11:11.888000,L8,260.00,,,
2022-05-21 22:11:19.594000,L9,,249.45,307.62,314.13
2022-07-16 22:12:03.012000,L8,,,311.07,309.49
2023-02-09 22:11:45.094000,L8,,,310.71,320.14
2023-03-13 22:11:23.206000,L8,264.72,,,
2023-03-13 22:11:47.152000,L8,,,,305.82
