dates,satname,nzd0271-0000,nzd0271-0001,nzd0271-0002,nzd0271-0003,nzd0271-0004,nzd0271-0005,nzd0271-0006,nzd0271-0007,nzd0271-0008,nzd0271-0009,nzd0271-0010,nzd0271-0011,nzd0271-0012,nzd0271-0013,nzd0271-0022,nzd0271-0023,nzd0271-0024,nzd0271-0025,nzd0271-0026,nzd0271-0027,nzd0271-0028,nzd0271-0029,nzd0271-0127,nzd0271-0128,nzd0271-0129,nzd0271-0130,nzd0271-0131,nzd0271-0132,nzd0271-0133,nzd0271-0135,nzd0271-0136,nzd0271-0137,nzd0271-0138,nzd0271-0139,nzd0271-0140,nzd0271-0141,nzd0271-0142,nzd0271-0143,nzd0271-0144,nzd0271-0145,nzd0271-0146,nzd0271-0147,nzd0271-0148,nzd0271-0154,nzd0271-0155,nzd0271-0156,nzd0271-0157,nzd0271-0158,nzd0271-0159,nzd0271-0160,nzd0271-0161,nzd0271-0134,nzd0271-0150,nzd0271-0151,nzd0271-0152,nzd0271-0153,nzd0271-0014,nzd0271-0015,nzd0271-0019,nzd0271-0020,nzd0271-0021,nzd0271-0030,nzd0271-0031,nzd0271-0149,nzd0271-0032,nzd0271-0033,nzd0271-0034,nzd0271-0035,nzd0271-0036,nzd0271-0037,nzd0271-0038,nzd0271-0039,nzd0271-0040,nzd0271-0041,nzd0271-0042,nzd0271-0043,nzd0271-0044,nzd0271-0162,nzd0271-0045,nzd0271-0117,nzd0271-0118,nzd0271-0120,nzd0271-0121,nzd0271-0122,nzd0271-0123,nzd0271-0124,nzd0271-0016,nzd0271-0017,nzd0271-0018,nzd0271-0046,nzd0271-0047,nzd0271-0048,nzd0271-0049,nzd0271-0050,nzd0271-0051,nzd0271-0052,nzd0271-0089,nzd0271-0090,nzd0271-0091,nzd0271-0092,nzd0271-0093,nzd0271-0094,nzd0271-0095,nzd0271-0096,nzd0271-0097,nzd0271-0111,nzd0271-0112,nzd0271-0113,nzd0271-0114,nzd0271-0163,nzd0271-0076,nzd0271-0077,nzd0271-0078,nzd0271-0079,nzd0271-0080,nzd0271-0081,nzd0271-0115,nzd0271-0116,nzd0271-0125,nzd0271-0126,nzd0271-0053,nzd0271-0054,nzd0271-0055,nzd0271-0056,nzd0271-0110,nzd0271-0119,nzd0271-0103,nzd0271-0104,nzd0271-0057,nzd0271-0058,nzd0271-0059,nzd0271-0060,nzd0271-0061,nzd0271-0062,nzd0271-0063,nzd0271-0064,nzd0271-0065,nzd0271-0066,nzd0271-0067,nzd0271-0068,nzd0271-0069,nzd0271-0070,nzd0271-0071,nzd0271-0072,nzd0271-0073,nzd0271-0074,nzd0271-0075,nzd0271-0082,nzd0271-0083,nzd0271-0084,nzd0271-0085,nzd0271-0086,nzd0271-0087,nzd0271-0088,nzd0271-0109,nzd0271-0101,nzd0271-0102,nzd0271-0098,nzd0271-0100,nzd0271-0099,nzd0271-0105
1999-08-21 21:46:56.985000,L7,296.05,274.73,265.41,270.31,263.57,267.89,263.22,270.18,236.02,224.70,227.27,230.25,223.69,236.68,341.58,335.43,339.20,313.31,310.84,322.95,302.13,320.29,304.24,292.86,302.88,322.33,325.37,337.37,324.96,356.76,336.13,331.63,335.57,342.14,345.25,333.49,342.27,348.46,381.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-22 21:47:00.785000,L7,316.74,285.47,287.05,281.92,277.45,278.99,274.49,281.33,285.56,,,,,,,,,,,,,,,,,,,,,,,,,,303.72,305.18,299.60,295.98,296.56,375.13,375.34,397.50,429.39,306.23,366.36,371.62,384.51,385.16,356.74,331.67,280.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-24 21:46:56.203000,L7,317.21,295.25,309.96,304.56,300.96,272.00,269.36,269.04,259.10,251.60,240.39,232.02,243.44,242.00,,,,,,,,,,,,,,288.50,286.36,322.52,312.85,311.21,316.33,318.85,313.17,311.58,321.91,329.44,341.99,359.16,381.17,386.74,320.18,313.58,386.56,404.04,396.47,393.78,356.33,330.79,288.99,313.02,373.82,397.24,388.91,367.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-13 21:46:48.016000,L7,285.76,270.50,264.76,261.85,263.04,276.40,282.34,266.33,264.11,276.00,252.43,241.95,244.05,227.73,329.06,340.48,341.50,329.13,319.41,315.29,317.97,316.22,,,,,,,254.79,298.85,295.11,303.75,315.44,318.22,316.76,311.52,318.60,322.36,331.08,343.25,359.42,347.33,316.26,315.74,354.98,362.32,389.81,378.67,346.63,316.78,271.26,265.78,403.99,380.89,378.01,348.64,238.20,265.27,312.41,306.66,315.16,314.75,322.08,372.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-03 21:46:19.161000,L7,293.80,282.13,261.05,260.57,254.40,292.06,,292.61,245.80,229.87,227.52,227.48,220.08,222.93,,,,,,,297.30,294.41,,,,,279.73,299.45,294.95,332.53,325.59,321.47,326.20,326.49,327.02,318.90,331.07,335.12,349.81,368.17,,,,375.06,389.61,395.26,397.74,390.09,359.61,341.12,300.89,320.62,385.84,401.19,388.85,376.19,239.24,,,,,297.61,303.29,371.15,297.08,302.25,313.29,320.12,334.54,340.88,341.39,337.18,336.97,336.65,332.15,330.45,328.78,259.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-19 21:46:07.873000,L7,278.66,267.85,265.87,259.82,241.77,323.28,296.28,244.05,237.03,211.95,200.62,223.82,219.93,222.28,336.40,339.72,,,,,,,,,306.40,319.68,331.35,337.47,339.20,368.56,344.90,340.93,343.13,342.92,335.52,334.17,346.06,358.78,370.09,,,,,,,,,,387.56,351.39,328.19,348.78,,,,,241.39,,318.12,327.29,324.08,,,,,311.94,299.73,322.76,338.44,329.54,,,357.68,329.11,331.37,323.84,336.73,311.46,326.77,292.35,358.27,319.50,335.76,394.16,397.97,382.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:45:08.975000,L7,276.51,263.64,254.39,251.88,247.37,243.21,242.88,233.22,226.38,212.67,206.60,210.02,208.18,203.90,295.25,300.24,302.91,292.71,288.43,278.06,273.39,270.95,,,,,288.22,301.02,276.65,343.62,309.62,318.01,334.10,335.28,333.46,324.19,329.76,344.32,372.36,,,,,,,,,,,,,330.44,,,,,220.08,239.06,273.11,281.97,291.55,266.30,264.85,,268.99,274.58,284.36,290.25,296.80,313.76,316.87,320.19,321.50,314.85,311.67,313.53,309.85,,308.71,,,312.89,324.83,384.31,399.19,410.55,250.75,258.85,268.31,304.49,310.54,311.84,320.30,328.74,329.82,336.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-26 21:44:22.850000,L7,292.63,284.28,276.00,272.91,271.33,265.62,260.38,257.33,252.83,248.26,247.10,235.51,230.99,219.24,,,,,,,,,,,,,,285.15,292.59,332.69,328.76,337.54,333.12,351.96,345.34,340.16,344.32,358.36,380.09,,,,,,,,,,,,,318.87,,,,,202.00,227.39,,,,,,,,,260.72,315.98,326.48,331.84,340.47,345.98,337.13,343.78,346.69,,,,,,,,,,,,225.27,220.18,251.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-27 21:44:26.720000,L7,279.12,264.44,248.73,249.20,258.47,251.72,257.60,244.06,,,,,146.94,170.27,,341.49,332.34,313.75,305.09,294.43,246.38,248.43,,,,303.44,333.38,305.77,345.60,369.90,361.29,361.63,355.87,347.90,341.62,343.93,363.61,375.53,395.85,,,,,,,,,,331.82,338.42,346.22,359.05,,,,,234.81,247.20,291.71,311.75,,250.52,243.94,,258.52,237.82,211.25,259.09,,,,,,313.22,337.42,284.76,283.47,314.04,292.62,,,,,,,,269.67,274.78,238.33,282.85,,242.20,324.53,333.79,326.47,,303.84,254.63,305.40,300.86,280.19,227.11,257.76,294.73,323.88,185.92,198.23,204.16,146.47,291.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-14 21:44:33.150000,L7,295.58,291.67,289.31,272.82,293.19,273.96,283.04,258.69,256.18,255.55,254.61,228.74,249.05,234.53,324.04,333.83,314.69,309.44,303.08,296.54,289.46,293.03,,,,,,,,,,,,,,,345.15,330.92,320.48,,,,,,,,,,,,,,,,,,242.12,253.01,,,,297.03,297.19,,297.15,300.62,297.94,302.32,311.79,322.96,333.74,335.89,338.25,343.31,335.53,334.13,338.64,,338.25,201.35,339.96,,,,,390.46,,,,,,,,,,,,,,,,,,,,,,,,313.16,328.73,303.17,317.59,333.71,284.73,303.33,83.64,143.40,398.60,399.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
