dates,nzd0286-0000,nzd0286-0001,nzd0286-0002,nzd0286-0003,nzd0286-0004,nzd0286-0005,nzd0286-0006,nzd0286-0007,nzd0286-0008,nzd0286-0009,nzd0286-0010,nzd0286-0011,nzd0286-0012,nzd0286-0013,nzd0286-0014,nzd0286-0015,nzd0286-0016,nzd0286-0017,nzd0286-0018,nzd0286-0019,nzd0286-0020,nzd0286-0021,nzd0286-0022,nzd0286-0023,nzd0286-0024,nzd0286-0025,nzd0286-0026,nzd0286-0027,nzd0286-0028,nzd0286-0029,nzd0286-0030,nzd0286-0031,nzd0286-0032,nzd0286-0033,nzd0286-0034,nzd0286-0035,nzd0286-0036,nzd0286-0037,nzd0286-0038,nzd0286-0039,nzd0286-0040,nzd0286-0041,nzd0286-0042,nzd0286-0043,nzd0286-0044,nzd0286-0045,nzd0286-0046,nzd0286-0047,nzd0286-0048,nzd0286-0049,nzd0286-0050,nzd0286-0051,nzd0286-0052,nzd0286-0053,nzd0286-0054,nzd0286-0055,nzd0286-0056,nzd0286-0057,nzd0286-0058,nzd0286-0059,nzd0286-0060,nzd0286-0061,nzd0286-0062,satname
1999-08-21 21:46:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.73,213.47,,,,,,330.18,,,,,,,,,,,,,,,,,,,,,L7
2000-05-19 21:46:07+00:00,,337.09,,,,326.43,,,321.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.87,,357.13,,,,257.79,251.38,,,,,,,,359.64,,,323.49,L7
2000-08-07 21:45:08+00:00,336.42,337.09,,,,327.59000000000003,,,321.51,333.76,334.44,,,,,,,,,,,,,,,,,,334.02,,,,,,,,236.63,,,,,,,,341.17,352.84,351.40999999999997,,,,263.4,242.95999999999998,,352.79,,,,364.54,,362.405,355.4,352.86,332.95000000000005,L7
2000-11-27 21:44:26+00:00,336.42,328.88,330.0,324.98,323.65,322.97,311.05,,329.87,330.5,328.01,326.11,337.18,338.78,344.57,342.04,354.39,349.51,350.08,340.84,339.11,340.03,323.61,317.72,310.97,317.96,325.57,327.34,334.02,,,,,,,328.33,236.63,,,,288.55,,338.75,228.99,322.36,344.04499999999996,345.69,357.29,,,269.01,234.54,355.96,357.115,,,,364.78,369.43,365.05,357.275,353.1,342.41,L7
2001-04-04 21:44:06+00:00,,328.88,330.0,324.98,323.65,317.19,313.09000000000003,337.7,332.09000000000003,327.505,321.58,326.11,337.18,338.78,344.57,339.165,355.19,351.49,350.08,340.84,339.11,340.03,323.61,317.72,310.97,317.96,325.57,327.34,,,,,,,,328.33,,,,,288.55,,338.75,228.99,303.25,335.25,,357.29,,,,,355.96,361.44,284.19,,,365.02,369.43,364.93,359.15,353.34,,L7
2001-04-20 21:44:10+00:00,333.28,331.91499999999996,330.87,324.98,323.65,322.925,313.3866666666667,338.44,329.4433333333333,327.96,321.58,325.185,337.18,338.78,344.57,340.8766666666667,356.9066666666667,353.31333333333333,353.06,340.84,339.11,340.03,323.61,317.72,310.97,320.32,325.57,327.34,330.21,,,,,,,328.33,,,,,288.55,,338.75,216.71,303.25,335.25,334.19,350.37,,,304.59,,355.96,361.44,284.19,,,365.02,369.43,364.93,360.825,353.34,,L7
2001-05-22 21:43:54+00:00,333.28,331.91499999999996,330.87,324.98,323.65,322.925,318.64750000000004,338.44,329.4433333333333,327.96,321.58,331.68666666666667,337.18,338.78,357.455,340.8766666666667,356.9066666666667,353.31333333333333,353.06,340.84,339.11,340.03,337.07500000000005,317.72,310.97,320.32,325.57,327.34,330.21,,,,,,,328.33,,,,328.96,288.55,,338.75,216.71,303.25,335.25,341.695,344.8966666666667,,,304.59,,355.96,361.44,298.18,,,365.02,369.43,364.93,360.825,353.34,,L7
2001-07-25 21:43:18+00:00,335.26,334.95,331.74,,333.7,327.985,321.3075,334.56666666666666,323.8533333333333,327.58666666666664,,334.47499999999997,,,370.34,340.2950000000001,358.165,355.21500000000003,351.87,,,,350.54,,,322.68,,,330.21,,,,,,,,,,,328.96,,,363.57,204.43,,,341.695,337.85333333333335,,368.75,304.59,231.52,352.24,364.88,320.42333333333335,,371.31,365.51,,355.87,356.235,,,L7
2001-09-27 21:42:29+00:00,335.26,332.755,331.28,324.54,327.48,325.46333333333337,320.43600000000004,334.8225,326.2025,327.9975,328.81,329.76666666666665,,341.03,360.65999999999997,347.9766666666667,358.76666666666665,354.17,354.16,345.24,342.77,348.21,350.54,333.57,,320.065,323.38,325.37,322.22,339.91,,,,,,,,,,328.96,,352.88,363.57,204.43,,324.34,341.695,337.85333333333335,,368.75,304.59,231.52,352.24,364.88,320.42333333333335,,371.31,365.51,,355.87,356.235,,,L7
2001-10-13 21:42:15+00:00,331.96999999999997,331.73333333333335,331.28,324.43,325.28,323.51750000000004,318.96,333.8633333333333,323.0325,325.0625,322.72,325.775,,337.66999999999996,355.09,353.1766666666667,358.28999999999996,351.72333333333336,351.6825,341.095,337.54499999999996,340.90999999999997,342.525,328.83500000000004,,319.92,324.49,321.20500000000004,313.1933333333333,339.91,,363.65,352.47,361.47,,303.13,,343.38,340.83,328.96,324.6,351.71500000000003,363.57,204.43,,320.57,339.0366666666667,330.3175,,368.75,304.59,231.52,352.24,364.88,338.53999999999996,,371.31,365.51,,355.87,352.55,,,L7
