dates,satname,nzd0286-0000,nzd0286-0001,nzd0286-0002,nzd0286-0003,nzd0286-0004,nzd0286-0005,nzd0286-0006,nzd0286-0007,nzd0286-0008,nzd0286-0009,nzd0286-0010,nzd0286-0011,nzd0286-0012,nzd0286-0013,nzd0286-0014,nzd0286-0016,nzd0286-0017,nzd0286-0018,nzd0286-0019,nzd0286-0020,nzd0286-0021,nzd0286-0022,nzd0286-0025,nzd0286-0026,nzd0286-0027,nzd0286-0051,nzd0286-0052,nzd0286-0053,nzd0286-0054,nzd0286-0055,nzd0286-0056,nzd0286-0057,nzd0286-0059,nzd0286-0060,nzd0286-0061,nzd0286-0062,nzd0286-0015,nzd0286-0047,nzd0286-0048,nzd0286-0049,nzd0286-0050,nzd0286-0023,nzd0286-0024,nzd0286-0028,nzd0286-0039,nzd0286-0040,nzd0286-0041,nzd0286-0044,nzd0286-0045,nzd0286-0046,nzd0286-0058,nzd0286-0029,nzd0286-0030,nzd0286-0032,nzd0286-0033,nzd0286-0034,nzd0286-0035,nzd0286-0036,nzd0286-0037,nzd0286-0038,nzd0286-0042,nzd0286-0043,nzd0286-0031
1999-08-21 21:46:56.985000,L7,,,355.99,367.69,371.94,334.96,341.38,345.37,344.17,345.45,346.11,350.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-22 21:47:00.785000,L7,387.85,347.06,339.95,335.97,330.63,325.36,326.61,343.34,344.19,341.54,348.51,341.86,353.33,357.58,368.10,381.02,366.24,361.37,325.04,381.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01 21:46:34.573000,L7,295.48,329.12,330.00,333.86,328.69,320.12,335.37,341.41,340.46,336.07,338.69,334.49,350.33,352.55,362.60,367.05,365.51,383.58,360.51,356.61,372.04,368.43,360.71,368.49,371.84,318.67,369.48,375.01,374.75,375.86,374.60,376.22,301.85,362.52,363.57,342.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-19 21:46:07.873000,L7,364.74,374.09,376.54,,,350.55,325.18,345.07,330.30,340.31,336.80,347.57,356.12,362.28,372.86,386.88,397.37,368.73,372.95,371.12,367.99,373.34,,,,,378.63,385.62,389.59,385.38,399.75,388.20,384.04,365.02,321.46,360.71,391.75,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:45:08.975000,L7,377.78,347.68,349.76,345.42,340.80,337.96,328.46,348.68,342.65,348.52,345.69,343.33,357.12,,,375.67,379.38,368.52,380.97,380.92,385.11,373.34,,,,270.79,,,,,,,393.44,363.33,379.08,376.25,,279.39,345.25,407.52,375.47,,,,,,,,,,,,,,,,,,,,,,
2000-11-27 21:44:26.720000,L7,,,,,,,352.13,368.08,370.54,345.77,340.44,,,,,,,,,,,,355.45,364.67,,,,,,,,,,,,,,,,,,,345.75,,,,,,,,,,,,,,,,,,,,
2000-12-13 21:44:28.287000,L7,332.74,334.55,330.77,324.77,322.16,318.72,314.60,276.80,329.36,331.64,333.31,339.00,343.48,347.51,353.32,397.91,356.11,360.88,351.84,347.83,349.00,333.71,329.60,333.21,364.18,,,,,351.39,367.82,375.43,391.38,361.94,365.83,,351.93,405.91,399.68,364.36,311.25,327.75,330.79,352.83,400.76,353.29,377.47,286.80,337.51,407.45,371.45,,,,,,,,,,,,
2001-04-04 21:44:06.948000,L7,365.36,367.72,362.06,361.77,363.29,335.88,321.87,345.87,334.85,336.69,334.27,336.50,349.60,351.79,361.30,364.99,394.18,,351.51,355.47,389.99,,,,,,,,,,,,,,,,350.40,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-20 21:44:10.657000,L7,341.73,341.45,338.37,335.97,333.46,335.83,323.88,347.10,330.57,336.73,336.95,339.59,351.55,355.75,364.71,374.06,370.46,385.82,374.36,357.92,357.28,362.85,365.10,368.55,377.61,,,,,,,,,,,,359.68,,,,,,359.91,373.01,,,,,,,,,,,,,,,,,,,
2001-07-25 21:43:18.753000,L7,364.73,352.58,351.58,361.94,349.73,343.77,335.54,361.61,340.88,345.96,358.88,363.08,361.38,364.66,371.66,372.47,386.98,376.13,375.97,376.08,366.41,370.07,,,,,,,,,,,,,,,386.61,,,,,364.88,348.43,,,,,,,,,,,,,,,,,,,,
2001-09-11 21:42:38.257000,L7,381.58,347.17,362.72,340.11,326.65,294.12,307.64,343.44,367.06,353.01,342.06,351.02,352.72,354.83,360.17,375.21,365.59,375.43,367.26,,,,,,,,,,,,,,,,,,369.45,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-27 21:42:29.269000,L7,367.67,376.18,369.23,332.66,327.19,325.93,321.23,341.88,340.58,338.77,334.81,333.59,348.89,352.95,366.12,373.86,362.08,372.50,360.66,355.83,360.96,356.46,348.68,375.30,373.02,369.59,375.13,379.15,376.17,378.01,375.50,390.39,,,,,383.28,,,,,345.30,365.72,370.58,,,,,,,,,,,,,,,,,,,
2001-10-13 21:42:15.922000,L7,,,,,,,353.07,342.97,342.46,335.89,335.40,334.42,354.04,351.51,390.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-29 21:42:21.289000,L7,369.14,368.48,356.69,362.12,363.07,356.52,313.57,333.37,327.60,327.57,361.14,362.49,379.03,341.97,345.35,362.44,355.18,393.04,374.04,369.00,368.84,,360.07,372.01,371.48,,387.02,390.86,391.68,,,,,,,,388.22,,,,,,,374.49,,,,,,,,,,,,,,,,,,,
2002-01-17 21:42:52.816000,L7,,,,,,,,,,,,,,,,361.79,356.09,362.86,359.37,345.55,348.17,358.02,,,,,,,,,344.31,296.21,,,,,386.93,,,,,,,,,,,,,,403.56,,,,,,,,,,,,
2002-02-02 21:42:54.721000,L7,360.32,352.47,347.34,358.94,361.85,350.50,358.17,354.34,345.61,346.72,349.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-18 21:42:54.191000,L7,334.93,327.12,324.69,320.56,319.00,321.42,309.59,331.93,319.05,325.36,327.02,328.80,336.52,339.96,352.49,374.62,354.12,364.00,350.71,345.77,345.74,354.37,323.88,330.93,330.94,,,,,,360.69,361.63,372.50,357.24,310.63,320.44,379.36,348.64,295.40,353.26,300.69,343.48,345.71,332.50,,,,,328.93,348.33,306.70,368.25,372.94,389.06,394.84,396.99,313.75,407.27,385.00,386.73,,,
2002-09-14 21:41:55.072000,L7,344.60,344.19,338.57,331.69,329.16,322.86,318.21,337.36,326.66,331.85,334.59,332.40,342.19,345.96,356.44,361.85,356.54,352.88,348.83,344.45,344.09,348.36,327.73,374.67,,340.36,361.73,375.12,382.88,383.98,384.44,388.81,386.42,365.56,382.41,360.05,356.63,395.27,374.00,382.22,359.93,341.74,343.35,,393.50,380.41,380.02,364.41,373.28,404.58,326.27,,,,400.26,400.03,385.07,404.56,398.30,408.41,366.00,372.08,
2002-09-30 21:41:47.719000,L7,334.80,339.96,334.42,328.47,326.03,320.49,314.24,333.36,321.41,330.10,333.34,331.40,342.08,347.16,352.06,362.67,357.44,348.47,344.15,345.45,344.52,336.25,259.55,269.91,279.06,,,,,,,,384.19,323.36,304.32,320.40,355.02,345.67,314.35,361.39,298.34,333.26,327.28,328.26,,,,308.10,339.56,390.32,,,,,396.66,337.32,334.41,384.23,356.13,383.60,,,
2002-11-01 21:41:54.382000,L7,317.02,317.81,316.46,310.90,311.89,311.00,297.28,323.41,314.99,317.50,317.88,311.73,327.56,330.37,335.19,341.00,343.76,330.06,325.88,332.89,331.48,319.10,346.83,346.79,353.96,345.87,351.05,407.69,394.95,388.51,388.38,384.02,376.82,381.46,381.04,376.63,333.33,384.35,352.09,354.54,305.22,360.35,353.02,346.82,,,,,309.11,362.27,391.71,,,,,,,,,,,,
2003-01-20 21:42:33.373000,L7,331.20,329.17,324.78,326.96,326.31,319.22,320.02,339.97,332.66,334.49,328.28,337.17,346.05,347.59,352.16,353.82,355.50,339.87,347.81,348.51,348.41,335.83,328.15,337.51,344.76,382.23,379.62,380.78,379.65,383.23,382.96,393.69,389.59,392.95,394.29,388.64,351.85,,,,,330.42,329.75,347.86,,,,,,,,370.43,,,,,,,,,,,
2003-02-05 21:42:41.878000,L7,326.90,325.77,324.29,324.19,323.71,317.90,310.53,336.51,330.17,327.46,323.89,322.87,338.78,339.39,343.26,352.75,351.12,336.94,337.86,340.39,341.35,327.33,320.20,325.88,334.79,371.55,386.00,389.99,390.22,390.22,397.07,392.82,373.72,383.45,384.70,380.38,342.43,390.88,389.86,386.88,371.01,318.70,318.34,332.22,,,,384.49,328.12,375.43,393.54,382.49,,,,,,,,,341.39,369.63,
2003-02-21 21:42:44.547000,L7,326.05,323.78,318.41,323.25,320.82,319.10,317.51,340.34,331.15,332.10,327.91,334.67,342.43,345.11,352.18,354.09,354.90,338.31,342.48,343.76,347.16,332.73,325.77,335.67,332.98,,,,,,,,,,,,344.54,402.57,366.61,408.48,313.68,324.67,327.33,342.65,394.97,,,400.02,356.54,397.01,,357.89,363.04,,,,,,,366.33,,,
2003-05-12 21:42:48.091000,L7,,,,,,,356.05,369.92,373.42,369.16,366.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-28 21:42:46.560000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.33,341.77,349.85,376.63,382.36,,,,
2003-08-24 21:31:12.559000,L5,348.44,342.16,337.08,340.77,338.81,329.74,327.37,351.83,346.10,353.87,351.47,356.76,363.59,371.08,368.14,378.20,372.06,363.07,361.11,363.30,360.30,363.06,366.54,371.36,,,335.67,388.51,389.18,374.30,384.61,385.80,383.80,,,,378.69,386.88,378.13,372.70,310.15,361.23,363.12,,,,,349.48,376.74,376.41,387.94,,,,,,,,,,,351.68,
2003-09-25 21:31:42.973000,L5,369.47,368.99,366.21,364.24,362.08,352.49,351.26,372.30,373.33,,,,,,,398.16,395.93,386.96,383.93,383.32,384.70,381.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-28 21:32:34.027000,L5,354.45,348.59,341.10,350.84,345.10,346.79,331.40,356.53,355.87,353.60,359.12,345.54,338.13,348.37,354.38,377.70,366.89,376.10,373.97,364.45,362.28,372.05,,,,,,,,,,,,,326.95,334.91,378.78,356.01,381.07,342.47,304.36,371.78,,,,,,,347.54,356.54,,,,,,,364.50,394.87,399.73,389.31,,,
