dates,satname,nzd0342-0000,nzd0342-0005,nzd0342-0006,nzd0342-0007,nzd0342-0008,nzd0342-0009,nzd0342-0001,nzd0342-0002,nzd0342-0003,nzd0342-0004
1999-09-29 21:54:04.102000,L7,,362.56,354.65,364.67,360.54,376.08,296.60,304.64,310.71,326.91
1999-12-09 21:59:45.569000,L7,,,344.98,345.25,348.62,365.48,,,,
1999-12-25 21:59:40.109000,L7,,,345.38,351.97,351.50,369.51,,,,
1999-12-25 22:00:04.067000,L7,311.84,294.76,328.44,323.48,322.98,340.01,,,,
2000-01-26 21:59:38.265000,L7,,348.85,366.07,363.75,364.66,374.25,294.79,304.65,315.68,327.39
2000-01-26 22:00:02.226000,L7,328.17,,,,,,301.77,302.25,306.76,314.84
2000-02-27 21:59:52.393000,L7,309.55,,,312.94,317.83,326.94,287.98,293.89,293.44,
2000-03-14 21:59:23.204000,L7,,,346.15,347.54,350.91,366.16,,,,
2000-03-30 21:59:45.397000,L7,,,,,313.48,321.16,,,,
2000-05-17 21:59:19.400000,L7,304.71,,,,,,,,,
2000-08-05 21:58:20.584000,L7,309.17,,,,,,,,,
2000-11-25 21:57:10.965000,L7,,,343.49,345.48,349.97,367.44,,,,
2000-12-04 21:51:22.024000,L7,,,345.91,355.88,361.64,367.72,,,,
2001-01-05 21:51:28.457000,L7,,312.10,350.95,355.88,357.55,374.63,,,,
2001-01-21 21:51:34.318000,L7,,388.70,388.06,374.75,377.87,394.58,,,,389.64
2001-02-06 21:51:26.449000,L7,,,352.28,354.18,354.65,373.87,,,,
2001-05-29 21:50:49.329000,L7,312.08,,,,,,,,,
2001-08-08 21:56:12.984000,L7,328.64,,,,,,296.98,297.08,290.15,
2001-09-18 21:49:29.215000,L7,,,321.86,337.08,349.13,359.61,,,,
2001-09-25 21:55:16.606000,L7,,,324.92,349.79,355.70,364.69,,,,
2001-12-30 21:55:25.157000,L7,,,345.77,340.80,348.01,365.09,,,,
2001-12-30 21:55:49.115000,L7,,,,310.29,314.25,330.17,,,,
2002-02-16 21:56:06.046000,L7,349.66,,,,,,336.48,369.66,,
2002-03-04 21:55:45.898000,L7,,,323.21,341.91,352.45,366.33,,,,
2002-03-04 21:56:09.860000,L7,325.20,297.53,335.09,330.19,334.10,335.35,305.43,305.89,306.15,307.55
2002-05-07 21:55:39.775000,L7,,,323.91,327.95,349.23,365.44,,,,
2002-08-20 21:49:10.402000,L7,,,,322.33,350.24,359.52,,,,
2002-08-27 21:55:12.096000,L7,305.83,,,,,,286.38,,,
2002-09-12 21:54:43.623000,L7,,,350.18,346.26,348.69,365.74,,,,
2002-09-12 21:55:07.575000,L7,,,,,316.17,321.25,,,,
2002-10-14 21:54:31.916000,L7,,382.69,415.31,396.91,413.11,374.73,321.53,376.47,312.69,354.30
2002-10-14 21:54:55.882000,L7,,361.85,398.67,372.61,385.00,348.75,,363.88,311.27,343.36
2002-10-30 21:54:37.512000,L7,,,346.80,349.03,355.44,373.88,,,,
2002-10-30 21:55:01.471000,L7,363.77,343.99,344.02,349.33,359.61,378.20,353.44,332.53,376.02,340.33
2002-12-01 21:55:04.846000,L7,,,345.68,352.46,356.84,366.92,,,,
2002-12-26 21:49:23.939000,L7,,318.85,361.35,365.85,365.71,383.72,293.58,318.89,320.09,332.57
2003-01-02 21:55:10.157000,L7,,,326.22,334.79,343.05,356.19,,,,
2003-01-27 21:49:33.029000,L7,,,349.79,355.38,353.23,374.81,,,,
2003-03-07 21:55:58.558000,L7,,,,,300.72,326.61,,,,
2003-04-08 21:55:35.486000,L7,,,320.56,340.20,349.28,365.04,,,,
2003-04-08 21:55:59.443000,L7,306.79,,,315.18,323.82,326.97,,,,
2003-12-21 21:39:43.071000,L5,,,339.72,343.80,351.61,357.83,,,,
2004-09-25 21:51:19.231000,L5,323.57,,317.32,313.14,318.88,322.40,299.96,301.80,301.46,
2005-09-28 21:55:20.450000,L5,,,310.93,307.61,315.20,315.61,,,,
2005-10-30 21:54:51.334000,L5,,,343.43,348.14,355.89,356.56,,,,
2007-02-06 22:02:11.997000,L5,434.09,298.04,322.62,315.96,324.77,319.75,308.32,308.53,292.61,304.79
2008-12-25 21:51:22.162000,L5,,,333.66,347.91,354.08,361.53,,,,
2011-01-09 21:50:58.806000,L5,,306.31,335.80,338.00,347.22,358.23,,,,
2011-02-17 21:56:48.782000,L5,,,332.24,342.69,348.43,360.30,,,,
2013-10-29 22:02:46.185000,L8,,321.83,356.48,358.69,368.14,373.58,269.94,312.53,315.59,332.53
2013-11-14 22:02:45.355000,L8,317.76,339.81,357.43,360.18,363.73,375.93,308.75,313.58,320.24,335.99
2014-11-08 22:07:28.004000,L8,,,317.60,311.62,317.84,319.12,,,,
2015-01-27 22:07:11.201000,L8,321.70,,318.81,317.83,319.24,319.67,273.46,302.67,304.39,314.01
2015-02-28 22:07:00.305000,L8,382.38,,,,,,382.58,356.48,316.43,323.13
2015-05-28 22:00:07.580000,L8,309.91,,,,,,287.58,301.80,307.80,
2015-06-13 22:00:19.815000,L8,313.10,,,,,,296.51,304.42,313.22,
2015-11-27 22:06:59.201000,L8,,,342.92,346.71,351.53,357.95,,,,
2015-12-29 22:06:57.073000,L8,,,340.57,343.12,348.17,354.75,,,,
2016-01-30 22:06:53.492000,L8,,,343.04,344.74,351.59,356.75,,,,
2016-03-02 22:06:43.439000,L8,307.50,,,,,,282.05,301.78,311.31,
2016-03-02 22:07:07.398000,L8,322.57,,,,,,270.98,300.62,301.23,
2016-04-19 22:06:46.856000,L8,320.88,,,,,,284.92,299.53,299.49,
2016-07-17 22:01:01.204000,L8,312.64,,332.11,335.75,348.69,358.95,295.81,305.39,309.11,
2017-04-06 22:06:21.875000,L8,,,,336.56,347.97,354.36,,,,
2017-10-15 22:07:07.600000,L8,,,334.04,341.78,350.46,356.80,,,,
2017-12-11 22:01:12.448000,L8,305.66,,347.78,350.40,353.88,363.02,285.07,301.42,310.95,
2018-02-04 22:06:41.601000,L8,,,,343.80,351.59,357.34,,,,
2018-03-24 22:06:20.137000,L8,,,328.13,341.60,350.59,355.11,,,,
2018-08-31 22:06:47.157000,L8,314.37,,,,,,278.93,299.39,303.81,
2018-12-21 22:06:42.603000,L8,,,,342.01,349.56,355.63,,,,
2019-05-14 22:06:24.187000,L8,,,,336.44,349.82,356.33,,,,
2019-06-08 22:00:50.322000,L8,314.40,,,,,,301.38,304.25,307.32,
2019-08-02 22:06:53.904000,L8,306.73,,,,,,282.21,298.59,307.01,
2019-10-21 22:07:37.761000,L8,,,318.90,313.85,314.77,322.52,,,,
2019-10-30 22:01:26.665000,L8,304.40,,337.89,342.24,349.91,359.39,272.92,296.16,306.19,
2020-09-21 22:07:30.724000,L8,315.76,,,,,,277.36,299.50,302.10,313.85
2021-01-11 22:07:26.124000,L8,322.07,,,,,,271.54,302.37,301.83,
2022-01-07 22:01:17.661000,L8,,,342.97,344.35,352.19,357.67,,,,
2022-02-07 22:07:05.137000,L9,,,339.18,341.34,348.91,353.72,,,,
2022-04-21 22:00:48.097000,L9,,,328.35,339.93,353.25,358.19,,,,
2022-08-11 22:01:13.680000,L9,309.65,,,333.14,348.57,355.70,287.99,296.54,305.60,
2022-10-21 22:07:17.454000,L9,306.12,,345.17,343.74,352.58,359.32,281.20,299.26,311.16,321.42
2022-10-21 22:07:41.412000,L9,316.78,,,,,,270.27,295.21,298.36,
2022-11-15 22:01:31.563000,L9,,,336.77,340.69,347.47,354.94,,,,
2023-01-17 22:07:06.294000,L8,,,342.61,344.00,347.95,354.70,,,,
2023-02-10 22:07:20.353000,L9,,,337.53,342.00,351.87,355.67,,,,
2023-02-10 22:07:44.308000,L9,,,319.27,314.71,320.41,321.88,,,,
2023-02-18 22:07:01.900000,L8,305.57,,,,,,275.71,300.76,309.25,319.66
2023-02-18 22:07:25.855000,L8,421.60,309.20,421.64,,,331.46,320.96,315.12,313.96,324.99
2023-03-22 22:07:04.713000,L8,320.04,,,,,,276.37,298.65,301.05,
2023-04-23 22:06:21.091000,L8,,,,,,,355.70,390.24,319.78,333.66
2023-07-05 22:00:42.841000,L8,316.08,,,330.47,350.32,354.61,295.76,303.53,309.09,323.67
2023-08-14 22:00:49.451000,L9,308.07,,329.14,335.27,349.57,356.40,270.19,298.29,307.68,
2023-10-08 22:06:58.230000,L9,458.30,335.04,358.59,362.10,365.43,374.77,351.83,323.15,322.78,336.50
2023-10-08 22:07:22.193000,L9,,317.63,344.49,348.25,337.93,371.73,,,365.02,337.68
2023-11-26 22:01:17.763000,L8,314.31,337.69,371.20,357.34,384.67,378.68,299.31,306.01,339.50,347.01
2024-02-21 22:07:17.333000,L8,340.46,313.30,329.67,332.31,327.20,336.91,319.92,314.93,314.66,328.15
2024-03-08 22:06:41.615000,L8,308.23,,344.75,343.46,354.35,360.51,274.17,301.15,311.43,
2024-05-28 22:00:24.522000,L9,319.00,,,,,,292.97,304.56,310.64,325.67
2024-06-28 22:06:07.395000,L8,,345.56,360.39,397.11,363.77,364.10,,,,409.42
2024-06-28 22:06:31.354000,L8,,296.07,323.30,315.36,323.22,320.44,,,,
2024-09-17 22:00:52.686000,L9,,,343.24,300.23,349.54,354.51,,,,
2024-10-10 22:06:46.295000,L9,,,342.56,343.56,352.42,359.44,,,,
2024-12-06 22:01:11.835000,L9,347.88,347.63,369.26,369.18,373.50,403.16,363.14,361.33,327.94,341.92
2025-01-06 22:07:18.443000,L8,325.40,,,,,,276.99,304.11,302.86,
2025-01-22 22:07:13.469000,L8,322.97,,,,,,277.35,302.36,303.03,313.65
2025-02-07 22:07:17.137000,L8,323.16,,,,,,273.46,305.17,302.92,313.42
2025-05-14 22:06:14.511000,L8,326.41,323.72,349.76,344.25,353.76,363.14,312.84,320.39,321.81,332.10
2025-05-14 22:06:38.478000,L8,347.33,307.25,329.69,315.92,324.23,327.85,328.89,322.30,316.66,324.08
2025-11-14 22:07:12.381000,L9,,,345.08,343.46,351.02,359.34,,,,
