dates,nzd0210-0000,nzd0210-0001,nzd0210-0002,nzd0210-0015,nzd0210-0016,nzd0210-0017,nzd0210-0018,nzd0210-0019,nzd0210-0020,nzd0210-0013,nzd0210-0014,nzd0210-0007,nzd0210-0008,nzd0210-0009,nzd0210-0010,nzd0210-0011,nzd0210-0012,nzd0210-0003,nzd0210-0004,nzd0210-0005,nzd0210-0006,satname
1999-09-22 21:46:36+00:00,331.26,362.59,,349.93,349.25,331.77,,,,,,,,,,,,,,,,L7
2000-04-01 21:46:10+00:00,365.53,361.35,351.98,314.63,,,,,,341.79,304.45,374.91,372.39,,359.87,363.13,,,,,,L7
2000-05-19 21:45:43+00:00,351.2,361.35,351.98,314.63,,,295.79,326.51,327.31,341.79,304.45,374.91,372.39,,359.87,363.13,,,,,,L7
2000-08-07 21:44:45+00:00,365.65000000000003,361.35,351.98,314.63,,,294.83500000000004,333.47,332.86,341.79,304.45,374.91,372.39,,359.87,363.13,,,,,,L7
2001-04-04 21:43:43+00:00,369.31,357.35,,321.62,319.47,,,,,327.94,331.16,375.98,370.65,364.84,360.47,351.48,330.02,354.91,373.39,391.46,,L7
2001-04-20 21:43:46+00:00,369.31,357.35,,321.62,319.47,,285.61,324.29,339.82,327.94,331.16,375.98,370.65,364.84,360.47,351.48,330.02,354.91,373.39,391.46,,L7
2001-05-22 21:43:30+00:00,376.96000000000004,357.355,357.6,328.945,320.725,319.74,307.21500000000003,328.02,337.63,327.45500000000004,330.265,356.85,370.65,364.84,360.47,351.48,311.46,335.25,358.93,373.90999999999997,,L7
2001-07-25 21:42:54+00:00,366.7166666666667,357.355,357.6,318.08666666666664,309.08,328.78,306.74666666666667,329.3233333333333,334.6433333333334,327.45500000000004,316.8433333333333,356.85,370.65,364.84,360.47,351.48,311.46,335.25,358.93,373.90999999999997,,L7
2001-08-26 21:42:25+00:00,359.16,340.59,357.6,318.08666666666664,309.08,332.52666666666664,322.1275,332.4525,339.4975,327.45500000000004,316.8433333333333,356.85,370.65,364.84,360.47,361.885,301.34,335.25,358.93,373.90999999999997,,L7
2001-09-11 21:42:14+00:00,353.86199999999997,328.18,357.6,318.08666666666664,309.08,332.52666666666664,322.1275,326.446,341.53000000000003,327.45500000000004,316.8433333333333,356.85,370.65,364.84,360.47,361.885,301.34,335.25,358.93,373.90999999999997,,L7
