dates,satname,nzd0210-0000,nzd0210-0001,nzd0210-0002,nzd0210-0015,nzd0210-0016,nzd0210-0017,nzd0210-0018,nzd0210-0019,nzd0210-0020,nzd0210-0013,nzd0210-0014,nzd0210-0007,nzd0210-0008,nzd0210-0009,nzd0210-0010,nzd0210-0011,nzd0210-0012,nzd0210-0003,nzd0210-0004,nzd0210-0005,nzd0210-0006
1999-09-22 21:46:36.849000,L7,331.26,362.59,377.99,349.93,349.25,331.77,388.38,370.72,372.99,,,,,,,,,,,,
1999-10-24 21:46:32.266000,L7,396.62,294.11,302.80,294.46,288.94,306.96,381.39,,,245.15,303.07,,,,,,,,,,
2000-04-01 21:46:10.627000,L7,365.53,361.35,351.98,314.63,,,,,,341.79,304.45,374.91,372.39,393.98,359.87,363.13,286.29,,,,
2000-05-19 21:45:43.918000,L7,336.87,285.70,,,,,295.79,326.51,327.31,,,,,,,,,,,,
2000-08-07 21:44:45.034000,L7,394.55,393.77,,,,,293.88,340.43,338.41,,,,,,,,,,,,
2000-09-24 21:44:07.338000,L7,,,,289.87,356.90,345.43,363.29,348.28,350.94,,285.41,,,,,,,401.78,372.92,,
2001-01-14 21:44:09.210000,L7,,,,,,,330.77,337.98,315.74,,,,,,,,,,,,
2001-04-04 21:43:43.008000,L7,369.31,357.35,,321.62,319.47,,,,,327.94,331.16,375.98,370.65,364.84,360.47,351.48,330.02,354.91,373.39,391.46,392.95
2001-04-20 21:43:46.702000,L7,411.70,282.90,,,,,285.61,324.29,339.82,,,,415.42,409.66,,,,,,,
2001-05-22 21:43:30.869000,L7,384.61,357.36,357.60,336.27,321.98,319.74,328.82,331.75,335.44,326.97,329.37,337.72,,,,276.42,292.90,315.59,344.47,356.36,328.29
2001-07-25 21:42:54.824000,L7,346.23,,,296.37,285.79,337.82,305.81,331.93,328.67,,290.00,,,,,,,,,,
2001-08-26 21:42:25.671000,L7,336.49,307.06,,348.07,373.75,340.02,368.27,341.84,354.06,,,,,,,372.29,281.10,,,,
2001-09-11 21:42:14.303000,L7,332.67,290.95,,,,,,302.42,349.66,,,,,,,,,,,,
2001-09-27 21:42:05.338000,L7,331.23,402.14,,,,,376.01,367.80,376.66,,,,393.01,385.92,364.49,379.62,,,,,
2001-10-13 21:41:51.963000,L7,,,,,,,,,,,,365.22,360.97,356.21,355.85,,,329.81,358.20,369.63,390.46
2002-02-18 21:42:30.251000,L7,,,,327.60,319.58,321.59,,,,336.64,335.26,368.37,362.17,355.14,349.67,352.44,345.28,356.17,368.55,349.35,387.67
2002-04-07 21:42:28.931000,L7,400.33,392.95,379.96,359.67,350.86,355.75,354.82,344.23,344.90,366.32,367.20,369.07,371.85,367.02,351.77,346.12,382.42,353.08,374.08,381.51,382.61
2002-08-29 21:41:39.340000,L7,391.84,386.07,369.64,272.11,270.28,320.08,351.66,345.46,337.88,,273.08,,,,,,,379.74,,,
2002-09-14 21:41:31.043000,L7,,,,,,,,,,367.21,,378.01,359.57,356.37,349.64,366.12,381.26,349.24,367.95,384.75,413.52
2002-10-16 21:41:24.730000,L7,318.78,,,,,,,,,,,,,,,,,,,,
2002-11-01 21:41:30.201000,L7,420.81,365.00,,341.58,336.64,330.33,340.53,348.00,340.64,260.69,346.56,,,,,268.78,289.49,,,,
2003-01-20 21:42:09.421000,L7,,,,281.34,279.76,295.56,354.63,338.07,364.30,,271.70,,,,,,,,,,
2003-04-10 21:42:26.045000,L7,349.28,309.76,,287.22,273.88,330.71,287.57,337.86,337.37,,282.07,,,,,,,,,,
2003-04-26 21:42:25.606000,L7,405.52,305.44,400.52,,,,,,,,,,,,,,,390.06,,,
2003-05-28 21:42:22.600000,L7,343.32,322.26,320.81,292.15,357.94,359.33,363.63,341.45,340.15,,305.28,,,,,,,,,,
2003-07-23 21:30:14.355000,L5,354.83,332.62,315.08,285.24,288.19,285.62,296.85,299.33,303.55,256.92,278.37,297.61,,,,271.77,279.02,308.54,326.01,341.52,325.31
2003-11-28 21:32:10.197000,L5,344.85,320.86,289.78,287.11,280.92,283.13,292.11,302.92,308.35,,280.49,,,,,,,310.60,324.76,342.30,314.04
2003-12-30 21:32:24.694000,L5,347.24,322.53,292.88,289.10,291.30,294.24,310.03,312.79,319.64,,272.65,,,,,,,308.07,312.61,331.03,304.74
2004-01-15 21:32:26.348000,L5,348.39,326.00,292.47,279.25,278.45,295.26,301.19,310.01,314.56,,270.71,,,,,,,309.90,302.57,,
2004-06-07 21:34:54.755000,L5,348.40,318.43,302.04,277.38,273.32,278.15,280.96,289.67,297.43,,,,,,,,,300.27,311.95,,
