dates,nzd0225-0000,nzd0225-0001,nzd0225-0002,nzd0225-0003,nzd0225-0004,nzd0225-0005,nzd0225-0006,nzd0225-0007,nzd0225-0008,nzd0225-0009,nzd0225-0010,nzd0225-0011,nzd0225-0012,nzd0225-0013,nzd0225-0018,nzd0225-0019,nzd0225-0020,nzd0225-0021,nzd0225-0022,nzd0225-0023,nzd0225-0024,nzd0225-0025,nzd0225-0014,nzd0225-0015,nzd0225-0016,nzd0225-0017,satname
1999-12-25 21:58:52+00:00,272.26,279.93,268.03,194.44,222.48,245.6,189.28,203.16,246.48,260.25,288.86,279.75,208.61,224.83,,,,,342.45,,282.61,334.55,,,,,L7
2000-01-10 21:58:52+00:00,286.35,287.46500000000003,276.905,204.35,224.35,250.68,195.66,207.425,249.89499999999998,261.595,292.655,290.36,217.3,228.525,,,,,342.45,,285.70000000000005,326.22,222.31,,,,L7
2000-02-27 21:58:40+00:00,286.35,290.95,281.18,228.46666666666667,230.87,254.95666666666668,204.33666666666667,218.01333333333332,258.84999999999997,269.6133333333333,298.85999999999996,297.18333333333334,217.3,228.525,,,,,342.45,,285.70000000000005,326.22,237.39499999999998,241.31,279.49,,L7
2000-03-14 21:58:35+00:00,286.35,290.5425,280.8125,228.46666666666667,230.87,254.95666666666668,204.33666666666667,218.01333333333332,255.45999999999998,267.71,298.85999999999996,297.18333333333334,212.00666666666666,222.87333333333333,,,,,342.45,,285.70000000000005,326.22,237.39499999999998,241.31,279.49,,L7
2000-03-30 21:58:33+00:00,286.35,290.5425,280.8125,228.46666666666667,230.87,254.95666666666668,204.33666666666667,218.01333333333332,255.45999999999998,267.71,298.85999999999996,297.18333333333334,212.00666666666666,222.87333333333333,,,,,342.45,,270.30333333333334,313.4633333333333,237.39499999999998,241.31,279.49,,L7
2001-03-01 21:56:21+00:00,291.0,,,,239.1,,,,,319.53,,,,,306.36,285.55,,,,,,,263.18,280.03,293.48,303.73,L7
2001-03-17 21:56:16+00:00,309.75,,,,241.255,,,,,319.53,,,,,287.83000000000004,280.70000000000005,323.0,,,,,,258.12,260.03999999999996,294.39,300.58500000000004,L7
2001-09-09 21:54:36+00:00,328.5,,305.76,278.32,243.41,251.24,223.13,240.68,285.96,284.28,302.52,294.63,227.37,,269.3,275.85,323.0,,,,277.59,301.95,253.06,240.05,295.3,297.44,L7
2001-09-25 21:54:28+00:00,,,305.76,278.32,,251.24,223.13,240.68,279.075,284.28,302.52,294.63,227.37,224.35,,,,,,,277.59,301.95,,,,,L7
2001-12-30 21:54:37+00:00,,,305.76,263.43,,251.24,223.13,240.68,279.075,267.115,290.41999999999996,294.63,213.555,213.685,,,,,,,289.53999999999996,306.6,,,,337.75,L7
