dates,nzd0464-0000,nzd0464-0001,nzd0464-0002,nzd0464-0003,nzd0464-0004,nzd0464-0005,nzd0464-0006,nzd0464-0007,nzd0464-0008,nzd0464-0009,nzd0464-0010,nzd0464-0011,nzd0464-0012,nzd0464-0013,nzd0464-0014,nzd0464-0015,nzd0464-0016,nzd0464-0017,nzd0464-0018,nzd0464-0019,nzd0464-0020,nzd0464-0021,nzd0464-0022,nzd0464-0023,nzd0464-0024,nzd0464-0025,nzd0464-0026,nzd0464-0027,nzd0464-0028,nzd0464-0029,nzd0464-0030,nzd0464-0031,nzd0464-0032,nzd0464-0033,nzd0464-0034,nzd0464-0035,nzd0464-0036,nzd0464-0037,nzd0464-0038,nzd0464-0039,nzd0464-0040,nzd0464-0041,nzd0464-0042,nzd0464-0043,nzd0464-0044,nzd0464-0045,nzd0464-0046,nzd0464-0047,nzd0464-0048,nzd0464-0049,nzd0464-0050,nzd0464-0051,nzd0464-0052,nzd0464-0053,nzd0464-0054,nzd0464-0055,nzd0464-0056,nzd0464-0057,nzd0464-0058,nzd0464-0059,nzd0464-0060,nzd0464-0061,nzd0464-0062,nzd0464-0063,nzd0464-0064,nzd0464-0065,nzd0464-0066,nzd0464-0067,nzd0464-0068,nzd0464-0069,nzd0464-0070,nzd0464-0071,nzd0464-0072,nzd0464-0073,nzd0464-0074,nzd0464-0075,nzd0464-0076,nzd0464-0077,nzd0464-0078,nzd0464-0079,nzd0464-0080,nzd0464-0081,nzd0464-0082,nzd0464-0083,nzd0464-0084,nzd0464-0085,nzd0464-0086,nzd0464-0087,nzd0464-0088,nzd0464-0089,nzd0464-0090,nzd0464-0091,nzd0464-0092,nzd0464-0093,nzd0464-0094,nzd0464-0095,nzd0464-0096,nzd0464-0097,nzd0464-0098,nzd0464-0099,nzd0464-0100,nzd0464-0101,nzd0464-0102,nzd0464-0103,nzd0464-0104,nzd0464-0105,nzd0464-0106,nzd0464-0107,nzd0464-0108,nzd0464-0109,nzd0464-0110,nzd0464-0111,nzd0464-0112,nzd0464-0113,nzd0464-0114,nzd0464-0115,nzd0464-0116,nzd0464-0117,nzd0464-0118,nzd0464-0119,nzd0464-0120,nzd0464-0121,nzd0464-0122,nzd0464-0123,nzd0464-0124,nzd0464-0125,nzd0464-0126,nzd0464-0127,nzd0464-0128,nzd0464-0129,nzd0464-0130,nzd0464-0131,nzd0464-0132,nzd0464-0133,satname
1999-08-26 22:07:08.722,350.8,349.16,,,,,,,,,,,340.72,413.58,,,,430.6,,412.07,438.39,438.67,438.21,,,,,,,,,,,,351.16,,416.6,,,435.96,430.36,433.34,432.63,,,,416.71,436.76,443.2,438.52,440.27,446.32,351.45,,,,,,,,,,,337.89,,343.73,344.36,327.83,328.47,334.17,336.08,334.68,340.15,,,335.3,339.19,329.45,321.82,,,,,,,,,,,,,339.15,342.29,339.51,340.74,331.58,352.39,356.17,348.56,346.15,353.44,360.9,,,,350.66,,350.33,350.17,,,,,,,,,,,,,,,,,,,,,,,,175.46,241.89,L7
1999-09-27 22:07:12.757,369.78,365.925,386.13,388.84,390.38,384.52,390.9,,,,,,356.125,397.875,355.34,383.77,384.76,426.95000000000005,,411.66999999999996,427.765,429.135,427.865,,,,,,,,,,,,351.16,388.72,401.08000000000004,,,438.695,432.18,435.73,427.87,375.28,373.05,380.95,403.34000000000003,429.635,431.06,426.73,425.96,429.85,358.29499999999996,,,,,,,,,,,350.29999999999995,398.49,352.17,363.57500000000005,342.315,338.495,339.0,338.385,338.315,341.72,390.29,384.35,354.155,343.78499999999997,335.955,339.405,384.43,398.2,406.07,423.47,,,,423.07,,,,,353.745,349.67,345.72,345.255,345.95,361.71500000000003,365.005,357.76,356.145,358.19,363.14,,,,363.875,,361.395,359.565,,,,,,,,,,,,,,,,,349.87,,,350.27,340.71,,,173.555,246.285,L7
1999-10-13 22:07:12.582,366.81,363.13000000000005,371.265,374.89,374.56,370.05499999999995,375.78499999999997,360.22,349.81,355.59,351.99,357.53,353.9066666666667,382.55,354.28999999999996,369.145,370.23,426.95000000000005,351.87,411.66999999999996,427.765,429.135,404.3,355.4,356.13,353.81,354.46,352.41,354.48,354.0,356.13,355.31,357.26,353.62,352.88,371.775,382.84666666666664,316.3,342.71,438.695,432.18,435.73,427.87,365.255,365.19,367.0,403.34000000000003,429.635,431.06,426.73,425.96,429.85,358.29499999999996,309.92,309.92,313.81,304.66,337.72,,329.47,346.41,351.54,351.57,351.93,392.78499999999997,364.8433333333333,375.9666666666667,359.24333333333334,338.495,339.0,338.385,338.315,341.72,387.32500000000005,401.79,354.155,343.78499999999997,335.955,355.57,387.82500000000005,387.53499999999997,392.575,412.005,,,,421.35,,332.75,,,350.7966666666666,344.4066666666667,340.92,343.39000000000004,345.85999999999996,353.68333333333334,358.57666666666665,353.8733333333333,351.9166666666667,358.9166666666667,351.64000000000004,327.34,309.95,312.35,363.875,290.1,361.395,359.565,286.99,298.29,304.64,309.1,315.46,320.74,319.09,313.97,307.35,302.25,302.66,295.56,289.13,294.09,298.17,308.02,330.14,309.8,306.56,330.54499999999996,322.29499999999996,293.49,,173.555,255.77999999999997,L7
1999-11-30 22:06:59.059,360.7925,357.2425,360.4433333333333,364.64000000000004,364.0566666666667,363.5533333333333,365.6133333333333,357.54,348.065,352.08,350.45500000000004,352.695,351.4575,371.94,347.27,369.145,370.23,426.95000000000005,347.27,411.66999999999996,427.765,429.135,391.53,352.53,356.28999999999996,347.475,347.13,368.435,348.185,346.56,348.23,345.815,348.93,350.44,349.69000000000005,365.8566666666666,374.4375,336.16499999999996,348.15999999999997,411.00666666666666,432.18,435.73,427.87,367.5133333333333,372.4266666666667,367.1666666666667,393.8666666666666,429.635,431.06,426.73,425.96,412.25666666666666,358.29499999999996,307.40999999999997,302.32500000000005,306.91499999999996,288.93,319.32500000000005,,319.245,342.81,354.78499999999997,348.485,350.2925,377.3333333333333,358.925,366.43,359.24333333333334,336.02666666666664,336.04333333333335,337.90333333333336,337.80333333333334,338.73,387.32500000000005,401.79,354.155,336.0833333333333,334.31,355.57,387.82500000000005,387.53499999999997,380.95666666666665,402.74333333333334,,,,421.35,,324.185,,,341.98749999999995,337.9825,339.4225,335.4,345.85999999999996,341.96500000000003,347.785,346.8525,344.685,358.9166666666667,341.8425,317.845,307.53999999999996,310.365,363.875,302.315,361.395,359.565,293.685,302.24,306.005,310.58000000000004,313.595,322.9,315.335,317.365,308.45000000000005,309.625,314.165,313.025,307.955,309.815,306.62,319.52,324.9433333333333,312.81,307.135,323.26,313.33,290.005,,173.555,256.7475,L7
1999-12-16 22:07:09.748,360.7925,359.098,363.2675,366.815,366.1325,365.3125,363.855,357.54,348.065,352.08,350.45500000000004,356.6366666666666,354.58000000000004,370.342,351.45,369.145,370.23,424.55333333333334,347.27,416.24666666666667,419.99,424.72333333333336,387.18,359.24333333333334,360.20666666666665,347.475,347.13,383.17,348.185,351.37000000000006,346.69,353.0533333333333,352.1133333333334,353.8966666666667,355.8375,368.115,375.38800000000003,351.06,355.50333333333333,402.0,428.0466666666666,434.18,428.84666666666664,367.5133333333333,372.4266666666667,367.1666666666667,393.8666666666666,428.77666666666664,426.2733333333333,425.81333333333333,422.4066666666667,412.25666666666666,373.6566666666667,307.40999999999997,302.32500000000005,306.91499999999996,288.93,325.91333333333336,,319.245,348.4766666666667,357.6933333333333,346.54333333333335,352.62399999999997,373.735,356.36400000000003,366.674,359.89,342.13,336.04333333333335,337.90333333333336,337.80333333333334,338.73,391.77,419.43666666666667,354.155,336.0833333333333,334.31,355.57,387.82500000000005,387.53499999999997,380.95666666666665,402.74333333333334,,,,431.21000000000004,,324.185,,,341.98749999999995,337.9825,339.4225,335.4,345.85999999999996,341.96500000000003,347.785,346.8525,344.685,358.9166666666667,341.8425,317.845,307.53999999999996,310.365,363.875,302.315,361.395,359.565,293.685,302.24,306.005,310.58000000000004,313.595,322.9,315.335,317.365,308.45000000000005,309.625,314.165,313.025,307.955,309.815,306.62,319.52,324.9433333333333,312.81,307.135,323.26,313.33,290.005,,173.555,256.7475,L7
2000-03-21 22:06:49.022,354.3175,353.62,354.444,357.464,357.024,357.03,356.12,346.43,339.2033333333333,342.69,342.1433333333334,347.97,349.976,351.842,343.78000000000003,349.6233333333333,370.23,385.8,335.3833333333334,385.17,378.07666666666665,388.1133333333333,363.416,350.27250000000004,360.20666666666665,337.76,338.41,366.735,335.5466666666667,351.37000000000006,338.555,343.4625,342.89,343.7425,347.72749999999996,358.02,365.08500000000004,351.06,355.50333333333333,390.68,426.88999999999993,434.6,426.955,367.5133333333333,372.4266666666667,367.1666666666667,382.44499999999994,390.07,383.7133333333333,419.46000000000004,380.21999999999997,395.225,384.76,295.87333333333333,292.40333333333336,296.18,276.81333333333333,305.975,250.75,319.245,338.28499999999997,348.0825,339.4325,349.45799999999997,363.054,351.648,360.57599999999996,354.6575,346.68333333333334,336.98,338.81500000000005,339.365,338.02000000000004,391.77,419.43666666666667,373.01,319.26666666666665,336.74,343.10999999999996,387.82500000000005,354.99,380.95666666666665,402.74333333333334,,,,431.21000000000004,291.97,311.09666666666664,,,342.9333333333332,336.5466666666667,339.3933333333334,320.1925,353.0,324.045,329.2675,346.28333333333336,344.1966666666667,361.655,320.2075,304.54333333333335,298.6466666666667,304.02,377.09,297.46666666666664,372.46,368.96,287.52,294.00333333333333,296.56666666666666,310.58000000000004,313.595,322.9,306.06,306.65333333333336,301.81333333333333,309.625,305.36,313.025,307.955,302.74666666666667,298.43,310.03666666666663,314.94,304.73,299.6933333333333,314.0675,302.1,282.7966666666667,,171.65,263.135,L7
2000-05-08 22:06:20.956,340.9533333333333,343.4375,343.555,345.43,347.01250000000005,350.2025,345.3275,342.92333333333335,339.9833333333333,340.3066666666667,341.77666666666664,346.6025,344.555,341.68249999999995,339.175,329.15,352.7,361.96333333333337,334.99,364.74333333333334,356.0333333333333,365.66,348.2675,349.89,359.2733333333333,336.70666666666665,336.51666666666665,366.255,332.90333333333336,351.6433333333334,337.735,342.11,340.875,343.21,347.62,349.6,359.7266666666667,364.28000000000003,358.69666666666666,361.15333333333336,384.67499999999995,391.945,394.1,366.835,369.0,360.475,367.375,368.68333333333334,362.55,389.27,358.77666666666664,361.29999999999995,364.28499999999997,288.85,283.645,287.365,262.89,292.5525,259.7,317.235,338.22749999999996,347.615,337.96500000000003,345.1725,345.2075,340.43,341.11749999999995,337.31666666666666,344.1133333333333,334.435,336.34000000000003,333.91499999999996,329.575,400.66,393.69,333.65,316.6,333.275,302.645,336.73,309.4,347.345,364.975,,,,450.93,311.0,308.40333333333336,,,328.37,330.53999999999996,335.82,295.66999999999996,343.63,293.76,298.755,329.85,330.53499999999997,337.66,293.405,293.145,292.995,299.85499999999996,350.84,301.15,344.72,345.66,287.78499999999997,291.86,292.53000000000003,319.725,325.32500000000005,333.115,299.54499999999996,302.995,299.045,332.91999999999996,306.71000000000004,343.245,338.61,307.07500000000005,298.55999999999995,311.04499999999996,299.74,302.19500000000005,308.25,297.59000000000003,281.9050000000001,277.45,,,272.84999999999997,L7
2000-05-24 22:06:10.472,338.97249999999997,339.608,340.36199999999997,341.29,343.47,346.74,342.602,339.115,335.35749999999996,336.52250000000004,337.5175,340.968,339.04,337.794,334.872,326.95,339.61,353.0075,333.4675,355.68,347.945,357.1625,340.888,344.742,351.935,332.395,332.16999999999996,357.714,327.94,342.97,333.82399999999996,336.836,335.854,337.71999999999997,341.094,343.666,359.7266666666667,351.0025,349.8,351.72,363.92333333333335,369.2266666666667,370.41333333333336,350.8866666666666,352.56333333333333,348.26,349.8333333333333,358.02,352.085,366.6933333333333,348.795,335.7366666666667,333.00333333333333,281.43333333333334,277.34666666666664,280.48,260.55333333333334,285.768,258.50333333333333,317.235,333.39,342.63,333.396,339.898,338.916,335.184,338.052,334.6,335.3375,334.435,336.34000000000003,333.91499999999996,329.575,400.66,393.69,333.65,316.6,318.47999999999996,297.93,313.39,304.2366666666667,327.0466666666667,340.07,279.07,,,450.93,311.0,308.40333333333336,,,328.37,312.67333333333335,335.82,289.7966666666667,343.63,288.25333333333333,292.46333333333337,329.85,330.53499999999997,337.66,287.47333333333336,290.07666666666665,289.99666666666667,296.74333333333334,350.84,292.17,344.72,345.66,277.49333333333334,284.9866666666667,282.42,319.725,325.32500000000005,333.115,292.22999999999996,297.6366666666667,295.56666666666666,318.55,300.70000000000005,343.245,338.61,301.3533333333334,296.51666666666665,305.85999999999996,296.81333333333333,299.34,304.4075,294.1366666666667,278.29333333333335,273.56333333333333,274.38,230.15,266.4575,L7
2000-07-27 22:05:24.302,341.01,332.8125,343.455,334.875,339.4375,339.80499999999995,340.8325,339.10749999999996,336.8125,334.9525,337.74,334.175,330.78749999999997,331.745,329.94000000000005,330.675,340.0933333333333,335.1175,334.5725,337.6375,334.3825,341.34499999999997,333.34000000000003,337.36,344.3933333333334,331.27,335.5375,336.69,328.89,337.93666666666667,334.4175,335.1875,332.855,332.84000000000003,334.3125,334.86249999999995,348.385,338.3433333333333,342.96000000000004,342.6466666666667,340.18666666666667,342.3866666666667,343.35666666666674,344.2366666666667,342.45666666666665,343.36999999999995,342.6766666666667,341.52250000000004,338.1775,343.3766666666667,331.08750000000003,315.97333333333336,296.74666666666667,284.31666666666666,278.8766666666666,280.33666666666664,269.63666666666666,270.6775,265.2325,326.905,333.4575,332.68,328.2025,335.9975,333.3225,333.16249999999997,332.84000000000003,330.1025,332.35999999999996,344.755,336.22,334.195,331.23,333.04,326.92999999999995,333.65,320.52,317.41,304.885,316.33666666666664,309.1075,313.23333333333335,317.01666666666665,297.33,324.05,323.97,,321.29333333333335,319.04,317.3,320.65,338.08500000000004,312.07666666666665,330.90999999999997,293.91,328.15999999999997,297.55333333333334,294.45666666666665,333.91,333.91499999999996,342.09000000000003,298.3933333333333,302.1333333333334,299.68,304.13666666666666,350.945,301.3066666666667,336.975,331.95500000000004,289.4866666666667,288.43,290.00666666666666,332.15999999999997,334.43,344.97,300.43,308.00333333333333,307.47,322.5133333333333,302.31666666666666,356.0,350.44,289.26000000000005,287.24,293.28,301.27666666666664,306.44666666666666,310.02250000000004,286.86,282.20666666666665,283.02,288.04499999999996,239.0,272.57500000000005,L7
2000-08-12 22:05:17.927,343.572,337.804,344.826,336.81,342.42,342.618,344.2,341.56,338.46799999999996,338.504,341.70799999999997,337.15,334.664,333.88199999999995,333.468,334.512,342.6,336.92600000000004,337.972,341.07399999999996,338.118,344.652,337.908,341.764,345.5125,335.29599999999994,340.32399999999996,340.20799999999997,333.466,340.7325,338.094,339.45799999999997,337.704,337.904,337.806,339.49399999999997,348.24333333333334,341.3125,345.1025,346.45500000000004,343.0925,345.6825,346.09250000000003,347.3575,345.0825,346.155,346.61,346.654,342.166,346.2025,334.72400000000005,316.1,296.14,287.255,279.15749999999997,281.8375,286.9025,277.698,274.804,313.99333333333334,337.488,336.238,333.448,339.956,336.198,338.73199999999997,336.634,334.16400000000004,336.375,345.25666666666666,340.5366666666667,336.4766666666667,331.50666666666666,332.885,314.1333333333333,335.825,323.9825,323.39,309.3,321.15250000000003,315.254,313.72249999999997,317.3,300.9166666666667,322.4,323.015,,317.6675,320.40250000000003,329.65,335.78999999999996,328.73,311.28499999999997,327.56666666666666,298.88,319.52,298.7375,303.0875,333.59000000000003,344.3866666666666,346.7166666666667,311.9475,316.4425,302.96000000000004,317.18,350.945,304.1625,331.0266666666667,326.61,292.8225,290.8125,297.3725,338.49333333333334,336.91333333333336,349.58666666666664,305.65,311.2025,319.3,319.945,306.0375,341.78499999999997,352.04499999999996,310.47333333333336,309.49333333333334,311.8533333333333,314.835,319.565,320.496,293.20666666666665,286.8325,287.25,291.9866666666667,251.76999999999998,267.43,L7
